Orthogroup	Syai	Prae
OG0000001	Syai.g_01716	Prae.g_01353, Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000002	Syai.g_01728	Prae.g_01361, Prae.g_00652
OG0000004	Syai.g_01994	Prae.g_00669
OG0000004	Syai.g_01062, Syai.g_00530	Prae.g_00235
OG0000005	Syai.g_02393	Prae.g_01636
OG0000005	Syai.g_02356	Prae.g_01535
OG0000006	Syai.g_00317, Syai.g_00547	Prae.g_00244
OG0000007	Syai.g_00657	Prae.g_00471
OG0000007	Syai.g_02378	Prae.g_01623
OG0000009	Syai.g_01626	Prae.g_01270, Prae.g_01572
OG0000010	Syai.g_00864	Prae.g_01048, Prae.g_00448
OG0000011	Syai.g_01894, Syai.g_00582	Prae.g_01291
OG0000012	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068	Prae.g_00597
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prae.g_00328
OG0000014	Syai.g_00220	Prae.g_00307
OG0000015	Syai.g_01246, Syai.g_01245	Prae.g_00769, Prae.g_01235
OG0000016	Syai.g_00014	Prae.g_00013
OG0000017	Syai.g_00801	Prae.g_00572
OG0000018	Syai.g_00915	Prae.g_01144, Prae.g_00833
OG0000019	Syai.g_00304	Prae.g_00252, Prae.g_00786
OG0000020	Syai.g_00476	Prae.g_01107
OG0000022	Syai.g_01159	Prae.g_00764, Prae.g_01125
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prae.g_00359
OG0000024	Syai.g_01951	Prae.g_00748, Prae.g_00649
OG0000025	Syai.g_02044	Prae.g_00840, Prae.g_00332
OG0000026	Syai.g_00038	Prae.g_00031, Prae.g_01056
OG0000027	Syai.g_01128, Syai.g_01654	Prae.g_00444, Prae.g_01311
OG0000028	Syai.g_00205	Prae.g_00321
OG0000029	Syai.g_01035, Syai.g_01584	Prae.g_00375, Prae.g_00755
OG0000030	Syai.g_00096, Syai.g_00095	Prae.g_01825
OG0000033	Syai.g_02634	Prae.g_00172
OG0000034	Syai.g_02192, Syai.g_02604	Prae.g_01339
OG0000035	Syai.g_00955	Prae.g_01459
OG0000037	Syai.g_02544, Syai.g_02815	Prae.g_00108
OG0000038	Syai.g_02780	Prae.g_01865
