Orthogroup	Prac	Syad
OG0000001	Prac.g_00202	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611
OG0000002	Prac.g_00210, Prac.g_00693	Syad.g_00619
OG0000004	Prac.g_00676	Syad.g_01304
OG0000004	Prac.g_01698	Syad.g_02184, Syad.g_00810
OG0000005	Prac.g_00612	Syad.g_02639
OG0000005	Prac.g_00335	Syad.g_02596
OG0000006	Prac.g_01689	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Prac.g_00874	Syad.g_00923
OG0000007	Prac.g_00625	Syad.g_02623
OG0000009	Prac.g_00301	Syad.g_01952, Syad.g_00868
OG0000009	Prac.g_01826	Syad.g_02799
OG0000010	Prac.g_01592, Prac.g_01248	Syad.g_02354
OG0000011	Prac.g_00152	Syad.g_02006
OG0000012	Prac.g_00748	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008
OG0000013	Prac.g_01604	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Prac.g_01625	Syad.g_00480
OG0000015	Prac.g_00898	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Prac.g_01934	Syad.g_00176
OG0000017	Prac.g_00773	Syad.g_01084, Syad.g_01091
OG0000018	Prac.g_01004	Syad.g_02306
OG0000019	Prac.g_01681, Prac.g_01496	Syad.g_00569
OG0000020	Prac.g_01037, Prac.g_00906, Prac.g_00875, Prac.g_01598	Syad.g_00845
OG0000021	Prac.g_01169	Syad.g_01835, Syad.g_00874
OG0000022	Prac.g_01022	Syad.g_02090
OG0000023	Prac.g_01174	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prac.g_01525, Prac.g_00696	Syad.g_01374
OG0000025	Prac.g_01600, Prac.g_01441	Syad.g_01241
OG0000026	Prac.g_01916, Prac.g_01241	Syad.g_00198
OG0000027	Prac.g_01074	Syad.g_01257
OG0000028	Prac.g_00145, Prac.g_01611	Syad.g_00463
OG0000029	Prac.g_01158	Syad.g_02099
OG0000030	Prac.g_00050	Syad.g_00328, Syad.g_00327
OG0000031	Prac.g_00249	Syad.g_00458, Syad.g_00294
OG0000034	Prac.g_00185	Syad.g_02420, Syad.g_02872
OG0000035	Prac.g_00411	Syad.g_02275
OG0000037	Prac.g_01822	Syad.g_02805
OG0000038	Prac.g_00090	Syad.g_03038
OG0000039	Prac.g_00685	Syad.g_01249, Syad.g_01111
OG0000040	Prac.g_01005	Syad.g_00104
OG0000041	Prac.g_00579	Syad.g_02498, Syad.g_01281
OG0000042	Prac.g_00048	Syad.g_00333
OG0000044	Prac.g_00892	Syad.g_02214
OG0000045	Prac.g_01576	Syad.g_00964
OG0000047	Prac.g_01601, Prac.g_01127	Syad.g_00754
OG0000048	Prac.g_01159	Syad.g_00534
OG0000050	Prac.g_01220	Syad.g_02478
OG0000053	Prac.g_01901, Prac.g_00391	Syad.g_02302
OG0000054	Prac.g_00765	Syad.g_02209
OG0000055	Prac.g_01495	Syad.g_01255
OG0000057	Prac.g_00673	Syad.g_01301
OG0000059	Prac.g_00500	Syad.g_00642
OG0000061	Prac.g_00985	Syad.g_01152
OG0000062	Prac.g_00333	Syad.g_02598
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syad.g_00202
OG0000065	Prac.g_01824	Syad.g_02801, Syad.g_02574
OG0000066	Prac.g_00833	Syad.g_00992
OG0000067	Prac.g_01475	Syad.g_01889
OG0000068	Prac.g_00217	Syad.g_00891
OG0000070	Prac.g_01097	Syad.g_02424
OG0000071	Prac.g_00175	Syad.g_02405
OG0000072	Prac.g_01759	Syad.g_02905
OG0000073	Prac.g_00872	Syad.g_00926
OG0000075	Prac.g_00017	Syad.g_00416
OG0000076	Prac.g_01904, Prac.g_00041	Syad.g_00348
OG0000077	Prac.g_01853	Syad.g_02741
OG0000078	Prac.g_01691	Syad.g_00824
OG0000081	Prac.g_00841	Syad.g_00833
OG0000082	Prac.g_00788	Syad.g_01063
OG0000084	Prac.g_00415	Syad.g_02272
OG0000085	Prac.g_00632	Syad.g_02612
OG0000086	Prac.g_01843	Syad.g_02770
OG0000087	Prac.g_01792	Syad.g_02860
OG0000088	Prac.g_01764	Syad.g_02899
OG0000089	Prac.g_01178	Syad.g_00785, Syad.g_02829
OG0000090	Prac.g_00839	Syad.g_00977
OG0000091	Prac.g_00729	Syad.g_02144
OG0000092	Prac.g_00003	Syad.g_01190
OG0000093	Prac.g_01359	Syad.g_01905
OG0000094	Prac.g_01275	Syad.g_01676
OG0000095	Prac.g_01256	Syad.g_01290
OG0000097	Prac.g_00944	Syad.g_01458
OG0000098	Prac.g_00199	Syad.g_00625
OG0000099	Prac.g_00256	Syad.g_00460
OG0000100	Prac.g_00337	Syad.g_01846
OG0000101	Prac.g_00548	Syad.g_00694
OG0000102	Prac.g_00046	Syad.g_00343
OG0000103	Prac.g_00123	Syad.g_00143
OG0000104	Prac.g_00131	Syad.g_00158
OG0000105	Prac.g_01657	Syad.g_00530
OG0000106	Prac.g_01163	Syad.g_01993
OG0000107	Prac.g_01148	Syad.g_00590
OG0000108	Prac.g_01064	Syad.g_00904
OG0000109	Prac.g_01050	Syad.g_00919
OG0000110	Prac.g_00798	Syad.g_01048
OG0000111	Prac.g_00672	Syad.g_01300
OG0000112	Prac.g_01507	Syad.g_01766
OG0000113	Prac.g_01453	Syad.g_01851
OG0000114	Prac.g_01384	Syad.g_01617
OG0000115	Prac.g_01040	Syad.g_02300
OG0000116	Prac.g_00995	Syad.g_01123
OG0000117	Prac.g_01955	Syad.g_01510
OG0000118	Prac.g_00187	Syad.g_01104
OG0000119	Prac.g_00213	Syad.g_01168
OG0000120	Prac.g_00248	Syad.g_00459
OG0000121	Prac.g_00409	Syad.g_02280
OG0000122	Prac.g_00371	Syad.g_02122
OG0000123	Prac.g_00554	Syad.g_00701
OG0000124	Prac.g_00056	Syad.g_00320
OG0000125	Prac.g_00092	Syad.g_03040
OG0000126	Prac.g_00130	Syad.g_00156
OG0000128	Prac.g_01936	Syad.g_00174
OG0000129	Prac.g_01888	Syad.g_03028
OG0000130	Prac.g_01862	Syad.g_02728
OG0000131	Prac.g_01785	Syad.g_02876
OG0000132	Prac.g_01766	Syad.g_02897
OG0000133	Prac.g_01609	Syad.g_01761
OG0000134	Prac.g_01177	Syad.g_00788
OG0000135	Prac.g_01150	Syad.g_00063
OG0000136	Prac.g_01106	Syad.g_02445
OG0000137	Prac.g_01069	Syad.g_02353
OG0000138	Prac.g_01049	Syad.g_00920
OG0000139	Prac.g_00835	Syad.g_00983
OG0000140	Prac.g_00834	Syad.g_00987
OG0000141	Prac.g_00764	Syad.g_02208
OG0000142	Prac.g_00736	Syad.g_02152
OG0000143	Prac.g_00732	Syad.g_02148
OG0000144	Prac.g_00719	Syad.g_02024
OG0000145	Prac.g_01508	Syad.g_00927
OG0000146	Prac.g_01506	Syad.g_01767
OG0000147	Prac.g_01505	Syad.g_01768
OG0000148	Prac.g_01459	Syad.g_01861
OG0000149	Prac.g_01429	Syad.g_01221
OG0000150	Prac.g_01421	Syad.g_02207, Syad.g_00989
OG0000151	Prac.g_01374	Syad.g_01956
OG0000152	Prac.g_01327	Syad.g_01757
OG0000153	Prac.g_01308	Syad.g_01713
OG0000154	Prac.g_01282	Syad.g_01686
OG0000155	Prac.g_00965	Syad.g_01189
OG0000156	Prac.g_00164	Syad.g_01116
OG0000157	Prac.g_00165	Syad.g_01115
OG0000158	Prac.g_00447	Syad.g_00374
