Orthogroup	Prav	Prbd
OG0000000	Prav.g_01695	Prbd.g_01568
OG0000000	Prav.g_01821, Prav.g_01694	Prbd.g_00528
OG0000000	Prav.g_01715, Prav.g_01730	Prbd.g_01836
OG0000001	Prav.g_01466	Prbd.g_01771
OG0000001	Prav.g_01276	Prbd.g_00566
OG0000002	Prav.g_00962, Prav.g_01820, Prav.g_02007	Prbd.g_01930
OG0000002	Prav.g_01458	Prbd.g_01779
OG0000004	Prav.g_01698, Prav.g_01413	Prbd.g_01835
OG0000005	Prav.g_00330	Prbd.g_00031
OG0000005	Prav.g_00338	Prbd.g_00038
OG0000006	Prav.g_01400	Prbd.g_01870
OG0000006	Prav.g_01732	Prbd.g_01840
OG0000006	Prav.g_00351	Prbd.g_00053
OG0000007	Prav.g_01016	Prbd.g_01894
OG0000007	Prav.g_01000	Prbd.g_00854
OG0000008	Prav.g_01095	Prbd.g_00745
OG0000008	Prav.g_01761	Prbd.g_01525
OG0000010	Prav.g_00375	Prbd.g_00082
OG0000010	Prav.g_01896	Prbd.g_00990
OG0000011	Prav.g_00350	Prbd.g_00052
OG0000012	Prav.g_00001	Prbd.g_00392
OG0000012	Prav.g_00993	Prbd.g_00864
OG0000013	Prav.g_01688	Prbd.g_01576
OG0000013	Prav.g_00170	Prbd.g_01139
OG0000014	Prav.g_01952	Prbd.g_00933
OG0000015	Prav.g_01976	Prbd.g_00909
OG0000016	Prav.g_00363	Prbd.g_00065
OG0000016	Prav.g_00961	Prbd.g_00826
OG0000017	Prav.g_01416	Prbd.g_01832
OG0000017	Prav.g_01068	Prbd.g_00772
OG0000018	Prav.g_01194	Prbd.g_00646
OG0000019	Prav.g_00998	Prbd.g_00856
OG0000020	Prav.g_01469	Prbd.g_01768
OG0000021	Prav.g_01598	Prbd.g_01669
OG0000022	Prav.g_02001	Prbd.g_00998
OG0000023	Prav.g_00984	Prbd.g_00874
OG0000024	Prav.g_01406	Prbd.g_01860
OG0000025	Prav.g_00343	Prbd.g_00045
OG0000026	Prav.g_01736, Prav.g_01415	Prbd.g_01833
OG0000027	Prav.g_01270	Prbd.g_00572
OG0000028	Prav.g_01377	Prbd.g_01879
OG0000029	Prav.g_00376	Prbd.g_00083
OG0000030	Prav.g_00377	Prbd.g_00084
OG0000031	Prav.g_00696	Prbd.g_01328
OG0000032	Prav.g_00101	Prbd.g_01204
OG0000033	Prav.g_00333	Prbd.g_00034
OG0000034	Prav.g_01578	Prbd.g_01689
OG0000035	Prav.g_01689	Prbd.g_01575
OG0000036	Prav.g_00014	Prbd.g_00406
OG0000039	Prav.g_00081	Prbd.g_01224
OG0000040	Prav.g_01407	Prbd.g_01859
OG0000040	Prav.g_01014	Prbd.g_00836
OG0000041	Prav.g_01221	Prbd.g_00621
OG0000042	Prav.g_00741	Prbd.g_01281
OG0000043	Prav.g_00251	Prbd.g_00379
OG0000043	Prav.g_01877	Prbd.g_00192
OG0000045	Prav.g_01182	Prbd.g_00658
OG0000046	Prav.g_00360	Prbd.g_00061
OG0000047	Prav.g_00065	Prbd.g_00468
OG0000049	Prav.g_01512	Prbd.g_01733
OG0000050	Prav.g_00872	Prbd.g_01074
OG0000051	Prav.g_00979	Prbd.g_00879
OG0000052	Prav.g_01022	Prbd.g_00833
OG0000053	Prav.g_00306	Prbd.g_00007
OG0000054	Prav.g_01754	Prbd.g_01532
OG0000055	Prav.g_00689	Prbd.g_01335
OG0000056	Prav.g_00099	Prbd.g_01206
OG0000057	Prav.g_00881	Prbd.g_01083
OG0000058	Prav.g_00989	Prbd.g_00868
OG0000059	Prav.g_01137	Prbd.g_00703
OG0000060	Prav.g_00319	Prbd.g_00020
OG0000061	Prav.g_00354	Prbd.g_00055
OG0000062	Prav.g_00419	Prbd.g_00124
OG0000065	Prav.g_00801	Prbd.g_01002
OG0000066	Prav.g_01073	Prbd.g_00767
OG0000067	Prav.g_01296	Prbd.g_00546
OG0000068	Prav.g_00335	Prbd.g_00036
OG0000069	Prav.g_00031	Prbd.g_00425
OG0000069	Prav.g_00576	Prbd.g_00284
OG0000070	Prav.g_00933	Prbd.g_00340
OG0000071	Prav.g_01390	Prbd.g_01895
OG0000072	Prav.g_01438	Prbd.g_01801
OG0000073	Prav.g_01717	Prbd.g_01784
OG0000074	Prav.g_01513	Prbd.g_01737
OG0000075	Prav.g_00632	Prbd.g_01391
OG0000076	Prav.g_01499	Prbd.g_01730
OG0000077	Prav.g_00079	Prbd.g_01226
OG0000078	Prav.g_01968	Prbd.g_00917
OG0000079	Prav.g_00999	Prbd.g_00855
OG0000080	Prav.g_01267	Prbd.g_00575
OG0000081	Prav.g_01289	Prbd.g_00553
OG0000082	Prav.g_00404	Prbd.g_00109
OG0000083	Prav.g_00467	Prbd.g_00174
OG0000084	Prav.g_00556	Prbd.g_00264
OG0000085	Prav.g_00261	Prbd.g_00389
OG0000086	Prav.g_00033	Prbd.g_00427
OG0000088	Prav.g_01395	Prbd.g_01889
OG0000089	Prav.g_01396	Prbd.g_01884
OG0000090	Prav.g_01514	Prbd.g_01734
OG0000091	Prav.g_01586	Prbd.g_01681
OG0000092	Prav.g_01705	Prbd.g_01561
OG0000093	Prav.g_00292	Prbd.g_01439
OG0000094	Prav.g_00629	Prbd.g_01394
OG0000095	Prav.g_00663	Prbd.g_01361
OG0000096	Prav.g_00733	Prbd.g_01289
OG0000097	Prav.g_00751	Prbd.g_01272
OG0000098	Prav.g_00789	Prbd.g_01234
OG0000099	Prav.g_00091	Prbd.g_01214
OG0000100	Prav.g_00110	Prbd.g_01199
OG0000101	Prav.g_00120	Prbd.g_01188
OG0000102	Prav.g_00178	Prbd.g_01131
OG0000103	Prav.g_00186	Prbd.g_01122
OG0000104	Prav.g_00204	Prbd.g_01103, Prbd.g_01104
OG0000105	Prav.g_00868	Prbd.g_01070
OG0000106	Prav.g_00854	Prbd.g_01056
OG0000107	Prav.g_00846	Prbd.g_01048
OG0000108	Prav.g_00836	Prbd.g_01038
OG0000109	Prav.g_00799	Prbd.g_01000
OG0000110	Prav.g_01898	Prbd.g_00988
OG0000111	Prav.g_01920	Prbd.g_00965
OG0000112	Prav.g_01930	Prbd.g_00955
OG0000113	Prav.g_01943	Prbd.g_00942
OG0000114	Prav.g_01971	Prbd.g_00914
OG0000115	Prav.g_01072	Prbd.g_00768
OG0000116	Prav.g_01074	Prbd.g_00766
OG0000117	Prav.g_01078	Prbd.g_00762
OG0000118	Prav.g_01097	Prbd.g_00743
OG0000119	Prav.g_01130	Prbd.g_00710
OG0000120	Prav.g_01131	Prbd.g_00709
OG0000121	Prav.g_01141	Prbd.g_00699
OG0000122	Prav.g_01150	Prbd.g_00690
OG0000123	Prav.g_01181	Prbd.g_00659
OG0000124	Prav.g_01249	Prbd.g_00593
OG0000125	Prav.g_01250	Prbd.g_00592
OG0000126	Prav.g_01251	Prbd.g_00591
OG0000127	Prav.g_01284	Prbd.g_00558
OG0000128	Prav.g_00308	Prbd.g_00009
OG0000129	Prav.g_00328	Prbd.g_00029
OG0000130	Prav.g_00381	Prbd.g_00087
OG0000131	Prav.g_00395	Prbd.g_00100
OG0000132	Prav.g_00430	Prbd.g_00136
OG0000133	Prav.g_00515	Prbd.g_00222
OG0000134	Prav.g_00525	Prbd.g_00232
OG0000135	Prav.g_00560	Prbd.g_00268
OG0000136	Prav.g_00930	Prbd.g_00337
OG0000137	Prav.g_00036	Prbd.g_00430
OG0000138	Prav.g_00060	Prbd.g_00463
OG0000139	Prav.g_00071	Prbd.g_00474
OG0000140	Prav.g_01824	Prbd.g_00525
OG0000141	Prav.g_02003	Prbd.g_01921
OG0000142	Prav.g_01450	Prbd.g_01789
OG0000143	Prav.g_01473	Prbd.g_01764
OG0000144	Prav.g_01565	Prbd.g_01702
OG0000145	Prav.g_01579	Prbd.g_01688
OG0000146	Prav.g_01615	Prbd.g_01652
OG0000147	Prav.g_01655	Prbd.g_01611
OG0000148	Prav.g_01656	Prbd.g_01610
OG0000149	Prav.g_01759	Prbd.g_01527
OG0000150	Prav.g_01797	Prbd.g_01489
OG0000151	Prav.g_01800	Prbd.g_01486
OG0000152	Prav.g_00264	Prbd.g_01466
OG0000153	Prav.g_00591	Prbd.g_01432
OG0000154	Prav.g_00627	Prbd.g_01396
OG0000155	Prav.g_00645	Prbd.g_01378
OG0000156	Prav.g_00674	Prbd.g_01350
OG0000157	Prav.g_00706	Prbd.g_01317
OG0000158	Prav.g_00768	Prbd.g_01255
OG0000160	Prav.g_00787	Prbd.g_01236
OG0000161	Prav.g_00788	Prbd.g_01235
OG0000162	Prav.g_00790	Prbd.g_01233
OG0000163	Prav.g_00791	Prbd.g_01232
OG0000164	Prav.g_00792	Prbd.g_01231
OG0000165	Prav.g_00793	Prbd.g_01230
OG0000166	Prav.g_00794	Prbd.g_01229
OG0000167	Prav.g_00795	Prbd.g_01228
OG0000168	Prav.g_00078	Prbd.g_01227
OG0000169	Prav.g_00080	Prbd.g_01225
OG0000170	Prav.g_00082	Prbd.g_01223
OG0000171	Prav.g_00083	Prbd.g_01222
OG0000172	Prav.g_00084	Prbd.g_01221
OG0000173	Prav.g_00085	Prbd.g_01220
OG0000174	Prav.g_00086	Prbd.g_01219
OG0000175	Prav.g_00087	Prbd.g_01218
OG0000176	Prav.g_00088	Prbd.g_01217
OG0000177	Prav.g_00089	Prbd.g_01216
OG0000178	Prav.g_00090	Prbd.g_01215
OG0000179	Prav.g_00092	Prbd.g_01213
OG0000180	Prav.g_00093	Prbd.g_01212
OG0000181	Prav.g_00094	Prbd.g_01211
OG0000182	Prav.g_00095	Prbd.g_01210
OG0000183	Prav.g_00096	Prbd.g_01209
OG0000184	Prav.g_00097	Prbd.g_01208
OG0000185	Prav.g_00100	Prbd.g_01205
OG0000186	Prav.g_00103	Prbd.g_01202
OG0000187	Prav.g_00104	Prbd.g_01201
OG0000188	Prav.g_00105	Prbd.g_01200
