Orthogroup	Prah	Syas
OG0000001	Prah.g_02270	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000003	Prah.g_02435, Prah.g_00281, Prah.g_01075, Prah.g_00275, Prah.g_02449, Prah.g_02433, Prah.g_00169	Syas.g_00054
OG0000004	Prah.g_01022	Syas.g_00176
OG0000004	Prah.g_01413	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prah.g_01652	Syas.g_02704
OG0000006	Prah.g_00475, Prah.g_01767	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prah.g_01546	Syas.g_01232
OG0000007	Prah.g_01676	Syas.g_02681
OG0000008	Prah.g_00970	Syas.g_00886
OG0000008	Prah.g_00969	Syas.g_00887
OG0000009	Prah.g_00432, Prah.g_01895	Syas.g_01450
OG0000010	Prah.g_00311	Syas.g_01334
OG0000013	Prah.g_01956	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prah.g_02171	Syas.g_01816
OG0000016	Prah.g_00015	Syas.g_02048
OG0000016	Prah.g_01270	Syas.g_01086
OG0000017	Prah.g_01397	Syas.g_00856
OG0000017	Prah.g_01405	Syas.g_00849
OG0000018	Prah.g_00378	Syas.g_01290
OG0000019	Prah.g_02086	Syas.g_01696
OG0000022	Prah.g_00170, Prah.g_01209	Syas.g_02758
OG0000025	Prah.g_00604	Syas.g_00231
OG0000026	Prah.g_00038	Syas.g_02070
OG0000028	Prah.g_02184	Syas.g_01793
OG0000030	Prah.g_00132	Syas.g_01644
OG0000030	Prah.g_00131	Syas.g_01645
OG0000033	Prah.g_02307	Syas.g_02328
OG0000034	Prah.g_01376	Syas.g_02371, Syas.g_02838
OG0000035	Prah.g_00408	Syas.g_02814, Syas.g_02818
OG0000037	Prah.g_01901	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prah.g_02494	Syas.g_01885
OG0000038	Prah.g_02496	Syas.g_01887
OG0000039	Prah.g_01758	Syas.g_02795
OG0000042	Prah.g_00135, Prah.g_01256	Syas.g_01121, Syas.g_02147
OG0000044	Prah.g_00994, Prah.g_00343	Syas.g_00894, Syas.g_02453
OG0000046	Prah.g_01955	Syas.g_01553, Syas.g_01556, Syas.g_01558
OG0000048	Prah.g_02122	Syas.g_01734
OG0000051	Prah.g_01166	Syas.g_01445
OG0000053	Prah.g_00381	Syas.g_01287
OG0000054	Prah.g_01394	Syas.g_00961
OG0000059	Prah.g_02043	Syas.g_01639
OG0000060	Prah.g_01156	Syas.g_00975
OG0000061	Prah.g_01322, Prah.g_00104	Syas.g_01184
OG0000062	Prah.g_01654	Syas.g_00070
OG0000063	Prah.g_00042	Syas.g_02074
OG0000065	Prah.g_01897	Syas.g_02420
OG0000066	Prah.g_01485	Syas.g_00094
OG0000067	Prah.g_01826	Syas.g_02346, Syas.g_00352
OG0000067	Prah.g_00667	Syas.g_00596
OG0000068	Prah.g_01576	Syas.g_00969, Syas.g_01261
OG0000070	Prah.g_00252	Syas.g_00173
OG0000072	Prah.g_02309	Syas.g_02326, Syas.g_01524
OG0000073	Prah.g_01544	Syas.g_01230
OG0000075	Prah.g_02232	Syas.g_01921, Syas.g_02194
OG0000076	Prah.g_00150	Syas.g_02156
OG0000078	Prah.g_01773	Syas.g_02308
OG0000079	Prah.g_02090, Prah.g_01868	Syas.g_01699
OG0000081	Prah.g_01035	Syas.g_00391
OG0000082	Prah.g_01427	Syas.g_00837
OG0000085	Prah.g_01666	Syas.g_02695
OG0000086	Prah.g_01866	Syas.g_02470
OG0000087	Prah.g_02268	Syas.g_02374
OG0000089	Prah.g_00205	Syas.g_01512
OG0000090	Prah.g_01501	Syas.g_00062
OG0000091	Prah.g_00493	Syas.g_00907, Syas.g_00146
OG0000094	Prah.g_02518	Syas.g_01716
OG0000095	Prah.g_00915	Syas.g_01021
OG0000098	Prah.g_00327	Syas.g_00091
OG0000099	Prah.g_02191	Syas.g_01826
OG0000100	Prah.g_01791, Prah.g_00636	Syas.g_00567
OG0000102	Prah.g_00144	Syas.g_02152, Syas.g_01395
OG0000103	Prah.g_02586	Syas.g_02009
OG0000104	Prah.g_02600	Syas.g_02027, Syas.g_02026
OG0000105	Prah.g_02126	Syas.g_01739
OG0000106	Prah.g_01660	Syas.g_01451
OG0000107	Prah.g_02072	Syas.g_01669
OG0000108	Prah.g_01566	Syas.g_01253
OG0000109	Prah.g_01550	Syas.g_01236
OG0000110	Prah.g_01439	Syas.g_00818
OG0000111	Prah.g_01028	Syas.g_01037
OG0000112	Prah.g_00788	Syas.g_00452
OG0000113	Prah.g_00641	Syas.g_00571
OG0000114	Prah.g_00733	Syas.g_00674
OG0000115	Prah.g_00383	Syas.g_02548, Syas.g_01285
OG0000116	Prah.g_01337	Syas.g_01198, Syas.g_00317
OG0000117	Prah.g_01257	Syas.g_01122
OG0000118	Prah.g_01378	Syas.g_02835
OG0000120	Prah.g_02192	Syas.g_01828
OG0000121	Prah.g_00406	Syas.g_02821
OG0000122	Prah.g_01203	Syas.g_00393
OG0000123	Prah.g_01987	Syas.g_01582
OG0000124	Prah.g_00125	Syas.g_02137
OG0000125	Prah.g_02498	Syas.g_01889
OG0000126	Prah.g_02598	Syas.g_01992
OG0000128	Prah.g_00013	Syas.g_02046
OG0000129	Prah.g_02486	Syas.g_01880
OG0000130	Prah.g_01838	Syas.g_02522
OG0000131	Prah.g_02282	Syas.g_02367
OG0000132	Prah.g_02302	Syas.g_02334
OG0000133	Prah.g_02187	Syas.g_00457
OG0000134	Prah.g_00208	Syas.g_01509
OG0000135	Prah.g_02538	Syas.g_01938
OG0000136	Prah.g_00235	Syas.g_02740
