Orthogroup	Prbd	Prai
OG0000000	Prbd.g_01833	Prai.g_00905, Prai.g_01772
OG0000000	Prbd.g_01914	Prai.g_01612
OG0000000	Prbd.g_01568	Prai.g_01592
OG0000000	Prbd.g_00528	Prai.g_00908
OG0000000	Prbd.g_00528	Prai.g_01234
OG0000000	Prbd.g_00528	Prai.g_01591
OG0000000	Prbd.g_00528	Prai.g_01775
OG0000000	Prbd.g_01835	Prai.g_01314
OG0000000	Prbd.g_01567	Prai.g_01596
OG0000001	Prbd.g_01779	Prai.g_01235, Prai.g_01356
OG0000001	Prbd.g_01930	Prai.g_01236
OG0000002	Prbd.g_01771	Prai.g_01363
OG0000002	Prbd.g_00566	Prai.g_00707
OG0000004	Prbd.g_00549	Prai.g_00724
OG0000004	Prbd.g_01007	Prai.g_00243
OG0000005	Prbd.g_01512	Prai.g_01651
OG0000005	Prbd.g_01612	Prai.g_01538
OG0000006	Prbd.g_00998	Prai.g_00252, Prai.g_00254
OG0000007	Prbd.g_00745	Prai.g_00527
OG0000007	Prbd.g_01525	Prai.g_01638
OG0000008	Prbd.g_00572	Prai.g_00701
OG0000009	Prbd.g_01887, Prbd.g_01576	Prai.g_01578
OG0000009	Prbd.g_01139	Prai.g_00105
OG0000010	Prbd.g_00768	Prai.g_00504
OG0000010	Prbd.g_00348	Prai.g_01067
OG0000011	Prbd.g_00836	Prai.g_01599
OG0000012	Prbd.g_00621	Prai.g_00652
OG0000013	Prbd.g_00912	Prai.g_00340
OG0000014	Prbd.g_00933	Prai.g_00319
OG0000015	Prbd.g_00826	Prai.g_01243
OG0000016	Prbd.g_01224	Prai.g_00013
OG0000017	Prbd.g_00646	Prai.g_00626
OG0000018	Prbd.g_00129	Prai.g_00820
OG0000018	Prbd.g_00449	Prai.g_01153
OG0000019	Prbd.g_00990	Prai.g_00262
OG0000019	Prbd.g_00082	Prai.g_00867
OG0000020	Prbd.g_00406	Prai.g_01125
OG0000021	Prbd.g_01546, Prbd.g_00874	Prai.g_00378
OG0000022	Prbd.g_00423	Prai.g_01139
OG0000022	Prbd.g_00061	Prai.g_00885
OG0000023	Prbd.g_00879	Prai.g_00373
OG0000024	Prbd.g_00045	Prai.g_00899
OG0000024	Prbd.g_00569	Prai.g_00704
OG0000025	Prbd.g_00908	Prai.g_00344
OG0000025	Prbd.g_00137	Prai.g_00812
OG0000026	Prbd.g_01206	Prai.g_00031
OG0000026	Prbd.g_00355	Prai.g_01074
OG0000027	Prbd.g_00772, Prbd.g_01832	Prai.g_00904
OG0000028	Prbd.g_01864	Prai.g_01297
OG0000028	Prbd.g_00919	Prai.g_00333
OG0000029	Prbd.g_00052	Prai.g_00890
OG0000030	Prbd.g_01325	Prai.g_01848
OG0000033	Prbd.g_01071	Prai.g_00180
OG0000034	Prbd.g_01791	Prai.g_01345
OG0000035	Prbd.g_01689	Prai.g_01463
OG0000037	Prbd.g_01135	Prai.g_00109
OG0000038	Prbd.g_01283	Prai.g_01890
OG0000039	Prbd.g_00558	Prai.g_00715
OG0000041	Prbd.g_01478	Prai.g_01684
OG0000042	Prbd.g_01328	Prai.g_01845
OG0000043	Prbd.g_01891	Prai.g_00910
OG0000043	Prbd.g_00174	Prai.g_01064
OG0000045	Prbd.g_00867	Prai.g_00384
OG0000047	Prbd.g_00909	Prai.g_00343
OG0000048	Prbd.g_00864	Prai.g_00387
OG0000049	Prbd.g_00854	Prai.g_00394
OG0000049	Prbd.g_01894	Prai.g_00437
OG0000050	Prbd.g_01928	Prai.g_01233
OG0000050	Prbd.g_00375	Prai.g_01093
OG0000051	Prbd.g_01544	Prai.g_01263
OG0000053	Prbd.g_01669	Prai.g_01483
OG0000054	Prbd.g_00638	Prai.g_00634
OG0000055	Prbd.g_00083	Prai.g_00866
OG0000057	Prbd.g_00546	Prai.g_00727
OG0000059	Prbd.g_01439	Prai.g_01725
OG0000061	Prbd.g_00468	Prai.g_01171
OG0000062	Prbd.g_01610	Prai.g_01540
OG0000063	Prbd.g_01204	Prai.g_00033
OG0000065	Prbd.g_01137	Prai.g_00107
OG0000066	Prbd.g_00703	Prai.g_00567
OG0000067	Prbd.g_00102	Prai.g_00848
OG0000068	Prbd.g_01764	Prai.g_01370
OG0000069	Prbd.g_01575	Prai.g_01579
OG0000070	Prbd.g_00792	Prai.g_00481
OG0000071	Prbd.g_01801	Prai.g_01335
OG0000072	Prbd.g_01069	Prai.g_00182
OG0000073	Prbd.g_00743	Prai.g_00529
OG0000074	Prbd.g_00562	Prai.g_00711
OG0000075	Prbd.g_01359	Prai.g_01814
OG0000076	Prbd.g_01335	Prai.g_01838
OG0000077	Prbd.g_01166	Prai.g_00078
OG0000078	Prbd.g_01000	Prai.g_00250
OG0000079	Prbd.g_00987	Prai.g_00265
OG0000081	Prbd.g_00711	Prai.g_00559
OG0000082	Prbd.g_00658	Prai.g_00613
OG0000083	Prbd.g_01855	Prai.g_01313
OG0000083	Prbd.g_00031	Prai.g_00441
OG0000084	Prbd.g_01693	Prai.g_01459
OG0000085	Prbd.g_01532	Prai.g_01631
OG0000086	Prbd.g_01156	Prai.g_00088
OG0000087	Prbd.g_01104, Prbd.g_01103	Prai.g_00139
OG0000088	Prbd.g_01074	Prai.g_00177
OG0000089	Prbd.g_00883	Prai.g_00368
OG0000090	Prbd.g_00709	Prai.g_00561
OG0000091	Prbd.g_00602	Prai.g_00671
OG0000092	Prbd.g_00211	Prai.g_01041
OG0000093	Prbd.g_00232	Prai.g_01021
OG0000094	Prbd.g_00321	Prai.g_00937
OG0000095	Prbd.g_00340	Prai.g_00918
OG0000096	Prbd.g_01840	Prai.g_01588
OG0000097	Prbd.g_00509	Prai.g_01214
OG0000098	Prbd.g_01782	Prai.g_01353
OG0000099	Prbd.g_01734	Prai.g_01393
OG0000100	Prbd.g_01614	Prai.g_01536
OG0000101	Prbd.g_01391	Prai.g_01782
OG0000102	Prbd.g_01330	Prai.g_01843
OG0000103	Prbd.g_01250	Prai.g_01923
OG0000104	Prbd.g_01241	Prai.g_01932
OG0000105	Prbd.g_00965	Prai.g_00286, Prai.g_00287
OG0000106	Prbd.g_00868	Prai.g_00383
OG0000107	Prbd.g_00852	Prai.g_00397
OG0000108	Prbd.g_00762	Prai.g_00510
OG0000109	Prbd.g_00748	Prai.g_00524
OG0000110	Prbd.g_00668	Prai.g_00603
OG0000111	Prbd.g_00545	Prai.g_00728
OG0000112	Prbd.g_00066	Prai.g_00882
OG0000113	Prbd.g_00124	Prai.g_00825
OG0000114	Prbd.g_00206	Prai.g_01046
OG0000115	Prbd.g_00401	Prai.g_01119
OG0000116	Prbd.g_00458	Prai.g_01162
OG0000117	Prbd.g_01895	Prai.g_01273
OG0000118	Prbd.g_01789	Prai.g_01347
OG0000119	Prbd.g_01768	Prai.g_01366
OG0000120	Prbd.g_01737	Prai.g_01443
OG0000121	Prbd.g_01687	Prai.g_01465
OG0000123	Prbd.g_01384	Prai.g_01789
OG0000124	Prbd.g_01318	Prai.g_01854
OG0000125	Prbd.g_01281	Prai.g_01892
OG0000126	Prbd.g_01242	Prai.g_01931
OG0000128	Prbd.g_01226	Prai.g_00011
OG0000129	Prbd.g_01194	Prai.g_00051
OG0000130	Prbd.g_01175	Prai.g_00069
OG0000131	Prbd.g_01095	Prai.g_00156
OG0000132	Prbd.g_01076	Prai.g_00175
OG0000133	Prbd.g_00917	Prai.g_00335
OG0000134	Prbd.g_00882	Prai.g_00369
OG0000135	Prbd.g_00855	Prai.g_00393
OG0000136	Prbd.g_01722, Prbd.g_00801	Prai.g_00472
OG0000137	Prbd.g_00767	Prai.g_00505
OG0000138	Prbd.g_00747	Prai.g_00525
OG0000139	Prbd.g_00705	Prai.g_00565
OG0000140	Prbd.g_00704	Prai.g_00566
OG0000141	Prbd.g_00637	Prai.g_00635
OG0000142	Prbd.g_00609	Prai.g_00664
OG0000143	Prbd.g_00605	Prai.g_00668
OG0000144	Prbd.g_00592	Prai.g_00681
OG0000145	Prbd.g_00062	Prai.g_00883
OG0000146	Prbd.g_00067	Prai.g_00881
OG0000147	Prbd.g_00068	Prai.g_00880
OG0000148	Prbd.g_00118	Prai.g_00831
OG0000149	Prbd.g_00149	Prai.g_00800
OG0000150	Prbd.g_00157	Prai.g_00792
OG0000151	Prbd.g_00216	Prai.g_01036
OG0000152	Prbd.g_00264	Prai.g_00989
OG0000153	Prbd.g_00283	Prai.g_00970
OG0000154	Prbd.g_00314	Prai.g_00943
OG0000155	Prbd.g_00488	Prai.g_01191
OG0000156	Prbd.g_01812	Prai.g_01323
OG0000157	Prbd.g_01811	Prai.g_01324
OG0000158	Prbd.g_01736	Prai.g_01392
OG0000159	Prbd.g_01735	Prai.g_01321, Prai.g_01390
OG0000160	Prbd.g_01688	Prai.g_01464
OG0000161	Prbd.g_01682	Prai.g_01470
OG0000162	Prbd.g_01676	Prai.g_01476
OG0000163	Prbd.g_01642	Prai.g_01509
OG0000164	Prbd.g_01501	Prai.g_01662
OG0000165	Prbd.g_01494	Prai.g_01669
OG0000166	Prbd.g_01427	Prai.g_01740
OG0000167	Prbd.g_01361	Prai.g_01812
OG0000168	Prbd.g_01351	Prai.g_01822
OG0000169	Prbd.g_01341	Prai.g_01832
OG0000170	Prbd.g_01339	Prai.g_01834
OG0000171	Prbd.g_01319	Prai.g_01853
OG0000172	Prbd.g_01310	Prai.g_01863
OG0000173	Prbd.g_01295	Prai.g_01878
OG0000174	Prbd.g_01268	Prai.g_01905
OG0000175	Prbd.g_01258	Prai.g_01915
OG0000176	Prbd.g_01233	Prai.g_00004
OG0000177	Prbd.g_01232	Prai.g_00005
OG0000178	Prbd.g_01231	Prai.g_00006
OG0000179	Prbd.g_01221	Prai.g_00016
OG0000180	Prbd.g_01220	Prai.g_00017
OG0000181	Prbd.g_01219	Prai.g_00018
OG0000182	Prbd.g_01218	Prai.g_00019
OG0000183	Prbd.g_01214	Prai.g_00023
OG0000184	Prbd.g_01191	Prai.g_00053
OG0000185	Prbd.g_01188	Prai.g_00056
OG0000186	Prbd.g_01180	Prai.g_00064
OG0000187	Prbd.g_01179	Prai.g_00065
OG0000188	Prbd.g_01162	Prai.g_00082
OG0000189	Prbd.g_01148	Prai.g_00096
OG0000190	Prbd.g_01147	Prai.g_00097
OG0000191	Prbd.g_01126	Prai.g_00117
OG0000192	Prbd.g_01122	Prai.g_00121
OG0000193	Prbd.g_01094	Prai.g_00157
OG0000194	Prbd.g_01091	Prai.g_00160
OG0000195	Prbd.g_01089	Prai.g_00162
OG0000196	Prbd.g_01079	Prai.g_00172
OG0000197	Prbd.g_01078	Prai.g_00173
OG0000198	Prbd.g_01077	Prai.g_00174
OG0000199	Prbd.g_01070	Prai.g_00181
OG0000200	Prbd.g_01056	Prai.g_00195
OG0000201	Prbd.g_01048	Prai.g_00203
OG0000202	Prbd.g_01047	Prai.g_00204
OG0000203	Prbd.g_01046	Prai.g_00205
OG0000204	Prbd.g_01045	Prai.g_00206
OG0000205	Prbd.g_01038	Prai.g_00213
OG0000206	Prbd.g_01033	Prai.g_00218
OG0000207	Prbd.g_01031	Prai.g_00220
OG0000208	Prbd.g_01030	Prai.g_00221
OG0000209	Prbd.g_01021	Prai.g_00230
OG0000210	Prbd.g_01020	Prai.g_00231
OG0000211	Prbd.g_01006	Prai.g_00244
OG0000212	Prbd.g_00999	Prai.g_00251
OG0000213	Prbd.g_00982	Prai.g_00270
OG0000214	Prbd.g_00972	Prai.g_00280
OG0000215	Prbd.g_00947	Prai.g_00305
OG0000216	Prbd.g_00945	Prai.g_00307
OG0000217	Prbd.g_00942	Prai.g_00310
OG0000218	Prbd.g_00940	Prai.g_00312
OG0000219	Prbd.g_00939	Prai.g_00313
OG0000220	Prbd.g_00938	Prai.g_00314
OG0000221	Prbd.g_00937	Prai.g_00315
OG0000222	Prbd.g_00929	Prai.g_00323
OG0000223	Prbd.g_00916	Prai.g_00336
OG0000224	Prbd.g_00914	Prai.g_00338
OG0000225	Prbd.g_00893	Prai.g_00358
OG0000226	Prbd.g_00889	Prai.g_00362
OG0000227	Prbd.g_00887	Prai.g_00364
OG0000228	Prbd.g_00884	Prai.g_00367
OG0000229	Prbd.g_00806	Prai.g_00467
OG0000230	Prbd.g_00804	Prai.g_00469
OG0000231	Prbd.g_00793	Prai.g_00480
OG0000232	Prbd.g_00784	Prai.g_00489
OG0000233	Prbd.g_00779	Prai.g_00494
OG0000234	Prbd.g_00766	Prai.g_00506
OG0000235	Prbd.g_00763	Prai.g_00509
OG0000236	Prbd.g_00749	Prai.g_00523
OG0000237	Prbd.g_00736	Prai.g_00536
OG0000238	Prbd.g_00730	Prai.g_00542
OG0000239	Prbd.g_00717	Prai.g_00553
OG0000240	Prbd.g_00716	Prai.g_00554
OG0000241	Prbd.g_00712	Prai.g_00558
OG0000242	Prbd.g_00710	Prai.g_00560
OG0000243	Prbd.g_00699	Prai.g_00571
OG0000244	Prbd.g_00696	Prai.g_00574
OG0000245	Prbd.g_00694	Prai.g_00576
OG0000246	Prbd.g_00690	Prai.g_00580
OG0000247	Prbd.g_00680	Prai.g_00590
OG0000248	Prbd.g_00678	Prai.g_00593
OG0000249	Prbd.g_00676	Prai.g_00595
OG0000250	Prbd.g_00671	Prai.g_00600
OG0000251	Prbd.g_00653	Prai.g_00619
OG0000252	Prbd.g_00650	Prai.g_00622
OG0000253	Prbd.g_00649	Prai.g_00623
