Orthogroup	Syae	Prbn
OG0000001	Syae.g_02061, Syae.g_01416, Syae.g_01417, Syae.g_02055	Prbn.g_01213
OG0000004	Syae.g_00779	Prbn.g_01565
OG0000004	Syae.g_00042, Syae.g_02231	Prbn.g_00318
OG0000005	Syae.g_01143	Prbn.g_00899
OG0000006	Syae.g_00096, Syae.g_02030, Syae.g_02248	Prbn.g_00308
OG0000007	Syae.g_02328	Prbn.g_00617
OG0000007	Syae.g_01163	Prbn.g_01745
OG0000008	Syae.g_00753	Prbn.g_01645
OG0000008	Syae.g_00752	Prbn.g_01646
OG0000009	Syae.g_00561, Syae.g_00171	Prbn.g_00887
OG0000010	Syae.g_02529	Prbn.g_01939, Prbn.g_01357
OG0000012	Syae.g_00049	Prbn.g_00492
OG0000013	Syae.g_02160, Syae.g_02169, Syae.g_02155	Prbn.g_00092
OG0000014	Syae.g_01930	Prbn.g_00074
OG0000015	Syae.g_01693, Syae.g_00590	Prbn.g_01684, Prbn.g_01730
OG0000016	Syae.g_00681, Syae.g_00233	Prbn.g_01131
OG0000017	Syae.g_02462	Prbn.g_00517
OG0000017	Syae.g_02469	Prbn.g_00510
OG0000018	Syae.g_02625	Prbn.g_01167
OG0000019	Syae.g_02015	Prbn.g_00015, Prbn.g_01165
OG0000021	Syae.g_00481	Prbn.g_00874, Prbn.g_01560
OG0000023	Syae.g_00439, Syae.g_00930	Prbn.g_01030
OG0000025	Syae.g_00833	Prbn.g_01510
OG0000026	Syae.g_01748	Prbn.g_00750
OG0000027	Syae.g_00103, Syae.g_00814	Prbn.g_00139, Prbn.g_01664
OG0000028	Syae.g_01916	Prbn.g_01644
OG0000029	Syae.g_00136	Prbn.g_00126, Prbn.g_01676, Prbn.g_01836
OG0000030	Syae.g_01817, Syae.g_01816	Prbn.g_00985
OG0000031	Syae.g_01911	Prbn.g_00171
OG0000032	Syae.g_02607	Prbn.g_00251
OG0000033	Syae.g_01453	Prbn.g_00178
OG0000034	Syae.g_00975, Syae.g_01424	Prbn.g_01073
OG0000035	Syae.g_02653	Prbn.g_00212
OG0000037	Syae.g_01367	Prbn.g_01310
OG0000038	Syae.g_01571	Prbn.g_00946
OG0000039	Syae.g_00822, Syae.g_02495	Prbn.g_01577
OG0000041	Syae.g_01042, Syae.g_00802	Prbn.g_01793
OG0000042	Syae.g_01821	Prbn.g_00988
OG0000043	Syae.g_00117	Prbn.g_01168
OG0000046	Syae.g_02161, Syae.g_02168, Syae.g_02154	Prbn.g_00093
OG0000047	Syae.g_02184	Prbn.g_00690
OG0000048	Syae.g_01982	Prbn.g_01097
OG0000050	Syae.g_00122	Prbn.g_01937
OG0000052	Syae.g_01886	Prbn.g_00724
OG0000053	Syae.g_02629	Prbn.g_00233, Prbn.g_01690
OG0000054	Syae.g_00014, Syae.g_00221	Prbn.g_00508
OG0000057	Syae.g_00782	Prbn.g_01562
OG0000058	Syae.g_01905, Syae.g_01227	Prbn.g_00172
OG0000059	Syae.g_02074	Prbn.g_01833
OG0000061	Syae.g_00921	Prbn.g_01189
OG0000062	Syae.g_01145	Prbn.g_00897
OG0000063	Syae.g_01752	Prbn.g_00130
OG0000064	Syae.g_01137, Syae.g_00012, Syae.g_01631, Syae.g_00194	Prbn.g_00710
OG0000065	Syae.g_01363, Syae.g_00722	Prbn.g_01312
OG0000066	Syae.g_02386	Prbn.g_00577, Prbn.g_01657
OG0000067	Syae.g_00521	Prbn.g_01546
OG0000068	Syae.g_02299	Prbn.g_01240
OG0000069	Syae.g_00458	Prbn.g_00659
OG0000070	Syae.g_00979	Prbn.g_00663
OG0000071	Syae.g_00961	Prbn.g_01084
OG0000072	Syae.g_01455	Prbn.g_00383
OG0000073	Syae.g_02330	Prbn.g_00614
OG0000074	Syae.g_00719	Prbn.g_01038
OG0000075	Syae.g_01871	Prbn.g_01917
OG0000076	Syae.g_01829	Prbn.g_00996
OG0000077	Syae.g_01297	Prbn.g_01342
OG0000078	Syae.g_02243	Prbn.g_00310
OG0000079	Syae.g_02011	Prbn.g_00018
OG0000081	Syae.g_02261	Prbn.g_00585
OG0000082	Syae.g_02447	Prbn.g_00530, Prbn.g_01734
OG0000084	Syae.g_00857, Syae.g_02656	Prbn.g_00209
OG0000085	Syae.g_01152	Prbn.g_00144, Prbn.g_01737
OG0000086	Syae.g_01333	Prbn.g_01333
OG0000087	Syae.g_01414	Prbn.g_01278
OG0000088	Syae.g_01449	Prbn.g_01247
OG0000089	Syae.g_02219	Prbn.g_00696
OG0000090	Syae.g_02374	Prbn.g_00583
OG0000091	Syae.g_00082	Prbn.g_00434
OG0000093	Syae.g_00537	Prbn.g_00846
OG0000094	Syae.g_00430	Prbn.g_01369
OG0000095	Syae.g_00793, Syae.g_00259	Prbn.g_01471
OG0000097	Syae.g_00683	Prbn.g_00408
OG0000098	Syae.g_02384, Syae.g_02058	Prbn.g_01216
OG0000099	Syae.g_01913, Syae.g_01226	Prbn.g_00173
OG0000100	Syae.g_00489	Prbn.g_00903
OG0000101	Syae.g_02125	Prbn.g_01881
OG0000102	Syae.g_01824	Prbn.g_00991
OG0000103	Syae.g_01694	Prbn.g_00907
OG0000104	Syae.g_01708	Prbn.g_00296
OG0000105	Syae.g_01977	Prbn.g_00041
OG0000106	Syae.g_00272	Prbn.g_00829
OG0000107	Syae.g_02032	Prbn.g_01810
OG0000108	Syae.g_02309	Prbn.g_00634
OG0000109	Syae.g_02324	Prbn.g_00620
OG0000110	Syae.g_02435	Prbn.g_00541
OG0000111	Syae.g_00783	Prbn.g_01561
OG0000112	Syae.g_00351	Prbn.g_00468
OG0000113	Syae.g_00494	Prbn.g_01523
OG0000114	Syae.g_00575	Prbn.g_01621
OG0000115	Syae.g_02631	Prbn.g_01120
OG0000116	Syae.g_00939	Prbn.g_01178
OG0000117	Syae.g_00647	Prbn.g_00389
OG0000118	Syae.g_02479	Prbn.g_01071
OG0000119	Syae.g_00904	Prbn.g_01135, Prbn.g_00885
OG0000120	Syae.g_01912	Prbn.g_00170
OG0000121	Syae.g_02649	Prbn.g_00214
OG0000122	Syae.g_00112	Prbn.g_01113, Prbn.g_00255
OG0000123	Syae.g_02131	Prbn.g_01888
OG0000124	Syae.g_01809	Prbn.g_00979
OG0000125	Syae.g_01573	Prbn.g_00944
OG0000126	Syae.g_01706	Prbn.g_00295
OG0000128	Syae.g_01724	Prbn.g_00002, Prbn.g_00003
OG0000129	Syae.g_01562	Prbn.g_00737
OG0000130	Syae.g_01284	Prbn.g_00708
OG0000131	Syae.g_01428	Prbn.g_01269
OG0000132	Syae.g_01447	Prbn.g_01249
OG0000133	Syae.g_00356	Prbn.g_00088
OG0000134	Syae.g_02222	Prbn.g_00694
OG0000135	Syae.g_01608	Prbn.g_01102
OG0000136	Syae.g_00989	Prbn.g_00672
OG0000137	Syae.g_02530	Prbn.g_00639
OG0000138	Syae.g_02325	Prbn.g_00619
OG0000139	Syae.g_02380	Prbn.g_00579
OG0000140	Syae.g_02383	Prbn.g_00578
OG0000141	Syae.g_00016	Prbn.g_00507
OG0000142	Syae.g_00074	Prbn.g_00426
OG0000143	Syae.g_00078	Prbn.g_00430
OG0000144	Syae.g_00261	Prbn.g_00444
OG0000145	Syae.g_02331	Prbn.g_01100
OG0000146	Syae.g_00350	Prbn.g_00469
OG0000147	Syae.g_00349	Prbn.g_00470
OG0000148	Syae.g_00500	Prbn.g_01529
OG0000149	Syae.g_00847	Prbn.g_01497
OG0000150	Syae.g_00017	Prbn.g_01487
OG0000151	Syae.g_00563	Prbn.g_01611
OG0000152	Syae.g_00360	Prbn.g_01418
OG0000153	Syae.g_00394	Prbn.g_01399
OG0000154	Syae.g_00420	Prbn.g_01379
OG0000155	Syae.g_00885	Prbn.g_01210
OG0000156	Syae.g_00945	Prbn.g_01095
OG0000157	Syae.g_00946	Prbn.g_01094
OG0000158	Syae.g_01858	Prbn.g_01014
OG0000160	Syae.g_02650	Prbn.g_00213
OG0000161	Syae.g_02644	Prbn.g_00219
OG0000162	Syae.g_02638	Prbn.g_00225
OG0000163	Syae.g_01092	Prbn.g_00264
OG0000164	Syae.g_01198	Prbn.g_01770
OG0000165	Syae.g_01021	Prbn.g_01777
OG0000166	Syae.g_02085	Prbn.g_01844
OG0000167	Syae.g_01874	Prbn.g_01915
OG0000168	Syae.g_01856	Prbn.g_01013
OG0000169	Syae.g_01841	Prbn.g_01003
OG0000170	Syae.g_01834	Prbn.g_01000
OG0000171	Syae.g_01810	Prbn.g_00980
OG0000172	Syae.g_01788	Prbn.g_00973
OG0000173	Syae.g_01770	Prbn.g_00958
OG0000174	Syae.g_01610	Prbn.g_00929
OG0000175	Syae.g_01679	Prbn.g_00916
OG0000176	Syae.g_01716	Prbn.g_00010
OG0000177	Syae.g_01717	Prbn.g_00009
OG0000178	Syae.g_01718	Prbn.g_00008
OG0000179	Syae.g_01733	Prbn.g_00766
OG0000180	Syae.g_01734	Prbn.g_00765
OG0000181	Syae.g_01735	Prbn.g_00764
OG0000182	Syae.g_01736	Prbn.g_00763
OG0000183	Syae.g_01740	Prbn.g_00759
OG0000184	Syae.g_01554	Prbn.g_00733
OG0000185	Syae.g_01551	Prbn.g_00730
OG0000186	Syae.g_01279	Prbn.g_00714
OG0000187	Syae.g_01280	Prbn.g_00713
OG0000188	Syae.g_01323	Prbn.g_01339
OG0000189	Syae.g_01350	Prbn.g_01325
OG0000190	Syae.g_01352	Prbn.g_01323
OG0000191	Syae.g_01384	Prbn.g_01300
OG0000192	Syae.g_01390	Prbn.g_01295
OG0000193	Syae.g_01429	Prbn.g_01268
OG0000194	Syae.g_01432	Prbn.g_01265
OG0000195	Syae.g_01434	Prbn.g_01263
OG0000196	Syae.g_01444	Prbn.g_01252
OG0000197	Syae.g_01445	Prbn.g_01251
OG0000198	Syae.g_01446	Prbn.g_01250
OG0000199	Syae.g_01454	Prbn.g_01243, Prbn.g_00384
OG0000200	Syae.g_01471	Prbn.g_00370
OG0000201	Syae.g_01487	Prbn.g_00361
OG0000202	Syae.g_01488	Prbn.g_00360
OG0000203	Syae.g_01489	Prbn.g_00359
OG0000204	Syae.g_01490	Prbn.g_00358
OG0000205	Syae.g_01497	Prbn.g_00351
OG0000206	Syae.g_01504	Prbn.g_00346
OG0000207	Syae.g_01506	Prbn.g_00343
OG0000208	Syae.g_01507	Prbn.g_00342
OG0000209	Syae.g_01528	Prbn.g_00333
OG0000210	Syae.g_01529	Prbn.g_00332
OG0000211	Syae.g_02234	Prbn.g_00317
OG0000212	Syae.g_02244	Prbn.g_00309
OG0000213	Syae.g_02003	Prbn.g_00024
OG0000214	Syae.g_01986	Prbn.g_00034
OG0000215	Syae.g_01955	Prbn.g_00061
OG0000216	Syae.g_01951	Prbn.g_00062
OG0000217	Syae.g_01947	Prbn.g_00065
OG0000218	Syae.g_01945	Prbn.g_00067
OG0000219	Syae.g_01944	Prbn.g_00068
OG0000220	Syae.g_01943	Prbn.g_00069
OG0000221	Syae.g_01937	Prbn.g_00070
OG0000222	Syae.g_01926	Prbn.g_00077
OG0000223	Syae.g_01904	Prbn.g_00089
OG0000224	Syae.g_01897	Prbn.g_00091
OG0000225	Syae.g_02208	Prbn.g_00117
OG0000226	Syae.g_02212	Prbn.g_00121
OG0000227	Syae.g_02214	Prbn.g_00123
OG0000228	Syae.g_02218	Prbn.g_00697
OG0000229	Syae.g_00994	Prbn.g_00677
OG0000230	Syae.g_00992	Prbn.g_00675
OG0000231	Syae.g_00980	Prbn.g_00664
OG0000232	Syae.g_02496	Prbn.g_00653
OG0000233	Syae.g_02504	Prbn.g_00647
OG0000234	Syae.g_02532	Prbn.g_00638
OG0000235	Syae.g_02308	Prbn.g_00635
OG0000236	Syae.g_02323	Prbn.g_00621
OG0000237	Syae.g_02340	Prbn.g_00608
OG0000238	Syae.g_02345	Prbn.g_00602
OG0000239	Syae.g_02360	Prbn.g_00591
OG0000240	Syae.g_02361	Prbn.g_00590
OG0000241	Syae.g_00065	Prbn.g_00586
OG0000242	Syae.g_02372	Prbn.g_00584
OG0000243	Syae.g_02391	Prbn.g_00573
OG0000244	Syae.g_02399	Prbn.g_00570
OG0000245	Syae.g_02401	Prbn.g_00568
OG0000246	Syae.g_02405	Prbn.g_00564
OG0000247	Syae.g_02416	Prbn.g_00554
OG0000248	Syae.g_02419	Prbn.g_00551
OG0000249	Syae.g_02421	Prbn.g_00549
OG0000250	Syae.g_02431	Prbn.g_00544
OG0000251	Syae.g_02455	Prbn.g_00524
OG0000252	Syae.g_02458	Prbn.g_00521
OG0000253	Syae.g_02459	Prbn.g_00520
OG0000254	Syae.g_00021	Prbn.g_00503
OG0000255	Syae.g_00041	Prbn.g_00497
OG0000256	Syae.g_00058	Prbn.g_00487
OG0000257	Syae.g_00064	Prbn.g_00421
OG0000258	Syae.g_00083	Prbn.g_00435
OG0000259	Syae.g_00608	Prbn.g_00835
OG0000260	Syae.g_00603	Prbn.g_00838
OG0000261	Syae.g_00600	Prbn.g_00841
OG0000262	Syae.g_00595	Prbn.g_00845
OG0000263	Syae.g_00671	Prbn.g_01583
OG0000264	Syae.g_00761	Prbn.g_01572
OG0000265	Syae.g_00932, Syae.g_00226	Prbn.g_01554
OG0000266	Syae.g_00457	Prbn.g_00864
OG0000267	Syae.g_00304	Prbn.g_01350
OG0000268	Syae.g_00308	Prbn.g_01351
OG0000269	Syae.g_00526	Prbn.g_01551
OG0000270	Syae.g_00523	Prbn.g_01548
OG0000271	Syae.g_00515	Prbn.g_01540
OG0000272	Syae.g_00514	Prbn.g_01539
OG0000273	Syae.g_00825	Prbn.g_01515
OG0000274	Syae.g_00826	Prbn.g_01514
OG0000275	Syae.g_00832	Prbn.g_01511
OG0000276	Syae.g_00839	Prbn.g_01505
OG0000277	Syae.g_00840	Prbn.g_01504
OG0000278	Syae.g_00843	Prbn.g_01501
OG0000279	Syae.g_00851	Prbn.g_01494
OG0000280	Syae.g_00877	Prbn.g_01493
OG0000281	Syae.g_02057	Prbn.g_01486
OG0000282	Syae.g_00573	Prbn.g_01619
OG0000283	Syae.g_00321	Prbn.g_01442
OG0000284	Syae.g_00327	Prbn.g_01437
OG0000285	Syae.g_00340	Prbn.g_01432
OG0000286	Syae.g_00359	Prbn.g_01419
OG0000287	Syae.g_00387	Prbn.g_01123
OG0000288	Syae.g_00419	Prbn.g_01380
OG0000289	Syae.g_00433	Prbn.g_01364
OG0000290	Syae.g_00796	Prbn.g_01468
OG0000291	Syae.g_00794	Prbn.g_01470
OG0000292	Syae.g_01705	Prbn.g_01144
OG0000293	Syae.g_00938	Prbn.g_01179
OG0000294	Syae.g_00937	Prbn.g_01180
OG0000295	Syae.g_00893	Prbn.g_01203
OG0000296	Syae.g_00891	Prbn.g_01205
OG0000297	Syae.g_00645	Prbn.g_00387
OG0000298	Syae.g_00646	Prbn.g_00388
OG0000299	Syae.g_00680	Prbn.g_00407
OG0000300	Syae.g_00686	Prbn.g_00410
OG0000301	Syae.g_00687	Prbn.g_00411
OG0000302	Syae.g_00691	Prbn.g_00413
OG0000303	Syae.g_00700	Prbn.g_00419
OG0000304	Syae.g_00706	Prbn.g_00482
OG0000305	Syae.g_00791	Prbn.g_01146
OG0000306	Syae.g_00277	Prbn.g_01482
OG0000307	Syae.g_02290	Prbn.g_00159
OG0000308	Syae.g_02288	Prbn.g_00160
OG0000309	Syae.g_02283	Prbn.g_00164
OG0000310	Syae.g_02687	Prbn.g_00198
OG0000311	Syae.g_02682	Prbn.g_00200
OG0000312	Syae.g_02664	Prbn.g_00203
OG0000313	Syae.g_02647	Prbn.g_00216
OG0000314	Syae.g_02618	Prbn.g_00239
OG0000315	Syae.g_02609	Prbn.g_00249
OG0000316	Syae.g_01118	Prbn.g_00274
OG0000317	Syae.g_01160	Prbn.g_01742
OG0000318	Syae.g_01164	Prbn.g_01746
OG0000319	Syae.g_01181	Prbn.g_01759
OG0000320	Syae.g_01183	Prbn.g_01761
OG0000321	Syae.g_01184	Prbn.g_01762
OG0000322	Syae.g_01185	Prbn.g_01763
OG0000323	Syae.g_01200	Prbn.g_01773
OG0000324	Syae.g_01049	Prbn.g_01800
OG0000325	Syae.g_02033	Prbn.g_01811
OG0000326	Syae.g_02040	Prbn.g_01818
OG0000327	Syae.g_02080	Prbn.g_01839
OG0000328	Syae.g_02081	Prbn.g_01840
OG0000329	Syae.g_02099	Prbn.g_01857
OG0000330	Syae.g_02100	Prbn.g_01858
OG0000331	Syae.g_02101	Prbn.g_01859
OG0000332	Syae.g_02116	Prbn.g_01873
OG0000333	Syae.g_02119	Prbn.g_01875
OG0000334	Syae.g_02128	Prbn.g_01884
OG0000335	Syae.g_02132	Prbn.g_01889
OG0000336	Syae.g_02136	Prbn.g_01893
OG0000337	Syae.g_01879	Prbn.g_01911
OG0000338	Syae.g_01876	Prbn.g_01912
OG0000339	Syae.g_01869	Prbn.g_01918
OG0000340	Syae.g_01855	Prbn.g_01012
OG0000341	Syae.g_01853	Prbn.g_01010
OG0000342	Syae.g_01852	Prbn.g_01009
OG0000343	Syae.g_01848	Prbn.g_01008
OG0000344	Syae.g_01843	Prbn.g_01005
OG0000345	Syae.g_01833	Prbn.g_00999
OG0000346	Syae.g_01828	Prbn.g_00995
OG0000347	Syae.g_01805	Prbn.g_00978
OG0000348	Syae.g_01781	Prbn.g_00970
OG0000349	Syae.g_01763	Prbn.g_00953
OG0000350	Syae.g_02047	Prbn.g_00798
OG0000351	Syae.g_01684	Prbn.g_00913
OG0000352	Syae.g_01685	Prbn.g_00912
OG0000353	Syae.g_01711	Prbn.g_00299
OG0000355	Syae.g_01713	Prbn.g_00301
OG0000356	Syae.g_01714	Prbn.g_00302
OG0000357	Syae.g_01715	Prbn.g_00011
