Orthogroup	Species	Praj	Orthologs
OG0000000	Pray	Praj.g_00832	Pray.g_01836
OG0000000	Prbd	Praj.g_00832	Prbd.g_01771
OG0000000	Prau	Praj.g_00832	Prau.g_01402
OG0000000	Pras	Praj.g_00832	Pras.g_00243
OG0000000	Prbi	Praj.g_00832	Prbi.g_01432
OG0000000	Praz	Praj.g_00832	Praz.g_01146
OG0000000	Prba	Praj.g_00832	Prba.g_00203
OG0000000	Prao	Praj.g_00832	Prao.g_01246
OG0000000	Prae	Praj.g_00832	Prae.g_01361
OG0000000	Praa	Praj.g_00832	Praa.g_01359
OG0000000	Prax	Praj.g_00832	Prax.g_01870
OG0000000	Prad	Praj.g_00832	Prad.g_00601
OG0000000	Prai	Praj.g_00832	Prai.g_01363
OG0000000	Prar	Praj.g_00832	Prar.g_00918
OG0000000	Praq	Praj.g_00832	Praq.g_00168
OG0000000	Prac	Praj.g_00832	Prac.g_00210
OG0000000	Praw	Praj.g_00832	Praw.g_01009
OG0000000	Prag	Praj.g_00832	Prag.g_01382
OG0000000	Prav	Praj.g_00832	Prav.g_01466
OG0000000	Praf	Praj.g_00832	Praf.g_01631
OG0000000	Prah	Praj.g_00832	Prah.g_00562
OG0000000	Prbl	Praj.g_00832	Prbl.g_01582
OG0000000	Prbj	Praj.g_00832	Prbj.g_02517
OG0000000	Prbk	Praj.g_00832	Prbk.g_02574
OG0000000	Prbf	Praj.g_00832	Prbf.g_01182
OG0000000	Prbg	Praj.g_00832	Prbg.g_01222
OG0000000	Prbe	Praj.g_00832	Prbe.g_01285
OG0000000	Prap	Praj.g_00832	Prap.g_00720
OG0000000	Prak	Praj.g_00832	Prak.g_00908
OG0000000	Prbn	Praj.g_00832	Prbn.g_01483
OG0000000	Pram	Praj.g_00832	Pram.g_00873
OG0000000	Prbh	Praj.g_00832	Prbh.g_01016
OG0000000	Pral	Praj.g_00832	Pral.g_01549
OG0000000	Prat	Praj.g_00832	Prat.g_00977
OG0000000	Prbm	Praj.g_00832	Prbm.g_00874
OG0000000	Prbb	Praj.g_00832	Prbb.g_00844
OG0000000	Prbc	Praj.g_00832	Prbc.g_01920
OG0000000	Prbl	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487	Prbl.g_01092
OG0000000	Prbk	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487	Prbk.g_01649
OG0000000	Prbj	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487	Prbj.g_00030
OG0000000	Praf	Praj.g_00670, Praj.g_01492, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487	Praf.g_00948
