Orthogroup	Prah	Prbi
OG0000000	Prah.g_01348	Prbi.g_01709
OG0000000	Prah.g_01152, Prah.g_01154, Prah.g_01346	Prbi.g_01268, Prbi.g_01708, Prbi.g_01370
OG0000001	Prah.g_00562	Prbi.g_01432
OG0000001	Prah.g_01226	Prbi.g_00681
OG0000002	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896	Prbi.g_01424
OG0000004	Prah.g_01347	Prbi.g_01371, Prbi.g_01710
OG0000005	Prah.g_01175, Prah.g_00215	Prbi.g_00782
OG0000008	Prah.g_01546	Prbi.g_00500
OG0000008	Prah.g_01676	Prbi.g_01787
OG0000009	Prah.g_01082, Prah.g_00543, Prah.g_00346, Prah.g_00341, Prah.g_00342	Prbi.g_01745
OG0000010	Prah.g_02086	Prbi.g_00827, Prbi.g_00273
OG0000011	Prah.g_01972	Prbi.g_00399, Prbi.g_00796
OG0000013	Prah.g_00432, Prah.g_01895	Prbi.g_01701, Prbi.g_00112
OG0000015	Prah.g_00353	Prbi.g_00354
OG0000016	Prah.g_01155, Prah.g_00576	Prbi.g_00810, Prbi.g_01304
OG0000018	Prah.g_01405, Prah.g_01397	Prbi.g_00600
OG0000020	Prah.g_01007, Prah.g_01048	Prbi.g_01435
OG0000022	Prah.g_01767, Prah.g_00475	Prbi.g_00265
OG0000023	Prah.g_01410	Prbi.g_01742, Prbi.g_00389
OG0000024	Prah.g_00998	Prbi.g_01360
OG0000025	Prah.g_01043	Prbi.g_00788
OG0000027	Prah.g_00969	Prbi.g_00675, Prbi.g_01539, Prbi.g_01764, Prbi.g_01540, Prbi.g_01765
OG0000028	Prah.g_00970	Prbi.g_01536
OG0000029	Prah.g_00942	Prbi.g_00828
OG0000031	Prah.g_01256, Prah.g_00135, Prah.g_02545	Prbi.g_02001
OG0000032	Prah.g_00042	Prbi.g_00033
OG0000034	Prah.g_00408	Prbi.g_01589, Prbi.g_01591
OG0000037	Prah.g_01166	Prbi.g_01364, Prbi.g_01281
OG0000038	Prah.g_00091	Prbi.g_01467
OG0000039	Prah.g_00015	Prbi.g_00013
OG0000040	Prah.g_01084	Prbi.g_01361, Prbi.g_00426
OG0000041	Prah.g_00524	Prbi.g_00625
OG0000045	Prah.g_01427	Prbi.g_00587
OG0000046	Prah.g_01209, Prah.g_00170	Prbi.g_00805
OG0000047	Prah.g_01322	Prbi.g_01207
OG0000049	Prah.g_02195	Prbi.g_01461
OG0000050	Prah.g_00957, Prah.g_02304	Prbi.g_00190
OG0000051	Prah.g_00688	Prbi.g_00384
OG0000053	Prah.g_00958, Prah.g_00887	Prbi.g_00745
OG0000054	Prah.g_01666	Prbi.g_01780
OG0000055	Prah.g_00150	Prbi.g_01994
OG0000056	Prah.g_00038	Prbi.g_00031
OG0000057	Prah.g_02295	Prbi.g_00181
OG0000058	Prah.g_01660	Prbi.g_00394
OG0000059	Prah.g_01485	Prbi.g_00542
OG0000061	Prah.g_01812	Prbi.g_00799
OG0000062	Prah.g_00641	Prbi.g_00869
OG0000063	Prah.g_02425	Prbi.g_01163
OG0000065	Prah.g_01778	Prbi.g_01748
OG0000066	Prah.g_00312	Prbi.g_00478
OG0000067	Prah.g_01027	Prbi.g_00702
OG0000070	Prah.g_00915	Prbi.g_01086
OG0000071	Prah.g_01257	Prbi.g_01330
OG0000072	Prah.g_01364	Prbi.g_01391
OG0000074	Prah.g_02192	Prbi.g_01460
OG0000075	Prah.g_01995	Prbi.g_01938
OG0000076	Prah.g_02196	Prbi.g_01497
OG0000077	Prah.g_00013	Prbi.g_00011
OG0000078	Prah.g_02187	Prbi.g_00346
OG0000079	Prah.g_02538	Prbi.g_00407
OG0000080	Prah.g_00445	Prbi.g_00672
OG0000081	Prah.g_00974	Prbi.g_00694
OG0000082	Prah.g_00660	Prbi.g_00854
OG0000083	Prah.g_01190	Prbi.g_00918
OG0000084	Prah.g_00796	Prbi.g_01009
OG0000085	Prah.g_02597	Prbi.g_01136
OG0000086	Prah.g_02524	Prbi.g_01174
OG0000090	Prah.g_02191	Prbi.g_01462
OG0000091	Prah.g_00398	Prbi.g_01599
OG0000092	Prah.g_01609	Prbi.g_01725
OG0000093	Prah.g_02043	Prbi.g_01873
OG0000094	Prah.g_01999, Prah.g_01797	Prbi.g_01935
OG0000095	Prah.g_02230	Prbi.g_01968
OG0000096	Prah.g_00052	Prbi.g_02051
OG0000098	Prah.g_00004	Prbi.g_00003
OG0000099	Prah.g_00029	Prbi.g_00023
OG0000101	Prah.g_02458	Prbi.g_00060
OG0000102	Prah.g_00194	Prbi.g_00120
OG0000103	Prah.g_00176, Prah.g_00180	Prbi.g_00129
OG0000104	Prah.g_02268	Prbi.g_00147
OG0000105	Prah.g_02308	Prbi.g_00194
OG0000106	Prah.g_02324	Prbi.g_00208
OG0000107	Prah.g_02352	Prbi.g_00216, Prbi.g_01521
OG0000108	Prah.g_02362	Prbi.g_00226
OG0000109	Prah.g_01773	Prbi.g_00263
OG0000110	Prah.g_02089	Prbi.g_00275
OG0000111	Prah.g_02126	Prbi.g_00298
OG0000113	Prah.g_02155	Prbi.g_00321
OG0000114	Prah.g_02207	Prbi.g_00349
OG0000115	Prah.g_00311	Prbi.g_00477
OG0000116	Prah.g_00313, Prah.g_00314	Prbi.g_00479
OG0000117	Prah.g_01566	Prbi.g_00483
OG0000118	Prah.g_01544	Prbi.g_00502
OG0000119	Prah.g_00108, Prah.g_01503	Prbi.g_00535
OG0000120	Prah.g_01501	Prbi.g_00536
OG0000121	Prah.g_01476	Prbi.g_00546
OG0000122	Prah.g_01465	Prbi.g_00555
OG0000123	Prah.g_01428	Prbi.g_00586
OG0000124	Prah.g_00474	Prbi.g_00654
OG0000125	Prah.g_00473	Prbi.g_00655
OG0000126	Prah.g_00472	Prbi.g_00656
OG0000127	Prah.g_01758	Prbi.g_00689
OG0000128	Prah.g_00885	Prbi.g_00747
OG0000129	Prah.g_00752	Prbi.g_00767
OG0000130	Prah.g_01231, Prah.g_01233	Prbi.g_00832
OG0000131	Prah.g_01823, Prah.g_00669	Prbi.g_00845
OG0000132	Prah.g_00605	Prbi.g_00881
OG0000133	Prah.g_00699	Prbi.g_00968
OG0000134	Prah.g_00692	Prbi.g_00977
OG0000135	Prah.g_00805	Prbi.g_01013
OG0000136	Prah.g_00912	Prbi.g_01083
OG0000137	Prah.g_02526	Prbi.g_01177
OG0000139	Prah.g_01315	Prbi.g_01213
OG0000140	Prah.g_01237, Prah.g_01238	Prbi.g_01264
OG0000141	Prah.g_00905	Prbi.g_01277
OG0000142	Prah.g_01378	Prbi.g_01403
OG0000143	Prah.g_01576	Prbi.g_01439
OG0000144	Prah.g_00424	Prbi.g_01576
OG0000145	Prah.g_00407	Prbi.g_01592
OG0000146	Prah.g_00361	Prbi.g_01627
OG0000147	Prah.g_01653	Prbi.g_01667
OG0000148	Prah.g_01654	Prbi.g_01668, Prbi.g_01482
OG0000149	Prah.g_01672	Prbi.g_01785
OG0000150	Prah.g_01725	Prbi.g_01823
OG0000151	Prah.g_01728	Prbi.g_01826
OG0000152	Prah.g_01762	Prbi.g_01845
OG0000153	Prah.g_02038	Prbi.g_01897
OG0000154	Prah.g_02001	Prbi.g_01933
OG0000155	Prah.g_01981	Prbi.g_01951
OG0000156	Prah.g_02244	Prbi.g_01979
OG0000157	Prah.g_00089	Prbi.g_02011
OG0000158	Prah.g_02578	Prbi.g_02086
OG0000160	Prah.g_00002	Prbi.g_00001
OG0000161	Prah.g_00003	Prbi.g_00002
OG0000162	Prah.g_00005	Prbi.g_00004
OG0000163	Prah.g_00006	Prbi.g_00005
OG0000164	Prah.g_00007	Prbi.g_00006
OG0000165	Prah.g_00008	Prbi.g_00007
OG0000166	Prah.g_00010	Prbi.g_00008
OG0000167	Prah.g_00011	Prbi.g_00009
OG0000168	Prah.g_00012	Prbi.g_00010
OG0000169	Prah.g_00014	Prbi.g_00012
OG0000170	Prah.g_00016	Prbi.g_00014
OG0000171	Prah.g_00017	Prbi.g_00015
OG0000172	Prah.g_00022	Prbi.g_00016
OG0000173	Prah.g_00023	Prbi.g_00017
OG0000174	Prah.g_00024	Prbi.g_00018
OG0000175	Prah.g_00025	Prbi.g_00019
OG0000176	Prah.g_00026	Prbi.g_00020
OG0000177	Prah.g_00027	Prbi.g_00021
OG0000178	Prah.g_00028	Prbi.g_00022
OG0000179	Prah.g_00030	Prbi.g_00024
OG0000180	Prah.g_00031	Prbi.g_00025
OG0000181	Prah.g_00032	Prbi.g_00026
OG0000182	Prah.g_00033	Prbi.g_00027
OG0000183	Prah.g_00034	Prbi.g_00028
OG0000184	Prah.g_00036	Prbi.g_00029
OG0000185	Prah.g_00041	Prbi.g_00032
OG0000186	Prah.g_00046	Prbi.g_00035
OG0000187	Prah.g_00047	Prbi.g_00036
OG0000188	Prah.g_00048	Prbi.g_00037
OG0000189	Prah.g_00049	Prbi.g_00049
OG0000190	Prah.g_00051	Prbi.g_00051
OG0000191	Prah.g_02488	Prbi.g_00052
OG0000192	Prah.g_02486	Prbi.g_00053
OG0000193	Prah.g_02485	Prbi.g_00056
OG0000194	Prah.g_02478	Prbi.g_00057
OG0000195	Prah.g_02471	Prbi.g_00058
OG0000196	Prah.g_02466	Prbi.g_00059
OG0000197	Prah.g_02457	Prbi.g_00061
OG0000198	Prah.g_02454	Prbi.g_00062
OG0000199	Prah.g_02453	Prbi.g_00063
OG0000200	Prah.g_01830	Prbi.g_00071
OG0000201	Prah.g_01833	Prbi.g_00072
OG0000202	Prah.g_01834	Prbi.g_00073
OG0000203	Prah.g_01838	Prbi.g_00076
OG0000204	Prah.g_01839	Prbi.g_00077
OG0000205	Prah.g_01843	Prbi.g_00080
OG0000206	Prah.g_01845	Prbi.g_00082
OG0000207	Prah.g_01849	Prbi.g_00084
OG0000208	Prah.g_01850	Prbi.g_00085
OG0000209	Prah.g_01211	Prbi.g_00086
OG0000210	Prah.g_01851	Prbi.g_00087
OG0000211	Prah.g_01859	Prbi.g_00088
OG0000212	Prah.g_01860	Prbi.g_00089
OG0000213	Prah.g_01861	Prbi.g_00090
OG0000214	Prah.g_01862	Prbi.g_00091
OG0000215	Prah.g_01863	Prbi.g_00092
OG0000216	Prah.g_01864	Prbi.g_00093
OG0000217	Prah.g_01866	Prbi.g_00095
OG0000218	Prah.g_01867	Prbi.g_00096
OG0000219	Prah.g_01873	Prbi.g_00097
OG0000220	Prah.g_01877	Prbi.g_00098
OG0000221	Prah.g_01882	Prbi.g_00101
OG0000222	Prah.g_01883	Prbi.g_00102
OG0000223	Prah.g_01884	Prbi.g_00103
OG0000224	Prah.g_01886	Prbi.g_00104
OG0000225	Prah.g_01887	Prbi.g_00105
OG0000226	Prah.g_01888	Prbi.g_00106
OG0000227	Prah.g_01890	Prbi.g_00107
OG0000228	Prah.g_01891	Prbi.g_00108
OG0000229	Prah.g_01892	Prbi.g_00109
OG0000230	Prah.g_01893	Prbi.g_00110
OG0000231	Prah.g_01894	Prbi.g_00111
OG0000232	Prah.g_01896	Prbi.g_00113
OG0000233	Prah.g_01897	Prbi.g_00114
OG0000234	Prah.g_01898	Prbi.g_00115
OG0000235	Prah.g_01901	Prbi.g_00116
OG0000236	Prah.g_01906	Prbi.g_00117
OG0000237	Prah.g_01908	Prbi.g_00118
OG0000238	Prah.g_00195	Prbi.g_00119
OG0000239	Prah.g_00193	Prbi.g_00121
OG0000240	Prah.g_00191	Prbi.g_00123
OG0000241	Prah.g_00189	Prbi.g_00124
OG0000242	Prah.g_00188	Prbi.g_00125
OG0000243	Prah.g_00183	Prbi.g_00128
OG0000244	Prah.g_00175	Prbi.g_00130
OG0000245	Prah.g_00174	Prbi.g_00131
OG0000246	Prah.g_00173	Prbi.g_00132
OG0000247	Prah.g_02252	Prbi.g_00135
OG0000248	Prah.g_02254	Prbi.g_00137
OG0000249	Prah.g_02257	Prbi.g_00138
OG0000250	Prah.g_02259	Prbi.g_00139
OG0000251	Prah.g_02260	Prbi.g_00140
OG0000252	Prah.g_02261	Prbi.g_00141
OG0000253	Prah.g_02262	Prbi.g_00142
OG0000254	Prah.g_02264	Prbi.g_00144
OG0000255	Prah.g_02265	Prbi.g_00145
OG0000256	Prah.g_02269	Prbi.g_00148
OG0000257	Prah.g_02280	Prbi.g_00150
OG0000258	Prah.g_02282	Prbi.g_00169
OG0000259	Prah.g_02283	Prbi.g_00170
OG0000260	Prah.g_02284	Prbi.g_00171
OG0000261	Prah.g_02285	Prbi.g_00172
OG0000262	Prah.g_02286	Prbi.g_00173
OG0000263	Prah.g_02288	Prbi.g_00175
OG0000264	Prah.g_02289	Prbi.g_00176
OG0000265	Prah.g_02290	Prbi.g_00177
OG0000266	Prah.g_02291	Prbi.g_00178
OG0000267	Prah.g_02292	Prbi.g_00179
