Orthogroup	Syap	Syal
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syal.g_00874, Syal.g_01184
OG0000003	Syap.g_00679	Syal.g_00009
OG0000004	Syap.g_01987	Syal.g_00691
OG0000005	Syap.g_01773	Syal.g_00606
OG0000005	Syap.g_01218	Syal.g_00565
OG0000006	Syap.g_02770	Syal.g_02611
OG0000007	Syap.g_00275	Syal.g_02918
OG0000007	Syap.g_00621	Syal.g_00587
OG0000009	Syap.g_02081	Syal.g_00818
OG0000010	Syap.g_02757	Syal.g_00464
OG0000013	Syap.g_00972	Syal.g_00310
OG0000014	Syap.g_01675	Syal.g_01305
OG0000015	Syap.g_02606	Syal.g_02210, Syal.g_01183
OG0000016	Syap.g_00071	Syal.g_00111
OG0000018	Syap.g_02010	Syal.g_00410
OG0000019	Syap.g_01586	Syal.g_01209
OG0000025	Syap.g_01846	Syal.g_02459
OG0000028	Syap.g_01658	Syal.g_01319
OG0000030	Syap.g_00787	Syal.g_01511
OG0000030	Syap.g_00788	Syal.g_01512
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syal.g_01404, Syal.g_01432
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Syal.g_00183
OG0000033	Syap.g_01198	Syal.g_00912
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syal.g_00881, Syal.g_01586
OG0000035	Syap.g_02125, Syap.g_02465	Syal.g_00020
OG0000037	Syap.g_02492	Syal.g_00601
OG0000038	Syap.g_00139	Syal.g_01073
OG0000039	Syap.g_01749, Syap.g_01748	Syal.g_01097
OG0000040	Syap.g_01819	Syal.g_01149
OG0000042	Syap.g_01891, Syap.g_01120	Syal.g_01705, Syal.g_01508
OG0000043	Syap.g_01998	Syal.g_01110
OG0000045	Syap.g_02525	Syal.g_01563
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syal.g_00309
OG0000048	Syap.g_02340	Syal.g_01250
OG0000051	Syap.g_01574	Syal.g_01550, Syal.g_03018
OG0000053	Syap.g_02006	Syal.g_00406
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Syal.g_02739, Syal.g_02098
OG0000057	Syap.g_01569	Syal.g_01812
OG0000058	Syap.g_02074	Syal.g_01326
OG0000059	Syap.g_01082, Syap.g_02478	Syal.g_01332
OG0000059	Syap.g_01918	Syal.g_00225
OG0000060	Syap.g_00795	Syal.g_02214
OG0000061	Syap.g_00228	Syal.g_01653
OG0000062	Syap.g_01365	Syal.g_02113
OG0000062	Syap.g_01220	Syal.g_00567
OG0000063	Syap.g_01796	Syal.g_00136
OG0000066	Syap.g_01972	Syal.g_02828
OG0000068	Syap.g_00108, Syap.g_00144	Syal.g_02888
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syal.g_00509
OG0000071	Syap.g_01483	Syal.g_02099
OG0000073	Syap.g_00273	Syal.g_02920
OG0000075	Syap.g_01064, Syap.g_00664	Syal.g_01350
OG0000076	Syap.g_01111	Syal.g_01459
OG0000077	Syap.g_00416	Syal.g_00506
OG0000078	Syap.g_01149	Syal.g_00680
OG0000079	Syap.g_01589	Syal.g_01213
OG0000080	Syap.g_01707, Syap.g_00630, Syap.g_01035	Syal.g_01394
OG0000085	Syap.g_00611	Syal.g_00575
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syal.g_00871
OG0000088	Syap.g_01202	Syal.g_00908
OG0000089	Syap.g_00115, Syap.g_02042	Syal.g_00555
OG0000090	Syap.g_01451	Syal.g_02838
OG0000091	Syap.g_01861	Syal.g_02628
OG0000094	Syap.g_02781	Syal.g_01907
OG0000095	Syap.g_01556	Syal.g_01823
OG0000099	Syap.g_01385	Syal.g_01323
OG0000102	Syap.g_01116	Syal.g_01488
OG0000103	Syap.g_02607, Syap.g_02608	Syal.g_01897
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syal.g_00092
OG0000105	Syap.g_01369, Syap.g_01368	Syal.g_01255
OG0000107	Syap.g_02496	Syal.g_00194
OG0000108	Syap.g_02256, Syap.g_00733, Syap.g_02255	Syal.g_02897
OG0000109	Syap.g_00279, Syap.g_02237	Syal.g_02913
OG0000110	Syap.g_01313	Syal.g_02782
OG0000111	Syap.g_01566, Syap.g_01568	Syal.g_01813
OG0000112	Syap.g_02023	Syal.g_02000
OG0000113	Syap.g_02714	Syal.g_02443
OG0000114	Syap.g_01255	Syal.g_02286
OG0000115	Syap.g_02004	Syal.g_00404
OG0000116	Syap.g_00241	Syal.g_01630
OG0000117	Syap.g_01889	Syal.g_01704
OG0000118	Syap.g_02286	Syal.g_01583
OG0000120	Syap.g_02075	Syal.g_01324
OG0000121	Syap.g_02471	Syal.g_00374
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syal.g_00283
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syal.g_01519
OG0000125	Syap.g_01046, Syap.g_01047	Syal.g_01075
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syal.g_00090
OG0000127	Syap.g_00737, Syap.g_00735	Syal.g_00720
