Orthogroup	Syaq	Other
OG0000017	Syaq.g_01992	Praj.g_00585
OG0000017	Syaq.g_01992	Prbb.g_00598
OG0000017	Syaq.g_01992	Prbc.g_01674
OG0000017	Syaq.g_01992	Prbm.g_00628
OG0000017	Syaq.g_01992	Syar.g_03181
OG0000037	Syaq.g_01483	Syat.g_01575
OG0000052	Syaq.g_00935	Syar.g_02742, Syar.g_02751
OG0000052	Syaq.g_00935	Pram.g_01436
OG0000052	Syaq.g_00935	Prbh.g_00041
OG0000052	Syaq.g_00935	Syag.g_02491
OG0000052	Syaq.g_00935	Syaa.g_00461
OG0000052	Syaq.g_00935	Prau.g_01489
OG0000052	Syaq.g_00935	Prae.g_01416
OG0000052	Syaq.g_00935	Prbi.g_01478
OG0000052	Syaq.g_00935	Prag.g_01444
OG0000052	Syaq.g_00935	Praw.g_01071
OG0000052	Syaq.g_00935	Syag.g_02491
OG0000052	Syaq.g_00935	Syaa.g_00461
OG0000052	Syaq.g_00935	Prai.g_00154
OG0000052	Syaq.g_00935	Prav.g_01533
OG0000052	Syaq.g_00935	Prab.g_01423
OG0000052	Syaq.g_00935	Pran.g_00777
OG0000052	Syaq.g_00935	Pray.g_01793
OG0000052	Syaq.g_00935	Praz.g_01103
OG0000052	Syaq.g_00935	Prba.g_00160
OG0000052	Syaq.g_00935	Pras.g_00285
OG0000052	Syaq.g_00935	Praa.g_01447
OG0000052	Syaq.g_00935	Prak.g_01369
OG0000052	Syaq.g_00935	Prap.g_00099
OG0000052	Syaq.g_00935	Prbe.g_00333
OG0000052	Syaq.g_00935	Prbf.g_00135
OG0000052	Syaq.g_00935	Prbg.g_00569
OG0000052	Syaq.g_00935	Prbn.g_00190
OG0000052	Syaq.g_00935	Praa.g_01407
OG0000052	Syaq.g_00935	Praa.g_01407
OG0000052	Syaq.g_00935	Syal.g_01396
OG0000052	Syaq.g_00935	Syal.g_01396
OG0000052	Syaq.g_00935	Syae.g_01224
OG0000052	Syaq.g_00935	Syae.g_01224
OG0000052	Syaq.g_00935	Syao.g_01085
OG0000061	Syaq.g_00249	Syah.g_00215
OG0000061	Syaq.g_00249	Syaj.g_02351
OG0000061	Syaq.g_00249	Syaa.g_00469
OG0000061	Syaq.g_00249	Syap.g_00870
OG0000070	Syaq.g_00484	Syar.g_03150
OG0000099	Syaq.g_00882	Prau.g_01491
OG0000112	Syaq.g_02476	Syar.g_03195
OG0000132	Syaq.g_01036	Prbb.g_00221
OG0000132	Syaq.g_01036	Prbc.g_00407
OG0000132	Syaq.g_01036	Praj.g_00204
OG0000132	Syaq.g_01036	Prbm.g_00223
OG0000132	Syaq.g_01036	Pral.g_00880
OG0000132	Syaq.g_01036	Pram.g_00149
OG0000132	Syaq.g_01036	Prbh.g_00618
OG0000132	Syaq.g_01036	Prbg.g_00942
OG0000132	Syaq.g_01036	Prak.g_00176
OG0000132	Syaq.g_01036	Prbe.g_01712
OG0000132	Syaq.g_01036	Prbf.g_01498
OG0000132	Syaq.g_01036	Prap.g_01006
OG0000132	Syaq.g_01036	Prbn.g_01249
OG0000132	Syaq.g_01036	Prat.g_00164
OG0000132	Syaq.g_01036	Syaa.g_02472
