Orthogroup	Prar	Syac
OG0000001	Prar.g_00926	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Prar.g_00918, Prar.g_01508	Syac.g_01084
OG0000004	Prar.g_01525	Syac.g_00898
OG0000004	Prar.g_00095	Syac.g_00948, Syac.g_01975
OG0000005	Prar.g_01130	Syac.g_00527
OG0000005	Prar.g_00771	Syac.g_00569
OG0000006	Prar.g_00086	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Prar.g_01328	Syac.g_01885
OG0000007	Prar.g_01143	Syac.g_00544
OG0000008	Prar.g_01185	Syac.g_00921
OG0000009	Prar.g_00223	Syac.g_01004, Syac.g_00398
OG0000010	Prar.g_01567, Prar.g_01912	Syac.g_01701
OG0000011	Prar.g_00988	Syac.g_00924
OG0000012	Prar.g_01453	Syac.g_00955, Syac.g_00758, Syac.g_01577
OG0000013	Prar.g_00260	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Prar.g_00281	Syac.g_00253
OG0000015	Prar.g_01179	Syac.g_01408
OG0000016	Prar.g_00025	Syac.g_00014
OG0000017	Prar.g_01428	Syac.g_01749, Syac.g_01742
OG0000018	Prar.g_01282	Syac.g_01660
OG0000019	Prar.g_00078, Prar.g_01663	Syac.g_02207
OG0000022	Prar.g_01300	Syac.g_01031
OG0000023	Prar.g_00420	Syac.g_00760
OG0000024	Prar.g_01634, Prar.g_01505	Syac.g_00925
OG0000025	Prar.g_00256, Prar.g_01718	Syac.g_00847
OG0000026	Prar.g_00007, Prar.g_01919	Syac.g_00034
OG0000027	Prar.g_00520	Syac.g_01095, Syac.g_01009
OG0000028	Prar.g_00985, Prar.g_00267	Syac.g_00237
OG0000029	Prar.g_00436	Syac.g_01942
OG0000030	Prar.g_00662	Syac.g_00143, Syac.g_00142
OG0000031	Prar.g_00879	Syac.g_00232
OG0000034	Prar.g_00945	Syac.g_00334, Syac.g_00715
OG0000035	Prar.g_00339	Syac.g_01630
OG0000037	Prar.g_00219	Syac.g_01077
OG0000038	Prar.g_00702	Syac.g_02357, Syac.g_02358
OG0000039	Prar.g_01516	Syac.g_00856, Syac.g_02378
OG0000040	Prar.g_00715	Syac.g_01006
OG0000040	Prar.g_01283	Syac.g_02437
OG0000041	Prar.g_00602	Syac.g_00655, Syac.g_00876
OG0000042	Prar.g_00660	Syac.g_00146
OG0000044	Prar.g_01172	Syac.g_00477, Syac.g_00858
OG0000045	Prar.g_00432	Syac.g_01040
OG0000045	Prar.g_01583	Syac.g_00576
OG0000047	Prar.g_00257, Prar.g_00468	Syac.g_02031
OG0000048	Prar.g_00435	Syac.g_02240
OG0000050	Prar.g_01940	Syac.g_01937
OG0000053	Prar.g_00589, Prar.g_00827	Syac.g_01657
OG0000054	Prar.g_01436	Syac.g_00933, Syac.g_01050
OG0000055	Prar.g_01664	Syac.g_01034, Syac.g_00859
OG0000057	Prar.g_01528	Syac.g_00894
OG0000059	Prar.g_01090	Syac.g_02142
OG0000061	Prar.g_01263	Syac.g_00769
OG0000062	Prar.g_00769	Syac.g_00567
OG0000063	Prar.g_00004, Prar.g_00005, Prar.g_01189	Syac.g_00037
OG0000065	Prar.g_00221	Syac.g_00396, Syac.g_00490
OG0000066	Prar.g_01369	Syac.g_01827
OG0000067	Prar.g_01684	Syac.g_01341
OG0000068	Prar.g_00911	Syac.g_01916
OG0000069	Prar.g_01170, Prar.g_00736	Syac.g_01272
OG0000070	Prar.g_00498	Syac.g_00711
OG0000071	Prar.g_00955	Syac.g_01049, Syac.g_00729
OG0000072	Prar.g_00156	Syac.g_00302
OG0000073	Prar.g_01330	Syac.g_01883
OG0000075	Prar.g_00629	Syac.g_00191
