Orthogroup	Syad	Prag
OG0000001	Syad.g_00628	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000002	Syad.g_00619	Prag.g_01382, Prag.g_00656
OG0000004	Syad.g_01304	Prag.g_00673
OG0000004	Syad.g_02184, Syad.g_00810	Prag.g_00225
OG0000005	Syad.g_02639	Prag.g_01682
OG0000005	Syad.g_02596	Prag.g_01566
OG0000006	Syad.g_00588, Syad.g_00829	Prag.g_00234, Prag.g_01231
OG0000007	Syad.g_00923	Prag.g_00476
OG0000007	Syad.g_02623	Prag.g_01669
OG0000008	Syad.g_01371	Prag.g_01656
OG0000009	Syad.g_01952, Syad.g_00868	Prag.g_01600
OG0000009	Syad.g_02799	Prag.g_00098
OG0000010	Syad.g_02354	Prag.g_01043, Prag.g_00453
OG0000011	Syad.g_02006	Prag.g_01326
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Prag.g_00601
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prag.g_00318
OG0000014	Syad.g_00480	Prag.g_00297
OG0000015	Syad.g_01600, Syad.g_01601	Prag.g_00765
OG0000016	Syad.g_00176	Prag.g_00013
OG0000016	Syad.g_02065	Prag.g_01638
OG0000017	Syad.g_01084	Prag.g_00576
OG0000018	Syad.g_02306	Prag.g_01134, Prag.g_00833
OG0000019	Syad.g_00569	Prag.g_00242, Prag.g_00786
OG0000020	Syad.g_00845	Prag.g_01100, Prag.g_01637
OG0000022	Syad.g_02090	Prag.g_00757, Prag.g_01116
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prag.g_00354
OG0000024	Syad.g_01374	Prag.g_00740, Prag.g_00653
OG0000025	Syad.g_01241	Prag.g_00839, Prag.g_00322
OG0000026	Syad.g_00198	Prag.g_00031, Prag.g_01050
OG0000027	Syad.g_01257	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syad.g_00463	Prag.g_00311, Prag.g_01270
OG0000029	Syad.g_02099	Prag.g_00748
OG0000030	Syad.g_00328, Syad.g_00327	Prag.g_01871
OG0000031	Syad.g_00294	Prag.g_01446
OG0000033	Syad.g_02903	Prag.g_00162
OG0000034	Syad.g_02420, Syad.g_02872	Prag.g_01365
OG0000035	Syad.g_02275	Prag.g_01490, Prag.g_01488
OG0000037	Syad.g_02805	Prag.g_00102
OG0000038	Syad.g_03038	Prag.g_01911
OG0000039	Syad.g_01249, Syad.g_01111	Prag.g_00664
OG0000041	Syad.g_02498	Prag.g_01716
OG0000042	Syad.g_00333	Prag.g_01868
OG0000043	Syad.g_02119	Prag.g_00876
OG0000047	Syad.g_00754	Prag.g_00321
OG0000048	Syad.g_00534	Prag.g_01658, Prag.g_00368
OG0000051	Syad.g_00842	Prag.g_01329
OG0000052	Syad.g_00434	Prag.g_01444
OG0000053	Syad.g_02302	Prag.g_01510
OG0000054	Syad.g_02209	Prag.g_00584
OG0000055	Syad.g_01255	Prag.g_00787
OG0000057	Syad.g_01301	Prag.g_00676
OG0000058	Syad.g_00452	Prag.g_01428
OG0000059	Syad.g_00642	Prag.g_01755
OG0000060	Syad.g_01508	Prag.g_00760
OG0000061	Syad.g_01152	Prag.g_01153
OG0000063	Syad.g_00202	Prag.g_00033
OG0000065	Syad.g_02574, Syad.g_02801	Prag.g_00100
OG0000066	Syad.g_00992	Prag.g_00518
OG0000067	Syad.g_01889	Prag.g_00806
OG0000068	Syad.g_00891	Prag.g_01389
OG0000070	Syad.g_02424	Prag.g_00429
OG0000071	Syad.g_02405	Prag.g_01355
OG0000072	Syad.g_02905	Prag.g_00164
OG0000073	Syad.g_00926	Prag.g_00478
OG0000075	Syad.g_00416	Prag.g_01836
OG0000076	Syad.g_00348	Prag.g_01861
OG0000077	Syad.g_02741	Prag.g_00072
OG0000078	Syad.g_00824	Prag.g_00232
OG0000081	Syad.g_00833	Prag.g_00510
OG0000082	Syad.g_01063	Prag.g_00563
OG0000084	Syad.g_02272	Prag.g_01484
OG0000085	Syad.g_02612	Prag.g_01662
OG0000086	Syad.g_02770	Prag.g_00082
OG0000087	Syad.g_02860	Prag.g_00132
OG0000088	Syad.g_02899	Prag.g_00159
OG0000089	Syad.g_00785, Syad.g_02829	Prag.g_00350
OG0000090	Syad.g_00977	Prag.g_00512
OG0000091	Syad.g_02144	Prag.g_00620
OG0000092	Syad.g_01190	Prag.g_00911
OG0000094	Syad.g_01676	Prag.g_01017
OG0000097	Syad.g_01458	Prag.g_01194
OG0000098	Syad.g_00625	Prag.g_01371
OG0000099	Syad.g_00460	Prag.g_01424
OG0000100	Syad.g_01846	Prag.g_01564
OG0000101	Syad.g_00694	Prag.g_01804
OG0000102	Syad.g_00343	Prag.g_01866
OG0000103	Syad.g_00143	Prag.g_01945
OG0000104	Syad.g_00158	Prag.g_01953
OG0000105	Syad.g_00530	Prag.g_00265
OG0000106	Syad.g_01993	Prag.g_00364
OG0000107	Syad.g_00590	Prag.g_00378
OG0000108	Syad.g_00904	Prag.g_00459
OG0000109	Syad.g_00919	Prag.g_00473
OG0000110	Syad.g_01048	Prag.g_00553
OG0000111	Syad.g_01300	Prag.g_00677
OG0000112	Syad.g_01766	Prag.g_00771
OG0000113	Syad.g_01851	Prag.g_00828
OG0000114	Syad.g_01617	Prag.g_00906
OG0000115	Syad.g_02300	Prag.g_01097
OG0000116	Syad.g_01123	Prag.g_01143
OG0000117	Syad.g_01510	Prag.g_01298
OG0000118	Syad.g_01104	Prag.g_01367
OG0000119	Syad.g_01168	Prag.g_01385
OG0000120	Syad.g_00459	Prag.g_01423
OG0000121	Syad.g_02280	Prag.g_01492
OG0000122	Syad.g_02122	Prag.g_01530
OG0000123	Syad.g_00701	Prag.g_01811
OG0000124	Syad.g_00320	Prag.g_01877
OG0000125	Syad.g_03040	Prag.g_01913
OG0000126	Syad.g_00156	Prag.g_01952
OG0000128	Syad.g_00174	Prag.g_00011
OG0000129	Syad.g_03028	Prag.g_00044
OG0000130	Syad.g_02728	Prag.g_00063
OG0000131	Syad.g_02876	Prag.g_00138
OG0000132	Syad.g_02897	Prag.g_00157
OG0000133	Syad.g_01761	Prag.g_00313
OG0000134	Syad.g_00788	Prag.g_00351
OG0000135	Syad.g_00063	Prag.g_00375
OG0000136	Syad.g_02445	Prag.g_00420
OG0000137	Syad.g_02353	Prag.g_00454
OG0000138	Syad.g_00920	Prag.g_00474
OG0000139	Syad.g_00983	Prag.g_00516
OG0000140	Syad.g_00987	Prag.g_00517
OG0000141	Syad.g_02208	Prag.g_00585
OG0000142	Syad.g_02152	Prag.g_00613
OG0000143	Syad.g_02148	Prag.g_00617
OG0000144	Syad.g_02024	Prag.g_00630
OG0000145	Syad.g_00927	Prag.g_00758
OG0000146	Syad.g_01767	Prag.g_00772
OG0000147	Syad.g_01768	Prag.g_00773
OG0000148	Syad.g_01861	Prag.g_00822
OG0000149	Syad.g_01221	Prag.g_00851
OG0000150	Syad.g_02207, Syad.g_00989	Prag.g_00859
OG0000151	Syad.g_01956	Prag.g_00916
OG0000152	Syad.g_01757	Prag.g_00964
OG0000153	Syad.g_01713	Prag.g_00983
OG0000154	Syad.g_01686	Prag.g_01010
OG0000155	Syad.g_01189	Prag.g_01173
OG0000156	Syad.g_01116	Prag.g_01342
OG0000157	Syad.g_01115	Prag.g_01343
OG0000158	Syad.g_00374	Prag.g_01425
OG0000160	Syad.g_02279	Prag.g_01491
OG0000161	Syad.g_02287	Prag.g_01497
OG0000162	Syad.g_02293	Prag.g_01503
OG0000163	Syad.g_02542	Prag.g_01537
OG0000164	Syad.g_02659	Prag.g_01693
OG0000165	Syad.g_02476	Prag.g_01700
OG0000166	Syad.g_00654	Prag.g_01768
OG0000167	Syad.g_00419	Prag.g_01834
OG0000168	Syad.g_00371	Prag.g_01844
OG0000169	Syad.g_00360	Prag.g_01854
OG0000170	Syad.g_00353	Prag.g_01856
OG0000171	Syad.g_00321	Prag.g_01876
OG0000172	Syad.g_00244	Prag.g_01884
OG0000173	Syad.g_00220	Prag.g_01899
OG0000174	Syad.g_00065	Prag.g_01927
OG0000175	Syad.g_00129	Prag.g_01937
OG0000176	Syad.g_00166	Prag.g_00004
OG0000177	Syad.g_00167	Prag.g_00005
OG0000178	Syad.g_00168	Prag.g_00006
OG0000179	Syad.g_00183	Prag.g_00016
OG0000180	Syad.g_00184	Prag.g_00017
OG0000181	Syad.g_00185	Prag.g_00018
OG0000182	Syad.g_00186	Prag.g_00019
OG0000183	Syad.g_00190	Prag.g_00023
OG0000184	Syad.g_03018	Prag.g_00046
OG0000185	Syad.g_03006	Prag.g_00049
OG0000186	Syad.g_02722	Prag.g_00058
OG0000187	Syad.g_02724	Prag.g_00059
OG0000188	Syad.g_02759	Prag.g_00076
OG0000189	Syad.g_02788	Prag.g_00089
OG0000190	Syad.g_02790	Prag.g_00090
OG0000191	Syad.g_02824	Prag.g_00110
OG0000192	Syad.g_02834	Prag.g_00114
OG0000193	Syad.g_02877	Prag.g_00139
OG0000194	Syad.g_02880	Prag.g_00142
OG0000195	Syad.g_02884	Prag.g_00144
OG0000196	Syad.g_02894	Prag.g_00154
OG0000197	Syad.g_02895	Prag.g_00155
OG0000198	Syad.g_02896	Prag.g_00156
OG0000199	Syad.g_02904	Prag.g_00163
OG0000200	Syad.g_02921	Prag.g_00177
OG0000201	Syad.g_02937	Prag.g_00185
OG0000202	Syad.g_02938	Prag.g_00186
OG0000203	Syad.g_02939	Prag.g_00187
OG0000204	Syad.g_02940	Prag.g_00188
OG0000205	Syad.g_02948	Prag.g_00195
OG0000206	Syad.g_02955	Prag.g_00200
OG0000207	Syad.g_02957	Prag.g_00202
OG0000208	Syad.g_02958	Prag.g_00203
OG0000209	Syad.g_02981	Prag.g_00212
