Orthogroup	Syaa	Pram
OG0000004	Syaa.g_00892	Pram.g_00789
OG0000004	Syaa.g_01667, Syaa.g_02116	Pram.g_00219
OG0000005	Syaa.g_00573	Pram.g_01295
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Pram.g_00229
OG0000007	Syaa.g_02032	Pram.g_00433
OG0000007	Syaa.g_00551	Pram.g_01632
OG0000008	Syaa.g_00918	Pram.g_01263
OG0000008	Syaa.g_00919	Pram.g_01262
OG0000010	Syaa.g_01843	Pram.g_00704, Pram.g_01000, Pram.g_00410
OG0000012	Syaa.g_01660	Pram.g_00561
OG0000013	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212	Pram.g_00315
OG0000014	Syaa.g_00222	Pram.g_00295
OG0000015	Syaa.g_01079, Syaa.g_01989	Pram.g_00696, Pram.g_01545
OG0000016	Syaa.g_00981, Syaa.g_01481	Pram.g_01193
OG0000017	Syaa.g_01883	Pram.g_00542
OG0000017	Syaa.g_01890	Pram.g_00535
OG0000018	Syaa.g_01801	Pram.g_01162, Pram.g_00837
OG0000019	Syaa.g_00307	Pram.g_00237, Pram.g_01164
OG0000021	Syaa.g_02627	Pram.g_00794
OG0000022	Syaa.g_01571	Pram.g_01287
OG0000023	Syaa.g_01529, Syaa.g_01216	Pram.g_00689
OG0000024	Syaa.g_00922	Pram.g_01004, Pram.g_00765
OG0000025	Syaa.g_00839	Pram.g_00844
OG0000026	Syaa.g_00038	Pram.g_00018
OG0000028	Syaa.g_00205	Pram.g_00308, Pram.g_00363
OG0000029	Syaa.g_01578	Pram.g_01723, Pram.g_01529
OG0000030	Syaa.g_00099, Syaa.g_00098	Pram.g_01844
OG0000031	Syaa.g_00200, Syaa.g_00480	Pram.g_01413
OG0000032	Syaa.g_01818	Pram.g_01339
OG0000033	Syaa.g_02478	Pram.g_00154
OG0000034	Syaa.g_00722, Syaa.g_02444	Pram.g_01240
OG0000035	Syaa.g_01773	Pram.g_01378, Pram.g_01381
OG0000037	Syaa.g_02384	Pram.g_00093
OG0000038	Syaa.g_02596	Pram.g_01884
OG0000039	Syaa.g_00846	Pram.g_00777
OG0000040	Syaa.g_01606	Pram.g_01599
OG0000041	Syaa.g_00660	Pram.g_01680
OG0000042	Syaa.g_00103	Pram.g_01841
OG0000045	Syaa.g_01560	Pram.g_01184
OG0000046	Syaa.g_02218, Syaa.g_02211, Syaa.g_02205	Pram.g_00316
OG0000047	Syaa.g_02189	Pram.g_00359
OG0000048	Syaa.g_02719, Syaa.g_00275	Pram.g_00259
OG0000050	Syaa.g_01591	Pram.g_00576, Pram.g_00706
OG0000052	Syaa.g_00174	Pram.g_01436
OG0000053	Syaa.g_01797	Pram.g_01580, Pram.g_01357
OG0000054	Syaa.g_01691	Pram.g_00544
OG0000055	Syaa.g_00852	Pram.g_01189
OG0000055	Syaa.g_01564	Pram.g_01617
OG0000057	Syaa.g_00889	Pram.g_00792
OG0000058	Syaa.g_00193	Pram.g_01447
OG0000059	Syaa.g_02315	Pram.g_01719
OG0000061	Syaa.g_00770	Pram.g_01140
OG0000062	Syaa.g_00571	Pram.g_01293
OG0000063	Syaa.g_00042	Pram.g_01258
OG0000064	Syaa.g_01284, Syaa.g_02666, Syaa.g_01568, Syaa.g_00579	Pram.g_00052
OG0000065	Syaa.g_02380	Pram.g_00091
OG0000066	Syaa.g_01968	Pram.g_01558
OG0000067	Syaa.g_01154	Pram.g_00809
OG0000068	Syaa.g_02059	Pram.g_01468
OG0000069	Syaa.g_01256	Pram.g_00391
OG0000070	Syaa.g_00718	Pram.g_00385
OG0000071	Syaa.g_00735	Pram.g_01230
OG0000072	Syaa.g_02480	Pram.g_00156
OG0000073	Syaa.g_02030	Pram.g_00437
OG0000074	Syaa.g_00372	Pram.g_00684, Pram.g_00715, Pram.g_00772
OG0000075	Syaa.g_00157	Pram.g_01807
OG0000076	Syaa.g_00123	Pram.g_01833
OG0000077	Syaa.g_00341	Pram.g_00063
OG0000078	Syaa.g_02103	Pram.g_00227
OG0000079	Syaa.g_00303	Pram.g_00240
OG0000081	Syaa.g_02089	Pram.g_00469
OG0000082	Syaa.g_01905	Pram.g_01559
OG0000084	Syaa.g_01770	Pram.g_01384
OG0000085	Syaa.g_00564	Pram.g_01265
OG0000086	Syaa.g_00324	Pram.g_00072
OG0000087	Syaa.g_02433	Pram.g_00125
OG0000088	Syaa.g_02474	Pram.g_00151
OG0000089	Syaa.g_02149	Pram.g_00352
OG0000090	Syaa.g_01980	Pram.g_00471
OG0000091	Syaa.g_01625	Pram.g_01068
OG0000097	Syaa.g_00979	Pram.g_01093
OG0000099	Syaa.g_00202	Pram.g_01445
OG0000100	Syaa.g_01201	Pram.g_01298
OG0000101	Syaa.g_02249	Pram.g_01770
OG0000102	Syaa.g_00118	Pram.g_01838
OG0000103	Syaa.g_02740	Pram.g_01925
OG0000104	Syaa.g_02754	Pram.g_01934
OG0000105	Syaa.g_00270	Pram.g_00262
OG0000106	Syaa.g_01439	Pram.g_00677
OG0000107	Syaa.g_02351	Pram.g_01696
OG0000108	Syaa.g_02051	Pram.g_00416
OG0000109	Syaa.g_02036	Pram.g_00430
OG0000110	Syaa.g_01918	Pram.g_00513
OG0000111	Syaa.g_00888	Pram.g_00793
OG0000112	Syaa.g_01366	Pram.g_00935
OG0000113	Syaa.g_01196	Pram.g_00832
OG0000114	Syaa.g_01094	Pram.g_00734
OG0000115	Syaa.g_01795	Pram.g_01201
OG0000116	Syaa.g_00757	Pram.g_01151
OG0000117	Syaa.g_01009	Pram.g_01112
OG0000118	Syaa.g_01874	Pram.g_01242
OG0000119	Syaa.g_00785	Pram.g_01283
OG0000120	Syaa.g_00201	Pram.g_01446
OG0000121	Syaa.g_01777	Pram.g_01376
OG0000122	Syaa.g_01598	Pram.g_01204, Pram.g_01334
OG0000123	Syaa.g_02242	Pram.g_01777
OG0000124	Syaa.g_00092	Pram.g_01850
OG0000125	Syaa.g_02598	Pram.g_01886
OG0000126	Syaa.g_02752	Pram.g_01933
OG0000127	Syaa.g_00377, Syaa.g_00390	Pram.g_00611
OG0000128	Syaa.g_00012	Pram.g_01949
OG0000129	Syaa.g_02586	Pram.g_00029
OG0000130	Syaa.g_00354	Pram.g_00054
OG0000131	Syaa.g_02448	Pram.g_00130
OG0000132	Syaa.g_02472	Pram.g_00149
OG0000133	Syaa.g_01361	Pram.g_00310
OG0000134	Syaa.g_02146	Pram.g_00354
OG0000135	Syaa.g_02649	Pram.g_01589
OG0000136	Syaa.g_00708	Pram.g_00376
OG0000137	Syaa.g_01842	Pram.g_00411
OG0000138	Syaa.g_02035	Pram.g_00431
OG0000139	Syaa.g_01974	Pram.g_00475
OG0000140	Syaa.g_01971	Pram.g_00476
OG0000141	Syaa.g_01689	Pram.g_00545
OG0000142	Syaa.g_01633	Pram.g_01075
OG0000143	Syaa.g_01629	Pram.g_01072
OG0000144	Syaa.g_01446	Pram.g_01058
OG0000145	Syaa.g_02029	Pram.g_01534
OG0000146	Syaa.g_01367	Pram.g_00934
OG0000147	Syaa.g_01368	Pram.g_00933
OG0000148	Syaa.g_01190	Pram.g_00826
OG0000149	Syaa.g_00826	Pram.g_00858
OG0000150	Syaa.g_01688	Pram.g_00868
OG0000151	Syaa.g_01107	Pram.g_00744
OG0000152	Syaa.g_01357	Pram.g_00943
OG0000153	Syaa.g_01324	Pram.g_00961
OG0000154	Syaa.g_01298	Pram.g_00978
OG0000155	Syaa.g_00804	Pram.g_01118
OG0000156	Syaa.g_00751	Pram.g_01219
OG0000157	Syaa.g_00750	Pram.g_01220
OG0000158	Syaa.g_00148	Pram.g_01815
OG0000160	Syaa.g_01776	Pram.g_01377
OG0000161	Syaa.g_01782	Pram.g_01145, Pram.g_01371
OG0000162	Syaa.g_01788	Pram.g_01365
OG0000163	Syaa.g_00624	Pram.g_01326
OG0000164	Syaa.g_00507	Pram.g_01656
OG0000165	Syaa.g_00681	Pram.g_01664
OG0000166	Syaa.g_02289	Pram.g_01733
OG0000167	Syaa.g_00160	Pram.g_01805
OG0000168	Syaa.g_00145	Pram.g_01816
OG0000169	Syaa.g_00134	Pram.g_01826
OG0000170	Syaa.g_00128	Pram.g_01829
OG0000171	Syaa.g_00093	Pram.g_01849
OG0000172	Syaa.g_00079	Pram.g_01856
OG0000173	Syaa.g_00060	Pram.g_01871
OG0000174	Syaa.g_02651	Pram.g_01902
OG0000175	Syaa.g_02726	Pram.g_01914
OG0000176	Syaa.g_00004	Pram.g_01942
OG0000177	Syaa.g_00005	Pram.g_01943
OG0000178	Syaa.g_00006	Pram.g_01944
OG0000179	Syaa.g_00023	Pram.g_00003
OG0000180	Syaa.g_00024	Pram.g_00004
OG0000181	Syaa.g_00025	Pram.g_00005
OG0000182	Syaa.g_00026	Pram.g_00006
OG0000183	Syaa.g_00030	Pram.g_00010
OG0000184	Syaa.g_02578	Pram.g_00033
OG0000185	Syaa.g_02575	Pram.g_00036
OG0000186	Syaa.g_00359	Pram.g_00048
OG0000187	Syaa.g_00358	Pram.g_00049
OG0000188	Syaa.g_00334	Pram.g_00066
OG0000189	Syaa.g_02367	Pram.g_00080
OG0000190	Syaa.g_02369	Pram.g_00081
OG0000191	Syaa.g_02404	Pram.g_00103
OG0000192	Syaa.g_02410	Pram.g_00108
OG0000193	Syaa.g_02449	Pram.g_00131
OG0000194	Syaa.g_02452	Pram.g_00134
OG0000195	Syaa.g_02459	Pram.g_00136
OG0000196	Syaa.g_02469	Pram.g_00146
OG0000197	Syaa.g_02470	Pram.g_00147
OG0000198	Syaa.g_02471	Pram.g_00148
OG0000199	Syaa.g_02479	Pram.g_00155
OG0000200	Syaa.g_02496	Pram.g_00168
OG0000201	Syaa.g_02521	Pram.g_00177
OG0000202	Syaa.g_02522	Pram.g_00178
OG0000203	Syaa.g_02523	Pram.g_00179
OG0000204	Syaa.g_02524	Pram.g_00180
OG0000205	Syaa.g_02531	Pram.g_00187
OG0000206	Syaa.g_02538	Pram.g_00192
OG0000207	Syaa.g_02540	Pram.g_00194
OG0000208	Syaa.g_02541	Pram.g_00195
OG0000209	Syaa.g_02556	Pram.g_00204
OG0000210	Syaa.g_02557	Pram.g_00205
OG0000211	Syaa.g_02113	Pram.g_00220
OG0000212	Syaa.g_02102	Pram.g_00228
OG0000213	Syaa.g_00295	Pram.g_00246
OG0000214	Syaa.g_00279	Pram.g_00255
OG0000215	Syaa.g_00248	Pram.g_00282
OG0000216	Syaa.g_00244	Pram.g_00283
OG0000217	Syaa.g_00240	Pram.g_00286
OG0000218	Syaa.g_00238	Pram.g_00288
OG0000219	Syaa.g_00237	Pram.g_00289
OG0000220	Syaa.g_00236	Pram.g_00290
OG0000221	Syaa.g_00229	Pram.g_00291
OG0000222	Syaa.g_00215	Pram.g_00298
OG0000223	Syaa.g_00192	Pram.g_00311
OG0000224	Syaa.g_00183	Pram.g_00313
OG0000225	Syaa.g_02166	Pram.g_00341
OG0000226	Syaa.g_02162	Pram.g_00345
OG0000227	Syaa.g_02160	Pram.g_00347
