Orthogroup	Prap	Prbf
OG0000000	Prap.g_00720	Prbf.g_01182
OG0000000	Prap.g_00715	Prbf.g_01177
OG0000000	Prap.g_00823	Prbf.g_01285
OG0000000	Prap.g_00224	Prbf.g_00260
OG0000000	Prap.g_00486	Prbf.g_00888
OG0000000	Prap.g_01946	Prbf.g_00089
OG0000000	Prap.g_00484	Prbf.g_00890
OG0000000	Prap.g_00491	Prbf.g_00883
OG0000001	Prap.g_01846	Prbf.g_00760
OG0000001	Prap.g_00493	Prbf.g_00881, Prbf.g_00775
OG0000002	Prap.g_01925	Prbf.g_00068
OG0000002	Prap.g_00653	Prbf.g_00831
OG0000003	Prap.g_00494	Prbf.g_00880
OG0000004	Prap.g_00535	Prbf.g_00052
OG0000005	Prap.g_01862	Prbf.g_00776
OG0000006	Prap.g_01270	Prbf.g_01780
OG0000006	Prap.g_01779	Prbf.g_00693
OG0000007	Prap.g_01888	Prbf.g_00793
OG0000007	Prap.g_01887	Prbf.g_00792
OG0000009	Prap.g_00480	Prbf.g_00894
OG0000009	Prap.g_01462	Prbf.g_01588
OG0000010	Prap.g_00010	Prbf.g_00306
OG0000011	Prap.g_01343	Prbf.g_01707
OG0000012	Prap.g_01163	Prbf.g_01887
OG0000012	Prap.g_01170	Prbf.g_01880
OG0000013	Prap.g_01840	Prbf.g_00754
OG0000013	Prap.g_01794	Prbf.g_00708
OG0000014	Prap.g_01860	Prbf.g_00774
OG0000014	Prap.g_01912	Prbf.g_00817
OG0000015	Prap.g_01851	Prbf.g_00765
OG0000015	Prap.g_01818	Prbf.g_00732
OG0000016	Prap.g_00510	Prbf.g_00864
OG0000016	Prap.g_00218	Prbf.g_00254
OG0000017	Prap.g_01834	Prbf.g_00748
OG0000017	Prap.g_00142	Prbf.g_00178
OG0000018	Prap.g_01470	Prbf.g_01580
OG0000019	Prap.g_00797	Prbf.g_01259
OG0000020	Prap.g_00548	Prbf.g_00039
OG0000020	Prap.g_01439	Prbf.g_01611
OG0000021	Prap.g_01797	Prbf.g_00711
OG0000023	Prap.g_00216	Prbf.g_00252
OG0000024	Prap.g_01403	Prbf.g_01647
OG0000025	Prap.g_00667	Prbf.g_00845
OG0000026	Prap.g_01903	Prbf.g_00808
OG0000028	Prap.g_00121	Prbf.g_00157
OG0000029	Prap.g_01312	Prbf.g_01738
OG0000031	Prap.g_00611	Prbf.g_00340
OG0000032	Prap.g_00080	Prbf.g_00116
OG0000033	Prap.g_00514	Prbf.g_00860
OG0000034	Prap.g_00099	Prbf.g_00135
OG0000034	Prap.g_00897	Prbf.g_01380
OG0000035	Prap.g_00017	Prbf.g_00299
OG0000036	Prap.g_01183	Prbf.g_01867
OG0000036	Prap.g_01790	Prbf.g_00704
OG0000037	Prap.g_01145	Prbf.g_01905
OG0000037	Prap.g_00236	Prbf.g_00272
OG0000038	Prap.g_00212	Prbf.g_00248
OG0000039	Prap.g_01004	Prbf.g_01500
OG0000040	Prap.g_00029	Prbf.g_00287
OG0000041	Prap.g_01815	Prbf.g_00729
OG0000041	Prap.g_01821	Prbf.g_00735
OG0000042	Prap.g_00791	Prbf.g_01253
OG0000043	Prap.g_00691	Prbf.g_01153
OG0000044	Prap.g_00456	Prbf.g_00918
OG0000045	Prap.g_00081	Prbf.g_00117
OG0000046	Prap.g_01917	Prbf.g_00822
OG0000046	Prap.g_01787	Prbf.g_00701
OG0000047	Prap.g_01580	Prbf.g_00496
OG0000048	Prap.g_01572	Prbf.g_00487
OG0000050	Prap.g_00923	Prbf.g_01354
OG0000051	Prap.g_01013	Prbf.g_01491
OG0000052	Prap.g_00591	Prbf.g_00320
OG0000053	Prap.g_01867	Prbf.g_00781
OG0000053	Prap.g_01230	Prbf.g_01820
OG0000054	Prap.g_01128	Prbf.g_01922
OG0000055	Prap.g_00760	Prbf.g_01222
OG0000056	Prap.g_00512	Prbf.g_00862
OG0000057	Prap.g_01475	Prbf.g_01575
OG0000058	Prap.g_01292	Prbf.g_01758
OG0000059	Prap.g_00799	Prbf.g_01261
OG0000062	Prap.g_01883	Prbf.g_00788
OG0000063	Prap.g_00429	Prbf.g_00945
OG0000065	Prap.g_00561	Prbf.g_00026
OG0000066	Prap.g_00079	Prbf.g_00115
OG0000067	Prap.g_00619	Prbf.g_00347
OG0000068	Prap.g_01642	Prbf.g_00558
OG0000069	Prap.g_00160	Prbf.g_00196
OG0000071	Prap.g_00043	Prbf.g_00382
OG0000072	Prap.g_01389	Prbf.g_01661
OG0000073	Prap.g_00356	Prbf.g_01018
OG0000074	Prap.g_00809	Prbf.g_01271
OG0000075	Prap.g_00776	Prbf.g_01238
OG0000076	Prap.g_00708	Prbf.g_01170
OG0000077	Prap.g_01863	Prbf.g_00777
OG0000078	Prap.g_00082	Prbf.g_00118
OG0000079	Prap.g_00206	Prbf.g_00242
OG0000080	Prap.g_00618	Prbf.g_00346
OG0000081	Prap.g_01608	Prbf.g_00524
OG0000082	Prap.g_00623	Prbf.g_00351
OG0000083	Prap.g_00051	Prbf.g_00390
OG0000084	Prap.g_00048	Prbf.g_00387
OG0000085	Prap.g_00932	Prbf.g_01345
OG0000087	Prap.g_00903	Prbf.g_01374
OG0000088	Prap.g_01061	Prbf.g_01443
OG0000089	Prap.g_01052	Prbf.g_01452
OG0000090	Prap.g_01035	Prbf.g_01469
OG0000091	Prap.g_01001	Prbf.g_01503
OG0000092	Prap.g_01000	Prbf.g_01504
OG0000093	Prap.g_00986	Prbf.g_01518
OG0000094	Prap.g_00967	Prbf.g_01537
OG0000095	Prap.g_00962	Prbf.g_01542
OG0000096	Prap.g_01460	Prbf.g_01590
OG0000097	Prap.g_01436	Prbf.g_01614
OG0000098	Prap.g_01425	Prbf.g_01625
