Orthogroup	Syah	Syam
OG0000001	Syah.g_00726	Syam.g_00946
OG0000001	Syah.g_01516	Syam.g_02177
OG0000001	Syah.g_00710	Syam.g_00929
OG0000002	Syah.g_01829	Syam.g_00931
OG0000004	Syah.g_02017	Syam.g_00787
OG0000004	Syah.g_01967	Syam.g_01499
OG0000004	Syah.g_00901	Syam.g_00501
OG0000005	Syah.g_02403	Syam.g_02004
OG0000005	Syah.g_02363	Syam.g_01970
OG0000005	Syah.g_01827	Syam.g_00715, Syam.g_01029
OG0000006	Syah.g_01912	Syam.g_01446
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syam.g_00286, Syam.g_00518
OG0000007	Syah.g_01016	Syam.g_00602
OG0000007	Syah.g_02384	Syam.g_01990
OG0000008	Syah.g_01994	Syam.g_00810
OG0000008	Syah.g_01993	Syam.g_00811
OG0000009	Syah.g_02535	Syam.g_02119
OG0000010	Syah.g_01220	Syam.g_01669
OG0000011	Syah.g_01991	Syam.g_00814
OG0000012	Syah.g_01960	Syam.g_01492
OG0000012	Syah.g_02169	Syam.g_00794
OG0000012	Syah.g_01340	Syam.g_00994
OG0000013	Syah.g_00822	Syam.g_00409
OG0000013	Syah.g_00831	Syam.g_00421
OG0000013	Syah.g_00817	Syam.g_00404
OG0000014	Syah.g_00127	Syam.g_00191
OG0000015	Syah.g_01511	Syam.g_01218
OG0000015	Syah.g_01510	Syam.g_01362
OG0000016	Syah.g_00359	Syam.g_00014
OG0000016	Syah.g_01402	Syam.g_00876
OG0000016	Syah.g_01859	Syam.g_01011
OG0000017	Syah.g_01152	Syam.g_01715
OG0000017	Syah.g_01159	Syam.g_01708
OG0000018	Syah.g_01264	Syam.g_01640
OG0000019	Syah.g_00669	Syam.g_00274
OG0000022	Syah.g_01881	Syam.g_01418
OG0000023	Syah.g_01330, Syah.g_02167	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075
OG0000023	Syah.g_00930	Syam.g_01943
OG0000024	Syah.g_01990	Syam.g_00815
OG0000025	Syah.g_02082	Syam.g_00740
OG0000026	Syah.g_00340	Syam.g_00035
OG0000027	Syah.g_01541	Syam.g_00989
OG0000028	Syah.g_00141	Syam.g_00176
OG0000029	Syah.g_01292	Syam.g_01390
OG0000030	Syah.g_00264	Syam.g_00104
OG0000030	Syah.g_00265	Syam.g_00103
OG0000031	Syah.g_00146	Syam.g_00171
OG0000031	Syah.g_00226	Syam.g_00086
OG0000032	Syah.g_01246	Syam.g_01660
OG0000033	Syah.g_00078	Syam.g_02217
OG0000034	Syah.g_00048, Syah.g_02213	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syah.g_01293	Syam.g_01612
OG0000037	Syah.g_02541	Syam.g_02125
OG0000038	Syah.g_00508	Syam.g_02317
OG0000039	Syah.g_02074	Syam.g_00749
OG0000040	Syah.g_00431	Syam.g_02390
OG0000041	Syah.g_02271	Syam.g_01899
OG0000041	Syah.g_02039	Syam.g_00765
OG0000042	Syah.g_00261	Syam.g_00107
OG0000043	Syah.g_01546	Syam.g_01041
