Orthogroup	Prad	Prai
OG0000000	Prad.g_00601	Prai.g_01363
OG0000000	Prad.g_01252	Prai.g_00707
OG0000001	Prad.g_00393	Prai.g_00908
OG0000001	Prad.g_00393	Prai.g_01234
OG0000001	Prad.g_00393	Prai.g_01591
OG0000001	Prad.g_00393	Prai.g_01775
OG0000001	Prad.g_01435	Prai.g_00908
OG0000001	Prad.g_01435	Prai.g_01234
OG0000001	Prad.g_01435	Prai.g_01591
OG0000001	Prad.g_01435	Prai.g_01775
OG0000002	Prad.g_00609	Prai.g_01235, Prai.g_01356
OG0000003	Prad.g_00389	Prai.g_01596, Prai.g_01314
OG0000004	Prad.g_01075	Prai.g_00441
OG0000004	Prad.g_01082, Prad.g_00345	Prai.g_01313
OG0000005	Prad.g_01982	Prai.g_01612
OG0000005	Prad.g_00392	Prai.g_01592
OG0000006	Prad.g_00132	Prai.g_00527
OG0000006	Prad.g_00941	Prai.g_01638
OG0000007	Prad.g_01246	Prai.g_00701
OG0000008	Prad.g_00726	Prai.g_00394
OG0000008	Prad.g_01215	Prai.g_00437
OG0000008	Prad.g_00377	Prai.g_00433, Prai.g_01256
OG0000009	Prad.g_01125	Prai.g_00867
OG0000009	Prad.g_01742	Prai.g_00262
OG0000011	Prad.g_00683	Prai.g_00424
OG0000011	Prad.g_01661	Prai.g_00343
OG0000012	Prad.g_01387	Prai.g_00626
OG0000013	Prad.g_01108	Prai.g_01243
OG0000014	Prad.g_00353, Prad.g_01298	Prai.g_00904
OG0000015	Prad.g_00951	Prai.g_01259
OG0000016	Prad.g_00598	Prai.g_01366
OG0000017	Prad.g_00494	Prai.g_01483
OG0000018	Prad.g_01750	Prai.g_00252, Prai.g_00254
OG0000019	Prad.g_00745, Prad.g_01981	Prai.g_00378
OG0000020	Prad.g_00735	Prai.g_00387
OG0000022	Prad.g_00352	Prai.g_00905, Prai.g_01772
OG0000023	Prad.g_00317	Prai.g_01578
OG0000024	Prad.g_01685	Prai.g_00319
OG0000025	Prad.g_00985	Prai.g_01093
OG0000026	Prad.g_01953	Prai.g_00033
OG0000026	Prad.g_00081	Prai.g_01261
OG0000027	Prad.g_00427	Prai.g_01266
OG0000028	Prad.g_00515	Prai.g_01463
OG0000029	Prad.g_00400, Prad.g_00952	Prai.g_01579
OG0000033	Prad.g_01973	Prai.g_00013, Prai.g_01573
OG0000035	Prad.g_00258	Prai.g_01059
OG0000036	Prad.g_01374	Prai.g_00613
OG0000037	Prad.g_01412	Prai.g_00652
OG0000038	Prad.g_01105	Prai.g_00885
OG0000039	Prad.g_01825	Prai.g_00177
OG0000040	Prad.g_00751	Prai.g_00373
OG0000042	Prad.g_01049	Prai.g_00748
OG0000043	Prad.g_01130	Prai.g_00862
OG0000044	Prad.g_01496	Prai.g_01171
OG0000045	Prad.g_00565	Prai.g_01859
OG0000046	Prad.g_00948	Prai.g_01631
OG0000047	Prad.g_01631	Prai.g_01838
OG0000048	Prad.g_01624	Prai.g_01845
OG0000050	Prad.g_01955	Prai.g_00031
OG0000051	Prad.g_01834	Prai.g_00168
OG0000052	Prad.g_00739	Prai.g_00383
OG0000053	Prad.g_00090	Prai.g_00567
OG0000054	Prad.g_01099	Prai.g_00909
OG0000055	Prad.g_01168	Prai.g_00825
OG0000056	Prad.g_00657	Prai.g_01132
OG0000057	Prad.g_01754, Prad.g_00965	Prai.g_00248
OG0000058	Prad.g_00032	Prai.g_00505
OG0000059	Prad.g_01272	Prai.g_00727
OG0000060	Prad.g_01080	Prai.g_00431
OG0000060	Prad.g_01300	Prai.g_01258
OG0000061	Prad.g_00166	Prai.g_00969
OG0000062	Prad.g_01989	Prai.g_01143
OG0000063	Prad.g_01214	Prai.g_01273
OG0000065	Prad.g_00628	Prai.g_01335
OG0000066	Prad.g_00564	Prai.g_01443
OG0000068	Prad.g_00807	Prai.g_01782
OG0000071	Prad.g_01975	Prai.g_00011
OG0000072	Prad.g_01669	Prai.g_00335
OG0000073	Prad.g_01243	Prai.g_00698
OG0000074	Prad.g_01265	Prai.g_00720
OG0000075	Prad.g_01153	Prai.g_00840, Prai.g_00841
OG0000076	Prad.g_01018	Prai.g_00918
OG0000077	Prad.g_01983	Prai.g_01613
OG0000078	Prad.g_00566	Prai.g_01393
OG0000079	Prad.g_00436	Prai.g_01540
OG0000080	Prad.g_00383	Prai.g_01270
OG0000081	Prad.g_00777	Prai.g_01812
OG0000082	Prad.g_01570	Prai.g_01901
OG0000083	Prad.g_01533	Prai.g_00003
OG0000084	Prad.g_01530	Prai.g_00006
OG0000085	Prad.g_01963	Prai.g_00023
OG0000086	Prad.g_00675	Prai.g_00046
OG0000087	Prad.g_01937	Prai.g_00056
OG0000088	Prad.g_01880, Prad.g_00011	Prai.g_00113
OG0000089	Prad.g_01872	Prai.g_00121
OG0000090	Prad.g_01854	Prai.g_00139
OG0000091	Prad.g_01822	Prai.g_00180
OG0000092	Prad.g_01821	Prai.g_00181
OG0000093	Prad.g_01807	Prai.g_00195
OG0000094	Prad.g_01789	Prai.g_00213
OG0000095	Prad.g_01784	Prai.g_00218
OG0000096	Prad.g_01740	Prai.g_00264
OG0000097	Prad.g_01717	Prai.g_00286, Prai.g_00287
OG0000098	Prad.g_01707	Prai.g_00297
OG0000099	Prad.g_01697	Prai.g_00307, Prai.g_00741
OG0000100	Prad.g_01694	Prai.g_00310
OG0000101	Prad.g_00754	Prai.g_00369
OG0000102	Prad.g_00727	Prai.g_00393
OG0000103	Prad.g_00031	Prai.g_00506
OG0000104	Prad.g_00027	Prai.g_00510
OG0000105	Prad.g_00130	Prai.g_00529
OG0000106	Prad.g_00097	Prai.g_00560
