Orthogroup	Syaa	Syai
OG0000001	Syaa.g_02437	Syai.g_01197, Syai.g_02594
OG0000001	Syaa.g_02439	Syai.g_00891
OG0000001	Syaa.g_02329	Syai.g_01729
OG0000004	Syaa.g_00892	Syai.g_01994
OG0000004	Syaa.g_01667	Syai.g_01062
OG0000004	Syaa.g_02116	Syai.g_00530
OG0000005	Syaa.g_00534	Syai.g_02393
OG0000005	Syaa.g_00573	Syai.g_02356
OG0000005	Syaa.g_01449	Syai.g_01611
OG0000006	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Syai.g_00317, Syai.g_00547
OG0000006	Syaa.g_01611	Syai.g_01126
OG0000007	Syaa.g_02032	Syai.g_00657
OG0000007	Syaa.g_00551	Syai.g_02378
OG0000008	Syaa.g_00918	Syai.g_01956
OG0000008	Syaa.g_00919	Syai.g_01955
OG0000009	Syaa.g_02378	Syai.g_02541
OG0000010	Syaa.g_01843	Syai.g_00864
OG0000011	Syaa.g_00921	Syai.g_01952
OG0000012	Syaa.g_02304	Syai.g_01529, Syai.g_01650
OG0000012	Syaa.g_01660	Syai.g_01068
OG0000013	Syaa.g_02204	Syai.g_00450
OG0000013	Syaa.g_02217	Syai.g_00436
OG0000013	Syaa.g_02212	Syai.g_00442
OG0000014	Syaa.g_00222	Syai.g_00220
OG0000015	Syaa.g_01079	Syai.g_01246
OG0000015	Syaa.g_01989	Syai.g_01245
OG0000016	Syaa.g_00014	Syai.g_00014
OG0000016	Syaa.g_00981	Syai.g_01785
OG0000016	Syaa.g_01481	Syai.g_01632
OG0000017	Syaa.g_01883	Syai.g_00808
OG0000017	Syaa.g_01890	Syai.g_00801
OG0000018	Syaa.g_01801	Syai.g_00915
OG0000019	Syaa.g_00307	Syai.g_00304
OG0000021	Syaa.g_02627	Syai.g_00556
OG0000022	Syaa.g_01571	Syai.g_01159
OG0000023	Syaa.g_01216	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022
OG0000024	Syaa.g_00922	Syai.g_01951
OG0000025	Syaa.g_00839	Syai.g_02044
OG0000026	Syaa.g_00038	Syai.g_00038
OG0000027	Syaa.g_01605	Syai.g_01128
OG0000027	Syaa.g_00854	Syai.g_01654
OG0000028	Syaa.g_00205	Syai.g_00205
OG0000029	Syaa.g_01578	Syai.g_01035, Syai.g_01584
OG0000030	Syaa.g_00099	Syai.g_00096
OG0000030	Syaa.g_00098	Syai.g_00095
OG0000031	Syaa.g_00200	Syai.g_00197
OG0000032	Syaa.g_01818	Syai.g_00895
