Orthogroup	Praa	Prae
OG0000000	Praa.g_01300	Prae.g_01310
OG0000000	Praa.g_01598	Prae.g_01580
OG0000000	Praa.g_01597	Prae.g_01222, Prae.g_01579
OG0000000	Praa.g_01297	Prae.g_01300
OG0000000	Praa.g_01298	Prae.g_01308
OG0000000	Praa.g_01599	Prae.g_01581
OG0000001	Praa.g_01351	Prae.g_01353
OG0000001	Praa.g_01220, Praa.g_01222	Prae.g_01236, Prae.g_01223, Prae.g_01224
OG0000002	Praa.g_01359	Prae.g_01361
OG0000002	Praa.g_00678	Prae.g_00652
OG0000004	Praa.g_00695	Prae.g_00669
OG0000004	Praa.g_00232	Prae.g_00235
OG0000005	Praa.g_01648	Prae.g_01636
OG0000005	Praa.g_01553	Prae.g_01535
OG0000006	Praa.g_00241	Prae.g_00244
OG0000006	Praa.g_01245	Prae.g_00244
OG0000007	Praa.g_00497	Prae.g_00471
OG0000007	Praa.g_01635	Prae.g_01623
OG0000008	Praa.g_00672	Prae.g_00646
OG0000009	Praa.g_01264	Prae.g_01270
OG0000009	Praa.g_01589	Prae.g_01572
OG0000010	Praa.g_00474	Prae.g_00448
OG0000010	Praa.g_01047	Prae.g_01048
OG0000011	Praa.g_01288	Prae.g_01291
OG0000011	Praa.g_00396	Prae.g_00398
OG0000011	Praa.g_01626	Prae.g_01245
OG0000012	Praa.g_00623	Prae.g_00597
OG0000013	Praa.g_00327	Prae.g_00328
OG0000014	Praa.g_00306	Prae.g_00307
OG0000014	Praa.g_01409	Prae.g_01401
OG0000015	Praa.g_00765	Prae.g_00769
OG0000016	Praa.g_00013	Prae.g_00013
OG0000017	Praa.g_00598	Prae.g_00572
OG0000018	Praa.g_00831	Prae.g_00833
OG0000018	Praa.g_01141	Prae.g_01144
OG0000019	Praa.g_00249	Prae.g_00252
OG0000019	Praa.g_00782	Prae.g_00786
OG0000020	Praa.g_01107	Prae.g_01107
OG0000021	Praa.g_01623	Prae.g_01600
OG0000021	Praa.g_00364	Prae.g_00364
OG0000022	Praa.g_01124	Prae.g_01125
OG0000022	Praa.g_00763	Prae.g_00764
OG0000023	Praa.g_00359	Prae.g_00359
OG0000024	Praa.g_00747	Prae.g_00748
OG0000024	Praa.g_00675	Prae.g_00649
OG0000025	Praa.g_00331	Prae.g_00332
OG0000025	Praa.g_00839	Prae.g_00840
OG0000026	Praa.g_00031	Prae.g_00031
OG0000026	Praa.g_01054	Prae.g_01056
OG0000027	Praa.g_00470	Prae.g_00444
OG0000027	Praa.g_01301	Prae.g_01311
OG0000028	Praa.g_00320	Prae.g_00321
OG0000029	Praa.g_00754	Prae.g_00755
OG0000029	Praa.g_00374	Prae.g_00375
OG0000030	Praa.g_01842	Prae.g_01825
OG0000033	Praa.g_01437	Prae.g_01396
OG0000033	Praa.g_00169	Prae.g_00172
OG0000034	Praa.g_01328	Prae.g_01339
OG0000035	Praa.g_01476	Prae.g_01459
OG0000037	Praa.g_00109	Prae.g_00108
OG0000038	Praa.g_01883	Prae.g_01865
OG0000039	Praa.g_00686	Prae.g_00660
OG0000040	Praa.g_01618	Prae.g_01597
OG0000040	Praa.g_01140	Prae.g_01143
OG0000041	Praa.g_01683	Prae.g_01669
OG0000042	Praa.g_01839	Prae.g_01822
OG0000043	Praa.g_00876	Prae.g_00876
OG0000045	Praa.g_00370	Prae.g_00371
OG0000047	Praa.g_00330	Prae.g_00331
OG0000048	Praa.g_00373	Prae.g_00374
OG0000049	Praa.g_00382	Prae.g_00383
OG0000049	Praa.g_00997	Prae.g_00997
OG0000049	Praa.g_01256	Prae.g_01264
OG0000050	Praa.g_01075	Prae.g_01077
OG0000051	Praa.g_01291	Prae.g_01294
OG0000052	Praa.g_01447, Praa.g_01407	Prae.g_01416
OG0000053	Praa.g_01496	Prae.g_01479
OG0000054	Praa.g_00606	Prae.g_00580
OG0000055	Praa.g_00783	Prae.g_00787
OG0000057	Praa.g_00698	Prae.g_00672
OG0000058	Praa.g_01425	Prae.g_01417, Prae.g_01406
OG0000059	Praa.g_01723	Prae.g_01710
OG0000061	Praa.g_01415	Prae.g_01422
OG0000061	Praa.g_01159	Prae.g_01163
OG0000062	Praa.g_01555	Prae.g_01537
OG0000063	Praa.g_00033	Prae.g_00033
