Orthogroup	Pran	Prbj
OG0000000	Pran.g_01500	Prbj.g_00030
OG0000001	Pran.g_00593	Prbj.g_00166
OG0000001	Pran.g_00579	Prbj.g_00164
OG0000003	Pran.g_00894	Prbj.g_00165
OG0000004	Pran.g_00576, Pran.g_01436, Pran.g_00895	Prbj.g_00697, Prbj.g_01897, Prbj.g_00073
OG0000006	Pran.g_01681	Prbj.g_01610
OG0000006	Pran.g_00970	Prbj.g_00857
OG0000007	Pran.g_01506	Prbj.g_00928
OG0000009	Pran.g_01363, Pran.g_01943	Prbj.g_01349
OG0000011	Pran.g_01864	Prbj.g_00666
OG0000012	Pran.g_01580	Prbj.g_01761, Prbj.g_01769
OG0000013	Pran.g_01394	Prbj.g_02502
OG0000016	Pran.g_00845	Prbj.g_00740, Prbj.g_00778
OG0000017	Pran.g_00713	Prbj.g_00638
OG0000018	Pran.g_01951	Prbj.g_02699
OG0000019	Pran.g_01829	Prbj.g_01774
OG0000020	Pran.g_01772, Pran.g_01820	Prbj.g_01393
OG0000024	Pran.g_01888	Prbj.g_01442
OG0000026	Pran.g_00391	Prbj.g_01208
OG0000028	Pran.g_00733	Prbj.g_01056
OG0000031	Pran.g_00898, Pran.g_00944	Prbj.g_00705
OG0000036	Pran.g_01593	Prbj.g_01789
OG0000037	Pran.g_01555	Prbj.g_02552
OG0000038	Pran.g_01401	Prbj.g_00050, Prbj.g_01572
OG0000039	Pran.g_00266	Prbj.g_00912, Prbj.g_00521
OG0000040	Pran.g_01834	Prbj.g_02392
OG0000042	Pran.g_01460	Prbj.g_00913, Prbj.g_02178
OG0000043	Pran.g_01358	Prbj.g_00025, Prbj.g_00023
OG0000044	Pran.g_00060	Prbj.g_00971
OG0000045	Pran.g_00807	Prbj.g_01467
OG0000046	Pran.g_00963	Prbj.g_00869
OG0000047	Pran.g_01160	Prbj.g_01598
OG0000048	Pran.g_01167	Prbj.g_00001, Prbj.g_01808
OG0000050	Pran.g_00930	Prbj.g_01204
OG0000051	Pran.g_00275	Prbj.g_00530
OG0000052	Pran.g_01824	Prbj.g_00875
OG0000053	Pran.g_01639	Prbj.g_02141
OG0000054	Pran.g_01408, Pran.g_01379	Prbj.g_01324
OG0000055	Pran.g_01321	Prbj.g_02437
OG0000056	Pran.g_00935	Prbj.g_00227
OG0000058	Pran.g_01703	Prbj.g_00128
OG0000059	Pran.g_01480	Prbj.g_00758
OG0000062	Pran.g_00093	Prbj.g_01990
OG0000063	Pran.g_01466	Prbj.g_01915
OG0000065	Pran.g_00938, Pran.g_00876	Prbj.g_01728
OG0000066	Pran.g_00752	Prbj.g_01465
OG0000068	Pran.g_01105	Prbj.g_00415, Prbj.g_00981
OG0000071	Pran.g_01268	Prbj.g_02085
OG0000072	Pran.g_01872	Prbj.g_01460
OG0000073	Pran.g_01509	Prbj.g_00824
OG0000074	Pran.g_01487	Prbj.g_00933
OG0000075	Pran.g_01336	Prbj.g_02419
