Orthogroup	Praj	Prau
OG0000000	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308	Prau.g_01352
OG0000000	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730	Prau.g_01665
OG0000000	Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202	Prau.g_01648
OG0000000	Praj.g_00087	Prau.g_01266, Prau.g_01647
OG0000001	Praj.g_01112	Prau.g_01267, Prau.g_01269
OG0000002	Praj.g_00832	Prau.g_01402
OG0000002	Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Prau.g_00718
OG0000004	Praj.g_01396	Prau.g_00735
OG0000004	Praj.g_00271	Prau.g_00233
OG0000005	Praj.g_01349	Prau.g_01745
OG0000005	Praj.g_01712	Prau.g_01607
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Prau.g_01316
OG0000007	Praj.g_00489	Prau.g_00538
OG0000007	Praj.g_01768	Prau.g_01732
OG0000008	Praj.g_01829	Prau.g_00781
OG0000010	Praj.g_01026, Praj.g_00466	Prau.g_00515
OG0000011	Praj.g_01187	Prau.g_00441
OG0000011	Praj.g_01158	Prau.g_01307, Prau.g_01335
OG0000012	Praj.g_01066	Prau.g_00663
OG0000013	Praj.g_00362	Prau.g_00329
OG0000014	Praj.g_00341	Prau.g_00308
OG0000014	Praj.g_01609	Prau.g_01470
OG0000015	Praj.g_01113	Prau.g_00817
OG0000016	Praj.g_00013	Prau.g_00013
OG0000017	Praj.g_00592	Prau.g_00636
OG0000018	Praj.g_01482	Prau.g_01188
OG0000018	Praj.g_00798	Prau.g_00881
OG0000019	Praj.g_00747	Prau.g_00834
OG0000020	Praj.g_01025	Prau.g_01153
OG0000020	Praj.g_01139	Prau.g_01704
OG0000021	Praj.g_01859	Prau.g_01680, Prau.g_00367
OG0000022	Praj.g_01189	Prau.g_00814
OG0000022	Praj.g_01216	Prau.g_01170
OG0000023	Praj.g_01365, Praj.g_01329	Prau.g_00362
OG0000024	Praj.g_01134	Prau.g_00796
OG0000024	Praj.g_00666	Prau.g_00715
OG0000025	Praj.g_00805	Prau.g_00888, Prau.g_00333
OG0000026	Praj.g_00031	Prau.g_00030, Prau.g_01103
OG0000027	Praj.g_01331	Prau.g_01353
OG0000028	Praj.g_01571	Prau.g_01338
OG0000029	Praj.g_01745	Prau.g_00804
OG0000030	Praj.g_02024	Prau.g_01935
OG0000031	Praj.g_00371	Prau.g_01431, Prau.g_01469
OG0000033	Praj.g_00209	Prau.g_00170
OG0000034	Praj.g_01538	Prau.g_01381
OG0000035	Praj.g_01632	Prau.g_01531, Prau.g_01528
OG0000037	Praj.g_00147	Prau.g_00110
OG0000038	Praj.g_02089	Prau.g_01976
OG0000039	Praj.g_00679	Prau.g_00726
OG0000040	Praj.g_01735	Prau.g_01662
OG0000041	Praj.g_01813	Prau.g_01778
OG0000042	Praj.g_02020	Prau.g_01932
OG0000043	Praj.g_00864	Prau.g_00926
OG0000043	Praj.g_01157	Prau.g_01321
OG0000045	Praj.g_01303	Prau.g_01682
OG0000045	Praj.g_01049	Prau.g_00374
OG0000047	Praj.g_00408	Prau.g_00414
OG0000047	Praj.g_00370	Prau.g_00332
OG0000048	Praj.g_00308	Prau.g_00377
OG0000050	Praj.g_00099	Prau.g_01123
OG0000051	Praj.g_01347	Prau.g_01275, Prau.g_01681
OG0000053	Praj.g_01651	Prau.g_00040, Prau.g_01551
OG0000054	Praj.g_00594	Prau.g_00644
OG0000055	Praj.g_00733	Prau.g_00835
OG0000057	Praj.g_00691, Praj.g_01313	Prau.g_00738
OG0000058	Praj.g_00839	Prau.g_01432, Prau.g_01460
OG0000059	Praj.g_01892	Prau.g_01818
OG0000061	Praj.g_01461	Prau.g_01206
OG0000062	Praj.g_01714	Prau.g_01609
OG0000063	Praj.g_01867	Prau.g_00032, Prau.g_01295
OG0000065	Praj.g_00145	Prau.g_00108
OG0000066	Praj.g_00530	Prau.g_00579
OG0000067	Praj.g_00769	Prau.g_00854
OG0000068	Praj.g_01575	Prau.g_01409
OG0000069	Praj.g_01276, Praj.g_01675	Prau.g_01285, Prau.g_01642
OG0000070	Praj.g_00444	Prau.g_00491
OG0000071	Praj.g_01528	Prau.g_01371
OG0000072	Praj.g_00211	Prau.g_00172
OG0000073	Praj.g_00491	Prau.g_00540
OG0000074	Praj.g_00674	Prau.g_00722
OG0000075	Praj.g_01987	Prau.g_01901
OG0000076	Praj.g_02012	Prau.g_00037, Prau.g_01925
OG0000077	Praj.g_00116	Prau.g_00079
OG0000078	Praj.g_00280	Prau.g_00240
OG0000079	Praj.g_00291	Prau.g_00254
OG0000081	Praj.g_00522	Prau.g_00571
OG0000082	Praj.g_01827	Prau.g_00624
OG0000083	Praj.g_01121, Praj.g_00411	Prau.g_00792, Prau.g_00785
OG0000084	Praj.g_01628	Prau.g_01524
OG0000085	Praj.g_01762	Prau.g_01725
OG0000086	Praj.g_00126	Prau.g_00089
OG0000087	Praj.g_00179	Prau.g_00140
OG0000088	Praj.g_00206	Prau.g_00167
OG0000089	Praj.g_00403	Prau.g_00358
OG0000090	Praj.g_00524	Prau.g_00573
OG0000091	Praj.g_00630	Prau.g_00682
OG0000092	Praj.g_00892	Prau.g_00961
OG0000093	Praj.g_00754	Prau.g_00983
OG0000094	Praj.g_00846	Prau.g_01070
OG0000095	Praj.g_01024	Prau.g_01089
OG0000096	Praj.g_01249	Prau.g_01156, Prau.g_01331
OG0000097	Praj.g_01416	Prau.g_01247
OG0000098	Praj.g_01546	Prau.g_01391
OG0000099	Praj.g_00372	Prau.g_01434, Prau.g_01435
OG0000100	Praj.g_01709	Prau.g_01605
OG0000101	Praj.g_01952	Prau.g_01869
OG0000102	Praj.g_02017	Prau.g_01930
OG0000103	Praj.g_02135	Prau.g_02009
OG0000104	Praj.g_02145	Prau.g_02018
OG0000105	Praj.g_00310	Prau.g_00276
OG0000106	Praj.g_01156, Praj.g_01282	Prau.g_00373
OG0000107	Praj.g_01869	Prau.g_00389
OG0000108	Praj.g_00473	Prau.g_00521
OG0000109	Praj.g_00486	Prau.g_00535
OG0000110	Praj.g_00565	Prau.g_00614
OG0000111	Praj.g_00692	Prau.g_00739
OG0000112	Praj.g_00938	Prau.g_00818
OG0000113	Praj.g_00793, Praj.g_01176	Prau.g_00876
OG0000114	Praj.g_00887	Prau.g_00956
OG0000115	Praj.g_01725	Prau.g_01148
OG0000116	Praj.g_01471	Prau.g_01197
OG0000117	Praj.g_01355	Prau.g_01318
OG0000118	Praj.g_01540	Prau.g_01383
OG0000119	Praj.g_01568	Prau.g_01405
OG0000120	Praj.g_00664	Prau.g_01430
OG0000121	Praj.g_01634	Prau.g_01533
OG0000122	Praj.g_01673	Prau.g_01571
OG0000123	Praj.g_01959	Prau.g_01876
OG0000124	Praj.g_02031	Prau.g_01941
OG0000125	Praj.g_02091	Prau.g_01978
OG0000126	Praj.g_02144	Prau.g_02017
OG0000128	Praj.g_00011	Prau.g_00011
OG0000129	Praj.g_00048	Prau.g_00051
OG0000130	Praj.g_00107	Prau.g_00071
OG0000131	Praj.g_00185	Prau.g_00146
OG0000132	Praj.g_00204	Prau.g_00165
OG0000133	Praj.g_00357	Prau.g_00324
OG0000134	Praj.g_00405	Prau.g_00359
OG0000135	Praj.g_01279	Prau.g_00386
OG0000136	Praj.g_00435	Prau.g_00482
OG0000137	Praj.g_00467	Prau.g_00516
OG0000138	Praj.g_00487	Prau.g_00536
OG0000139	Praj.g_00528	Prau.g_00577
OG0000140	Praj.g_00529	Prau.g_00578
OG0000141	Praj.g_00595	Prau.g_00645
OG0000142	Praj.g_00623	Prau.g_00675
OG0000143	Praj.g_00627	Prau.g_00679
OG0000144	Praj.g_00640	Prau.g_00692
OG0000145	Praj.g_01054	Prau.g_00816
OG0000146	Praj.g_00937	Prau.g_00819
OG0000147	Praj.g_00936	Prau.g_00820
OG0000148	Praj.g_00787	Prau.g_00870
OG0000149	Praj.g_00819	Prau.g_00900
OG0000150	Praj.g_00828	Prau.g_00909
OG0000151	Praj.g_00898	Prau.g_00966
OG0000152	Praj.g_01601, Praj.g_00946	Prau.g_01015
OG0000153	Praj.g_00965	Prau.g_01034
OG0000154	Praj.g_00995	Prau.g_01063
OG0000155	Praj.g_01440	Prau.g_01226
OG0000156	Praj.g_01517	Prau.g_01359
OG0000157	Praj.g_01518	Prau.g_01360
OG0000158	Praj.g_01995	Prau.g_01436
OG0000159	Praj.g_02043	Prau.g_01457
OG0000160	Praj.g_01633	Prau.g_01532
OG0000161	Praj.g_01639	Prau.g_01538
OG0000162	Praj.g_01645	Prau.g_01544
OG0000163	Praj.g_01681	Prau.g_01578
OG0000164	Praj.g_01790	Prau.g_01756
OG0000165	Praj.g_01798	Prau.g_01763
OG0000166	Praj.g_01915	Prau.g_01833
OG0000167	Praj.g_01985	Prau.g_01899
OG0000168	Praj.g_01996	Prau.g_01909
OG0000169	Praj.g_02006	Prau.g_01919
OG0000170	Praj.g_02008	Prau.g_01921
OG0000171	Praj.g_02030	Prau.g_01940
OG0000172	Praj.g_02061	Prau.g_01949
OG0000173	Praj.g_02076	Prau.g_01964
OG0000174	Praj.g_02107	Prau.g_01991
OG0000175	Praj.g_02125	Prau.g_02001
OG0000176	Praj.g_00004	Prau.g_00004
OG0000177	Praj.g_00005	Prau.g_00005
OG0000178	Praj.g_00006	Prau.g_00006
OG0000179	Praj.g_00016	Prau.g_00016
OG0000180	Praj.g_00017	Prau.g_00017
OG0000181	Praj.g_00018	Prau.g_00018
OG0000182	Praj.g_00019	Prau.g_00019
OG0000183	Praj.g_00023	Prau.g_00023
OG0000184	Praj.g_00050	Prau.g_00054
OG0000185	Praj.g_00053	Prau.g_00057
OG0000186	Praj.g_00102	Prau.g_00066
OG0000187	Praj.g_00103	Prau.g_00067
OG0000188	Praj.g_00120	Prau.g_00083
OG0000189	Praj.g_00134	Prau.g_00097
OG0000190	Praj.g_00135	Prau.g_00098
OG0000191	Praj.g_00158	Prau.g_00118
OG0000192	Praj.g_00162	Prau.g_00122
OG0000193	Praj.g_00186	Prau.g_00147
OG0000194	Praj.g_00189	Prau.g_00150
OG0000195	Praj.g_00191	Prau.g_00152
OG0000196	Praj.g_00201	Prau.g_00162
OG0000197	Praj.g_00202	Prau.g_00163
OG0000198	Praj.g_00203	Prau.g_00164
OG0000199	Praj.g_00210	Prau.g_00171
OG0000200	Praj.g_00223	Prau.g_00185
OG0000201	Praj.g_00232	Prau.g_00193
OG0000202	Praj.g_00233	Prau.g_00194
