Orthogroup	Prbj	Prbk
OG0000000	Prbj.g_00166	Prbk.g_00167
OG0000000	Prbj.g_00165	Prbk.g_00166
OG0000000	Prbj.g_00164	Prbk.g_00165
OG0000001	Prbj.g_00672	Prbk.g_01196
OG0000001	Prbj.g_00169	Prbk.g_00170
OG0000001	Prbj.g_01549	Prbk.g_00561
OG0000001	Prbj.g_02662	Prbk.g_02701
OG0000001	Prbj.g_02690	Prbk.g_00630
OG0000002	Prbj.g_02517	Prbk.g_02574
OG0000002	Prbj.g_00030	Prbk.g_01649
OG0000003	Prbj.g_02017	Prbk.g_02222
OG0000003	Prbj.g_00170	Prbk.g_01375
OG0000003	Prbj.g_01574	Prbk.g_00214
OG0000003	Prbj.g_02693	Prbk.g_02704
OG0000003	Prbj.g_02694	Prbk.g_02705
OG0000003	Prbj.g_00096	Prbk.g_00332
OG0000003	Prbj.g_02605	Prbk.g_01523
OG0000003	Prbj.g_00226	Prbk.g_00695
OG0000003	Prbj.g_00059	Prbk.g_01676
OG0000003	Prbj.g_00058	Prbk.g_01675
OG0000003	Prbj.g_00079	Prbk.g_00349
OG0000003	Prbj.g_01354	Prbk.g_00999
OG0000003	Prbj.g_01356	Prbk.g_02681
OG0000003	Prbj.g_01916	Prbk.g_02121
OG0000003	Prbj.g_01831	Prbk.g_00049
OG0000004	Prbj.g_00754	Prbk.g_01760
OG0000004	Prbj.g_01777	Prbk.g_01134
OG0000005	Prbj.g_00883	Prbk.g_00933
OG0000006	Prbj.g_02699	Prbk.g_02695
OG0000007	Prbj.g_00857	Prbk.g_00907
OG0000008	Prbj.g_00929	Prbk.g_01819
OG0000008	Prbj.g_00928	Prbk.g_01820
OG0000009	Prbj.g_01300	Prbk.g_01932
OG0000009	Prbj.g_00618	Prbk.g_00013
OG0000010	Prbj.g_00129	Prbk.g_02112
OG0000011	Prbj.g_00897	Prbk.g_01851
OG0000012	Prbj.g_02552	Prbk.g_02610
OG0000013	Prbj.g_00359	Prbk.g_00853
OG0000014	Prbj.g_01442	Prbk.g_00454
OG0000015	Prbj.g_02502	Prbk.g_02558
OG0000017	Prbj.g_01769	Prbk.g_01142
OG0000017	Prbj.g_01761	Prbk.g_01150
OG0000018	Prbj.g_00641	Prbk.g_01227
OG0000019	Prbj.g_00025	Prbk.g_01644
OG0000019	Prbj.g_01349	Prbk.g_01004
OG0000020	Prbj.g_00214	Prbk.g_01331
OG0000020	Prbj.g_02701	Prbk.g_02697
OG0000020	Prbj.g_00046	Prbk.g_01664
OG0000021	Prbj.g_01121	Prbk.g_01960
OG0000021	Prbj.g_01774	Prbk.g_01137
OG0000022	Prbj.g_00050	Prbk.g_01667
OG0000022	Prbj.g_01572	Prbk.g_00212
OG0000023	Prbj.g_02392	Prbk.g_02448
OG0000024	Prbj.g_00773	Prbk.g_01780
OG0000025	Prbj.g_02475	Prbk.g_02531
OG0000026	Prbj.g_01204	Prbk.g_01617
OG0000028	Prbj.g_01457	Prbk.g_00469
OG0000029	Prbj.g_00378	Prbk.g_00833
OG0000030	Prbj.g_01288	Prbk.g_01532
OG0000030	Prbj.g_01287	Prbk.g_01533
OG0000031	Prbj.g_01522	Prbk.g_00534
OG0000031	Prbj.g_01527	Prbk.g_00539
OG0000032	Prbj.g_00659	Prbk.g_01209
OG0000032	Prbj.g_01468	Prbk.g_00480
OG0000033	Prbj.g_00518	Prbk.g_00776
OG0000034	Prbj.g_01740	Prbk.g_01171
OG0000035	Prbj.g_01056	Prbk.g_00259
OG0000036	Prbj.g_01099	Prbk.g_01948
OG0000036	Prbj.g_01382	Prbk.g_00394
OG0000036	Prbj.g_01105	Prbk.g_01942
OG0000036	Prbj.g_01106, Prbj.g_02087	Prbk.g_01040
OG0000036	Prbj.g_00412	Prbk.g_00799
OG0000036	Prbj.g_00504	Prbk.g_00790
OG0000036	Prbj.g_02686	Prbk.g_00075
OG0000036	Prbj.g_01098	Prbk.g_01949
OG0000036	Prbj.g_01134	Prbk.g_01284
OG0000036	Prbj.g_01675	Prbk.g_02015
OG0000037	Prbj.g_00624	Prbk.g_00007
OG0000038	Prbj.g_01959	Prbk.g_02164
OG0000038	Prbj.g_01961	Prbk.g_02166
OG0000039	Prbj.g_00429	Prbk.g_01385
OG0000039	Prbj.g_00278	Prbk.g_00642
OG0000041	Prbj.g_00450	Prbk.g_01406
OG0000042	Prbj.g_01808	Prbk.g_01495
OG0000042	Prbj.g_00001	Prbk.g_00140
OG0000044	Prbj.g_01330	Prbk.g_01462
OG0000044	Prbj.g_00194	Prbk.g_01351
OG0000044	Prbj.g_02695	Prbk.g_02675
OG0000044	Prbj.g_00726	Prbk.g_01732
OG0000045	Prbj.g_00563	Prbk.g_01321
OG0000046	Prbj.g_00358	Prbk.g_00854
