Orthogroup	Syad	Syag
OG0000001	Syad.g_02864	Syag.g_01942
OG0000001	Syad.g_02865	Syag.g_01943
OG0000001	Syad.g_01238, Syad.g_00611	Syag.g_00520
OG0000003	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996	Syag.g_00691, Syag.g_01261, Syag.g_00931, Syag.g_01260
OG0000003	Syad.g_01327, Syad.g_01331	Syag.g_02658
OG0000004	Syad.g_01304	Syag.g_00988
OG0000004	Syad.g_02184	Syag.g_00370
OG0000004	Syad.g_00810	Syag.g_01790
OG0000005	Syad.g_02639	Syag.g_01708
OG0000005	Syad.g_02596	Syag.g_01667
OG0000006	Syad.g_02130	Syag.g_00435
OG0000006	Syad.g_00588, Syad.g_00829	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Syad.g_00923	Syag.g_01507
OG0000007	Syad.g_02623	Syag.g_01687
OG0000008	Syad.g_01371	Syag.g_01017
OG0000009	Syad.g_01952, Syad.g_00868	Syag.g_00220, Syag.g_00231
OG0000009	Syad.g_02799	Syag.g_01883
OG0000010	Syad.g_02354	Syag.g_01355
OG0000012	Syad.g_02176	Syag.g_00377
OG0000012	Syad.g_01579, Syad.g_01008	Syag.g_00995, Syag.g_00686, Syag.g_01105
OG0000013	Syad.g_00729	Syag.g_02811
OG0000013	Syad.g_00737	Syag.g_02820
OG0000013	Syad.g_00724	Syag.g_02806
OG0000014	Syad.g_00480	Syag.g_02559
OG0000015	Syad.g_00142	Syag.g_02252
OG0000015	Syad.g_01600, Syad.g_01601	Syag.g_00596
OG0000016	Syad.g_00176	Syag.g_02286
OG0000016	Syad.g_01460	Syag.g_01066
OG0000017	Syad.g_01084	Syag.g_00336
OG0000017	Syad.g_01091	Syag.g_00344
OG0000018	Syad.g_02306	Syag.g_01387
OG0000019	Syad.g_00569	Syag.g_02663
OG0000020	Syad.g_00845	Syag.g_00085
OG0000021	Syad.g_01835, Syad.g_00874	Syag.g_00229
OG0000022	Syad.g_02090	Syag.g_00458
OG0000023	Syad.g_01583	Syag.g_00261, Syag.g_00234
OG0000024	Syad.g_01374	Syag.g_00455
OG0000025	Syad.g_01241	Syag.g_00718
OG0000026	Syad.g_00198	Syag.g_02309
OG0000027	Syad.g_01257	Syag.g_00165
OG0000028	Syad.g_00463	Syag.g_02540
OG0000029	Syad.g_02099	Syag.g_00195
OG0000030	Syad.g_00328	Syag.g_02375
OG0000030	Syad.g_00327	Syag.g_02374
OG0000031	Syad.g_00458	Syag.g_02510
OG0000032	Syad.g_02326	Syag.g_01366
OG0000033	Syad.g_02903	Syag.g_01978
OG0000034	Syad.g_02420, Syad.g_02872	Syag.g_01225, Syag.g_01947
OG0000035	Syad.g_02275	Syag.g_01420, Syag.g_01421
