Orthogroup	Pran	Praa
OG0000000	Pran.g_00582	Praa.g_01300
OG0000000	Pran.g_00601	Praa.g_01598
OG0000000	Pran.g_00579, Pran.g_00001, Pran.g_00602	Praa.g_01597
OG0000000	Pran.g_00593	Praa.g_01297
OG0000000	Pran.g_00894	Praa.g_01298
OG0000001	Pran.g_01395	Praa.g_01220, Praa.g_01222
OG0000002	Pran.g_01500	Praa.g_00678
OG0000004	Pran.g_01483	Praa.g_00695
OG0000004	Pran.g_00200	Praa.g_00232
OG0000005	Pran.g_00983	Praa.g_01648
OG0000005	Pran.g_00657	Praa.g_01553
OG0000006	Pran.g_01951	Praa.g_00241, Praa.g_01245
OG0000007	Pran.g_01681	Praa.g_00497
OG0000007	Pran.g_00970	Praa.g_01635
OG0000008	Pran.g_01506	Praa.g_00672
OG0000009	Pran.g_00615	Praa.g_01264, Praa.g_01589
OG0000009	Pran.g_00328	Praa.g_00105
OG0000010	Pran.g_00175	Praa.g_01047
OG0000010	Pran.g_01704	Praa.g_00474
OG0000011	Pran.g_01384	Praa.g_01626
OG0000012	Pran.g_01555	Praa.g_00623
OG0000013	Pran.g_01867	Praa.g_00327
OG0000014	Pran.g_01888	Praa.g_00306
OG0000014	Pran.g_00755, Pran.g_00754	Praa.g_01409
OG0000015	Pran.g_01394	Praa.g_00765
OG0000017	Pran.g_01580	Praa.g_00598
OG0000018	Pran.g_00078	Praa.g_01141
OG0000018	Pran.g_01316	Praa.g_00831
OG0000019	Pran.g_01943	Praa.g_00249
OG0000019	Pran.g_01363	Praa.g_00782
OG0000020	Pran.g_00117	Praa.g_01107
OG0000021	Pran.g_01829	Praa.g_01623, Praa.g_00364
OG0000022	Pran.g_01401	Praa.g_00763
OG0000022	Pran.g_00097	Praa.g_01124
OG0000023	Pran.g_01834	Praa.g_00359
OG0000024	Pran.g_01420	Praa.g_00747
OG0000024	Pran.g_01503	Praa.g_00675
OG0000025	Pran.g_01309	Praa.g_00839
OG0000025	Pran.g_01863	Praa.g_00331
OG0000026	Pran.g_00393	Praa.g_00031
OG0000026	Pran.g_00168	Praa.g_01054
OG0000027	Pran.g_00583	Praa.g_00470, Praa.g_01301
OG0000028	Pran.g_01874	Praa.g_00320
OG0000029	Pran.g_01410	Praa.g_00754
OG0000030	Pran.g_01170	Praa.g_01842
OG0000033	Pran.g_00800	Praa.g_01437
OG0000033	Pran.g_00263	Praa.g_00169
OG0000034	Pran.g_00866	Praa.g_01328
OG0000035	Pran.g_00733	Praa.g_01476
OG0000037	Pran.g_00324	Praa.g_00109
OG0000038	Pran.g_01210	Praa.g_01883
OG0000039	Pran.g_01492	Praa.g_00686
OG0000040	Pran.g_00923	Praa.g_01618
OG0000040	Pran.g_00079	Praa.g_01140
OG0000041	Pran.g_01016	Praa.g_01683
OG0000042	Pran.g_01167	Praa.g_01839
OG0000043	Pran.g_00179	Praa.g_00876
OG0000045	Pran.g_01823	Praa.g_00370
OG0000047	Pran.g_01864	Praa.g_00330
OG0000048	Pran.g_01820	Praa.g_00373
OG0000049	Pran.g_01811	Praa.g_00382
OG0000049	Pran.g_00526	Praa.g_01256
OG0000050	Pran.g_00149	Praa.g_01075
OG0000051	Pran.g_00898	Praa.g_01291
OG0000052	Pran.g_00777	Praa.g_01447, Praa.g_01407
OG0000053	Pran.g_00713	Praa.g_01496
OG0000054	Pran.g_01572	Praa.g_00606
OG0000055	Pran.g_01362	Praa.g_00783
OG0000057	Pran.g_01480	Praa.g_00698
OG0000058	Pran.g_00807	Praa.g_01425
OG0000059	Pran.g_01056	Praa.g_01723
OG0000061	Pran.g_00060	Praa.g_01415, Praa.g_01159
OG0000062	Pran.g_00655	Praa.g_01555
OG0000063	Pran.g_00391	Praa.g_00033
OG0000065	Pran.g_00326	Praa.g_00107
OG0000066	Pran.g_01639	Praa.g_00539
OG0000067	Pran.g_01343	Praa.g_00803
OG0000068	Pran.g_00841	Praa.g_01366
