Orthogroup	Syaa	Prbc
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329	Prbc.g_00588
OG0000004	Syaa.g_00892	Prbc.g_01381
OG0000004	Syaa.g_01667, Syaa.g_02116	Prbc.g_00339
OG0000005	Syaa.g_00534	Prbc.g_00098
OG0000005	Syaa.g_00573	Prbc.g_00788
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Prbc.g_02202
OG0000007	Syaa.g_02032	Prbc.g_01556
OG0000007	Syaa.g_00551	Prbc.g_00832
OG0000008	Syaa.g_00918	Prbc.g_00893
OG0000008	Syaa.g_00919	Prbc.g_00894
OG0000010	Syaa.g_01843	Prbc.g_02115
OG0000011	Syaa.g_00921	Prbc.g_00136, Prbc.g_00616
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Prbc.g_01219
OG0000014	Syaa.g_00222	Prbc.g_01198
OG0000014	Syaa.g_00481	Prbc.g_00680
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Prbc.g_00599
OG0000016	Syaa.g_00014	Prbc.g_01083
OG0000016	Syaa.g_00981, Syaa.g_01481	Prbc.g_00929
OG0000018	Syaa.g_01801	Prbc.g_01468
OG0000019	Syaa.g_00307	Prbc.g_01836
OG0000021	Syaa.g_02627	Prbc.g_00924, Prbc.g_02189
OG0000022	Syaa.g_01571	Prbc.g_01288
OG0000023	Syaa.g_01529, Syaa.g_01216	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071
OG0000024	Syaa.g_00922	Prbc.g_00598, Prbc.g_01755
OG0000025	Syaa.g_00839	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894
OG0000026	Syaa.g_00038	Prbc.g_01101
OG0000027	Syaa.g_01605, Syaa.g_00854	Prbc.g_00072
OG0000028	Syaa.g_00205	Prbc.g_00653
OG0000030	Syaa.g_00099, Syaa.g_00098	Prbc.g_00199
OG0000031	Syaa.g_00200, Syaa.g_00480	Prbc.g_01228
OG0000032	Syaa.g_01818	Prbc.g_00746
OG0000033	Syaa.g_02478, Syaa.g_00485	Prbc.g_00402
OG0000034	Syaa.g_00722, Syaa.g_02444	Prbc.g_00575
OG0000035	Syaa.g_01773	Prbc.g_00709
OG0000037	Syaa.g_02384	Prbc.g_00464
OG0000038	Syaa.g_02596	Prbc.g_00995
OG0000039	Syaa.g_00846	Prbc.g_01768
OG0000040	Syaa.g_01606	Prbc.g_00909, Prbc.g_00811
OG0000041	Syaa.g_00660, Syaa.g_00869	Prbc.g_00877
OG0000042	Syaa.g_00103	Prbc.g_00203
OG0000043	Syaa.g_01437	Prbc.g_01953
OG0000044	Syaa.g_01737, Syaa.g_00363, Syaa.g_00851	Prbc.g_00533
OG0000046	Syaa.g_02211, Syaa.g_02205, Syaa.g_02218	Prbc.g_01220
OG0000047	Syaa.g_02189	Prbc.g_01227, Prbc.g_01273
OG0000048	Syaa.g_00275, Syaa.g_02719	Prbc.g_01165
OG0000050	Syaa.g_01591	Prbc.g_01383
OG0000050	Syaa.g_01213, Syaa.g_01712	Prbc.g_00513
OG0000052	Syaa.g_00174	Prbc.g_00518, Prbc.g_00517
OG0000053	Syaa.g_01797	Prbc.g_00728
OG0000054	Syaa.g_01691, Syaa.g_01502	Prbc.g_01683
OG0000055	Syaa.g_01564	Prbc.g_00907
OG0000057	Syaa.g_01466, Syaa.g_00889	Prbc.g_00055, Prbc.g_01780
OG0000058	Syaa.g_00193, Syaa.g_00455	Prbc.g_01928
OG0000059	Syaa.g_02315	Prbc.g_00958
