Orthogroup	Prbl	Prav
OG0000000	Prbl.g_00116	Prav.g_01695, Prav.g_00973
OG0000000	Prbl.g_00118, Prbl.g_00117	Prav.g_01413, Prav.g_01698
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Prav.g_01458, Prav.g_01748, Prav.g_00962, Prav.g_01820, Prav.g_02007, Prav.g_01734
OG0000002	Prbl.g_01582	Prav.g_01466
OG0000002	Prbl.g_01092	Prav.g_01276
OG0000004	Prbl.g_00021	Prav.g_01293
OG0000004	Prbl.g_01771	Prav.g_00806
OG0000005	Prbl.g_00419	Prav.g_01654
OG0000006	Prbl.g_02601	Prav.g_02001
OG0000007	Prbl.g_00531	Prav.g_01095
OG0000007	Prbl.g_00394	Prav.g_01761
OG0000008	Prbl.g_01855	Prav.g_01749
OG0000008	Prbl.g_01854	Prav.g_01750
OG0000009	Prbl.g_00155, Prbl.g_00554	Prav.g_00170
OG0000010	Prbl.g_01341	Prav.g_01072
OG0000011	Prbl.g_01822	Prav.g_01014, Prav.g_01407
OG0000012	Prbl.g_01618	Prav.g_01221
OG0000013	Prbl.g_01183	Prav.g_01973
OG0000014	Prbl.g_01416	Prav.g_01952
OG0000015	Prbl.g_01566	Prav.g_00363, Prav.g_00961
OG0000017	Prbl.g_01763	Prav.g_01194
OG0000018	Prbl.g_00694	Prav.g_00046, Prav.g_00424
OG0000019	Prbl.g_01097	Prav.g_01896, Prav.g_00375
OG0000020	Prbl.g_01076	Prav.g_00014
OG0000020	Prbl.g_01026, Prbl.g_01386	Prav.g_01386
OG0000021	Prbl.g_01531	Prav.g_00984
OG0000022	Prbl.g_01310	Prav.g_00360
OG0000022	Prbl.g_01072	Prav.g_00029
OG0000023	Prbl.g_02355	Prav.g_00979
OG0000024	Prbl.g_00040	Prav.g_00343, Prav.g_01273
OG0000025	Prbl.g_01539	Prav.g_00431, Prav.g_01977
OG0000026	Prbl.g_01977	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000028	Prbl.g_00900	Prav.g_01966
OG0000029	Prbl.g_01163	Prav.g_00350
OG0000030	Prbl.g_02061, Prbl.g_02060	Prav.g_00699
OG0000032	Prbl.g_00889	Prav.g_01499
OG0000033	Prbl.g_00278	Prav.g_00869
OG0000034	Prbl.g_01734	Prav.g_01448
OG0000035	Prbl.g_00242	Prav.g_01578
OG0000037	Prbl.g_00548	Prav.g_00174
OG0000038	Prbl.g_02235, Prbl.g_02233	Prav.g_00739
OG0000039	Prbl.g_00318, Prbl.g_01272	Prav.g_01284
OG0000041	Prbl.g_00339	Prav.g_01808
OG0000042	Prbl.g_01236, Prbl.g_01121	Prav.g_00696
OG0000045	Prbl.g_00609	Prav.g_00990
OG0000047	Prbl.g_00719	Prav.g_01976
OG0000048	Prbl.g_01465	Prav.g_00993
OG0000051	Prbl.g_01677	Prav.g_01410
OG0000052	Prbl.g_00870	Prav.g_01533
OG0000053	Prbl.g_00691	Prav.g_01598
OG0000054	Prbl.g_01752	Prav.g_01202
OG0000056	Prbl.g_01599	Prav.g_00106, Prav.g_00107, Prav.g_01421
OG0000057	Prbl.g_00025	Prav.g_01296
OG0000059	Prbl.g_00836	Prav.g_00292
OG0000062	Prbl.g_00417	Prav.g_01551, Prav.g_01338, Prav.g_01656
OG0000063	Prbl.g_01981	Prav.g_00101
OG0000065	Prbl.g_00552	Prav.g_00172
OG0000066	Prbl.g_00752	Prav.g_01137
OG0000067	Prbl.g_02335	Prav.g_00397
OG0000068	Prbl.g_00502	Prav.g_01473
OG0000070	Prbl.g_00634	Prav.g_01049
OG0000071	Prbl.g_01722	Prav.g_01438
