Orthogroup	Syam	Syab
OG0000001	Syam.g_00946	Syab.g_01549
OG0000001	Syam.g_00929	Syab.g_01509, Syab.g_01510
OG0000002	Syam.g_00931	Syab.g_02285
OG0000004	Syam.g_00787	Syab.g_00549, Syab.g_01193
OG0000004	Syam.g_01499	Syab.g_01911
OG0000004	Syam.g_00501	Syab.g_02377
OG0000005	Syam.g_02004	Syab.g_02289
OG0000005	Syam.g_01970	Syab.g_02232
OG0000005	Syam.g_00715, Syam.g_01029	Syab.g_00981
OG0000006	Syam.g_00286, Syam.g_00518	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000006	Syam.g_01446	Syab.g_01849
OG0000007	Syam.g_00602	Syab.g_02117
OG0000007	Syam.g_01990	Syab.g_02256
OG0000008	Syam.g_00810	Syab.g_01755
OG0000008	Syam.g_00811	Syab.g_01168
OG0000009	Syam.g_02119	Syab.g_02498
OG0000010	Syam.g_01669	Syab.g_00696
OG0000012	Syam.g_00994	Syab.g_01774, Syab.g_00953
OG0000013	Syam.g_00421	Syab.g_00497
OG0000013	Syam.g_00404	Syab.g_00482
OG0000013	Syam.g_00409	Syab.g_00487
OG0000014	Syam.g_00191	Syab.g_00249
OG0000016	Syam.g_00014	Syab.g_00014
OG0000016	Syam.g_00876	Syab.g_01049
OG0000017	Syam.g_01708	Syab.g_01945
OG0000017	Syam.g_01715	Syab.g_01953
OG0000018	Syam.g_01640	Syab.g_00742
OG0000019	Syam.g_00274	Syab.g_00344
OG0000022	Syam.g_01418	Syab.g_01825
OG0000023	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075	Syab.g_00708
OG0000023	Syam.g_01943	Syab.g_02058, Syab.g_01294
OG0000024	Syam.g_00815	Syab.g_01834
OG0000025	Syam.g_00740	Syab.g_01705
OG0000026	Syam.g_00035	Syab.g_00036
OG0000027	Syam.g_00989	Syab.g_01782
OG0000028	Syam.g_00176	Syab.g_00234
OG0000030	Syam.g_00104	Syab.g_00096
OG0000030	Syam.g_00103	Syab.g_00095
OG0000031	Syam.g_00171	Syab.g_00160
OG0000032	Syam.g_01660	Syab.g_00724
OG0000032	Syam.g_00079	Syab.g_00149
OG0000033	Syam.g_02217	Syab.g_02590
OG0000034	Syam.g_01843, Syam.g_02187	Syab.g_00900, Syab.g_02560
OG0000035	Syam.g_01612	Syab.g_00776
OG0000037	Syam.g_02125	Syab.g_02504
OG0000038	Syam.g_02317	Syab.g_02759
OG0000040	Syam.g_02390	Syab.g_02853
OG0000041	Syam.g_01899	Syab.g_02333
OG0000042	Syam.g_00107	Syab.g_01019, Syab.g_00099
OG0000043	Syam.g_01041	Syab.g_01785
OG0000044	Syam.g_01562	Syab.g_01262
OG0000045	Syam.g_02028	Syab.g_01787
OG0000046	Syam.g_00403	Syab.g_00481
OG0000046	Syam.g_00410	Syab.g_00488
OG0000046	Syam.g_00420	Syab.g_00496
OG0000047	Syam.g_00434	Syab.g_00876
OG0000048	Syam.g_00243	Syab.g_00308
OG0000052	Syam.g_00161	Syab.g_00214
OG0000053	Syam.g_01636	Syab.g_00746
OG0000054	Syam.g_01515	Syab.g_01932
OG0000055	Syam.g_00754	Syab.g_01255
OG0000057	Syam.g_00784	Syab.g_01200
OG0000058	Syam.g_00169	Syab.g_00227
OG0000059	Syam.g_00320	Syab.g_00397
OG0000061	Syam.g_01795	Syab.g_00171, Syab.g_00969
OG0000062	Syam.g_01972	Syab.g_02234
OG0000063	Syam.g_00039	Syab.g_00040
OG0000064	Syam.g_02363, Syam.g_01415	Syab.g_01783
OG0000064	Syam.g_01414, Syam.g_00978	Syab.g_00997
OG0000064	Syam.g_01964	Syab.g_00824
OG0000066	Syam.g_00552, Syam.g_00662	Syab.g_02031
OG0000067	Syam.g_01290	Syab.g_01659
OG0000068	Syam.g_00575	Syab.g_02087
OG0000070	Syam.g_01847	Syab.g_00614
OG0000071	Syam.g_01830	Syab.g_00915
OG0000072	Syam.g_02219	Syab.g_02593
OG0000073	Syam.g_00604	Syab.g_02119
OG0000075	Syam.g_00148	Syab.g_00202
OG0000076	Syam.g_00115	Syab.g_00113
OG0000077	Syam.g_02074	Syab.g_02446
OG0000078	Syam.g_00514	Syab.g_02366
OG0000079	Syam.g_00270	Syab.g_00340
OG0000081	Syam.g_01918, Syam.g_00520	Syab.g_01793
OG0000082	Syam.g_01730	Syab.g_01971
OG0000085	Syam.g_01979	Syab.g_02243
OG0000086	Syam.g_02092	Syab.g_02468
OG0000087	Syam.g_02175	Syab.g_02551
OG0000088	Syam.g_02213	Syab.g_02586
OG0000089	Syam.g_00489	Syab.g_00551
OG0000090	Syam.g_00651	Syab.g_02041
OG0000091	Syam.g_01460	Syab.g_01866
OG0000093	Syam.g_01305	Syab.g_01582
OG0000094	Syam.g_01198	Syab.g_01306
OG0000095	Syam.g_00774	Syab.g_01210
OG0000097	Syam.g_00874	Syab.g_01051
OG0000098	Syam.g_00944	Syab.g_01553
OG0000099	Syam.g_00173	Syab.g_00230
OG0000100	Syam.g_01259	Syab.g_01694
OG0000101	Syam.g_00371	Syab.g_00446
OG0000102	Syam.g_00110	Syab.g_00104
OG0000103	Syam.g_02428	Syab.g_02895
OG0000104	Syam.g_02442	Syab.g_02910
OG0000105	Syam.g_00238	Syab.g_00303
OG0000106	Syam.g_01039	Syab.g_01817
OG0000107	Syam.g_00288	Syab.g_00367
OG0000108	Syam.g_00583	Syab.g_02096
OG0000109	Syam.g_00598	Syab.g_02112
OG0000110	Syam.g_01743	Syab.g_01984
OG0000112	Syam.g_01115	Syab.g_01392
OG0000113	Syam.g_01264	Syab.g_01689
OG0000114	Syam.g_01349	Syab.g_01633, Syab.g_02656
OG0000115	Syam.g_01634	Syab.g_00748
OG0000116	Syam.g_01807	Syab.g_00945
OG0000117	Syam.g_00904	Syab.g_01018
OG0000118	Syam.g_01698	Syab.g_00897
OG0000120	Syam.g_00172	Syab.g_00229
OG0000121	Syam.g_01615	Syab.g_00772
OG0000122	Syam.g_01436	Syab.g_01839
OG0000123	Syam.g_00379	Syab.g_00454
OG0000124	Syam.g_00096	Syab.g_00088
OG0000125	Syam.g_02319	Syab.g_02763
OG0000126	Syam.g_02440	Syab.g_02908
OG0000128	Syam.g_00012	Syab.g_00012
OG0000129	Syam.g_02307	Syab.g_02749
OG0000130	Syam.g_02062	Syab.g_02434
OG0000131	Syam.g_02191	Syab.g_02564
OG0000132	Syam.g_02211	Syab.g_02584
OG0000133	Syam.g_01120	Syab.g_01387
OG0000134	Syam.g_00492	Syab.g_00554
OG0000135	Syam.g_02347	Syab.g_02815
OG0000136	Syam.g_01857	Syab.g_00588
OG0000137	Syam.g_01668	Syab.g_00697
