Orthogroup	Syah	Praf
OG0000001	Syah.g_01516	Praf.g_01031
OG0000001	Syah.g_00040, Syah.g_00041	Praf.g_02422
OG0000002	Syah.g_01829	Praf.g_01631, Praf.g_00948
OG0000004	Syah.g_02017	Praf.g_01121
OG0000004	Syah.g_01967, Syah.g_00901	Praf.g_00743
OG0000005	Syah.g_02363	Praf.g_00503
OG0000006	Syah.g_01912, Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Praf.g_00396, Praf.g_01719
OG0000007	Syah.g_01016	Praf.g_00614
OG0000007	Syah.g_02384	Praf.g_00480
OG0000008	Syah.g_01994	Praf.g_01223
OG0000008	Syah.g_01993	Praf.g_01224
OG0000009	Syah.g_01910, Syah.g_02535	Praf.g_01768, Praf.g_00246
OG0000010	Syah.g_01220	Praf.g_01908
OG0000012	Syah.g_01960	Praf.g_01668
OG0000013	Syah.g_00822, Syah.g_00831, Syah.g_00817	Praf.g_02073
OG0000014	Syah.g_00127	Praf.g_02319
OG0000014	Syah.g_00323	Praf.g_00112
OG0000015	Syah.g_01511, Syah.g_01510	Praf.g_01030, Praf.g_01033, Praf.g_01618
OG0000016	Syah.g_00359	Praf.g_00014
OG0000016	Syah.g_01402	Praf.g_00906
OG0000017	Syah.g_01152	Praf.g_00752
OG0000017	Syah.g_01159	Praf.g_00760
OG0000018	Syah.g_01264	Praf.g_01832
OG0000019	Syah.g_00669	Praf.g_00943, Praf.g_02214
OG0000022	Syah.g_01881	Praf.g_00965
OG0000024	Syah.g_01990	Praf.g_01139
OG0000025	Syah.g_02082	Praf.g_01591
OG0000026	Syah.g_00340	Praf.g_00037
OG0000028	Syah.g_00141	Praf.g_02333
OG0000029	Syah.g_01292	Praf.g_02091, Praf.g_02647
OG0000030	Syah.g_00264	Praf.g_00160
OG0000030	Syah.g_00265	Praf.g_00159
OG0000031	Syah.g_00146	Praf.g_02400
OG0000031	Syah.g_00226	Praf.g_00101
OG0000031	Syah.g_00322	Praf.g_00113
OG0000032	Syah.g_01246	Praf.g_01851
