HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N35.HOG0000000	OG0000000	n1																																										Syab.g_01226										Syal.g_01111, Syal.g_01832								
N35.HOG0000001	OG0000001	n64																																										Syab.g_01549					Syag.g_00575					Syal.g_02193								
N35.HOG0000002	OG0000001	n73																																																									Syaq.g_01436			
N35.HOG0000003	OG0000001	n78																																															Syag.g_01942					Syal.g_02215					Syaq.g_00118, Syaq.g_01435, Syaq.g_00115			
N35.HOG0000004	OG0000001	n97																																										Syab.g_02553, Syab.g_02555					Syag.g_01943				Syak.g_02138	Syal.g_00874, Syal.g_01184					Syaq.g_01434			
N35.HOG0000005	OG0000001	n142																																										Syab.g_01509, Syab.g_01510																		
N35.HOG0000006	OG0000001	n146																																																			Syak.g_00275						Syaq.g_02178			
N35.HOG0000007	OG0000001	n147																																																			Syak.g_00579						Syaq.g_02413			
N35.HOG0000008	OG0000001	n159																																										Syab.g_00673																		
N35.HOG0000009	OG0000002	n1																																										Syab.g_02285																		
N35.HOG0000010	OG0000003	n3																																																									Syaq.g_01566			
N35.HOG0000011	OG0000003	n7																																																									Syaq.g_00887			
N35.HOG0000012	OG0000003	n10																																															Syag.g_01565													
N35.HOG0000013	OG0000003	n11																																															Syag.g_01570, Syag.g_00064, Syag.g_00065, Syag.g_01566, Syag.g_01571, Syag.g_01561					Syal.g_00009								
N35.HOG0000014	OG0000003	n20																																															Syag.g_01569					Syal.g_01214								
N35.HOG0000015	OG0000003	n22																																															Syag.g_01572													
N35.HOG0000016	OG0000003	n24																																															Syag.g_00066, Syag.g_01564, Syag.g_00932													
N35.HOG0000017	OG0000003	n41																																															Syag.g_00691					Syal.g_02153								
N35.HOG0000018	OG0000003	n47																																															Syag.g_01261, Syag.g_00931, Syag.g_01260													
N35.HOG0000019	OG0000003	n114																																										Syab.g_01580					Syag.g_02658													
N35.HOG0000020	OG0000004	n1																																										Syab.g_00549, Syab.g_01193					Syag.g_00988				Syak.g_01219, Syak.g_00720	Syal.g_01809					Syaq.g_02603			
N35.HOG0000021	OG0000004	n88																																										Syab.g_01911					Syag.g_00370				Syak.g_00003	Syal.g_02718					Syaq.g_02042			
N35.HOG0000022	OG0000004	n108																																										Syab.g_02377					Syag.g_01790				Syak.g_02297	Syal.g_00691					Syaq.g_01567			
N35.HOG0000023	OG0000005	n1																																										Syab.g_02289					Syag.g_01708				Syak.g_02401	Syal.g_00606					Syaq.g_01658			
N35.HOG0000024	OG0000005	n46																																										Syab.g_02806, Syab.g_02232					Syag.g_01667				Syak.g_00885, Syak.g_02436	Syal.g_00565					Syaq.g_01692			
N35.HOG0000025	OG0000005	n83																																										Syab.g_00981										Syal.g_01664					Syaq.g_00236			
N35.HOG0000026	OG0000006	n25																																										Syab.g_01849					Syag.g_00435				Syak.g_00057	Syal.g_02611					Syaq.g_02108			
N35.HOG0000027	OG0000006	n44																																																									Syaq.g_02558			
