Orthogroup	Prba	Pran
OG0000000	Prba.g_01174	Pran.g_00582
OG0000000	Prba.g_00269	Pran.g_00601
OG0000000	Prba.g_00003	Pran.g_00001
OG0000000	Prba.g_00270	Pran.g_00001
OG0000000	Prba.g_00003	Pran.g_00602
OG0000000	Prba.g_00270	Pran.g_00602
OG0000000	Prba.g_01172	Pran.g_00894
OG0000002	Prba.g_01639	Pran.g_01500
OG0000004	Prba.g_01622	Pran.g_01483
OG0000004	Prba.g_00451	Pran.g_00200
OG0000005	Prba.g_00607	Pran.g_00983
OG0000005	Prba.g_00312	Pran.g_00657
OG0000006	Prba.g_00460	Pran.g_01951
OG0000007	Prba.g_00964	Pran.g_01681
OG0000007	Prba.g_00226	Pran.g_00970
OG0000008	Prba.g_01645	Pran.g_01506
OG0000009	Prba.g_01142, Prba.g_00276	Pran.g_00615
OG0000009	Prba.g_01893	Pran.g_00328
OG0000010	Prba.g_00987	Pran.g_01704
OG0000010	Prba.g_01256	Pran.g_00175
OG0000011	Prba.g_01132	Pran.g_01384
OG0000012	Prba.g_01694	Pran.g_01555
OG0000013	Prba.g_00543	Pran.g_01867
OG0000014	Prba.g_00522	Pran.g_01888
OG0000014	Prba.g_00159	Pran.g_00755, Pran.g_00754
OG0000015	Prba.g_01538	Pran.g_01394
OG0000017	Prba.g_01719	Pran.g_01580
OG0000018	Prba.g_01472	Pran.g_01316
OG0000018	Prba.g_00083	Pran.g_00078
OG0000019	Prba.g_00468	Pran.g_01943
OG0000019	Prba.g_01519	Pran.g_01363
OG0000020	Prba.g_00737	Pran.g_00117
OG0000021	Prba.g_00245, Prba.g_00858	Pran.g_01829
OG0000022	Prba.g_00101	Pran.g_00097
OG0000022	Prba.g_01543	Pran.g_01401
OG0000023	Prba.g_00854	Pran.g_01834
OG0000024	Prba.g_01558	Pran.g_01420
OG0000024	Prba.g_01642	Pran.g_01503
OG0000025	Prba.g_00547	Pran.g_01863
OG0000025	Prba.g_01464	Pran.g_01309
OG0000026	Prba.g_01824	Pran.g_00393
OG0000026	Prba.g_01249	Pran.g_00168
OG0000027	Prba.g_00991, Prba.g_01175	Pran.g_00583
OG0000028	Prba.g_00536	Pran.g_01874
OG0000029	Prba.g_01551	Pran.g_01410
OG0000030	Prba.g_00778	Pran.g_01170
OG0000031	Prba.g_00173	Pran.g_00753
OG0000033	Prba.g_00625	Pran.g_00263
OG0000034	Prba.g_01202	Pran.g_00866
OG0000035	Prba.g_00713	Pran.g_00733
OG0000037	Prba.g_01897	Pran.g_00324
OG0000038	Prba.g_00819	Pran.g_01210
OG0000039	Prba.g_01631	Pran.g_01492
OG0000040	Prba.g_00251	Pran.g_00923
OG0000040	Prba.g_00084	Pran.g_00079
OG0000042	Prba.g_00775	Pran.g_01167
OG0000043	Prba.g_01427	Pran.g_00179
OG0000044	Prba.g_00002	Pran.g_00949
OG0000045	Prba.g_00865	Pran.g_01823
OG0000047	Prba.g_00546	Pran.g_01864
OG0000048	Prba.g_00868	Pran.g_01820
OG0000049	Prba.g_00878	Pran.g_01811
OG0000049	Prba.g_01104	Pran.g_00586
OG0000049	Prba.g_00901	Pran.g_00526
OG0000050	Prba.g_00899	Pran.g_01789
OG0000050	Prba.g_01229	Pran.g_00149
OG0000051	Prba.g_01168	Pran.g_00898
OG0000052	Prba.g_00160	Pran.g_00777
OG0000053	Prba.g_00693	Pran.g_00713
OG0000054	Prba.g_01711	Pran.g_01572
OG0000055	Prba.g_01518	Pran.g_01362
OG0000057	Prba.g_01619	Pran.g_01480
OG0000058	Prba.g_00153	Pran.g_00807
OG0000059	Prba.g_00381	Pran.g_01056
OG0000061	Prba.g_00064	Pran.g_00060
OG0000062	Prba.g_00310	Pran.g_00655
OG0000063	Prba.g_01826	Pran.g_00391
OG0000065	Prba.g_01895	Pran.g_00326
OG0000066	Prba.g_00922	Pran.g_01639
OG0000067	Prba.g_01499	Pran.g_01343
OG0000068	Prba.g_00196	Pran.g_00841
OG0000069	Prba.g_00275	Pran.g_00614
OG0000070	Prba.g_01011	Pran.g_01727
OG0000071	Prba.g_01192	Pran.g_00938, Pran.g_00876
OG0000072	Prba.g_00627	Pran.g_00261
OG0000073	Prba.g_00962	Pran.g_01679
OG0000074	Prba.g_01635	Pran.g_01496
OG0000075	Prba.g_01071	Pran.g_01137
OG0000076	Prba.g_00768	Pran.g_01160
OG0000077	Prba.g_01866	Pran.g_00354
OG0000078	Prba.g_00458	Pran.g_00194
OG0000079	Prba.g_00471	Pran.g_01940
OG0000081	Prba.g_00930	Pran.g_01647
OG0000082	Prba.g_01731	Pran.g_01593
OG0000083	Prba.g_01171	Pran.g_00895
OG0000083	Prba.g_01570	Pran.g_00576
OG0000084	Prba.g_00717	Pran.g_00737
OG0000085	Prba.g_00233	Pran.g_00963
OG0000086	Prba.g_01876	Pran.g_00344
OG0000087	Prba.g_01927	Pran.g_00295
OG0000088	Prba.g_00622	Pran.g_00266
OG0000089	Prba.g_00850	Pran.g_01839
OG0000090	Prba.g_00928	Pran.g_01645
OG0000091	Prba.g_01675	Pran.g_01536
OG0000092	Prba.g_01390	Pran.g_00434
OG0000093	Prba.g_01369	Pran.g_00455
OG0000094	Prba.g_01283	Pran.g_00549
OG0000095	Prba.g_01264	Pran.g_00903, Pran.g_00568
OG0000096	Prba.g_00734	Pran.g_00114
OG0000097	Prba.g_00022	Pran.g_00019
OG0000098	Prba.g_00214	Pran.g_00855
OG0000099	Prba.g_00155	Pran.g_00806
OG0000100	Prba.g_00314	Pran.g_00659
OG0000101	Prba.g_00429	Pran.g_01105
OG0000102	Prba.g_00773	Pran.g_01165
OG0000103	Prba.g_01781	Pran.g_01244
OG0000104	Prba.g_01789	Pran.g_01253
OG0000105	Prba.g_00491	Pran.g_01920
OG0000106	Prba.g_00864	Pran.g_01824
OG0000107	Prba.g_00880	Pran.g_01808
OG0000108	Prba.g_00981	Pran.g_01698
OG0000109	Prba.g_00967	Pran.g_01684
OG0000110	Prba.g_01741	Pran.g_01603
OG0000111	Prba.g_01618	Pran.g_01479
OG0000112	Prba.g_01534	Pran.g_01378
OG0000113	Prba.g_01477	Pran.g_01321
OG0000114	Prba.g_01395	Pran.g_00429
OG0000115	Prba.g_00743	Pran.g_00123
OG0000116	Prba.g_00074	Pran.g_00070
OG0000117	Prba.g_01135	Pran.g_01466
OG0000118	Prba.g_01204	Pran.g_00864
OG0000119	Prba.g_00200	Pran.g_00845
OG0000120	Prba.g_00175	Pran.g_00752
OG0000121	Prba.g_00711	Pran.g_00731
OG0000122	Prba.g_00348	Pran.g_00693
OG0000123	Prba.g_00436	Pran.g_01112
OG0000124	Prba.g_00784	Pran.g_01176
OG0000125	Prba.g_00821	Pran.g_01212
