Orthogroup	Syad	Prbi
OG0000001	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611	Prbi.g_01424
OG0000002	Syad.g_00619	Prbi.g_01432, Prbi.g_00681
OG0000004	Syad.g_01304	Prbi.g_00698
OG0000004	Syad.g_02184, Syad.g_00810	Prbi.g_00256
OG0000005	Syad.g_02639	Prbi.g_01800
OG0000005	Syad.g_02596	Prbi.g_01666
OG0000006	Syad.g_02130, Syad.g_00588, Syad.g_00829	Prbi.g_00265
OG0000007	Syad.g_00923	Prbi.g_00500
OG0000007	Syad.g_02623	Prbi.g_01787
OG0000008	Syad.g_01371	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Syad.g_01952, Syad.g_00868	Prbi.g_01338, Prbi.g_01701
OG0000009	Syad.g_02799	Prbi.g_00112
OG0000010	Syad.g_02354	Prbi.g_01094
OG0000011	Syad.g_02006	Prbi.g_01361
OG0000012	Syad.g_02176, Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008	Prbi.g_00625
OG0000013	Syad.g_00729, Syad.g_00737, Syad.g_00724	Prbi.g_00351
OG0000014	Syad.g_00480	Prbi.g_00330
OG0000014	Syad.g_00260	Prbi.g_01508
OG0000015	Syad.g_00142, Syad.g_01600, Syad.g_01601	Prbi.g_00810, Prbi.g_01304
OG0000016	Syad.g_00176	Prbi.g_00013
OG0000017	Syad.g_01084, Syad.g_01091	Prbi.g_00600
OG0000018	Syad.g_02306	Prbi.g_01188
OG0000019	Syad.g_00569	Prbi.g_00273, Prbi.g_00827
OG0000020	Syad.g_00845	Prbi.g_01153
OG0000021	Syad.g_01835, Syad.g_00874	Prbi.g_01742, Prbi.g_00389
OG0000022	Syad.g_02090	Prbi.g_01170
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prbi.g_00384
OG0000024	Syad.g_01374	Prbi.g_00788, Prbi.g_00678
OG0000025	Syad.g_01241	Prbi.g_00355, Prbi.g_00882
OG0000026	Syad.g_00198	Prbi.g_00031, Prbi.g_01101
