Orthogroup	Praf	Prad
OG0000000	Praf.g_01631	Prad.g_00601
OG0000000	Praf.g_00948	Prad.g_01252
OG0000001	Praf.g_01039, Praf.g_01042, Praf.g_00815	Prad.g_00372, Prad.g_00349
OG0000002	Praf.g_02422, Praf.g_01293, Praf.g_01031, Praf.g_01895, Praf.g_00818, Praf.g_01896	Prad.g_00609
OG0000003	Praf.g_00814	Prad.g_00350, Prad.g_00389
OG0000004	Praf.g_01014, Praf.g_02005	Prad.g_01082
OG0000006	Praf.g_00614	Prad.g_00132
OG0000006	Praf.g_00480	Prad.g_00941
OG0000007	Praf.g_01224, Praf.g_01223	Prad.g_01246
OG0000009	Praf.g_02214	Prad.g_01125, Prad.g_01742
OG0000011	Praf.g_01898	Prad.g_00683
OG0000011	Praf.g_01864	Prad.g_01661
OG0000012	Praf.g_00760, Praf.g_00752	Prad.g_01387
OG0000013	Praf.g_01030, Praf.g_01033, Praf.g_01618	Prad.g_01108
OG0000016	Praf.g_01108, Praf.g_01143	Prad.g_00598
OG0000018	Praf.g_00396, Praf.g_01719	Prad.g_01750
OG0000019	Praf.g_00746	Prad.g_01981, Prad.g_00745
OG0000024	Praf.g_02319, Praf.g_00112	Prad.g_01685
OG0000025	Praf.g_01105	Prad.g_00985
OG0000026	Praf.g_00041	Prad.g_01953, Prad.g_00081
OG0000028	Praf.g_01794	Prad.g_00515
OG0000033	Praf.g_00014	Prad.g_01973
OG0000034	Praf.g_02366	Prad.g_00571
OG0000036	Praf.g_00731	Prad.g_01374
OG0000037	Praf.g_01668	Prad.g_01412
OG0000038	Praf.g_00965, Praf.g_00201	Prad.g_01105
OG0000039	Praf.g_02454, Praf.g_01239	Prad.g_01825
OG0000042	Praf.g_01302, Praf.g_01238	Prad.g_01049
OG0000043	Praf.g_00941, Praf.g_00943	Prad.g_01130
OG0000044	Praf.g_00854	Prad.g_01496
OG0000045	Praf.g_02345	Prad.g_00565
OG0000046	Praf.g_00491	Prad.g_00948
OG0000047	Praf.g_00178	Prad.g_01631
OG0000048	Praf.g_00920, Praf.g_00164	Prad.g_01624
OG0000050	Praf.g_00037	Prad.g_01955
OG0000051	Praf.g_02445	Prad.g_01834
OG0000052	Praf.g_00496	Prad.g_00739
OG0000053	Praf.g_00672	Prad.g_00090
OG0000054	Praf.g_00348	Prad.g_01099
OG0000055	Praf.g_01556	Prad.g_01168
OG0000056	Praf.g_02587	Prad.g_00657
OG0000057	Praf.g_00386	Prad.g_01754, Prad.g_00965
OG0000058	Praf.g_01907	Prad.g_00032
OG0000059	Praf.g_01125	Prad.g_01272
