Orthogroup	Prav	Pray
OG0000000	Prav.g_01466	Pray.g_01836
OG0000000	Prav.g_01276	Pray.g_01085
OG0000001	Prav.g_01694	Pray.g_00003
OG0000001	Prav.g_01694	Pray.g_01604
OG0000001	Prav.g_01821	Pray.g_00003
OG0000001	Prav.g_01821	Pray.g_01604
OG0000002	Prav.g_01458	Pray.g_01844
OG0000002	Prav.g_01820, Prav.g_02007	Pray.g_00246
OG0000003	Prav.g_01698	Pray.g_01602
OG0000003	Prav.g_01413	Pray.g_01890
OG0000004	Prav.g_00330	Pray.g_00277
OG0000004	Prav.g_00338	Pray.g_00284
OG0000005	Prav.g_00973	Pray.g_01576
OG0000005	Prav.g_01695	Pray.g_01603
OG0000006	Prav.g_01095	Pray.g_00988, Pray.g_00987
OG0000006	Prav.g_01761	Pray.g_01559
OG0000007	Prav.g_01749	Pray.g_01931
OG0000007	Prav.g_01270	Pray.g_01091
OG0000008	Prav.g_01000	Pray.g_00862
OG0000008	Prav.g_01016	Pray.g_00885
OG0000009	Prav.g_00375	Pray.g_00328
OG0000009	Prav.g_01896	Pray.g_00730
OG0000010	Prav.g_01400	Pray.g_01905
OG0000011	Prav.g_01976	Pray.g_00808
OG0000012	Prav.g_01194	Pray.g_01165
OG0000013	Prav.g_00961, Prav.g_00363	Pray.g_00309
OG0000014	Prav.g_01416	Pray.g_01887
OG0000015	Prav.g_00998	Pray.g_00860
OG0000016	Prav.g_01469	Pray.g_01833
OG0000017	Prav.g_01598	Pray.g_01702
OG0000018	Prav.g_02001	Pray.g_00722
OG0000019	Prav.g_00984	Pray.g_00842, Pray.g_01578
OG0000020	Prav.g_00993	Pray.g_00852
OG0000021	Prav.g_00377	Pray.g_00330
OG0000022	Prav.g_01736, Prav.g_01415	Pray.g_01888
OG0000023	Prav.g_01688	Pray.g_01610, Pray.g_01920
OG0000024	Prav.g_01952	Pray.g_00784
OG0000025	Prav.g_01013	Pray.g_00883
OG0000026	Prav.g_00101	Pray.g_01495
OG0000027	Prav.g_00333	Pray.g_00280
OG0000027	Prav.g_01309	Pray.g_01635
OG0000028	Prav.g_01578	Pray.g_01722
OG0000029	Prav.g_01689	Pray.g_01609
OG0000031	Prav.g_01410	Pray.g_01894
OG0000033	Prav.g_00081, Prav.g_01385	Pray.g_01475
OG0000034	Prav.g_01533	Pray.g_01793
OG0000035	Prav.g_01877	Pray.g_00438
OG0000035	Prav.g_00251	Pray.g_00622
OG0000036	Prav.g_01182	Pray.g_01177
OG0000037	Prav.g_01221	Pray.g_01140
OG0000038	Prav.g_00360	Pray.g_00304
OG0000039	Prav.g_00872	Pray.g_00647
OG0000040	Prav.g_00979	Pray.g_00838
OG0000041	Prav.g_01022	Pray.g_00910
OG0000042	Prav.g_00306	Pray.g_01040
OG0000043	Prav.g_00381	Pray.g_00333
OG0000044	Prav.g_00065	Pray.g_00064
OG0000045	Prav.g_01512	Pray.g_01786
OG0000046	Prav.g_01754	Pray.g_01566
OG0000047	Prav.g_00689	Pray.g_01364
OG0000048	Prav.g_00696	Pray.g_01371
OG0000050	Prav.g_00099, Prav.g_01324	Pray.g_01493
OG0000051	Prav.g_00881	Pray.g_00638
OG0000052	Prav.g_00989	Pray.g_00848
OG0000053	Prav.g_01137	Pray.g_01222
OG0000054	Prav.g_00354, Prav.g_01325	Pray.g_00299
OG0000055	Prav.g_00419	Pray.g_00370
OG0000056	Prav.g_00021, Prav.g_01388	Pray.g_00110
OG0000057	Prav.g_00801	Pray.g_00718
OG0000058	Prav.g_01073	Pray.g_00965
OG0000059	Prav.g_01296	Pray.g_01065
OG0000060	Prav.g_00335	Pray.g_00282
OG0000061	Prav.g_00576	Pray.g_00531
OG0000062	Prav.g_00033	Pray.g_00097
OG0000063	Prav.g_01390	Pray.g_01927
OG0000064	Prav.g_01396	Pray.g_01917
OG0000064	Prav.g_01729	Pray.g_01583
OG0000065	Prav.g_01438	Pray.g_01870
OG0000066	Prav.g_01513	Pray.g_01808
OG0000067	Prav.g_01334	Pray.g_01930
OG0000067	Prav.g_01014	Pray.g_00884
OG0000068	Prav.g_00632	Pray.g_01306
OG0000069	Prav.g_01499	Pray.g_01782
OG0000070	Prav.g_01421	Pray.g_01942
OG0000071	Prav.g_00079	Pray.g_01473
OG0000072	Prav.g_01968	Pray.g_00800
OG0000073	Prav.g_01267	Pray.g_01094
OG0000074	Prav.g_01289	Pray.g_01072
OG0000075	Prav.g_00404	Pray.g_00355
OG0000076	Prav.g_00933	Pray.g_00584
OG0000078	Prav.g_01514	Pray.g_01788
OG0000079	Prav.g_01656, Prav.g_01551	Pray.g_01644
OG0000080	Prav.g_01705	Pray.g_01595
OG0000081	Prav.g_00663	Pray.g_01337
OG0000082	Prav.g_00751	Pray.g_01427
OG0000083	Prav.g_00789	Pray.g_01464
OG0000084	Prav.g_00792	Pray.g_01468
OG0000085	Prav.g_00091	Pray.g_01485
OG0000086	Prav.g_00110	Pray.g_00244
OG0000087	Prav.g_00120	Pray.g_00234
OG0000088	Prav.g_00178	Pray.g_00176
OG0000089	Prav.g_00186	Pray.g_00168
OG0000090	Prav.g_00204	Pray.g_00150
OG0000091	Prav.g_00869	Pray.g_00650
OG0000092	Prav.g_00868	Pray.g_00651
OG0000093	Prav.g_00854	Pray.g_00665
OG0000094	Prav.g_00836	Pray.g_00683
OG0000095	Prav.g_00831	Pray.g_00688
OG0000096	Prav.g_01898	Pray.g_00732
OG0000097	Prav.g_01920	Pray.g_00753
OG0000098	Prav.g_01930	Pray.g_00763
OG0000099	Prav.g_01940	Pray.g_00772
OG0000100	Prav.g_01943	Pray.g_00775
