Orthogroup	Species	Prbh	Orthologs
OG0000000	Praf	Prbh.g_01853	Praf.g_00815, Praf.g_00814
OG0000000	Prah	Prbh.g_01853	Prah.g_01346, Prah.g_01347
OG0000000	Prbj	Prbh.g_01853	Prbj.g_00166, Prbj.g_00165
OG0000000	Prbk	Prbh.g_01853	Prbk.g_00167, Prbk.g_00166
OG0000000	Prbl	Prbh.g_01853	Prbl.g_00118, Prbl.g_00117
OG0000000	Syab	Prbh.g_01853	Syab.g_01226
OG0000000	Syal	Prbh.g_01853	Syal.g_01111, Syal.g_01832
OG0000000	Pral	Prbh.g_01853	Pral.g_01331
OG0000000	Prat	Prbh.g_01853	Prat.g_00680, Prat.g_01191
OG0000000	Praj	Prbh.g_01853	Praj.g_00419, Praj.g_01356, Praj.g_01076, Praj.g_01201, Praj.g_01271, Praj.g_01308
OG0000000	Prbb	Prbh.g_01853	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400
OG0000000	Prbm	Prbh.g_01853	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381
OG0000000	Prbc	Prbh.g_01853	Prbc.g_02163, Prbc.g_00103
OG0000000	Prai	Prbh.g_01853	Prai.g_00905, Prai.g_01772
OG0000000	Prab	Prbh.g_01853	Prab.g_00915, Prab.g_01617
OG0000000	Pran	Prbh.g_01853	Pran.g_00582
OG0000000	Prac	Prbh.g_01853	Prac.g_00159
OG0000000	Praq	Prbh.g_01853	Praq.g_00117
OG0000000	Prar	Prbh.g_01853	Prar.g_00971
OG0000000	Praa	Prbh.g_01853	Praa.g_01300
OG0000000	Prao	Prbh.g_01853	Prao.g_01294
OG0000000	Pras	Prbh.g_01853	Pras.g_00184
OG0000000	Prau	Prbh.g_01853	Prau.g_01352
OG0000000	Prax	Prbh.g_01853	Prax.g_01917
OG0000000	Pray	Prbh.g_01853	Pray.g_01888
OG0000000	Praz	Prbh.g_01853	Praz.g_01198
OG0000000	Prba	Prbh.g_01853	Prba.g_01174
OG0000000	Prbd	Prbh.g_01853	Prbd.g_01833
OG0000000	Prbi	Prbh.g_01853	Prbi.g_01373
OG0000000	Prae	Prbh.g_01853	Prae.g_01310
OG0000000	Prag	Prbh.g_01853	Prag.g_01647, Prag.g_00719, Prag.g_01335
OG0000000	Praw	Prbh.g_01853	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Prad	Prbh.g_01853	Prad.g_00352
OG0000000	Prav	Prbh.g_01853	Prav.g_01736, Prav.g_01415
OG0000000	Pram	Prbh.g_01853	Pram.g_01561
OG0000000	Prbb	Prbh.g_01901, Prbh.g_01319	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbm	Prbh.g_01901, Prbh.g_01319	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Praj	Prbh.g_01901, Prbh.g_01319	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prbc	Prbh.g_01901, Prbh.g_01319	Prbc.g_00609, Prbc.g_00812
OG0000000	Prak	Prbh.g_01901	Prak.g_01210
OG0000000	Prap	Prbh.g_01901	Prap.g_00494
OG0000000	Prbe	Prbh.g_01901	Prbe.g_01587
OG0000000	Prbf	Prbh.g_01901	Prbf.g_00880
OG0000000	Prbg	Prbh.g_01901	Prbg.g_01524
OG0000000	Prbn	Prbh.g_01901	Prbn.g_01151
OG0000000	Prat	Prbh.g_01901	Prat.g_01190
OG0000000	Pral	Prbh.g_01901	Pral.g_00040
OG0000000	Pram	Prbh.g_01901	Pram.g_01513
