Orthogroup	Pran	Syar
OG0000004	Pran.g_01483	Syar.g_02051
OG0000004	Pran.g_00200	Syar.g_02225, Syar.g_00842
OG0000005	Pran.g_00983	Syar.g_02952
OG0000005	Pran.g_00657	Syar.g_02909
OG0000006	Pran.g_01951	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Pran.g_01681	Syar.g_01491
OG0000007	Pran.g_00970	Syar.g_02929
OG0000008	Pran.g_01506	Syar.g_00419, Syar.g_02048
OG0000009	Pran.g_00328	Syar.g_03116
OG0000010	Pran.g_00175	Syar.g_01272
OG0000012	Pran.g_01555	Syar.g_00690, Syar.g_02860
OG0000013	Pran.g_01867	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Pran.g_01888	Syar.g_00825
OG0000014	Pran.g_00755, Pran.g_00754	Syar.g_02736
OG0000015	Pran.g_01394	Syar.g_00451, Syar.g_00180
OG0000016	Pran.g_00620	Syar.g_02859
OG0000017	Pran.g_01580	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Pran.g_00078	Syar.g_01409
OG0000019	Pran.g_01943, Pran.g_01363	Syar.g_00163
OG0000022	Pran.g_00097	Syar.g_00835
OG0000025	Pran.g_01863, Pran.g_01309	Syar.g_01811
OG0000026	Pran.g_00930, Pran.g_00393, Pran.g_00168	Syar.g_00505
OG0000027	Pran.g_00583	Syar.g_02055, Syar.g_02835
OG0000028	Pran.g_01874	Syar.g_00718
OG0000031	Pran.g_00753	Syar.g_00714
OG0000033	Pran.g_00800	Syar.g_00105
OG0000034	Pran.g_00866	Syar.g_00074, Syar.g_02790
OG0000035	Pran.g_00733	Syar.g_02809
OG0000037	Pran.g_00324	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Pran.g_01210	Syar.g_00334, Syar.g_00336
OG0000039	Pran.g_01492	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Pran.g_00923	Syar.g_02831
OG0000040	Pran.g_00079	Syar.g_00858
OG0000041	Pran.g_01016	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Pran.g_01167	Syar.g_00595, Syar.g_01970
OG0000044	Pran.g_00949	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000048	Pran.g_01772, Pran.g_01820	Syar.g_00213
OG0000051	Pran.g_00944, Pran.g_00898	Syar.g_01597
OG0000053	Pran.g_00713	Syar.g_01413
OG0000054	Pran.g_01572	Syar.g_02265
OG0000055	Pran.g_01362	Syar.g_01386
OG0000057	Pran.g_01480	Syar.g_01941, Syar.g_00006
OG0000059	Pran.g_01056	Syar.g_01024
OG0000060	Pran.g_01399	Syar.g_01260, Syar.g_00178
OG0000061	Pran.g_00060	Syar.g_01539
OG0000062	Pran.g_00655	Syar.g_02911
OG0000063	Pran.g_00391	Syar.g_00509
OG0000065	Pran.g_00326	Syar.g_03119
OG0000066	Pran.g_01639	Syar.g_03187, Syar.g_02228
OG0000067	Pran.g_01343	Syar.g_02639
OG0000068	Pran.g_00841	Syar.g_02329, Syar.g_01461
OG0000069	Pran.g_00614	Syar.g_01716
OG0000070	Pran.g_01727	Syar.g_02223, Syar.g_03150
OG0000071	Pran.g_00938, Pran.g_00876	Syar.g_02777
OG0000072	Pran.g_00261	Syar.g_00107, Syar.g_01140
OG0000073	Pran.g_01679	Syar.g_01364, Syar.g_01493
OG0000075	Pran.g_01137	Syar.g_03065, Syar.g_00659
OG0000076	Pran.g_01160	Syar.g_00608
OG0000077	Pran.g_00354	Syar.g_03051
OG0000078	Pran.g_00194	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000079	Pran.g_01940	Syar.g_00166
OG0000080	Pran.g_00796, Pran.g_00794	Syar.g_00585
OG0000081	Pran.g_01647	Syar.g_01898
OG0000082	Pran.g_01593	Syar.g_02202
OG0000085	Pran.g_00963	Syar.g_02919
OG0000086	Pran.g_00344	Syar.g_03085
OG0000087	Pran.g_00295	Syar.g_03192, Syar.g_00068
OG0000088	Pran.g_00266	Syar.g_00101
OG0000089	Pran.g_01839	Syar.g_01162
OG0000090	Pran.g_01645	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Pran.g_01536	Syar.g_01891, Syar.g_02426
OG0000093	Pran.g_00455	Syar.g_02623
OG0000094	Pran.g_00549	Syar.g_01789
OG0000095	Pran.g_00903	Syar.g_01932
OG0000097	Pran.g_00019	Syar.g_01706, Syar.g_00364
OG0000098	Pran.g_00855	Syar.g_02343
OG0000099	Pran.g_00806	Syar.g_00715
OG0000100	Pran.g_00659	Syar.g_02477
OG0000101	Pran.g_01105	Syar.g_01073, Syar.g_03154
OG0000102	Pran.g_01165	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Pran.g_01244	Syar.g_00014, Syar.g_00452
OG0000104	Pran.g_01253	Syar.g_00466
OG0000105	Pran.g_01920	Syar.g_00218
OG0000106	Pran.g_01824	Syar.g_01748
OG0000107	Pran.g_01808	Syar.g_03290, Syar.g_00149
OG0000108	Pran.g_01698	Syar.g_01469
OG0000109	Pran.g_01684	Syar.g_03310, Syar.g_01485
OG0000110	Pran.g_01603	Syar.g_02295
OG0000111	Pran.g_01479	Syar.g_01940, Syar.g_00005
OG0000112	Pran.g_01378	Syar.g_03195, Syar.g_02548
OG0000113	Pran.g_01321	Syar.g_02664
OG0000114	Pran.g_00429	Syar.g_01616
OG0000115	Pran.g_00123	Syar.g_02854, Syar.g_01415
OG0000116	Pran.g_00070	Syar.g_01525, Syar.g_02255
OG0000117	Pran.g_01466	Syar.g_01969
OG0000118	Pran.g_00864	Syar.g_02793
OG0000120	Pran.g_00752	Syar.g_00713
OG0000121	Pran.g_00731	Syar.g_02806
OG0000123	Pran.g_01112	Syar.g_01079
OG0000124	Pran.g_01176	Syar.g_00586
OG0000125	Pran.g_01212	Syar.g_00338
OG0000126	Pran.g_01252	Syar.g_00887, Syar.g_00888
OG0000128	Pran.g_01268	Syar.g_00482
OG0000129	Pran.g_00381	Syar.g_00324
OG0000130	Pran.g_00363	Syar.g_03040
OG0000131	Pran.g_00288	Syar.g_02216, Syar.g_00078
OG0000132	Pran.g_00268	Syar.g_00099
OG0000133	Pran.g_01872	Syar.g_02543
OG0000134	Pran.g_01838	Syar.g_02009, Syar.g_01165
OG0000135	Pran.g_01812	Syar.g_00698
OG0000136	Pran.g_01739	Syar.g_02874
OG0000137	Pran.g_01703	Syar.g_01273
OG0000138	Pran.g_01683	Syar.g_01486
OG0000139	Pran.g_01641	Syar.g_03245, Syar.g_02348
OG0000140	Pran.g_01640	Syar.g_02344, Syar.g_03246
OG0000141	Pran.g_01571	Syar.g_02129
OG0000142	Pran.g_01543	Syar.g_02418
OG0000143	Pran.g_01539	Syar.g_02422
OG0000144	Pran.g_01526	Syar.g_02441
