Orthogroup	Prar	Pras
OG0000000	Prar.g_00918	Pras.g_00243
OG0000000	Prar.g_01508	Pras.g_01554
OG0000001	Prar.g_01204	Pras.g_00469
OG0000002	Prar.g_00926	Pras.g_00235
OG0000002	Prar.g_01203	Pras.g_00541
OG0000002	Prar.g_01202	Pras.g_00118, Pras.g_00120
OG0000003	Prar.g_00973	Pras.g_00182
OG0000003	Prar.g_00727	Pras.g_00471
OG0000004	Prar.g_01623	Pras.g_01631
OG0000004	Prar.g_01630	Pras.g_01638
OG0000005	Prar.g_00729	Pras.g_00470
OG0000005	Prar.g_00713	Pras.g_00493
OG0000006	Prar.g_01328	Pras.g_01375
OG0000006	Prar.g_01143	Pras.g_00550
OG0000007	Prar.g_01502	Pras.g_01548
OG0000008	Prar.g_00445	Pras.g_01237
OG0000008	Prar.g_01002	Pras.g_00151
OG0000009	Prar.g_01663	Pras.g_01681
OG0000009	Prar.g_00078	Pras.g_01101
OG0000010	Prar.g_01313	Pras.g_00004
OG0000010	Prar.g_00991	Pras.g_00163
OG0000011	Prar.g_00468	Pras.g_01263
OG0000011	Prar.g_00257	Pras.g_01182
OG0000012	Prar.g_01428	Pras.g_01474
OG0000013	Prar.g_01179	Pras.g_00127
OG0000014	Prar.g_00520	Pras.g_01348
OG0000015	Prar.g_00443	Pras.g_01235
OG0000016	Prar.g_00915	Pras.g_00246
OG0000017	Prar.g_00827	Pras.g_00370
OG0000017	Prar.g_00589	Pras.g_00886
OG0000018	Prar.g_00086	Pras.g_00148, Pras.g_01093
OG0000019	Prar.g_00425	Pras.g_01218
OG0000020	Prar.g_00435	Pras.g_01227
OG0000021	Prar.g_01665	Pras.g_01683
OG0000022	Prar.g_00971	Pras.g_00184
OG0000023	Prar.g_00737	Pras.g_00463
OG0000024	Prar.g_00281	Pras.g_00304, Pras.g_01158
OG0000025	Prar.g_01940	Pras.g_01969
OG0000026	Prar.g_00005, Prar.g_00004	Pras.g_00875
OG0000027	Prar.g_00761	Pras.g_00440
OG0000027	Prar.g_01626	Pras.g_01634
OG0000028	Prar.g_00339	Pras.g_00350
OG0000029	Prar.g_00736	Pras.g_00464
OG0000029	Prar.g_01170	Pras.g_00538
OG0000030	Prar.g_00593	Pras.g_00119
OG0000032	Prar.g_00879	Pras.g_00331
OG0000033	Prar.g_00025	Pras.g_00855
OG0000036	Prar.g_01414	Pras.g_01462
OG0000037	Prar.g_01453	Pras.g_01499
OG0000038	Prar.g_01649	Pras.g_01662
OG0000039	Prar.g_00161	Pras.g_01017
OG0000040	Prar.g_00420	Pras.g_01213
OG0000041	Prar.g_00476	Pras.g_01285, Pras.g_01296
OG0000042	Prar.g_01599	Pras.g_01606
OG0000043	Prar.g_01668	Pras.g_01686
OG0000044	Prar.g_01263	Pras.g_00056
OG0000045	Prar.g_00870	Pras.g_00291
OG0000046	Prar.g_01150	Pras.g_00543
OG0000047	Prar.g_00592	Pras.g_00883
OG0000047	Prar.g_00653	Pras.g_00743
OG0000048	Prar.g_00660	Pras.g_00750
OG0000050	Prar.g_00007	Pras.g_00873
OG0000051	Prar.g_00170	Pras.g_01008
OG0000052	Prar.g_00431	Pras.g_01223
OG0000053	Prar.g_01369	Pras.g_01416
OG0000054	Prar.g_01644	Pras.g_01656
OG0000055	Prar.g_01706	Pras.g_01723
OG0000056	Prar.g_01307	Pras.g_00011
OG0000057	Prar.g_00090	Pras.g_01089
OG0000058	Prar.g_00525	Pras.g_01353
OG0000059	Prar.g_01528	Pras.g_01574
OG0000060	Prar.g_01628	Pras.g_01636
OG0000060	Prar.g_01558, Prar.g_01562	Pras.g_00529
OG0000061	Prar.g_01298	Pras.g_00021
OG0000062	Prar.g_01296	Pras.g_00023
OG0000063	Prar.g_01003	Pras.g_00150
OG0000065	Prar.g_00955	Pras.g_00209
