Orthogroup	Prbf	Syar
OG0000001	Prbf.g_00068, Prbf.g_00831	Syar.g_00069
OG0000004	Prbf.g_01264	Syar.g_02051
OG0000004	Prbf.g_01570	Syar.g_02225, Syar.g_00842
OG0000005	Prbf.g_00240	Syar.g_02909
OG0000006	Prbf.g_01580	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Prbf.g_01780	Syar.g_01491
OG0000007	Prbf.g_00693	Syar.g_02929
OG0000008	Prbf.g_00793	Syar.g_02097
OG0000008	Prbf.g_00792	Syar.g_02098
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Syar.g_01272
OG0000013	Prbf.g_01665	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Prbf.g_01647	Syar.g_00825
OG0000016	Prbf.g_00860	Syar.g_02859
OG0000017	Prbf.g_01887	Syar.g_02180
OG0000017	Prbf.g_01880	Syar.g_02188
OG0000018	Prbf.g_00896, Prbf.g_01217	Syar.g_01409
OG0000019	Prbf.g_01588, Prbf.g_00894	Syar.g_00163
OG0000022	Prbf.g_00248	Syar.g_00835
OG0000025	Prbf.g_01209	Syar.g_01811
OG0000026	Prbf.g_01354	Syar.g_00505
OG0000027	Prbf.g_00774, Prbf.g_00817	Syar.g_02055
OG0000028	Prbf.g_00794	Syar.g_00718
OG0000032	Prbf.g_00196	Syar.g_01390
OG0000033	Prbf.g_00123, Prbf.g_01503	Syar.g_00105
OG0000034	Prbf.g_00015	Syar.g_00074, Syar.g_02790
OG0000035	Prbf.g_00157	Syar.g_02809
OG0000037	Prbf.g_01437	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Prbf.g_00445	Syar.g_00334, Syar.g_00336
OG0000039	Prbf.g_01276	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000042	Prbf.g_00487	Syar.g_00595, Syar.g_01970
OG0000045	Prbf.g_00874	Syar.g_02592
OG0000046	Prbf.g_01666	Syar.g_01102, Syar.g_01105, Syar.g_03233
OG0000048	Prbf.g_00039, Prbf.g_01611	Syar.g_00213
OG0000051	Prbf.g_00340	Syar.g_01597
OG0000052	Prbf.g_01380	Syar.g_00281
OG0000052	Prbf.g_00135	Syar.g_02742, Syar.g_02751
OG0000053	Prbf.g_00748, Prbf.g_00178	Syar.g_01413
OG0000055	Prbf.g_00869, Prbf.g_00719	Syar.g_01386
OG0000057	Prbf.g_01261	Syar.g_00006
OG0000061	Prbf.g_00918	Syar.g_01539
