Orthogroup	Species	Syaf	Orthologs
OG0000001	Prax	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prax.g_01878
OG0000001	Prbi	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbi.g_01424
OG0000001	Prao	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prao.g_01254
OG0000001	Prav	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prav.g_01458
OG0000001	Prag	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prag.g_01374
OG0000001	Praw	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Praw.g_01000
OG0000001	Prad	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prad.g_00609
OG0000001	Prac	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prac.g_00202
OG0000001	Praq	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Praq.g_00160
OG0000001	Prar	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prar.g_00926
OG0000001	Prbd	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbd.g_01779
OG0000001	Prae	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prae.g_01353
OG0000001	Praa	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Praa.g_01351
OG0000001	Pray	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Pray.g_01844
OG0000001	Praz	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Praz.g_01154
OG0000001	Prba	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prba.g_00211
OG0000001	Prai	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prai.g_01235, Prai.g_01356
OG0000001	Prau	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prau.g_01394
OG0000001	Pras	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Pras.g_00235
OG0000001	Prbb	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbb.g_01611
OG0000001	Prbc	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbc.g_00588
OG0000001	Praj	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Praj.g_01549
OG0000001	Prbm	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbm.g_01633
OG0000001	Pral	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Pral.g_01236
OG0000001	Prat	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prat.g_01285, Prat.g_01286
OG0000001	Prak	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prak.g_01302
OG0000001	Prbg	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbg.g_00502
OG0000001	Prap	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prap.g_01925
OG0000001	Prbe	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbe.g_00400
OG0000001	Prbf	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbf.g_00068
OG0000001	Prbn	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbn.g_01213
OG0000001	Prbh	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Prbh.g_00001
OG0000001	Pram	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Pram.g_01954, Pram.g_01953
OG0000001	Syam	Syaf.g_01640	Syam.g_00946
OG0000001	Syad	Syaf.g_01640	Syad.g_00628
OG0000001	Syaj	Syaf.g_01640	Syaj.g_02674
OG0000001	Syae	Syaf.g_01640	Syae.g_02061
OG0000001	Syac	Syaf.g_01640	Syac.g_02154
OG0000001	Syah	Syaf.g_01640	Syah.g_00726
OG0000001	Syai	Syaf.g_01640	Syai.g_01716
OG0000001	Syar	Syaf.g_00846	Syar.g_00069
OG0000001	Syao	Syaf.g_00846	Syao.g_00314
OG0000001	Syat	Syaf.g_00846	Syat.g_02910, Syat.g_02911
OG0000001	Syak	Syaf.g_00846	Syak.g_02139
OG0000001	Syag	Syaf.g_00846	Syag.g_01942
OG0000001	Syaq	Syaf.g_00846	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syal	Syaf.g_00846	Syal.g_02215
OG0000001	Praf	Syaf.g_00846	Praf.g_01031
OG0000001	Prah	Syaf.g_00846	Prah.g_01159
OG0000001	Syae	Syaf.g_00846	Syae.g_01416
OG0000001	Syam	Syaf.g_00846	Syam.g_02177
OG0000001	Syad	Syaf.g_00846	Syad.g_02864
OG0000001	Syaj	Syaf.g_00846	Syaj.g_01949
OG0000001	Syai	Syaf.g_00846	Syai.g_01197, Syai.g_02594
OG0000001	Syaa	Syaf.g_00846	Syaa.g_02437
OG0000001	Syah	Syaf.g_00846	Syah.g_01516
OG0000001	Syap	Syaf.g_00845	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000001	Syas	Syaf.g_00845	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000001	Syao	Syaf.g_00845	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000001	Syan	Syaf.g_00845	Syan.g_02266
OG0000001	Syar	Syaf.g_00845	Syar.g_00070
OG0000001	Syat	Syaf.g_00845	Syat.g_02908, Syat.g_02909
OG0000001	Syag	Syaf.g_00845	Syag.g_01943
OG0000001	Syaq	Syaf.g_00845	Syaq.g_01434
OG0000001	Syak	Syaf.g_00845	Syak.g_02138
OG0000001	Syab	Syaf.g_00845	Syab.g_02553, Syab.g_02555
OG0000001	Syal	Syaf.g_00845	Syal.g_00874, Syal.g_01184
OG0000001	Prah	Syaf.g_00845	Prah.g_02270
OG0000001	Praf	Syaf.g_00845	Praf.g_02422
OG0000001	Prbj	Syaf.g_00845	Prbj.g_01549, Prbj.g_02662
OG0000001	Prbk	Syaf.g_00845	Prbk.g_00561, Prbk.g_02701
OG0000001	Prbl	Syaf.g_00845	Prbl.g_00808, Prbl.g_02598
OG0000001	Syad	Syaf.g_00845	Syad.g_02865
OG0000001	Syaj	Syaf.g_00845	Syaj.g_01950
OG0000001	Syae	Syaf.g_00845	Syae.g_01417
OG0000001	Syah	Syaf.g_00845	Syah.g_00040
OG0000001	Syac	Syaf.g_00845	Syac.g_00341
OG0000001	Syai	Syaf.g_00845	Syai.g_02595
OG0000001	Syab	Syaf.g_01634	Syab.g_01509, Syab.g_01510
OG0000001	Syag	Syaf.g_01634	Syag.g_00520
OG0000001	Syak	Syaf.g_01634	Syak.g_00275, Syak.g_00579
OG0000001	Syaq	Syaf.g_01634	Syaq.g_02178, Syaq.g_02413
OG0000001	Syan	Syaf.g_01634	Syan.g_01149
OG0000001	Syat	Syaf.g_01634	Syat.g_01540
OG0000001	Syac	Syaf.g_01634	Syac.g_02169
OG0000001	Syah	Syaf.g_01634	Syah.g_00710
OG0000001	Syaa	Syaf.g_01634	Syaa.g_02329
OG0000001	Syae	Syaf.g_01634	Syae.g_02055
OG0000001	Syaj	Syaf.g_01634	Syaj.g_02660
OG0000001	Syad	Syaf.g_01634	Syad.g_01238
OG0000001	Syai	Syaf.g_01634	Syai.g_01729
OG0000001	Syam	Syaf.g_01634	Syam.g_00929
OG0000004	Syaq	Syaf.g_01455	Syaq.g_02603
OG0000004	Praj	Syaf.g_01455	Praj.g_01396
OG0000004	Prbc	Syaf.g_01455	Prbc.g_01381
OG0000004	Prbm	Syaf.g_01455	Prbm.g_01483
OG0000004	Prbb	Syaf.g_01455	Prbb.g_01450
OG0000004	Syan	Syaf.g_01455	Syan.g_00183
OG0000004	Syar	Syaf.g_01455	Syar.g_02051
OG0000004	Syas	Syaf.g_01455	Syas.g_00176
OG0000004	Syao	Syaf.g_01455	Syao.g_02374
OG0000004	Prbj	Syaf.g_01455	Prbj.g_00754
OG0000004	Prbk	Syaf.g_01455	Prbk.g_01760
OG0000004	Prbl	Syaf.g_01455	Prbl.g_00021
OG0000004	Praf	Syaf.g_01455	Praf.g_01121
OG0000004	Prah	Syaf.g_01455	Prah.g_01022
OG0000004	Prab	Syaf.g_01455	Prab.g_00700
OG0000004	Pran	Syaf.g_01455	Pran.g_01483
OG0000004	Prai	Syaf.g_01455	Prai.g_00724
OG0000004	Prad	Syaf.g_01455	Prad.g_01269
OG0000004	Praa	Syaf.g_01455	Praa.g_00695
OG0000004	Pray	Syaf.g_01455	Pray.g_01068
OG0000004	Praz	Syaf.g_01455	Praz.g_01635
OG0000004	Prba	Syaf.g_01455	Prba.g_01622
OG0000004	Prax	Syaf.g_01455	Prax.g_00947
OG0000004	Prag	Syaf.g_01455	Prag.g_00673
OG0000004	Praw	Syaf.g_01455	Praw.g_01827
OG0000004	Prac	Syaf.g_01455	Prac.g_00676
OG0000004	Praq	Syaf.g_01455	Praq.g_00824
OG0000004	Prar	Syaf.g_01455	Prar.g_01525
OG0000004	Prae	Syaf.g_01455	Prae.g_00669
OG0000004	Prbd	Syaf.g_01455	Prbd.g_00549
OG0000004	Prav	Syaf.g_01455	Prav.g_01293
OG0000004	Prao	Syaf.g_01455	Prao.g_00133
OG0000004	Prbi	Syaf.g_01455	Prbi.g_00698
OG0000004	Pras	Syaf.g_01455	Pras.g_01571
OG0000004	Prau	Syaf.g_01455	Prau.g_00735
OG0000004	Pral	Syaf.g_01455	Pral.g_01743
OG0000004	Prat	Syaf.g_01455	Prat.g_00772
OG0000004	Prak	Syaf.g_01455	Prak.g_00826
OG0000004	Prap	Syaf.g_01455	Prap.g_00802
OG0000004	Prbe	Syaf.g_01455	Prbe.g_01203
OG0000004	Prbf	Syaf.g_01455	Prbf.g_01264
OG0000004	Prbg	Syaf.g_01455	Prbg.g_01140
OG0000004	Prbn	Syaf.g_01455	Prbn.g_01565
OG0000004	Pram	Syaf.g_01455	Pram.g_00789
OG0000004	Prbh	Syaf.g_01455	Prbh.g_00933
OG0000004	Syab	Syaf.g_01455	Syab.g_00549, Syab.g_01193
OG0000004	Syak	Syaf.g_01455	Syak.g_01219, Syak.g_00720
OG0000004	Syag	Syaf.g_01455	Syag.g_00988
OG0000004	Syal	Syaf.g_01455	Syal.g_01809
OG0000004	Syae	Syaf.g_01455	Syae.g_00779
OG0000004	Syaa	Syaf.g_01455	Syaa.g_00892
OG0000004	Syad	Syaf.g_01455	Syad.g_01304
OG0000004	Syaj	Syaf.g_01455	Syaj.g_00441
OG0000004	Syac	Syaf.g_01455	Syac.g_00898
OG0000004	Syah	Syaf.g_01455	Syah.g_02017
OG0000004	Syam	Syaf.g_01455	Syam.g_00787
OG0000004	Syai	Syaf.g_01455	Syai.g_01994
OG0000004	Praf	Syaf.g_02351, Syaf.g_02794	Praf.g_00743
OG0000004	Prah	Syaf.g_02351, Syaf.g_02794	Prah.g_01413
OG0000004	Prbj	Syaf.g_02351, Syaf.g_02794	Prbj.g_01777
OG0000004	Prbk	Syaf.g_02351, Syaf.g_02794	Prbk.g_01134
OG0000004	Prbl	Syaf.g_02351, Syaf.g_02794	Prbl.g_01771
OG0000004	Prbm	Syaf.g_02351, Syaf.g_02794	Prbm.g_00291
OG0000004	Praj	Syaf.g_02351, Syaf.g_02794	Praj.g_00271
OG0000004	Prbb	Syaf.g_02351, Syaf.g_02794	Prbb.g_00288
OG0000004	Prbc	Syaf.g_02351, Syaf.g_02794	Prbc.g_00339
OG0000004	Pram	Syaf.g_02351, Syaf.g_02794	Pram.g_00219
OG0000004	Prbh	Syaf.g_02351, Syaf.g_02794	Prbh.g_00548
OG0000004	Prak	Syaf.g_02351, Syaf.g_02794	Prak.g_00248
OG0000004	Prap	Syaf.g_02351, Syaf.g_02794	Prap.g_01480
OG0000004	Prbe	Syaf.g_02351, Syaf.g_02794	Prbe.g_01784
OG0000004	Prbf	Syaf.g_02351, Syaf.g_02794	Prbf.g_01570
OG0000004	Prbg	Syaf.g_02351, Syaf.g_02794	Prbg.g_01014
OG0000004	Prbn	Syaf.g_02351, Syaf.g_02794	Prbn.g_00318
OG0000004	Prat	Syaf.g_02351, Syaf.g_02794	Prat.g_00236
OG0000004	Pral	Syaf.g_02351, Syaf.g_02794	Pral.g_00809
OG0000004	Prac	Syaf.g_02351, Syaf.g_02794	Prac.g_01698
OG0000004	Praq	Syaf.g_02351, Syaf.g_02794	Praq.g_01770
OG0000004	Prar	Syaf.g_02351, Syaf.g_02794	Prar.g_00095
OG0000004	Prav	Syaf.g_02351, Syaf.g_02794	Prav.g_00806
OG0000004	Prai	Syaf.g_02351, Syaf.g_02794	Prai.g_00243
OG0000004	Prab	Syaf.g_02351, Syaf.g_02794	Prab.g_00223
OG0000004	Pran	Syaf.g_02351, Syaf.g_02794	Pran.g_00200
OG0000004	Prag	Syaf.g_02351, Syaf.g_02794	Prag.g_00225
OG0000004	Praw	Syaf.g_02351, Syaf.g_02794	Praw.g_01203
OG0000004	Praa	Syaf.g_02351, Syaf.g_02794	Praa.g_00232
OG0000004	Pras	Syaf.g_02351, Syaf.g_02794	Pras.g_01084
OG0000004	Prau	Syaf.g_02351, Syaf.g_02794	Prau.g_00233
