Orthogroup	Praq	Syac
OG0000001	Praq.g_00160	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Praq.g_00168, Praq.g_00807	Syac.g_01084
OG0000004	Praq.g_00824	Syac.g_00898
OG0000004	Praq.g_01770	Syac.g_00948, Syac.g_01975
OG0000005	Praq.g_00484	Syac.g_00527
OG0000005	Praq.g_00370	Syac.g_00569
OG0000006	Praq.g_01761	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Praq.g_01105	Syac.g_01885
OG0000007	Praq.g_00497	Syac.g_00544
OG0000008	Praq.g_00071	Syac.g_00921
OG0000009	Praq.g_01898	Syac.g_01004, Syac.g_00398
OG0000010	Praq.g_00552, Praq.g_01626	Syac.g_01701
OG0000011	Praq.g_00100	Syac.g_00924
OG0000012	Praq.g_00979	Syac.g_00955, Syac.g_00758, Syac.g_01577
OG0000013	Praq.g_01675	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Praq.g_01696	Syac.g_00253
OG0000015	Praq.g_00065	Syac.g_01408
OG0000017	Praq.g_01004	Syac.g_01749, Syac.g_01742
OG0000018	Praq.g_01314	Syac.g_01660
OG0000019	Praq.g_01753, Praq.g_00649	Syac.g_02207
OG0000022	Praq.g_01296	Syac.g_01031
OG0000023	Praq.g_01184	Syac.g_00760
OG0000024	Praq.g_00618, Praq.g_00804	Syac.g_00925
OG0000025	Praq.g_01671, Praq.g_01432	Syac.g_00847
OG0000026	Praq.g_01234, Praq.g_01633	Syac.g_00034
OG0000027	Praq.g_00521	Syac.g_01095, Syac.g_01009
OG0000028	Praq.g_00103, Praq.g_01682	Syac.g_00237
OG0000029	Praq.g_00627, Praq.g_01168	Syac.g_01942
OG0000030	Praq.g_00772	Syac.g_00143, Syac.g_00142
OG0000031	Praq.g_00209	Syac.g_00232
OG0000034	Praq.g_00143	Syac.g_00334, Syac.g_00715
OG0000035	Praq.g_00294	Syac.g_01630
OG0000037	Praq.g_01894	Syac.g_01077
OG0000038	Praq.g_00716	Syac.g_02357, Syac.g_02358
OG0000039	Praq.g_00815	Syac.g_00856, Syac.g_02378
OG0000040	Praq.g_01955	Syac.g_01006
OG0000040	Praq.g_01313	Syac.g_02437
OG0000041	Praq.g_00451	Syac.g_00655, Syac.g_00876
OG0000042	Praq.g_00770	Syac.g_00146
OG0000044	Praq.g_00058	Syac.g_00477, Syac.g_00858
OG0000045	Praq.g_01172	Syac.g_01040
OG0000045	Praq.g_00567	Syac.g_00576
OG0000047	Praq.g_01672, Praq.g_01137	Syac.g_02031
OG0000048	Praq.g_01169	Syac.g_02240
OG0000050	Praq.g_01654	Syac.g_01937
OG0000053	Praq.g_01246, Praq.g_00314	Syac.g_01657
OG0000054	Praq.g_00996	Syac.g_00933, Syac.g_01050
OG0000055	Praq.g_00650	Syac.g_01034, Syac.g_00859
OG0000057	Praq.g_00827	Syac.g_00894
OG0000059	Praq.g_00927	Syac.g_02142
OG0000061	Praq.g_01333	Syac.g_00769
OG0000062	Praq.g_00372	Syac.g_00567
OG0000063	Praq.g_01237, Praq.g_01236, Praq.g_00075	Syac.g_00037
OG0000065	Praq.g_01896	Syac.g_00396, Syac.g_00490
OG0000066	Praq.g_01063	Syac.g_01827
OG0000067	Praq.g_00670	Syac.g_01341
OG0000068	Praq.g_00175	Syac.g_01916
OG0000069	Praq.g_00056, Praq.g_00018	Syac.g_01272
OG0000070	Praq.g_01107	Syac.g_00711
OG0000071	Praq.g_00133	Syac.g_01049, Syac.g_00729
OG0000072	Praq.g_01831	Syac.g_00302
OG0000073	Praq.g_01103	Syac.g_01883
OG0000075	Praq.g_00739	Syac.g_00191
OG0000076	Praq.g_01243, Praq.g_00763	Syac.g_00156
