Orthogroup	Syag	Prak
OG0000001	Syag.g_00575	Prak.g_01302, Prak.g_00755
OG0000004	Syag.g_00988	Prak.g_00826
OG0000004	Syag.g_00370, Syag.g_01790	Prak.g_00248
OG0000005	Syag.g_01667	Prak.g_01474
OG0000006	Syag.g_01772, Syag.g_02678, Syag.g_02687	Prak.g_00258
OG0000007	Syag.g_01507	Prak.g_00458
OG0000007	Syag.g_01687	Prak.g_01645
OG0000008	Syag.g_00496	Prak.g_01544
OG0000008	Syag.g_01017	Prak.g_01545, Prak.g_01546
OG0000009	Syag.g_00220, Syag.g_00231	Prak.g_01486
OG0000010	Syag.g_01355	Prak.g_00739, Prak.g_01034, Prak.g_00435
OG0000011	Syag.g_01299	Prak.g_00660
OG0000012	Syag.g_00377	Prak.g_00584
OG0000013	Syag.g_02820, Syag.g_02806, Syag.g_02811	Prak.g_00343
OG0000014	Syag.g_02559	Prak.g_00325
OG0000015	Syag.g_00596	Prak.g_01584, Prak.g_01630
OG0000016	Syag.g_02286	Prak.g_00013
OG0000016	Syag.g_01066	Prak.g_01230
OG0000017	Syag.g_00344	Prak.g_00566
OG0000017	Syag.g_00336	Prak.g_00559
OG0000018	Syag.g_01387	Prak.g_01194, Prak.g_00873
OG0000019	Syag.g_02663	Prak.g_00266, Prak.g_01196
OG0000020	Syag.g_00085	Prak.g_01498, Prak.g_01527
OG0000021	Syag.g_00229	Prak.g_00831
OG0000022	Syag.g_00458	Prak.g_01482
OG0000023	Syag.g_00261, Syag.g_00234	Prak.g_00721
OG0000024	Syag.g_00455	Prak.g_01038, Prak.g_00802
OG0000025	Syag.g_00718	Prak.g_00881
OG0000026	Syag.g_02309	Prak.g_00032
OG0000027	Syag.g_00950, Syag.g_00165	Prak.g_01564, Prak.g_01521
OG0000028	Syag.g_02540	Prak.g_01543
OG0000029	Syag.g_00195	Prak.g_01735, Prak.g_01534, Prak.g_01576
OG0000030	Syag.g_02375, Syag.g_02374	Prak.g_01853
OG0000031	Syag.g_02486	Prak.g_01350
OG0000032	Syag.g_01366	Prak.g_01430
OG0000033	Syag.g_02481	Prak.g_01357
OG0000033	Syag.g_01978	Prak.g_00181
OG0000034	Syag.g_01225, Syag.g_01947	Prak.g_01288
OG0000035	Syag.g_01420	Prak.g_01391
OG0000037	Syag.g_00173	Prak.g_00115
OG0000038	Syag.g_02130, Syag.g_02132	Prak.g_01893
OG0000039	Syag.g_01325, Syag.g_02155	Prak.g_00814
OG0000041	Syag.g_01750	Prak.g_01692
OG0000042	Syag.g_01094, Syag.g_02378	Prak.g_01850
OG0000043	Syag.g_00564	Prak.g_01193
OG0000045	Syag.g_00223	Prak.g_01216
OG0000046	Syag.g_02805, Syag.g_02812, Syag.g_02819	Prak.g_00344
OG0000047	Syag.g_00768	Prak.g_00385
OG0000048	Syag.g_02611	Prak.g_01264, Prak.g_00289
OG0000052	Syag.g_02451	Prak.g_01369
OG0000053	Syag.g_01391	Prak.g_01590, Prak.g_01412
OG0000054	Syag.g_00350	Prak.g_00568
OG0000055	Syag.g_00946	Prak.g_01221
OG0000055	Syag.g_01799	Prak.g_01619
OG0000057	Syag.g_00985	Prak.g_00829
OG0000058	Syag.g_02477	Prak.g_01351
OG0000059	Syag.g_02721	Prak.g_01732
OG0000061	Syag.g_01141	Prak.g_01172
OG0000062	Syag.g_01669	Prak.g_01476
OG0000063	Syag.g_02313	Prak.g_01530
OG0000064	Syag.g_00487, Syag.g_01589, Syag.g_00076	Prak.g_00072
OG0000065	Syag.g_00182, Syag.g_01885	Prak.g_00113
OG0000066	Syag.g_01443	Prak.g_00498, Prak.g_01557
OG0000067	Syag.g_00667	Prak.g_00845
OG0000068	Syag.g_01537	Prak.g_01329
OG0000070	Syag.g_00049	Prak.g_00412
OG0000071	Syag.g_01192	Prak.g_01277
OG0000072	Syag.g_01980, Syag.g_02859	Prak.g_00183
OG0000073	Syag.g_01505	Prak.g_00461
OG0000075	Syag.g_02434	Prak.g_01816
OG0000076	Syag.g_02393	Prak.g_01842
OG0000077	Syag.g_01831	Prak.g_00083
OG0000078	Syag.g_01778	Prak.g_00256
OG0000079	Syag.g_02659, Syag.g_02652	Prak.g_00269
OG0000082	Syag.g_00318	Prak.g_00546, Prak.g_01634
OG0000084	Syag.g_01425	Prak.g_01388
OG0000085	Syag.g_01676	Prak.g_01637, Prak.g_01516
OG0000086	Syag.g_01853	Prak.g_00092
OG0000087	Syag.g_01939	Prak.g_00147
OG0000088	Syag.g_01974	Prak.g_00178
OG0000089	Syag.g_00005	Prak.g_00379
OG0000090	Syag.g_01454	Prak.g_00492
OG0000091	Syag.g_00418	Prak.g_01100
OG0000092	Syag.g_00242	Prak.g_00775
OG0000097	Syag.g_01065	Prak.g_01126
OG0000098	Syag.g_00578	Prak.g_01305
OG0000099	Syag.g_02536	Prak.g_01352
OG0000100	Syag.g_00704	Prak.g_01470
OG0000101	Syag.g_02773	Prak.g_01780
