Orthogroup	Prbl	Other
OG0000024	Prbl.g_01416	Praa.g_01409
OG0000054	Prbl.g_01943	Prax.g_00457
OG0000069	Prbl.g_00889, Prbl.g_00712	Prau.g_01475
OG0000069	Prbl.g_00712	Prad.g_00572
OG0000073	Prbl.g_01395	Pras.g_00327
OG0000079	Prbl.g_00417	Prbi.g_01482
OG0000083	Prbl.g_02118	Prae.g_01306
OG0000091	Prbl.g_00278	Prae.g_01396
OG0000096	Prbl.g_01506	Prax.g_00488
OG0000101	Prbl.g_02677	Prax.g_01573
OG0000118	Prbl.g_02128	Prax.g_01759
OG0000138	Prbl.g_02231	Prba.g_01089
OG0001256	Prbl.g_01822	Prax.g_00460, Prax.g_00776
OG0001256	Prbl.g_01822	Prbd.g_00836
OG0001367	Prbl.g_01164, Prbl.g_01151	Prbi.g_00155, Prbi.g_00722
OG0001474	Prbl.g_02172	Pras.g_00311
