Orthogroup	Prbj	Other
OG0000024	Prbj.g_01442	Praa.g_01409
OG0000054	Prbj.g_01324	Prax.g_00457
OG0000069	Prbj.g_01468, Prbj.g_00659	Prau.g_01475
OG0000069	Prbj.g_00659	Prad.g_00572
OG0000073	Prbj.g_00824	Pras.g_00327
OG0000079	Prbj.g_00881	Prbi.g_01482
OG0000083	Prbj.g_02076	Prae.g_01306
OG0000091	Prbj.g_00518	Prae.g_01396
OG0000096	Prbj.g_01352	Prax.g_00488
OG0000101	Prbj.g_00067	Prax.g_01573
OG0000118	Prbj.g_02066	Prax.g_01759
OG0000138	Prbj.g_01963	Prba.g_01089
OG0001256	Prbj.g_00897	Prax.g_00460, Prax.g_00776
OG0001256	Prbj.g_00897	Prbd.g_00836
OG0001367	Prbj.g_00377, Prbj.g_00390	Prbi.g_00155, Prbi.g_00722
OG0001474	Prbj.g_02022	Pras.g_00311
