Orthogroup	Prbl	Prbi
OG0000000	Prbl.g_00116	Prbi.g_01709
OG0000000	Prbl.g_00118, Prbl.g_00117	Prbi.g_01371, Prbi.g_01710
OG0000001	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599	Prbi.g_01424, Prbi.g_01542, Prbi.g_01763, Prbi.g_01270
OG0000002	Prbl.g_01582	Prbi.g_01432
OG0000002	Prbl.g_01092	Prbi.g_00681
OG0000004	Prbl.g_00021	Prbi.g_00698
OG0000004	Prbl.g_01771	Prbi.g_00256
OG0000005	Prbl.g_00419	Prbi.g_01666
OG0000006	Prbl.g_02601	Prbi.g_00265
OG0000007	Prbl.g_00531	Prbi.g_00500
OG0000007	Prbl.g_00394	Prbi.g_01787
OG0000008	Prbl.g_01855	Prbi.g_01764
OG0000008	Prbl.g_01854	Prbi.g_01540, Prbi.g_01765, Prbi.g_01539
OG0000009	Prbl.g_00155, Prbl.g_00554	Prbi.g_00112
OG0000010	Prbl.g_01341	Prbi.g_00477
OG0000011	Prbl.g_01822	Prbi.g_01361
OG0000012	Prbl.g_01618	Prbi.g_00625
OG0000013	Prbl.g_01183	Prbi.g_00351
OG0000014	Prbl.g_01416	Prbi.g_00330
OG0000015	Prbl.g_01566	Prbi.g_00810, Prbi.g_01304
OG0000017	Prbl.g_01763	Prbi.g_00600
OG0000018	Prbl.g_00694	Prbi.g_01188, Prbi.g_00874
OG0000019	Prbl.g_01097	Prbi.g_00273, Prbi.g_00827
OG0000020	Prbl.g_01076	Prbi.g_01153
OG0000021	Prbl.g_01531	Prbi.g_01742, Prbi.g_00389
OG0000022	Prbl.g_01310	Prbi.g_00805
OG0000022	Prbl.g_01072	Prbi.g_01170
OG0000023	Prbl.g_02355	Prbi.g_00384
OG0000024	Prbl.g_00040	Prbi.g_00788, Prbi.g_00678
OG0000025	Prbl.g_01539	Prbi.g_00882, Prbi.g_00355
OG0000026	Prbl.g_01977	Prbi.g_00031, Prbi.g_01101
OG0000028	Prbl.g_00900	Prbi.g_00344
OG0000029	Prbl.g_01163	Prbi.g_00796
OG0000030	Prbl.g_02061, Prbl.g_02060	Prbi.g_02004
OG0000032	Prbl.g_00889	Prbi.g_01497
OG0000033	Prbl.g_00278	Prbi.g_00193
OG0000034	Prbl.g_01734	Prbi.g_01401
OG0000035	Prbl.g_00242	Prbi.g_01589, Prbi.g_01591
OG0000037	Prbl.g_00548	Prbi.g_00116
OG0000038	Prbl.g_02235, Prbl.g_02233	Prbi.g_02057
OG0000039	Prbl.g_00318, Prbl.g_01272	Prbi.g_00689
OG0000041	Prbl.g_00339	Prbi.g_01833
OG0000042	Prbl.g_01236, Prbl.g_01121	Prbi.g_02001
OG0000045	Prbl.g_00609	Prbi.g_00395
OG0000047	Prbl.g_00719	Prbi.g_00354
OG0000048	Prbl.g_01465	Prbi.g_00398
OG0000051	Prbl.g_01677	Prbi.g_01364, Prbi.g_01281
OG0000052	Prbl.g_00870	Prbi.g_01478
OG0000053	Prbl.g_00691	Prbi.g_01611
OG0000054	Prbl.g_01752	Prbi.g_00608
OG0000056	Prbl.g_01599, Prbl.g_01171	Prbi.g_01276
OG0000057	Prbl.g_00025	Prbi.g_00702
OG0000059	Prbl.g_00836	Prbi.g_01873, Prbi.g_01717
OG0000062	Prbl.g_00417	Prbi.g_01482, Prbi.g_01668
OG0000063	Prbl.g_01981	Prbi.g_00033
OG0000065	Prbl.g_00552	Prbi.g_00114
OG0000066	Prbl.g_00752	Prbi.g_00542
OG0000067	Prbl.g_02335	Prbi.g_00847
OG0000068	Prbl.g_00502	Prbi.g_01439
OG0000070	Prbl.g_00634	Prbi.g_00451
OG0000071	Prbl.g_01722	Prbi.g_01391
OG0000072	Prbl.g_00276	Prbi.g_00195
OG0000073	Prbl.g_00533	Prbi.g_00502
OG0000075	Prbl.g_00855	Prbi.g_01970
OG0000076	Prbl.g_01285	Prbi.g_01994
OG0000077	Prbl.g_00596	Prbi.g_00085
OG0000078	Prbl.g_00193	Prbi.g_00263
OG0000079	Prbl.g_01505	Prbi.g_00276
OG0000081	Prbl.g_00032	Prbi.g_00534
OG0000082	Prbl.g_01783	Prbi.g_00587
OG0000084	Prbl.g_00246	Prbi.g_01585
OG0000085	Prbl.g_00405	Prbi.g_01780
OG0000086	Prbl.g_00583	Prbi.g_00095
OG0000087	Prbl.g_00810	Prbi.g_00147
OG0000088	Prbl.g_00281	Prbi.g_00190
OG0000089	Prbl.g_02674	Prbi.g_00380
OG0000090	Prbl.g_00766	Prbi.g_00536
OG0000091	Prbl.g_01647	Prbi.g_00645
OG0000093	Prbl.g_02359	Prbi.g_00977
OG0000094	Prbl.g_02209	Prbi.g_01067
OG0000097	Prbl.g_02579	Prbi.g_01248
OG0000098	Prbl.g_00722	Prbi.g_01421
OG0000099	Prbl.g_00893	Prbi.g_01462
OG0000100	Prbl.g_01914, Prbl.g_02305	Prbi.g_01664
OG0000101	Prbl.g_01126, Prbl.g_01000	Prbi.g_01938
OG0000102	Prbl.g_02636	Prbi.g_01999
OG0000103	Prbl.g_02139	Prbi.g_02091
OG0000104	Prbl.g_02125	Prbi.g_02099
OG0000105	Prbl.g_01461	Prbi.g_00298
OG0000106	Prbl.g_00411	Prbi.g_00394
OG0000108	Prbl.g_00511	Prbi.g_00483
OG0000109	Prbl.g_00527	Prbi.g_00497
OG0000110	Prbl.g_01795	Prbi.g_00577
OG0000111	Prbl.g_00026	Prbi.g_00703
OG0000112	Prbl.g_02470	Prbi.g_00811
OG0000113	Prbl.g_02310	Prbi.g_00869
OG0000114	Prbl.g_02407	Prbi.g_00951
OG0000115	Prbl.g_00687	Prbi.g_01148
OG0000116	Prbl.g_02069	Prbi.g_01197
OG0000117	Prbl.g_01384	Prbi.g_01330
OG0000118	Prbl.g_01736	Prbi.g_01403
OG0000119	Prbl.g_00007, Prbl.g_00046	Prbi.g_01435
OG0000120	Prbl.g_00892	Prbi.g_01460
OG0000121	Prbl.g_00234, Prbl.g_00240	Prbi.g_01593
OG0000122	Prbl.g_01808	Prbi.g_01630
OG0000123	Prbl.g_01135	Prbi.g_01945
OG0000124	Prbl.g_02054	Prbi.g_02010
OG0000125	Prbl.g_02231	Prbi.g_02059
OG0000126	Prbl.g_02127	Prbi.g_02098
OG0000127	Prbl.g_01022	Prbi.g_01300, Prbi.g_01549
OG0000128	Prbl.g_02109	Prbi.g_00011
OG0000129	Prbl.g_02243	Prbi.g_00053
OG0000130	Prbl.g_00608	Prbi.g_00076
OG0000131	Prbl.g_00303	Prbi.g_00169
OG0000132	Prbl.g_00283	Prbi.g_00188
OG0000133	Prbl.g_00897	Prbi.g_00346
OG0000134	Prbl.g_02677	Prbi.g_00381
OG0000135	Prbl.g_02190	Prbi.g_00407
OG0000136	Prbl.g_00647	Prbi.g_00442
OG0000137	Prbl.g_01340	Prbi.g_00478
OG0000138	Prbl.g_00528	Prbi.g_00498
OG0000139	Prbl.g_00760	Prbi.g_00540
OG0000140	Prbl.g_00754	Prbi.g_00541
OG0000141	Prbl.g_01751	Prbi.g_00609
OG0000142	Prbl.g_01639	Prbi.g_00638
OG0000143	Prbl.g_01643	Prbi.g_00642
OG0000144	Prbl.g_01042	Prbi.g_00655
OG0000145	Prbl.g_00534	Prbi.g_00807
OG0000146	Prbl.g_02469	Prbi.g_00812
OG0000147	Prbl.g_02468	Prbi.g_00813
OG0000148	Prbl.g_02316	Prbi.g_00863
OG0000149	Prbl.g_01552	Prbi.g_00894
OG0000150	Prbl.g_01576	Prbi.g_00902
OG0000151	Prbl.g_02386	Prbi.g_00961
OG0000152	Prbl.g_02478	Prbi.g_01009
OG0000153	Prbl.g_02505	Prbi.g_01028
OG0000154	Prbl.g_02532	Prbi.g_01060
OG0000155	Prbl.g_00185	Prbi.g_01227
OG0000156	Prbl.g_00115	Prbi.g_01380
OG0000157	Prbl.g_00114	Prbi.g_01381
OG0000158	Prbl.g_00843	Prbi.g_01489
OG0000160	Prbl.g_00241	Prbi.g_01592
OG0000161	Prbl.g_00227	Prbi.g_01598
OG0000162	Prbl.g_00221	Prbi.g_01604
OG0000163	Prbl.g_00452	Prbi.g_01637
OG0000164	Prbl.g_00365	Prbi.g_01811
OG0000165	Prbl.g_00356	Prbi.g_01818
OG0000166	Prbl.g_00962	Prbi.g_01902
OG0000167	Prbl.g_00857	Prbi.g_01968
OG0000168	Prbl.g_00842	Prbi.g_01978
OG0000169	Prbl.g_01302	Prbi.g_01988
OG0000170	Prbl.g_01290	Prbi.g_01990
OG0000171	Prbl.g_02055	Prbi.g_02009
OG0000172	Prbl.g_02021	Prbi.g_02030
OG0000173	Prbl.g_02000	Prbi.g_02045
OG0000174	Prbl.g_02188	Prbi.g_02073
OG0000175	Prbl.g_02150	Prbi.g_02083
OG0000176	Prbl.g_02117	Prbi.g_00004
OG0000177	Prbl.g_02116	Prbi.g_00005
OG0000178	Prbl.g_02115	Prbi.g_00006
OG0000179	Prbl.g_01961	Prbi.g_00016
OG0000180	Prbl.g_01962	Prbi.g_00017
OG0000181	Prbl.g_01963	Prbi.g_00018
OG0000182	Prbl.g_01964	Prbi.g_00019
OG0000183	Prbl.g_01968	Prbi.g_00023
OG0000184	Prbl.g_02251	Prbi.g_00057
OG0000185	Prbl.g_02273	Prbi.g_00060
OG0000186	Prbl.g_00614	Prbi.g_00071
OG0000187	Prbl.g_00613	Prbi.g_00072
OG0000188	Prbl.g_00591	Prbi.g_00089
OG0000189	Prbl.g_00565	Prbi.g_00103
OG0000190	Prbl.g_00563	Prbi.g_00104
OG0000191	Prbl.g_01325	Prbi.g_00125
