Orthogroup	Prba	Prbj
OG0000000	Prba.g_01174	Prbj.g_00166, Prbj.g_00165
OG0000000	Prba.g_00269	Prbj.g_00164
OG0000001	Prba.g_00211	Prbj.g_00672, Prbj.g_00169, Prbj.g_01549, Prbj.g_02662, Prbj.g_02690
OG0000002	Prba.g_00203	Prbj.g_02517
OG0000002	Prba.g_01639	Prbj.g_00030
OG0000004	Prba.g_01622	Prbj.g_00754
OG0000004	Prba.g_00451	Prbj.g_01777
OG0000005	Prba.g_00312	Prbj.g_00883
OG0000006	Prba.g_00460	Prbj.g_02699
OG0000007	Prba.g_00964	Prbj.g_01610
OG0000007	Prba.g_00226	Prbj.g_00857
OG0000008	Prba.g_01131	Prbj.g_00929
OG0000009	Prba.g_01893	Prbj.g_01300, Prbj.g_00618
OG0000010	Prba.g_01256	Prbj.g_00129
OG0000011	Prba.g_00900, Prba.g_01165	Prbj.g_00897
OG0000012	Prba.g_01694	Prbj.g_02552
OG0000013	Prba.g_00543	Prbj.g_00359
OG0000014	Prba.g_00522	Prbj.g_01442
OG0000015	Prba.g_01538	Prbj.g_02502
OG0000017	Prba.g_01719	Prbj.g_01769, Prbj.g_01761
OG0000018	Prba.g_00083	Prbj.g_00641
OG0000019	Prba.g_00468, Prba.g_01519	Prbj.g_00025, Prbj.g_01349
OG0000021	Prba.g_00245, Prba.g_00858	Prbj.g_01121, Prbj.g_01774
OG0000022	Prba.g_00101	Prbj.g_00050
OG0000022	Prba.g_01543	Prbj.g_01572
OG0000023	Prba.g_00854	Prbj.g_02392
OG0000024	Prba.g_01558, Prba.g_01642	Prbj.g_00773
OG0000025	Prba.g_00547, Prba.g_01464	Prbj.g_02475
OG0000026	Prba.g_01824, Prba.g_01249	Prbj.g_01204
OG0000028	Prba.g_00536	Prbj.g_01457
OG0000029	Prba.g_01551	Prbj.g_00378
OG0000030	Prba.g_00778	Prbj.g_01288, Prbj.g_01287
OG0000031	Prba.g_00173	Prbj.g_01522, Prbj.g_01527
OG0000034	Prba.g_01202	Prbj.g_01740
OG0000035	Prba.g_00713	Prbj.g_01056
OG0000037	Prba.g_01897	Prbj.g_00624
OG0000038	Prba.g_00819	Prbj.g_01959, Prbj.g_01961
OG0000039	Prba.g_01631	Prbj.g_00429, Prbj.g_00278
