Orthogroup	Syap	Syae
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syae.g_01417
OG0000004	Syap.g_01987	Syae.g_02231
OG0000005	Syap.g_01773	Syae.g_01179
OG0000005	Syap.g_01218	Syae.g_01143
OG0000006	Syap.g_02770	Syae.g_00096
OG0000007	Syap.g_00275	Syae.g_02328
OG0000007	Syap.g_00621	Syae.g_01163
OG0000009	Syap.g_02081	Syae.g_00100, Syae.g_01361
OG0000010	Syap.g_02757	Syae.g_02529
OG0000013	Syap.g_00972	Syae.g_02155
OG0000014	Syap.g_01675	Syae.g_01930
OG0000014	Syap.g_00813	Syae.g_01850
OG0000015	Syap.g_02606	Syae.g_01693
OG0000016	Syap.g_00071	Syae.g_01726
OG0000018	Syap.g_02010	Syae.g_02625
OG0000019	Syap.g_01586	Syae.g_02015
OG0000025	Syap.g_01846	Syae.g_00833
OG0000027	Syap.g_01440	Syae.g_00103
OG0000028	Syap.g_01658	Syae.g_01916
OG0000030	Syap.g_00787	Syae.g_01817
OG0000030	Syap.g_00788	Syae.g_01816
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syae.g_01911
OG0000033	Syap.g_01198	Syae.g_01453
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syae.g_00975, Syae.g_01424
OG0000035	Syap.g_02125, Syap.g_02465	Syae.g_02653
OG0000037	Syap.g_02492	Syae.g_01367
OG0000039	Syap.g_01749, Syap.g_01748	Syae.g_00822, Syae.g_02495
OG0000040	Syap.g_01819	Syae.g_01653
OG0000042	Syap.g_01891, Syap.g_01120	Syae.g_01821
OG0000044	Syap.g_00378	Syae.g_00098
OG0000045	Syap.g_02525	Syae.g_00732
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syae.g_02154
OG0000048	Syap.g_02340	Syae.g_01982
OG0000051	Syap.g_01574	Syae.g_00438
OG0000053	Syap.g_02006	Syae.g_02629
OG0000054	Syap.g_00678, Syap.g_02652, Syap.g_00774	Syae.g_00221
OG0000057	Syap.g_01569	Syae.g_00782
OG0000058	Syap.g_02074	Syae.g_01905, Syae.g_01227
OG0000059	Syap.g_01918	Syae.g_02074
OG0000060	Syap.g_00795	Syae.g_00649
OG0000061	Syap.g_00228	Syae.g_00921
OG0000062	Syap.g_01220	Syae.g_01145
OG0000063	Syap.g_01796	Syae.g_01752
OG0000066	Syap.g_01972	Syae.g_02386
OG0000067	Syap.g_00194	Syae.g_00521
OG0000068	Syap.g_00108, Syap.g_00144	Syae.g_02299
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syae.g_00979
OG0000073	Syap.g_00273	Syae.g_02330
OG0000075	Syap.g_01064, Syap.g_00664	Syae.g_01871
OG0000076	Syap.g_01111	Syae.g_01829
OG0000078	Syap.g_01149	Syae.g_02243
OG0000079	Syap.g_01589	Syae.g_02011
OG0000085	Syap.g_00611	Syae.g_01152
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syae.g_01414
OG0000088	Syap.g_01202	Syae.g_01449
OG0000089	Syap.g_00115, Syap.g_02042	Syae.g_02219
OG0000090	Syap.g_01451	Syae.g_02374
OG0000091	Syap.g_01861	Syae.g_00082
OG0000094	Syap.g_02781	Syae.g_00430
OG0000095	Syap.g_01556	Syae.g_00793, Syae.g_00259
OG0000098	Syap.g_01975	Syae.g_02384
OG0000099	Syap.g_01385	Syae.g_01913, Syae.g_01226
OG0000102	Syap.g_01116	Syae.g_01824
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syae.g_01708
OG0000105	Syap.g_01369, Syap.g_01368	Syae.g_01977
OG0000107	Syap.g_02496	Syae.g_02032
OG0000108	Syap.g_00733, Syap.g_02255	Syae.g_02309
OG0000110	Syap.g_01313	Syae.g_02435
OG0000111	Syap.g_01566, Syap.g_01568	Syae.g_00783
OG0000112	Syap.g_02023	Syae.g_00351
OG0000113	Syap.g_02714	Syae.g_00494
OG0000114	Syap.g_01255	Syae.g_00575
OG0000115	Syap.g_02004	Syae.g_02631
OG0000116	Syap.g_00241	Syae.g_00939
OG0000117	Syap.g_01889	Syae.g_00647
OG0000118	Syap.g_02286	Syae.g_02479
OG0000120	Syap.g_02075	Syae.g_01912
OG0000121	Syap.g_02471	Syae.g_02649
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syae.g_02131
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syae.g_01809
OG0000125	Syap.g_01046, Syap.g_01047	Syae.g_01573
OG0000126	Syap.g_02317, Syap.g_02316, Syap.g_02576	Syae.g_01706
OG0000127	Syap.g_00736	Syae.g_00720
OG0000128	Syap.g_00069	Syae.g_01724
OG0000129	Syap.g_00130, Syap.g_00129	Syae.g_01562
OG0000130	Syap.g_01688, Syap.g_01689	Syae.g_01284
OG0000131	Syap.g_02189	Syae.g_01428
OG0000132	Syap.g_01205	Syae.g_01447
OG0000133	Syap.g_02017	Syae.g_00356
OG0000134	Syap.g_02047	Syae.g_02222
OG0000135	Syap.g_02090	Syae.g_01608
OG0000136	Syap.g_00089	Syae.g_00989
