Orthogroup	Prbm	Syal
OG0000000	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381	Syal.g_01111, Syal.g_01832
OG0000001	Prbm.g_01633	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prbm.g_01483	Syal.g_01809
OG0000004	Prbm.g_00291	Syal.g_02718, Syal.g_00691
OG0000005	Prbm.g_01790	Syal.g_00565
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syal.g_02611, Syal.g_00674
OG0000007	Prbm.g_00522	Syal.g_02918
OG0000007	Prbm.g_01841	Syal.g_00587
OG0000008	Prbm.g_01907	Syal.g_02512
OG0000008	Prbm.g_01908	Syal.g_01783
OG0000009	Prbm.g_01235, Prbm.g_01400	Syal.g_02089
OG0000010	Prbm.g_01066	Syal.g_00464
OG0000011	Prbm.g_01174, Prbm.g_01134	Syal.g_00702
OG0000013	Prbm.g_00382	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prbm.g_00362	Syal.g_01305
OG0000015	Prbm.g_01427, Prbm.g_01149	Syal.g_02210, Syal.g_01183
OG0000016	Prbm.g_00013	Syal.g_00111
OG0000016	Prbm.g_01944	Syal.g_01734
OG0000018	Prbm.g_01571	Syal.g_00410
OG0000019	Prbm.g_00792	Syal.g_01209
OG0000022	Prbm.g_01324	Syal.g_02587
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbm.g_01151, Prbm.g_00709	Syal.g_02597
OG0000025	Prbm.g_00849	Syal.g_02459
OG0000026	Prbm.g_00031	Syal.g_00132
OG0000028	Prbm.g_01656	Syal.g_01319
OG0000029	Prbm.g_01823	Syal.g_03014
OG0000030	Prbm.g_02105	Syal.g_01511, Syal.g_01512
OG0000031	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393	Syal.g_01404, Syal.g_01432
OG0000032	Prbm.g_01747	Syal.g_00428
OG0000033	Prbm.g_00228	Syal.g_00912
OG0000034	Prbm.g_01620	Syal.g_00881, Syal.g_01586
OG0000035	Prbm.g_01710	Syal.g_00370, Syal.g_00020
OG0000037	Prbm.g_00166	Syal.g_00601, Syal.g_00824
OG0000038	Prbm.g_02174	Syal.g_01071, Syal.g_01073
OG0000039	Prbm.g_00723	Syal.g_01097
OG0000040	Prbm.g_01923, Prbm.g_01409, Prbm.g_01813	Syal.g_01187
OG0000041	Prbm.g_01886	Syal.g_00649
OG0000042	Prbm.g_02102	Syal.g_01705, Syal.g_01508
OG0000043	Prbm.g_01173	Syal.g_01110
OG0000043	Prbm.g_00906	Syal.g_02547
