Orthogroup	Prbf	Syab
OG0000000	Prbf.g_00880, Prbf.g_00776, Prbf.g_00775, Prbf.g_00881, Prbf.g_00760	Syab.g_01226
OG0000001	Prbf.g_00068, Prbf.g_00831	Syab.g_01549
OG0000002	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Syab.g_02285
OG0000004	Prbf.g_01264	Syab.g_00549, Syab.g_01193
OG0000004	Prbf.g_01570	Syab.g_01911, Syab.g_02377
OG0000005	Prbf.g_00240	Syab.g_02806, Syab.g_02232
OG0000006	Prbf.g_01580	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbf.g_01780	Syab.g_02117
OG0000007	Prbf.g_00693	Syab.g_02256
OG0000008	Prbf.g_00793	Syab.g_01755
OG0000008	Prbf.g_00792	Syab.g_01168
OG0000009	Prbf.g_00252	Syab.g_00995
OG0000010	Prbf.g_00847, Prbf.g_01056, Prbf.g_01757	Syab.g_00696
OG0000013	Prbf.g_01665	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prbf.g_01647	Syab.g_00249
OG0000016	Prbf.g_00860	Syab.g_01049
OG0000017	Prbf.g_01887	Syab.g_01945
OG0000017	Prbf.g_01880	Syab.g_01953
OG0000018	Prbf.g_00896, Prbf.g_01217	Syab.g_00742
OG0000019	Prbf.g_01588, Prbf.g_00894	Syab.g_00344
OG0000020	Prbf.g_00264, Prbf.g_00811	Syab.g_02230
OG0000022	Prbf.g_00248	Syab.g_01825
OG0000023	Prbf.g_00287	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbf.g_01052, Prbf.g_01288	Syab.g_01834
OG0000025	Prbf.g_01209	Syab.g_01705
OG0000026	Prbf.g_01354	Syab.g_00036
OG0000027	Prbf.g_00774, Prbf.g_00817	Syab.g_01782
OG0000028	Prbf.g_00794	Syab.g_00234
OG0000030	Prbf.g_00484	Syab.g_00096, Syab.g_00095
OG0000032	Prbf.g_00196	Syab.g_00724
OG0000033	Prbf.g_01503	Syab.g_02590
OG0000034	Prbf.g_00015	Syab.g_00900, Syab.g_02560
OG0000035	Prbf.g_00157	Syab.g_00776
OG0000037	Prbf.g_01437	Syab.g_02504
OG0000038	Prbf.g_00445	Syab.g_02759, Syab.g_02761
OG0000039	Prbf.g_01276	Syab.g_02791
OG0000041	Prbf.g_00646	Syab.g_02333
OG0000042	Prbf.g_00487	Syab.g_01019, Syab.g_00099
OG0000043	Prbf.g_00897	Syab.g_01539
OG0000045	Prbf.g_00874	Syab.g_01787
OG0000046	Prbf.g_01666	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Prbf.g_01707	Syab.g_00876
OG0000048	Prbf.g_00039, Prbf.g_01611	Syab.g_00308
OG0000051	Prbf.g_00340	Syab.g_01073
OG0000052	Prbf.g_00135	Syab.g_00214
OG0000053	Prbf.g_00748, Prbf.g_00178	Syab.g_00746
OG0000054	Prbf.g_01889	Syab.g_01932
OG0000055	Prbf.g_00869	Syab.g_01255
OG0000057	Prbf.g_01261	Syab.g_01200
OG0000058	Prbf.g_00117	Syab.g_00227
OG0000059	Prbf.g_00606	Syab.g_00397
OG0000061	Prbf.g_00918	Syab.g_00969
OG0000062	Prbf.g_00242	Syab.g_02234
OG0000063	Prbf.g_00808	Syab.g_00040
OG0000064	Prbf.g_01394	Syab.g_02808, Syab.g_01783, Syab.g_00997, Syab.g_00824
OG0000065	Prbf.g_01435	Syab.g_02500, Syab.g_01768
OG0000066	Prbf.g_01820, Prbf.g_00781	Syab.g_02031
OG0000067	Prbf.g_01245	Syab.g_01659
OG0000068	Prbf.g_00095	Syab.g_02087
OG0000070	Prbf.g_01734	Syab.g_00614
OG0000071	Prbf.g_00026	Syab.g_00915
OG0000072	Prbf.g_01505	Syab.g_02593
OG0000073	Prbf.g_01783	Syab.g_02119
OG0000075	Prbf.g_00522	Syab.g_00202
OG0000076	Prbf.g_00496	Syab.g_00113
OG0000077	Prbf.g_01405	Syab.g_02446
OG0000078	Prbf.g_01578	Syab.g_02366
OG0000079	Prbf.g_01591	Syab.g_00340
OG0000081	Prbf.g_01812	Syab.g_01793
OG0000082	Prbf.g_01867, Prbf.g_00704	Syab.g_01971
OG0000084	Prbf.g_00154	Syab.g_00781
OG0000085	Prbf.g_00701, Prbf.g_00822	Syab.g_02243
OG0000086	Prbf.g_01414	Syab.g_02468
OG0000087	Prbf.g_01469	Syab.g_02551
OG0000088	Prbf.g_01500	Syab.g_02586
OG0000089	Prbf.g_01701	Syab.g_00551
OG0000090	Prbf.g_01814	Syab.g_02041
OG0000091	Prbf.g_00990	Syab.g_01866
OG0000092	Prbf.g_01315	Syab.g_01242, Syab.g_00690
OG0000093	Prbf.g_01019	Syab.g_01090
OG0000097	Prbf.g_00964	Syab.g_01051
OG0000098	Prbf.g_00071	Syab.g_01553
OG0000099	Prbf.g_00118	Syab.g_00230
OG0000100	Prbf.g_00236	Syab.g_01694
OG0000101	Prbf.g_00558	Syab.g_00446
OG0000102	Prbf.g_00491	Syab.g_00104
OG0000103	Prbf.g_00406	Syab.g_01296, Syab.g_02895
OG0000104	Prbf.g_00397	Syab.g_02910
OG0000105	Prbf.g_01614	Syab.g_00303
OG0000106	Prbf.g_00320	Syab.g_01817
OG0000108	Prbf.g_01763	Syab.g_02096
OG0000109	Prbf.g_01777	Syab.g_02112
OG0000110	Prbf.g_01856	Syab.g_01984
OG0000111	Prbf.g_01260	Syab.g_01201
OG0000112	Prbf.g_01929	Syab.g_01392
OG0000113	Prbf.g_01222	Syab.g_01689
OG0000114	Prbf.g_01320	Syab.g_01633
OG0000115	Prbf.g_00062	Syab.g_00748
OG0000116	Prbf.g_00907	Syab.g_00945
OG0000117	Prbf.g_00945	Syab.g_01018
OG0000118	Prbf.g_00013	Syab.g_00897
OG0000120	Prbf.g_00115	Syab.g_00229
OG0000121	Prbf.g_00159	Syab.g_00772
OG0000122	Prbf.g_00055, Prbf.g_00200	Syab.g_01839
OG0000123	Prbf.g_00551	Syab.g_00454
OG0000124	Prbf.g_00478	Syab.g_00088
