Orthogroup	Species	Prbf	Orthologs
OG0000000	Prbb	Prbf.g_00880	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbm	Prbf.g_00880	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Praj	Prbf.g_00880	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prbc	Prbf.g_00880	Prbc.g_00609, Prbc.g_00812
OG0000000	Pral	Prbf.g_00880	Pral.g_00040
OG0000000	Pram	Prbf.g_00880	Pram.g_01513
OG0000000	Prbh	Prbf.g_00880	Prbh.g_01901
OG0000000	Prat	Prbf.g_00880	Prat.g_01190
OG0000000	Prak	Prbf.g_00880	Prak.g_01210
OG0000000	Prap	Prbf.g_00880	Prap.g_00494
OG0000000	Prbe	Prbf.g_00880	Prbe.g_01587
OG0000000	Prbg	Prbf.g_00880	Prbg.g_01524
OG0000000	Prbn	Prbf.g_00880	Prbn.g_01151
OG0000000	Pras	Prbf.g_00776	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Prbf.g_00776	Prai.g_01612, Prai.g_01592
OG0000000	Prac	Prbf.g_00776	Prac.g_00277, Prac.g_00292
OG0000000	Praq	Prbf.g_00776	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Prbf.g_00776	Prar.g_00713, Prar.g_00729
OG0000000	Prau	Prbf.g_00776	Prau.g_01665, Prau.g_01648
OG0000000	Praa	Prbf.g_00776	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Prbd	Prbf.g_00776	Prbd.g_01914, Prbd.g_01568
OG0000000	Pray	Prbf.g_00776	Pray.g_01576, Pray.g_01603
OG0000000	Praz	Prbf.g_00776	Praz.g_00894, Praz.g_00921
OG0000000	Prba	Prbf.g_00776	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Prbf.g_00776	Prad.g_01982, Prad.g_00392
OG0000000	Prbc	Prbf.g_00776	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prbb	Prbf.g_00776	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbm	Prbf.g_00776	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Praj	Prbf.g_00776	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prab	Prbf.g_00776	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Prbf.g_00776	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Prbf.g_00776	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Praw	Prbf.g_00776	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prae	Prbf.g_00776	Prae.g_01580
OG0000000	Prbi	Prbf.g_00776	Prbi.g_01709
OG0000000	Prax	Prbf.g_00776	Prax.g_01608, Prax.g_00496
OG0000000	Prao	Prbf.g_00776	Prao.g_01515
OG0000000	Prav	Prbf.g_00776	Prav.g_01695, Prav.g_00973
OG0000000	Prat	Prbf.g_00776	Prat.g_01549
OG0000000	Praf	Prbf.g_00776	Praf.g_00813
OG0000000	Prah	Prbf.g_00776	Prah.g_01348
OG0000000	Prbj	Prbf.g_00776	Prbj.g_00164
OG0000000	Prbk	Prbf.g_00776	Prbk.g_00165
OG0000000	Prbl	Prbf.g_00776	Prbl.g_00116
OG0000000	Pral	Prbf.g_00776	Pral.g_00037
OG0000000	Pram	Prbf.g_00776	Pram.g_01511
OG0000000	Prbh	Prbf.g_00776	Prbh.g_01903
OG0000000	Prak	Prbf.g_00776	Prak.g_01562
OG0000000	Prap	Prbf.g_00776	Prap.g_01862
OG0000000	Prbe	Prbf.g_00776	Prbe.g_01119
OG0000000	Prbg	Prbf.g_00776	Prbg.g_01567
OG0000000	Prbn	Prbf.g_00776	Prbn.g_01662
OG0000000	Praa	Prbf.g_00775, Prbf.g_00881, Prbf.g_00760	Praa.g_01597
OG0000000	Prad	Prbf.g_00775, Prbf.g_00881, Prbf.g_00760	Prad.g_01297
OG0000000	Praj	Prbf.g_00775	Praj.g_01307
OG0000000	Praj	Prbf.g_00881	Praj.g_01307
OG0000000	Praj	Prbf.g_00775	Praj.g_01359
