Orthogroup	Syao	Syal
OG0000001	Syao.g_00314	Syal.g_02193, Syal.g_02215
OG0000001	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Syal.g_00874, Syal.g_01184
OG0000004	Syao.g_02374	Syal.g_01809
OG0000004	Syao.g_01007	Syal.g_02718
OG0000005	Syao.g_01680	Syal.g_00606
OG0000005	Syao.g_01578	Syal.g_00565
OG0000005	Syao.g_01210	Syal.g_01664
OG0000006	Syao.g_00919	Syal.g_02611
OG0000007	Syao.g_00105	Syal.g_02918
OG0000007	Syao.g_01554	Syal.g_00587
OG0000008	Syao.g_01321	Syal.g_01783
OG0000009	Syao.g_02598	Syal.g_00818
OG0000010	Syao.g_02683	Syal.g_00464
OG0000011	Syao.g_01282	Syal.g_00702
OG0000012	Syao.g_01193	Syal.g_02535, Syal.g_01639
OG0000013	Syao.g_01844	Syal.g_00310
OG0000013	Syao.g_01910	Syal.g_00315
OG0000014	Syao.g_02027	Syal.g_01305
OG0000014	Syao.g_01136	Syal.g_01393
OG0000015	Syao.g_02339	Syal.g_02210, Syal.g_01183
OG0000016	Syao.g_01955	Syal.g_00111
OG0000017	Syao.g_01064	Syal.g_02745
OG0000017	Syao.g_00997	Syal.g_02752
OG0000018	Syao.g_00071	Syal.g_00410
OG0000019	Syao.g_02108	Syal.g_01209
OG0000022	Syao.g_01218	Syal.g_02587
OG0000023	Syao.g_01266	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000025	Syao.g_00436, Syao.g_00437	Syal.g_02459
OG0000026	Syao.g_02234	Syal.g_00132
OG0000027	Syao.g_00202	Syal.g_02543
OG0000028	Syao.g_02012	Syal.g_01319
OG0000030	Syao.g_02189	Syal.g_01511
OG0000030	Syao.g_02188	Syal.g_01512
OG0000031	Syao.g_02008	Syal.g_01404, Syal.g_01432
OG0000032	Syao.g_00090	Syal.g_00428
OG0000032	Syao.g_01984, Syao.g_01983	Syal.g_00183
OG0000033	Syao.g_02507	Syal.g_00912
OG0000035	Syao.g_01486	Syal.g_00020, Syal.g_00370
OG0000037	Syao.g_00374	Syal.g_00824
OG0000038	Syao.g_02440	Syal.g_01071
OG0000038	Syao.g_02442	Syal.g_01073
OG0000040	Syao.g_00711	Syal.g_01149
OG0000042	Syao.g_00019, Syao.g_01941	Syal.g_01705, Syal.g_01508
OG0000046	Syao.g_01909	Syal.g_00316
OG0000047	Syao.g_01899	Syal.g_01568
OG0000048	Syao.g_02077	Syal.g_01250
OG0000051	Syao.g_01261	Syal.g_01550, Syal.g_03018
OG0000052	Syao.g_01085, Syao.g_02520	Syal.g_01338
OG0000053	Syao.g_00067	Syal.g_00406
OG0000054	Syao.g_00295, Syao.g_00625	Syal.g_02098
OG0000058	Syao.g_01080	Syal.g_01326
OG0000059	Syao.g_01959	Syal.g_00225
OG0000060	Syao.g_00312	Syal.g_02214
OG0000061	Syao.g_00123	Syal.g_01653
OG0000062	Syao.g_01576	Syal.g_00567
OG0000063	Syao.g_02230	Syal.g_00136
OG0000064	Syao.g_02607, Syao.g_00495, Syao.g_01462, Syao.g_02605	Syal.g_02544
OG0000064	Syao.g_01898	Syal.g_01545
OG0000065	Syao.g_02600	Syal.g_00820, Syal.g_02528
OG0000066	Syao.g_01422	Syal.g_02828
OG0000067	Syao.g_00756	Syal.g_02414
OG0000068	Syao.g_00868, Syao.g_00036	Syal.g_02888
OG0000070	Syao.g_00330	Syal.g_00509
OG0000071	Syao.g_01433	Syal.g_01601, Syal.g_02099
OG0000072	Syao.g_02509	Syal.g_00914
OG0000073	Syao.g_00103	Syal.g_02920
OG0000075	Syao.g_02257	Syal.g_01350
OG0000076	Syao.g_01949, Syao.g_01251	Syal.g_01459
OG0000077	Syao.g_02629	Syal.g_00506
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Syal.g_01213
OG0000080	Syao.g_02269	Syal.g_01394
OG0000082	Syao.g_01035	Syal.g_02769
OG0000084	Syao.g_01509	Syal.g_01896
OG0000084	Syao.g_02606	Syal.g_00023
OG0000085	Syao.g_01569	Syal.g_00575
OG0000086	Syao.g_02653, Syao.g_01240	Syal.g_00784
OG0000087	Syao.g_02555	Syal.g_00871
OG0000088	Syao.g_02503	Syal.g_00908
OG0000089	Syao.g_01716	Syal.g_00555
OG0000090	Syao.g_01412	Syal.g_02838
OG0000091	Syao.g_00902	Syal.g_02628
OG0000092	Syao.g_00656	Syal.g_00470
OG0000093	Syao.g_00739	Syal.g_02233
OG0000094	Syao.g_00458	Syal.g_01907
OG0000095	Syao.g_00331	Syal.g_01823
OG0000097	Syao.g_00973	Syal.g_01553
OG0000098	Syao.g_01374	Syal.g_02196
OG0000099	Syao.g_02019	Syal.g_01323
OG0000100	Syao.g_00787	Syal.g_02448
OG0000102	Syao.g_01945	Syal.g_01488
OG0000103	Syao.g_02340	Syal.g_01897
OG0000104	Syao.g_02157	Syal.g_00092
OG0000105	Syao.g_02071, Syao.g_02072	Syal.g_01255
OG0000106	Syao.g_01385	Syal.g_02577
OG0000107	Syao.g_01935	Syal.g_00194
OG0000108	Syao.g_00028	Syal.g_02897
OG0000109	Syao.g_00110	Syal.g_02913
OG0000110	Syao.g_01051	Syal.g_02782
OG0000111	Syao.g_00378	Syal.g_01813
OG0000112	Syao.g_00683, Syao.g_00303	Syal.g_02000
OG0000113	Syao.g_00782	Syal.g_02443
OG0000114	Syao.g_00965	Syal.g_02286
OG0000115	Syao.g_00065, Syao.g_01464	Syal.g_00404
OG0000116	Syao.g_00137	Syal.g_01630
OG0000117	Syao.g_00169	Syal.g_01704
OG0000118	Syao.g_01475	Syal.g_01583
OG0000120	Syao.g_02009	Syal.g_01324
OG0000121	Syao.g_01489	Syal.g_00374
OG0000122	Syao.g_01247	Syal.g_02602
OG0000123	Syao.g_01832	Syal.g_00283
OG0000124	Syao.g_02179	Syal.g_01519
OG0000125	Syao.g_02444	Syal.g_01075
OG0000126	Syao.g_02198	Syal.g_00090
OG0000127	Syao.g_02375, Syao.g_01143	Syal.g_00720
OG0000128	Syao.g_02149	Syal.g_00109
OG0000129	Syao.g_02434	Syal.g_01062
