Orthogroup	Syar	Prbn
OG0000001	Syar.g_00069, Syar.g_00070, Syar.g_02229	Prbn.g_01213
OG0000004	Syar.g_02051	Prbn.g_01565
OG0000004	Syar.g_02225, Syar.g_00842	Prbn.g_00318
OG0000005	Syar.g_02909	Prbn.g_00899
OG0000006	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013	Prbn.g_00308
OG0000007	Syar.g_01491	Prbn.g_00617
OG0000007	Syar.g_02929	Prbn.g_01745
OG0000008	Syar.g_02097	Prbn.g_01645
OG0000008	Syar.g_02098	Prbn.g_01646
OG0000010	Syar.g_01272	Prbn.g_01939, Prbn.g_01357
OG0000012	Syar.g_00690, Syar.g_02860	Prbn.g_00867
OG0000013	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167	Prbn.g_00092
OG0000014	Syar.g_00825	Prbn.g_00074
OG0000015	Syar.g_00451, Syar.g_00180	Prbn.g_01684, Prbn.g_01730
OG0000016	Syar.g_02859	Prbn.g_01131
OG0000017	Syar.g_03181	Prbn.g_00517
OG0000017	Syar.g_02180	Prbn.g_00510
OG0000018	Syar.g_01409	Prbn.g_01167
OG0000019	Syar.g_00163	Prbn.g_00015, Prbn.g_01165
OG0000025	Syar.g_01811	Prbn.g_01510
OG0000026	Syar.g_00505	Prbn.g_00750
OG0000027	Syar.g_02055, Syar.g_02835	Prbn.g_00139, Prbn.g_01664
OG0000028	Syar.g_00718	Prbn.g_01644
OG0000031	Syar.g_00714	Prbn.g_00171
OG0000032	Syar.g_01390	Prbn.g_00251
OG0000033	Syar.g_00105	Prbn.g_00178
OG0000034	Syar.g_00074, Syar.g_02790	Prbn.g_01073
OG0000035	Syar.g_02809	Prbn.g_00212
OG0000037	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856	Prbn.g_01310
OG0000038	Syar.g_00334, Syar.g_00336	Prbn.g_00946
OG0000039	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044	Prbn.g_01577
OG0000041	Syar.g_01370, Syar.g_02014, Syar.g_02993	Prbn.g_01793
OG0000042	Syar.g_00595, Syar.g_01970	Prbn.g_00988
OG0000045	Syar.g_02592	Prbn.g_01145
OG0000046	Syar.g_03233, Syar.g_01102, Syar.g_01105	Prbn.g_00093
OG0000048	Syar.g_00213	Prbn.g_01097
OG0000051	Syar.g_01597	Prbn.g_00809
OG0000052	Syar.g_00281	Prbn.g_00724
OG0000053	Syar.g_01413	Prbn.g_00233, Prbn.g_01690
OG0000054	Syar.g_02265	Prbn.g_00508
OG0000055	Syar.g_01386	Prbn.g_01719
OG0000057	Syar.g_01941, Syar.g_00006	Prbn.g_01562
OG0000058	Syar.g_00648	Prbn.g_00172
OG0000059	Syar.g_01024	Prbn.g_01833
OG0000061	Syar.g_01539	Prbn.g_01189
OG0000062	Syar.g_02911	Prbn.g_00897
OG0000063	Syar.g_00509	Prbn.g_00130
OG0000064	Syar.g_03117, Syar.g_00860	Prbn.g_00710
OG0000065	Syar.g_03119	Prbn.g_01312
OG0000066	Syar.g_03187, Syar.g_02228	Prbn.g_00577, Prbn.g_01657
OG0000067	Syar.g_02639	Prbn.g_01546
OG0000068	Syar.g_02329, Syar.g_01461	Prbn.g_01240
OG0000069	Syar.g_01716	Prbn.g_00659
OG0000070	Syar.g_02223	Prbn.g_00663
OG0000071	Syar.g_02777	Prbn.g_01084
OG0000072	Syar.g_00107, Syar.g_01140	Prbn.g_00383
OG0000073	Syar.g_01493	Prbn.g_00614
OG0000075	Syar.g_03065, Syar.g_00659	Prbn.g_01917
OG0000076	Syar.g_00608	Prbn.g_00996
OG0000077	Syar.g_03051	Prbn.g_01342
OG0000078	Syar.g_03265, Syar.g_03018	Prbn.g_00310
OG0000079	Syar.g_00166	Prbn.g_00018
OG0000080	Syar.g_00585	Prbn.g_00184, Prbn.g_00186
OG0000081	Syar.g_01898	Prbn.g_00585
OG0000082	Syar.g_02202	Prbn.g_00530, Prbn.g_01734
OG0000085	Syar.g_02919	Prbn.g_00144, Prbn.g_01737
OG0000086	Syar.g_03085	Prbn.g_01333
OG0000087	Syar.g_03192, Syar.g_00068	Prbn.g_01278
OG0000088	Syar.g_00101	Prbn.g_01247
OG0000089	Syar.g_01162	Prbn.g_00696
OG0000090	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356	Prbn.g_00583
OG0000091	Syar.g_01891, Syar.g_02426	Prbn.g_00434
OG0000093	Syar.g_02623	Prbn.g_00846
OG0000094	Syar.g_01789	Prbn.g_01369
OG0000095	Syar.g_01932	Prbn.g_01471
OG0000097	Syar.g_01706, Syar.g_00364	Prbn.g_00408
OG0000098	Syar.g_02343	Prbn.g_01216
OG0000099	Syar.g_00715	Prbn.g_00173
OG0000100	Syar.g_02477	Prbn.g_00903
OG0000101	Syar.g_01073, Syar.g_03154	Prbn.g_01881
OG0000102	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138	Prbn.g_00991
OG0000103	Syar.g_00014, Syar.g_00452	Prbn.g_00907
OG0000104	Syar.g_00466	Prbn.g_00296
OG0000105	Syar.g_00218	Prbn.g_00041
OG0000106	Syar.g_01748	Prbn.g_00829
OG0000107	Syar.g_03290, Syar.g_00149	Prbn.g_01810
OG0000108	Syar.g_01469	Prbn.g_00634
OG0000109	Syar.g_03310, Syar.g_01485	Prbn.g_00620
OG0000110	Syar.g_02295	Prbn.g_00541
OG0000111	Syar.g_01940, Syar.g_00005	Prbn.g_01561
