Orthogroup	Prbd	Prah
OG0000000	Prbd.g_01568	Prah.g_01348
OG0000000	Prbd.g_01569, Prbd.g_00528, Prbd.g_01836	Prah.g_01152, Prah.g_01154, Prah.g_01346
OG0000001	Prbd.g_01771	Prah.g_00562
OG0000001	Prbd.g_00566	Prah.g_01226
OG0000002	Prbd.g_01779	Prah.g_01343, Prah.g_00324, Prah.g_01159, Prah.g_02270, Prah.g_00896
OG0000004	Prbd.g_01835, Prbd.g_01567	Prah.g_01347
OG0000005	Prbd.g_00038	Prah.g_01175, Prah.g_00215
OG0000008	Prbd.g_00745	Prah.g_01546
OG0000008	Prbd.g_01525	Prah.g_01676
OG0000010	Prbd.g_00082, Prbd.g_00990	Prah.g_02086
OG0000011	Prbd.g_00863, Prbd.g_00052	Prah.g_01972
OG0000012	Prbd.g_00439	Prah.g_02122
OG0000013	Prbd.g_01576, Prbd.g_01139	Prah.g_00432, Prah.g_01895
OG0000015	Prbd.g_00909	Prah.g_00353
OG0000016	Prbd.g_00065, Prbd.g_00826	Prah.g_01155, Prah.g_00576
OG0000018	Prbd.g_00646	Prah.g_01405, Prah.g_01397
OG0000020	Prbd.g_01768	Prah.g_01007, Prah.g_01048
OG0000022	Prbd.g_00998	Prah.g_01767, Prah.g_00475
OG0000023	Prbd.g_01546, Prbd.g_00874	Prah.g_01410
OG0000024	Prbd.g_01860	Prah.g_00998
OG0000025	Prbd.g_00045	Prah.g_01043
OG0000027	Prbd.g_00572	Prah.g_00969
OG0000029	Prbd.g_00083	Prah.g_00942
OG0000031	Prbd.g_01328	Prah.g_01256, Prah.g_00135, Prah.g_02545
OG0000032	Prbd.g_01204	Prah.g_00042
OG0000034	Prbd.g_01689	Prah.g_00408
OG0000037	Prbd.g_01544	Prah.g_01166
OG0000039	Prbd.g_01224	Prah.g_00015
OG0000040	Prbd.g_01859, Prbd.g_00836	Prah.g_01084
OG0000041	Prbd.g_00621	Prah.g_00524
OG0000045	Prbd.g_00658	Prah.g_01427
OG0000046	Prbd.g_00061	Prah.g_01209, Prah.g_00170
OG0000047	Prbd.g_00468	Prah.g_01322
OG0000049	Prbd.g_01733	Prah.g_02195
OG0000050	Prbd.g_01074	Prah.g_00957, Prah.g_02304
OG0000051	Prbd.g_00879	Prah.g_00688
OG0000053	Prbd.g_00007	Prah.g_00958, Prah.g_00887
OG0000054	Prbd.g_01532	Prah.g_01666
OG0000055	Prbd.g_01335	Prah.g_00150
OG0000056	Prbd.g_01206	Prah.g_00038
OG0000057	Prbd.g_01083	Prah.g_02295
OG0000058	Prbd.g_00868	Prah.g_01660
OG0000059	Prbd.g_00703	Prah.g_01485
OG0000061	Prbd.g_00055	Prah.g_01812
OG0000062	Prbd.g_00124	Prah.g_00641
OG0000065	Prbd.g_01537	Prah.g_01778
OG0000066	Prbd.g_00767	Prah.g_00312
OG0000067	Prbd.g_00546	Prah.g_01027
OG0000070	Prbd.g_00340	Prah.g_00915
OG0000071	Prbd.g_01895	Prah.g_01257
OG0000072	Prbd.g_01801	Prah.g_01364
OG0000074	Prbd.g_01737	Prah.g_02192
OG0000075	Prbd.g_01391	Prah.g_01995
OG0000076	Prbd.g_01730	Prah.g_02196
OG0000077	Prbd.g_01226	Prah.g_00013
OG0000078	Prbd.g_00917	Prah.g_02187
OG0000079	Prbd.g_00855	Prah.g_02538
OG0000080	Prbd.g_00575	Prah.g_00445
OG0000081	Prbd.g_00553	Prah.g_00974
OG0000082	Prbd.g_00109	Prah.g_00660
OG0000083	Prbd.g_00174	Prah.g_01190
OG0000084	Prbd.g_00264	Prah.g_00796
OG0000085	Prbd.g_00389	Prah.g_02597
OG0000086	Prbd.g_00427	Prah.g_02524
OG0000088	Prbd.g_01928	Prah.g_01081
OG0000090	Prbd.g_01734	Prah.g_02191
OG0000091	Prbd.g_01681	Prah.g_00398
OG0000092	Prbd.g_01561	Prah.g_01609
OG0000093	Prbd.g_01439	Prah.g_02043
OG0000094	Prbd.g_01394	Prah.g_01999, Prah.g_01797
OG0000095	Prbd.g_01361	Prah.g_02230
OG0000096	Prbd.g_01289	Prah.g_00052
OG0000098	Prbd.g_01234	Prah.g_00004
OG0000099	Prbd.g_01214	Prah.g_00029
OG0000101	Prbd.g_01188	Prah.g_02458
OG0000102	Prbd.g_01131	Prah.g_00194
OG0000103	Prbd.g_01122	Prah.g_00176, Prah.g_00180
OG0000104	Prbd.g_01103, Prbd.g_01104	Prah.g_02268
OG0000105	Prbd.g_01070	Prah.g_02308
OG0000106	Prbd.g_01056	Prah.g_02324
OG0000107	Prbd.g_01048	Prah.g_02352
OG0000108	Prbd.g_01038	Prah.g_02362
OG0000109	Prbd.g_01000	Prah.g_01773
OG0000110	Prbd.g_00988	Prah.g_02089
OG0000111	Prbd.g_00965	Prah.g_02126
OG0000113	Prbd.g_00942	Prah.g_02155
OG0000114	Prbd.g_00914	Prah.g_02207
OG0000115	Prbd.g_00768	Prah.g_00311
OG0000116	Prbd.g_00766	Prah.g_00313, Prah.g_00314
OG0000117	Prbd.g_00762	Prah.g_01566
OG0000118	Prbd.g_00743	Prah.g_01544
OG0000119	Prbd.g_00710	Prah.g_00108, Prah.g_01503
OG0000120	Prbd.g_00709	Prah.g_01501
OG0000121	Prbd.g_00699	Prah.g_01476
