Orthogroup	Syat	Prac
OG0000001	Syat.g_02910, Syat.g_02911	Prac.g_00202, Prac.g_00924, Prac.g_00925
OG0000005	Syat.g_03065	Prac.g_00612
OG0000005	Syat.g_03105	Prac.g_00335
OG0000006	Syat.g_01439, Syat.g_01865	Prac.g_01689
OG0000007	Syat.g_03191	Prac.g_00874
OG0000007	Syat.g_03124	Prac.g_00625
OG0000008	Syat.g_02626	Prac.g_00904
OG0000009	Syat.g_01567	Prac.g_01826
OG0000010	Syat.g_01372	Prac.g_01592, Prac.g_01248, Prac.g_01070
OG0000013	Syat.g_01625, Syat.g_01016, Syat.g_01027	Prac.g_01604
OG0000014	Syat.g_02104	Prac.g_01625
OG0000016	Syat.g_02329	Prac.g_01934
OG0000017	Syat.g_00015	Prac.g_00773
OG0000018	Syat.g_01334	Prac.g_01004, Prac.g_01448
OG0000019	Syat.g_01876	Prac.g_01681, Prac.g_01496
OG0000021	Syat.g_00964	Prac.g_01169
OG0000022	Syat.g_00210	Prac.g_01510, Prac.g_01022
OG0000024	Syat.g_03394	Prac.g_01525, Prac.g_00696
OG0000025	Syat.g_00719	Prac.g_01441, Prac.g_01600
OG0000026	Syat.g_02306	Prac.g_01916, Prac.g_01241
OG0000027	Syat.g_00850	Prac.g_01074
OG0000028	Syat.g_02126	Prac.g_01611, Prac.g_00145
OG0000030	Syat.g_00307, Syat.g_00308	Prac.g_00050
OG0000031	Syat.g_03199, Syat.g_02243	Prac.g_00249
OG0000032	Syat.g_02237	Prac.g_00242
OG0000033	Syat.g_02858	Prac.g_01761
OG0000034	Syat.g_01165, Syat.g_02902	Prac.g_00185
OG0000035	Syat.g_01227, Syat.g_01226	Prac.g_00411
OG0000037	Syat.g_00849, Syat.g_00187	Prac.g_01822
OG0000038	Syat.g_02688, Syat.g_02686	Prac.g_00090
OG0000039	Syat.g_01278	Prac.g_00685
OG0000042	Syat.g_00223, Syat.g_02222	Prac.g_00048
OG0000044	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333	Prac.g_00892
OG0000045	Syat.g_00935	Prac.g_01576, Prac.g_01162
OG0000048	Syat.g_02046	Prac.g_01159
OG0000053	Syat.g_01330	Prac.g_01901, Prac.g_00391
OG0000057	Syat.g_00817	Prac.g_00673
OG0000058	Syat.g_01189	Prac.g_00434
OG0000061	Syat.g_03260	Prac.g_00985
OG0000063	Syat.g_02303	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000065	Syat.g_01571	Prac.g_01824
OG0000066	Syat.g_03283	Prac.g_00833
OG0000067	Syat.g_00479	Prac.g_01475
OG0000068	Syat.g_00085, Syat.g_01295	Prac.g_00217
OG0000070	Syat.g_01032, Syat.g_01040	Prac.g_01097
OG0000072	Syat.g_02856, Syat.g_01597	Prac.g_01759
OG0000073	Syat.g_03201	Prac.g_00872
OG0000075	Syat.g_02497, Syat.g_01713, Syat.g_02154	Prac.g_00017
OG0000076	Syat.g_02206	Prac.g_01904, Prac.g_00041
OG0000078	Syat.g_00184	Prac.g_01691
OG0000081	Syat.g_00980	Prac.g_00841
OG0000082	Syat.g_00035	Prac.g_00788
OG0000085	Syat.g_03113	Prac.g_00632
OG0000086	Syat.g_01531, Syat.g_00798, Syat.g_00635	Prac.g_01843
OG0000087	Syat.g_02912	Prac.g_01792
OG0000088	Syat.g_02862	Prac.g_01764
OG0000089	Syat.g_02953	Prac.g_01178
OG0000090	Syat.g_03270	Prac.g_00839
OG0000091	Syat.g_00939, Syat.g_00862	Prac.g_00729
OG0000092	Syat.g_00825	Prac.g_01379, Prac.g_00003
OG0000094	Syat.g_00698, Syat.g_01034	Prac.g_01275
OG0000097	Syat.g_00907, Syat.g_00535	Prac.g_00944
OG0000098	Syat.g_03281	Prac.g_00199
OG0000099	Syat.g_02130	Prac.g_00256
OG0000100	Syat.g_00517	Prac.g_00337
OG0000101	Syat.g_01661	Prac.g_00548
OG0000102	Syat.g_00974	Prac.g_00046
OG0000103	Syat.g_02399	Prac.g_00123
OG0000104	Syat.g_02385	Prac.g_00131
OG0000105	Syat.g_02052	Prac.g_01657
OG0000106	Syat.g_00957	Prac.g_01163
OG0000107	Syat.g_01862	Prac.g_01148
OG0000108	Syat.g_03170	Prac.g_01064
OG0000109	Syat.g_03187	Prac.g_01050
OG0000110	Syat.g_00049	Prac.g_00798
OG0000111	Syat.g_00816	Prac.g_00672
OG0000112	Syat.g_00593	Prac.g_01507
OG0000113	Syat.g_00509	Prac.g_01453
OG0000114	Syat.g_00426	Prac.g_01384
OG0000115	Syat.g_01328	Prac.g_01040
OG0000116	Syat.g_02641	Prac.g_00995
OG0000117	Syat.g_00224	Prac.g_01955
OG0000118	Syat.g_01168	Prac.g_00187
OG0000119	Syat.g_00309	Prac.g_00213
OG0000120	Syat.g_02132	Prac.g_00248
OG0000121	Syat.g_01223	Prac.g_00409
OG0000123	Syat.g_01653	Prac.g_00554
OG0000124	Syat.g_02231	Prac.g_00056
OG0000125	Syat.g_02684	Prac.g_00092
OG0000126	Syat.g_00976	Prac.g_00130
OG0000128	Syat.g_02331	Prac.g_01936
OG0000129	Syat.g_02693, Syat.g_02694	Prac.g_01888
OG0000130	Syat.g_01469	Prac.g_01862
OG0000131	Syat.g_02898	Prac.g_01785
OG0000132	Syat.g_02864	Prac.g_01766
OG0000133	Syat.g_00588	Prac.g_01609
OG0000134	Syat.g_02956	Prac.g_01177
OG0000135	Syat.g_02501	Prac.g_01150
OG0000136	Syat.g_01292	Prac.g_01106
OG0000137	Syat.g_01371	Prac.g_01069
OG0000138	Syat.g_03188	Prac.g_01049
OG0000140	Syat.g_03280	Prac.g_00834
OG0000141	Syat.g_03398	Prac.g_00764
OG0000142	Syat.g_00117	Prac.g_00736
OG0000143	Syat.g_00130	Prac.g_00732
OG0000144	Syat.g_00369	Prac.g_00719
OG0000145	Syat.g_03202	Prac.g_01508
OG0000146	Syat.g_00594	Prac.g_01506
OG0000147	Syat.g_00595	Prac.g_01505
OG0000148	Syat.g_00503	Prac.g_01459
OG0000149	Syat.g_00747	Prac.g_01429
