Orthogroup	Syaa	Pras
OG0000001	Syaa.g_02435, Syaa.g_02438, Syaa.g_02437, Syaa.g_02436, Syaa.g_02439, Syaa.g_02329	Pras.g_00235
OG0000004	Syaa.g_00892	Pras.g_01571
OG0000004	Syaa.g_01667, Syaa.g_02116	Pras.g_01084
OG0000005	Syaa.g_00534	Pras.g_00563
OG0000005	Syaa.g_00573	Pras.g_00429
OG0000006	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099	Pras.g_00148, Pras.g_01093
OG0000007	Syaa.g_02032	Pras.g_01375
OG0000007	Syaa.g_00551	Pras.g_00550
OG0000009	Syaa.g_02378	Pras.g_00956
OG0000010	Syaa.g_01843	Pras.g_00523, Pras.g_01942
OG0000011	Syaa.g_00921	Pras.g_00142, Pras.g_00166
OG0000012	Syaa.g_01660, Syaa.g_02304	Pras.g_01499
OG0000013	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217	Pras.g_01179
OG0000014	Syaa.g_00222	Pras.g_01158
OG0000015	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989	Pras.g_00127
OG0000016	Syaa.g_00014	Pras.g_00855
OG0000017	Syaa.g_01890, Syaa.g_01883	Pras.g_01474
OG0000018	Syaa.g_01801	Pras.g_00037
OG0000019	Syaa.g_00307	Pras.g_01101, Pras.g_01681
OG0000021	Syaa.g_02627	Pras.g_00507, Pras.g_01218
OG0000022	Syaa.g_01571	Pras.g_00019
OG0000023	Syaa.g_01529, Syaa.g_01216	Pras.g_01213
OG0000024	Syaa.g_00922	Pras.g_01645, Pras.g_01551
OG0000025	Syaa.g_00839	Pras.g_01183, Pras.g_01735
OG0000026	Syaa.g_00038	Pras.g_00873, Pras.g_01949
OG0000027	Syaa.g_01605, Syaa.g_00854	Pras.g_01348, Pras.g_00185
OG0000028	Syaa.g_00205	Pras.g_00169, Pras.g_01172
OG0000029	Syaa.g_01578	Pras.g_01653, Pras.g_01228
OG0000030	Syaa.g_00099, Syaa.g_00098	Pras.g_00753
OG0000031	Syaa.g_00480	Pras.g_00331
OG0000034	Syaa.g_00722, Syaa.g_02444	Pras.g_00219
OG0000035	Syaa.g_01773	Pras.g_00350
OG0000037	Syaa.g_02384	Pras.g_00960
OG0000038	Syaa.g_02596	Pras.g_00795
OG0000039	Syaa.g_00846	Pras.g_01562
OG0000040	Syaa.g_01606	Pras.g_00489
OG0000040	Syaa.g_02690	Pras.g_00036
OG0000041	Syaa.g_00660, Syaa.g_00869	Pras.g_00597
OG0000042	Syaa.g_00103	Pras.g_00750
OG0000045	Syaa.g_01560	Pras.g_01224
OG0000045	Syaa.g_01518	Pras.g_00509
OG0000047	Syaa.g_02189	Pras.g_01182, Pras.g_01263
OG0000048	Syaa.g_00275, Syaa.g_02719	Pras.g_01227
OG0000050	Syaa.g_01213, Syaa.g_01712	Pras.g_01969
OG0000051	Syaa.g_01531	Pras.g_00179
OG0000052	Syaa.g_00461	Pras.g_00285
OG0000053	Syaa.g_01797	Pras.g_00886, Pras.g_00370
OG0000054	Syaa.g_01691, Syaa.g_01502	Pras.g_01482
OG0000055	Syaa.g_01564, Syaa.g_00852	Pras.g_01682
OG0000057	Syaa.g_01466, Syaa.g_00889	Pras.g_01574
OG0000059	Syaa.g_02315	Pras.g_00637
OG0000061	Syaa.g_00770	Pras.g_00056
OG0000062	Syaa.g_00571	Pras.g_00431
OG0000063	Syaa.g_00042	Pras.g_00875
OG0000065	Syaa.g_02380	Pras.g_00958
OG0000066	Syaa.g_01968	Pras.g_01416
OG0000067	Syaa.g_01154	Pras.g_01701, Pras.g_00311
OG0000068	Syaa.g_02059	Pras.g_00250
OG0000069	Syaa.g_01497, Syaa.g_01256	Pras.g_00538, Pras.g_00464
OG0000070	Syaa.g_00718	Pras.g_01328
OG0000071	Syaa.g_00735	Pras.g_00209
OG0000072	Syaa.g_02480	Pras.g_01022
OG0000073	Syaa.g_02030	Pras.g_01377
OG0000074	Syaa.g_00372	Pras.g_01558
OG0000075	Syaa.g_00157	Pras.g_00719
OG0000076	Syaa.g_00123	Pras.g_00883, Pras.g_00743
OG0000077	Syaa.g_00341	Pras.g_00929
OG0000078	Syaa.g_02103	Pras.g_01091
OG0000079	Syaa.g_00303	Pras.g_01104
OG0000080	Syaa.g_00487	Pras.g_00279, Pras.g_00277
OG0000081	Syaa.g_02089, Syaa.g_01694	Pras.g_01408
OG0000082	Syaa.g_01905	Pras.g_01462
OG0000084	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770	Pras.g_00346
OG0000085	Syaa.g_00564	Pras.g_00543
