Orthogroup	Prax	Prab
OG0000000	Prax.g_01917	Prab.g_00915, Prab.g_01617
OG0000000	Prax.g_01608	Prab.g_01598
OG0000000	Prax.g_00259	Prab.g_01278
OG0000000	Prax.g_01609	Prab.g_01278
OG0000000	Prax.g_00259	Prab.g_01597
OG0000000	Prax.g_01609	Prab.g_01597
OG0000000	Prax.g_01920	Prab.g_01606
OG0000000	Prax.g_01919	Prab.g_01308
OG0000001	Prax.g_00522	Prab.g_00788
OG0000002	Prax.g_00964	Prab.g_00683
OG0000004	Prax.g_00947	Prab.g_00700
OG0000004	Prax.g_00986	Prab.g_00223
OG0000005	Prax.g_01546	Prab.g_01682
OG0000005	Prax.g_01652	Prab.g_01542
OG0000006	Prax.g_01972	Prab.g_00231
OG0000007	Prax.g_00704	Prab.g_00501
OG0000007	Prax.g_01559	Prab.g_01669
OG0000008	Prax.g_00970	Prab.g_00677
OG0000009	Prax.g_01950, Prax.g_01617	Prab.g_01584
OG0000010	Prax.g_00728	Prab.g_00478
OG0000010	Prax.g_01212	Prab.g_01104
OG0000011	Prax.g_00460	Prab.g_01624
OG0000011	Prax.g_00454	Prab.g_00799
OG0000012	Prax.g_00082	Prab.g_00627
OG0000013	Prax.g_00846	Prab.g_00315
OG0000014	Prax.g_00869	Prab.g_00294
OG0000014	Prax.g_01763	Prab.g_01444, Prab.g_01445
OG0000015	Prax.g_00523, Prax.g_00410	Prab.g_00789
OG0000017	Prax.g_00057	Prab.g_00602
OG0000018	Prax.g_00346	Prab.g_00867
OG0000018	Prax.g_00181	Prab.g_01201
OG0000019	Prax.g_00926	Prab.g_00239
OG0000019	Prax.g_00393	Prab.g_00820
OG0000020	Prax.g_00138	Prab.g_01162
OG0000021	Prax.g_01587, Prax.g_00808	Prab.g_00354
OG0000022	Prax.g_00157	Prab.g_01182
OG0000022	Prax.g_00415	Prab.g_00782
OG0000023	Prax.g_00813	Prab.g_00348
OG0000024	Prax.g_00432	Prab.g_00763
OG0000024	Prax.g_00967	Prab.g_00680
OG0000025	Prax.g_00842	Prab.g_00319
OG0000025	Prax.g_00338	Prab.g_00874
OG0000026	Prax.g_00458	Prab.g_01629
OG0000026	Prax.g_00282	Prab.g_00031
OG0000026	Prax.g_01220	Prab.g_01111
OG0000027	Prax.g_01916	Prab.g_00914, Prab.g_01616
OG0000028	Prax.g_00855	Prab.g_00308
OG0000029	Prax.g_00425	Prab.g_00773
OG0000030	Prax.g_01404	Prab.g_01867
OG0000031	Prax.g_01831	Prab.g_01446
OG0000033	Prax.g_01049	Prab.g_00160
OG0000034	Prax.g_01889	Prab.g_01336
OG0000035	Prax.g_01728, Prax.g_01733	Prab.g_01466
OG0000037	Prax.g_01110	Prab.g_00100
OG0000038	Prax.g_01445	Prab.g_01908
OG0000039	Prax.g_00956	Prab.g_00691
OG0000040	Prax.g_01591	Prab.g_01623
OG0000040	Prax.g_00180	Prab.g_01200
OG0000041	Prax.g_01512	Prab.g_01715
OG0000042	Prax.g_01401	Prab.g_01864
OG0000043	Prax.g_00301, Prax.g_00501, Prax.g_00530	Prab.g_01100
OG0000045	Prax.g_00802	Prab.g_00360
OG0000047	Prax.g_00843	Prab.g_00318
OG0000048	Prax.g_00173	Prab.g_00411
OG0000048	Prax.g_00512, Prax.g_00799	Prab.g_00363
OG0000049	Prax.g_00791	Prab.g_00372
OG0000049	Prax.g_01958	Prab.g_00971
OG0000050	Prax.g_00448	Prab.g_00394
OG0000050	Prax.g_00508	Prab.g_01645
OG0000050	Prax.g_01240	Prab.g_01130
OG0000051	Prax.g_01927	Prab.g_01304
OG0000053	Prax.g_01708	Prab.g_01486
OG0000054	Prax.g_00065	Prab.g_00610
OG0000055	Prax.g_00392	Prab.g_00821
OG0000057	Prax.g_00944	Prab.g_00703
OG0000058	Prax.g_01823	Prab.g_01393
OG0000059	Prax.g_01286	Prab.g_01754
OG0000060	Prax.g_00517	Prab.g_00784
OG0000061	Prax.g_00200	Prab.g_01219
OG0000062	Prax.g_01650	Prab.g_01544
OG0000063	Prax.g_00280	Prab.g_00033
OG0000065	Prax.g_01112	Prab.g_00098
OG0000066	Prax.g_00662	Prab.g_00543
OG0000067	Prax.g_00373	Prab.g_00840
OG0000068	Prax.g_01863	Prab.g_01360
OG0000069	Prax.g_01616	Prab.g_01585
OG0000070	Prax.g_00750	Prab.g_00456
OG0000071	Prax.g_01899	Prab.g_01637, Prab.g_01326
OG0000072	Prax.g_01047	Prab.g_00162
OG0000073	Prax.g_00702	Prab.g_00503
OG0000074	Prax.g_00960	Prab.g_00687
OG0000075	Prax.g_01370	Prab.g_01834
OG0000076	Prax.g_01394	Prab.g_01857
OG0000077	Prax.g_00649	Prab.g_00070
