Orthogroup	Prag	Prat
OG0000000	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348	Prat.g_01549
OG0000000	Prag.g_00722, Prag.g_01650, Prag.g_01607, Prag.g_01213	Prat.g_01510, Prat.g_01189, Prat.g_01547
OG0000001	Prag.g_01382	Prat.g_00977
OG0000001	Prag.g_00656	Prat.g_00751, Prat.g_01462, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187
OG0000002	Prag.g_01651, Prag.g_00764, Prag.g_01215, Prag.g_01216	Prat.g_00851
OG0000002	Prag.g_01374	Prat.g_01286, Prat.g_01285
OG0000003	Prag.g_00038	Prat.g_01473
OG0000004	Prag.g_01333, Prag.g_01610, Prag.g_01649	Prat.g_01190
OG0000005	Prag.g_00734	Prat.g_00824
OG0000006	Prag.g_01319, Prag.g_01636, Prag.g_00749, Prag.g_01103	Prat.g_00634
OG0000008	Prag.g_00476	Prat.g_00458
OG0000008	Prag.g_01669	Prat.g_01592
OG0000010	Prag.g_00786	Prat.g_01180
OG0000010	Prag.g_00242	Prat.g_00255
OG0000012	Prag.g_01088	Prat.g_00278
OG0000013	Prag.g_01600, Prag.g_00098	Prat.g_01451
OG0000016	Prag.g_00765	Prat.g_00701
OG0000017	Prag.g_01646, Prag.g_01336, Prag.g_00449	Prat.g_01548, Prat.g_01474
OG0000018	Prag.g_00576	Prat.g_00560, Prat.g_00567
OG0000019	Prag.g_00374	Prat.g_01580, Prat.g_00639, Prat.g_00615
OG0000020	Prag.g_01385	Prat.g_00647, Prat.g_01452
OG0000022	Prag.g_01231, Prag.g_00234	Prat.g_00248
OG0000023	Prag.g_01633, Prag.g_00359	Prat.g_00461
OG0000024	Prag.g_01325	Prat.g_01489
OG0000025	Prag.g_00740	Prat.g_00622
OG0000026	Prag.g_01647, Prag.g_01335, Prag.g_00719	Prat.g_01191
OG0000027	Prag.g_01656	Prat.g_00377
OG0000028	Prag.g_01655	Prat.g_00376
OG0000029	Prag.g_00787	Prat.g_00852
OG0000031	Prag.g_01868	Prat.g_01796
OG0000034	Prag.g_01488	Prat.g_01352
OG0000034	Prag.g_01490	Prat.g_01353
OG0000035	Prag.g_01601	Prat.g_01400
OG0000036	Prag.g_01100	Prat.g_01470
OG0000038	Prag.g_01446	Prat.g_01266
OG0000039	Prag.g_01638	Prat.g_01219
OG0000039	Prag.g_00013	Prat.g_00014
OG0000041	Prag.g_00601	Prat.g_00586
OG0000043	Prag.g_01075, Prag.g_01259	Prat.g_00657
OG0000045	Prag.g_00563	Prat.g_01507
OG0000046	Prag.g_00757	Prat.g_01448, Prat.g_01192
OG0000047	Prag.g_01153	Prat.g_01156
OG0000049	Prag.g_01428	Prat.g_01311
OG0000050	Prag.g_00159	Prat.g_00166
OG0000051	Prag.g_00354	Prat.g_00834
OG0000053	Prag.g_00692	Prat.g_00788
OG0000054	Prag.g_01662	Prat.g_01584
OG0000055	Prag.g_01861	Prat.g_01788
OG0000056	Prag.g_00031	Prat.g_00033
OG0000057	Prag.g_00150	Prat.g_00157
OG0000058	Prag.g_00364	Prat.g_00637
OG0000059	Prag.g_00518	Prat.g_01499
OG0000062	Prag.g_00828	Prat.g_01014
OG0000065	Prag.g_00230	Prat.g_00242
OG0000066	Prag.g_00454	Prat.g_00434
OG0000067	Prag.g_00676	Prat.g_00775
OG0000070	Prag.g_01036	Prat.g_00965
OG0000071	Prag.g_01298	Prat.g_01129
OG0000072	Prag.g_01355	Prat.g_01249
OG0000074	Prag.g_01423	Prat.g_00344
OG0000075	Prag.g_01804	Prat.g_01726
OG0000077	Prag.g_00011	Prat.g_00012, Prat.g_00011
OG0000078	Prag.g_00313	Prat.g_00329
OG0000079	Prag.g_00375	Prat.g_01477
OG0000080	Prag.g_00647	Prat.g_01054
OG0000081	Prag.g_00669	Prat.g_00765
OG0000082	Prag.g_00813	Prat.g_01030
OG0000083	Prag.g_00876	Prat.g_01176
OG0000084	Prag.g_00964	Prat.g_00896, Prat.g_01277
OG0000085	Prag.g_01085	Prat.g_01208
OG0000086	Prag.g_01120	Prat.g_01561, Prat.g_01495
OG0000090	Prag.g_01424	Prat.g_01312
OG0000091	Prag.g_01498	Prat.g_01361
OG0000092	Prag.g_01617	Prat.g_01539
OG0000093	Prag.g_01755	Prat.g_01679
OG0000094	Prag.g_01801	Prat.g_01722
OG0000095	Prag.g_01834	Prat.g_01759
OG0000096	Prag.g_01905	Prat.g_01833
OG0000098	Prag.g_00003	Prat.g_00003
OG0000099	Prag.g_00023	Prat.g_01314, Prat.g_00024
OG0000100	Prag.g_00391	Prat.g_00614
OG0000101	Prag.g_00049	Prat.g_00054
OG0000102	Prag.g_00106	Prat.g_00112
OG0000103	Prag.g_00114	Prat.g_00121
OG0000104	Prag.g_00132	Prat.g_00138
OG0000105	Prag.g_00163	Prat.g_00171
OG0000106	Prag.g_00177	Prat.g_00185
OG0000107	Prag.g_00185	Prat.g_00194
OG0000108	Prag.g_00195	Prat.g_00204
OG0000109	Prag.g_00232	Prat.g_00245
OG0000110	Prag.g_00244	Prat.g_00257
OG0000111	Prag.g_00265	Prat.g_00281
OG0000112	Prag.g_00275	Prat.g_00292
OG0000113	Prag.g_00288	Prat.g_00305
OG0000114	Prag.g_00316	Prat.g_00332
OG0000115	Prag.g_00453	Prat.g_00433
OG0000116	Prag.g_00455	Prat.g_00435
OG0000117	Prag.g_00459	Prat.g_00440
OG0000118	Prag.g_00478	Prat.g_00462
OG0000119	Prag.g_00511	Prat.g_00494
OG0000120	Prag.g_00512	Prat.g_00495
OG0000121	Prag.g_00522	Prat.g_00504
OG0000122	Prag.g_00531	Prat.g_00514, Prat.g_00513
OG0000123	Prag.g_00562	Prat.g_00548
OG0000124	Prag.g_00629	Prat.g_01073
