Orthogroup	Prbm	Syab
OG0000000	Prbm.g_01408, Prbm.g_01115, Prbm.g_00437, Prbm.g_01228, Prbm.g_01312, Prbm.g_01381, Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384, Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436, Prbm.g_01119, Prbm.g_01404, Prbm.g_01810, Prbm.g_01141	Syab.g_01226
OG0000001	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426	Syab.g_01549
OG0000002	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712	Syab.g_02285
OG0000004	Prbm.g_01483	Syab.g_00549, Syab.g_01193
OG0000004	Prbm.g_00291	Syab.g_01911, Syab.g_02377
OG0000005	Prbm.g_01790	Syab.g_02232
OG0000006	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000007	Prbm.g_00522	Syab.g_02117
OG0000007	Prbm.g_01841	Syab.g_02256
OG0000008	Prbm.g_01907	Syab.g_01755
OG0000008	Prbm.g_01908	Syab.g_01168
OG0000009	Prbm.g_01235, Prbm.g_01400	Syab.g_00995
OG0000010	Prbm.g_01066, Prbm.g_00499	Syab.g_00696
OG0000011	Prbm.g_01174	Syab.g_01491
OG0000011	Prbm.g_01134	Syab.g_01083
OG0000013	Prbm.g_00382	Syab.g_00497, Syab.g_00482, Syab.g_00487
OG0000014	Prbm.g_00362	Syab.g_00249
OG0000014	Prbm.g_02126	Syab.g_00178
OG0000016	Prbm.g_00013	Syab.g_00014
OG0000016	Prbm.g_01944	Syab.g_01049
OG0000017	Prbm.g_00635	Syab.g_01953
OG0000018	Prbm.g_01571, Prbm.g_00843	Syab.g_00742
OG0000019	Prbm.g_00792	Syab.g_00344
OG0000020	Prbm.g_01065, Prbm.g_01156	Syab.g_02230
OG0000022	Prbm.g_01204, Prbm.g_01324	Syab.g_01825
OG0000023	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284	Syab.g_00708, Syab.g_02058, Syab.g_01294
OG0000024	Prbm.g_01151, Prbm.g_00709	Syab.g_01834
OG0000025	Prbm.g_00849	Syab.g_01705
OG0000026	Prbm.g_00031	Syab.g_00036
OG0000028	Prbm.g_01656	Syab.g_00234
OG0000030	Prbm.g_02105	Syab.g_00096, Syab.g_00095
OG0000032	Prbm.g_01747	Syab.g_00724
OG0000033	Prbm.g_00228	Syab.g_02590
OG0000034	Prbm.g_01620	Syab.g_00900, Syab.g_02560
OG0000035	Prbm.g_01710	Syab.g_00776
OG0000037	Prbm.g_00166	Syab.g_02504
OG0000038	Prbm.g_02174	Syab.g_02759, Syab.g_02761
OG0000039	Prbm.g_00723	Syab.g_02791
OG0000041	Prbm.g_01886	Syab.g_02333
OG0000042	Prbm.g_02102	Syab.g_01019, Syab.g_00099
OG0000043	Prbm.g_00906	Syab.g_01539
OG0000043	Prbm.g_01173	Syab.g_01785
OG0000044	Prbm.g_00478, Prbm.g_01281	Syab.g_01262
OG0000045	Prbm.g_01088	Syab.g_01787
OG0000046	Prbm.g_00383	Syab.g_00481, Syab.g_00488, Syab.g_00496
OG0000047	Prbm.g_00428, Prbm.g_00390	Syab.g_00876
OG0000048	Prbm.g_00329	Syab.g_00308
OG0000051	Prbm.g_01267, Prbm.g_01276	Syab.g_01073
OG0000053	Prbm.g_01729	Syab.g_00746
OG0000054	Prbm.g_00637	Syab.g_01932
OG0000055	Prbm.g_00778	Syab.g_01255
OG0000056	Prbm.g_00477	Syab.g_01452
OG0000057	Prbm.g_00735	Syab.g_01200
OG0000058	Prbm.g_00881	Syab.g_00227
OG0000059	Prbm.g_01973	Syab.g_00397
OG0000061	Prbm.g_01549	Syab.g_00969
OG0000063	Prbm.g_01947	Syab.g_00040
OG0000065	Prbm.g_00164	Syab.g_02500, Syab.g_01768
OG0000066	Prbm.g_00572	Syab.g_02031
OG0000067	Prbm.g_00814	Syab.g_01659
OG0000068	Prbm.g_01660	Syab.g_02087
OG0000070	Prbm.g_00460	Syab.g_00614
OG0000071	Prbm.g_00468, Prbm.g_01611	Syab.g_00915
OG0000072	Prbm.g_00230	Syab.g_02593
OG0000073	Prbm.g_00533	Syab.g_02119
OG0000075	Prbm.g_02069	Syab.g_00202
OG0000076	Prbm.g_02094	Syab.g_00113
OG0000077	Prbm.g_00135	Syab.g_02446
OG0000078	Prbm.g_00300	Syab.g_02366
OG0000079	Prbm.g_00311	Syab.g_00340
OG0000081	Prbm.g_00564	Syab.g_01793
OG0000082	Prbm.g_01900	Syab.g_01971
