Orthogroup	Prat	Praj
OG0000000	Prat.g_01549	Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Prat.g_01189	Praj.g_01100
OG0000000	Prat.g_01547	Praj.g_01307, Praj.g_01732
OG0000001	Prat.g_00977	Praj.g_00832
OG0000001	Prat.g_00751	Praj.g_00670
OG0000001	Prat.g_01462	Praj.g_01492
OG0000001	Prat.g_01184	Praj.g_01489
OG0000001	Prat.g_01487, Prat.g_01182	Praj.g_01488
OG0000001	Prat.g_01187	Praj.g_01493, Praj.g_01487
OG0000002	Prat.g_00851	Praj.g_01861, Praj.g_00463, Praj.g_01112
OG0000002	Prat.g_01286, Prat.g_01285	Praj.g_01549
OG0000004	Prat.g_01190	Praj.g_01099, Praj.g_00415, Praj.g_01274, Praj.g_01204, Praj.g_01311, Praj.g_01737
OG0000005	Prat.g_00824	Praj.g_00411, Praj.g_01121, Praj.g_00734
OG0000006	Prat.g_00634	Praj.g_01249
OG0000008	Prat.g_00458	Praj.g_00489
OG0000008	Prat.g_01592	Praj.g_01768
OG0000010	Prat.g_01180	Praj.g_00743, Praj.g_00747
OG0000014	Prat.g_00314	Praj.g_00341
OG0000014	Prat.g_01267	Praj.g_01609
OG0000015	Prat.g_00374	Praj.g_00408
OG0000016	Prat.g_00701	Praj.g_01113
OG0000017	Prat.g_01548, Prat.g_01474	Praj.g_01331
OG0000018	Prat.g_00560	Praj.g_00585
OG0000019	Prat.g_00615	Praj.g_01148
OG0000020	Prat.g_00647, Prat.g_01452	Praj.g_01568
OG0000021	Prat.g_01375	Praj.g_01651
OG0000022	Prat.g_00248	Praj.g_01281, Praj.g_00282, Praj.g_01505
OG0000023	Prat.g_00461	Praj.g_00084
OG0000024	Prat.g_01489	Praj.g_01165
OG0000025	Prat.g_00622	Praj.g_01134, Praj.g_00666
OG0000026	Prat.g_01191	Praj.g_01076, Praj.g_01356, Praj.g_00419, Praj.g_01201, Praj.g_01308, Praj.g_01271
OG0000027	Prat.g_00377	Praj.g_01830
OG0000028	Prat.g_00376	Praj.g_01829
OG0000029	Prat.g_00852	Praj.g_00733, Praj.g_01842
OG0000031	Prat.g_01796	Praj.g_02020
OG0000032	Prat.g_01516	Praj.g_01867
OG0000034	Prat.g_01352, Prat.g_01353	Praj.g_01632
OG0000035	Prat.g_01400	Praj.g_01675
OG0000036	Prat.g_01470	Praj.g_01025
OG0000038	Prat.g_01266	Praj.g_00371
OG0000039	Prat.g_01219	Praj.g_01865
OG0000042	Prat.g_01841	Praj.g_02091
OG0000043	Prat.g_00657	Praj.g_01395
OG0000045	Prat.g_01507	Praj.g_01827
OG0000046	Prat.g_01448, Prat.g_01192	Praj.g_01189
OG0000047	Prat.g_01156	Praj.g_01461
OG0000048	Prat.g_00058	Praj.g_00095
OG0000049	Prat.g_01311	Praj.g_00839
OG0000050	Prat.g_00166	Praj.g_00206
OG0000051	Prat.g_00834	Praj.g_01329, Praj.g_01365
OG0000052	Prat.g_01552, Prat.g_00613	Praj.g_01242
OG0000053	Prat.g_00788	Praj.g_00698
OG0000054	Prat.g_01584	Praj.g_01762
OG0000055	Prat.g_01788	Praj.g_02012
OG0000056	Prat.g_00033	Praj.g_00031
OG0000057	Prat.g_00157	Praj.g_00197
OG0000058	Prat.g_00637	Praj.g_01282
OG0000059	Prat.g_01499	Praj.g_00530
OG0000060	Prat.g_00804	Praj.g_00711
OG0000061	Prat.g_01503	Praj.g_00042
OG0000062	Prat.g_01014	Praj.g_00793, Praj.g_01176
OG0000063	Prat.g_01463, Prat.g_00666	Praj.g_00043
OG0000065	Prat.g_00242	Praj.g_00277
OG0000066	Prat.g_00434	Praj.g_00467
OG0000067	Prat.g_00775	Praj.g_01313, Praj.g_00691
OG0000070	Prat.g_00965	Praj.g_01024
OG0000071	Prat.g_01129	Praj.g_01355
OG0000072	Prat.g_01249	Praj.g_01528
OG0000073	Prat.g_01579	Praj.g_01146
OG0000074	Prat.g_00344	Praj.g_00664
OG0000075	Prat.g_01726	Praj.g_01952
OG0000076	Prat.g_01394	Praj.g_01669
OG0000077	Prat.g_00012, Prat.g_00011	Praj.g_00011
OG0000078	Prat.g_00329	Praj.g_00357
OG0000079	Prat.g_01477	Praj.g_01279
OG0000080	Prat.g_01054	Praj.g_00659
OG0000081	Prat.g_00765	Praj.g_00684
OG0000082	Prat.g_01030	Praj.g_00776
OG0000083	Prat.g_01176	Praj.g_00864, Praj.g_01157
OG0000084	Prat.g_00896	Praj.g_00946
OG0000084	Prat.g_01277	Praj.g_01601
OG0000085	Prat.g_01208	Praj.g_01196
OG0000086	Prat.g_01561, Prat.g_01495	Praj.g_01832
OG0000090	Prat.g_01312	Praj.g_00372
OG0000091	Prat.g_01361	Praj.g_01640
OG0000092	Prat.g_01539	Praj.g_01166
OG0000093	Prat.g_01679	Praj.g_01892
OG0000094	Prat.g_01722	Praj.g_01948
OG0000095	Prat.g_01759	Praj.g_01985
OG0000096	Prat.g_01833	Praj.g_02083
OG0000097	Prat.g_01853	Praj.g_02103
OG0000098	Prat.g_00003	Praj.g_00003
OG0000099	Prat.g_01314, Prat.g_00024	Praj.g_00023
OG0000100	Prat.g_00614	Praj.g_01154
OG0000101	Prat.g_00054	Praj.g_00053
OG0000102	Prat.g_00112	Praj.g_00153
OG0000103	Prat.g_00121	Praj.g_00162
OG0000104	Prat.g_00138	Praj.g_00179
OG0000105	Prat.g_00171	Praj.g_00210
OG0000106	Prat.g_00185	Praj.g_00223
