Orthogroup	Prbc	Prbk
OG0000000	Prbc.g_01920	Prbk.g_02574
OG0000000	Prbc.g_01759, Prbc.g_01475, Prbc.g_01474, Prbc.g_01479, Prbc.g_01473, Prbc.g_01478	Prbk.g_01649
OG0000002	Prbc.g_00588	Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00170, Prbk.g_00630
OG0000003	Prbc.g_00609, Prbc.g_00812	Prbk.g_00166
OG0000004	Prbc.g_02193, Prbc.g_01233, Prbc.g_01294	Prbk.g_01701, Prbk.g_00304, Prbk.g_00355
OG0000006	Prbc.g_00832	Prbk.g_00907
OG0000007	Prbc.g_00893	Prbk.g_01819
OG0000007	Prbc.g_00894	Prbk.g_01820
OG0000009	Prbc.g_01836	Prbk.g_01004
OG0000011	Prbc.g_01273	Prbk.g_02565
OG0000011	Prbc.g_01227	Prbk.g_01202
OG0000012	Prbc.g_01681	Prbk.g_01150, Prbk.g_01142
OG0000013	Prbc.g_00599	Prbk.g_02558
OG0000016	Prbc.g_00650	Prbk.g_01746, Prbk.g_01786
OG0000017	Prbc.g_00728	Prbk.g_01230
OG0000018	Prbc.g_02202	Prbk.g_02695
OG0000019	Prbc.g_02189	Prbk.g_01137
OG0000020	Prbc.g_01165	Prbk.g_00405
OG0000024	Prbc.g_01198	Prbk.g_00454
OG0000026	Prbc.g_00932	Prbk.g_01613
OG0000028	Prbc.g_00709	Prbk.g_00259
OG0000031	Prbc.g_00088, Prbc.g_00095	Prbk.g_01709
OG0000032	Prbc.g_01228	Prbk.g_00534, Prbk.g_00539
OG0000034	Prbc.g_00518, Prbc.g_00517	Prbk.g_00499
OG0000037	Prbc.g_02155	Prbk.g_02610
OG0000038	Prbc.g_00166	Prbk.g_01667, Prbk.g_00212
OG0000039	Prbc.g_00405	Prbk.g_00773
OG0000040	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Prbk.g_02448
OG0000042	Prbc.g_01787	Prbk.g_01835, Prbk.g_00619
OG0000043	Prbc.g_01999	Prbk.g_01644, Prbk.g_01642
OG0000044	Prbc.g_01446	Prbk.g_01019
OG0000045	Prbc.g_01928	Prbk.g_00479
OG0000046	Prbc.g_00826	Prbk.g_00919
OG0000047	Prbc.g_00211	Prbk.g_00237
OG0000048	Prbc.g_00203	Prbk.g_00140, Prbk.g_01495
OG0000050	Prbc.g_01101	Prbk.g_01617
OG0000051	Prbc.g_00414	Prbk.g_00764
OG0000052	Prbc.g_00134, Prbc.g_00641	Prbk.g_00925
OG0000053	Prbc.g_01618	Prbk.g_01094
OG0000054	Prbc.g_01116	Prbk.g_01468
OG0000055	Prbc.g_01882, Prbc.g_00153	Prbk.g_02493
OG0000056	Prbc.g_01117	Prbk.g_00694
OG0000058	Prbc.g_01534	Prbk.g_02113
OG0000059	Prbc.g_00055, Prbc.g_01780	Prbk.g_01765
OG0000063	Prbc.g_00102	Prbk.g_01496
OG0000065	Prbc.g_00566	Prbk.g_01183
OG0000066	Prbc.g_01753	Prbk.g_00477
OG0000068	Prbc.g_00284	Prbk.g_00796, Prbk.g_00944
OG0000069	Prbc.g_00746	Prbk.g_01209
OG0000070	Prbc.g_00011, Prbc.g_01108, Prbc.g_00532	Prbk.g_00841, Prbk.g_02591
OG0000071	Prbc.g_01081	Prbk.g_02290
OG0000072	Prbc.g_01214	Prbk.g_00472
OG0000073	Prbc.g_01748	Prbk.g_00709
OG0000074	Prbc.g_01773	Prbk.g_01815
OG0000075	Prbc.g_01865	Prbk.g_02475
OG0000076	Prbc.g_02113	Prbk.g_00056
OG0000078	Prbc.g_01229	Prbk.g_00476
OG0000079	Prbc.g_00790	Prbk.g_00931
OG0000080	Prbc.g_00144	Prbk.g_02012
OG0000081	Prbc.g_00238	Prbk.g_00512
OG0000082	Prbc.g_01009	Prbk.g_02204
OG0000083	Prbc.g_01073	Prbk.g_02281
OG0000084	Prbc.g_01076	Prbk.g_02284
OG0000085	Prbc.g_01093	Prbk.g_01626
OG0000087	Prbc.g_01127	Prbk.g_02126
OG0000088	Prbc.g_00458	Prbk.g_00191
OG0000089	Prbc.g_00449	Prbk.g_00206
OG0000090	Prbc.g_00432	Prbk.g_00559
OG0000091	Prbc.g_00402	Prbk.g_00776
OG0000092	Prbc.g_00401	Prbk.g_00777
OG0000093	Prbc.g_00388	Prbk.g_01280
OG0000094	Prbc.g_00369	Prbk.g_01251
OG0000095	Prbc.g_00365	Prbk.g_00632
OG0000096	Prbc.g_01147	Prbk.g_01001
OG0000097	Prbc.g_01167	Prbk.g_00409
OG0000098	Prbc.g_01177	Prbk.g_00422
OG0000099	Prbc.g_01186	Prbk.g_00434
OG0000100	Prbc.g_01189	Prbk.g_00438
OG0000101	Prbc.g_01270	Prbk.g_00361
OG0000102	Prbc.g_02183	Prbk.g_02209
OG0000103	Prbc.g_01535	Prbk.g_02114
OG0000104	Prbc.g_01540	Prbk.g_02061
OG0000105	Prbc.g_01579	Prbk.g_01862
OG0000106	Prbc.g_01611	Prbk.g_01078
OG0000107	Prbc.g_01612	Prbk.g_01080
OG0000108	Prbc.g_01622	Prbk.g_02684
OG0000109	Prbc.g_01632	Prbk.g_01890
OG0000110	Prbc.g_01648	Prbk.g_01871
OG0000111	Prbc.g_01728	Prbk.g_00740
OG0000112	Prbc.g_01729	Prbk.g_00739
OG0000113	Prbc.g_01811	Prbk.g_02370
OG0000114	Prbc.g_01856	Prbk.g_02466
OG0000115	Prbc.g_02036	Prbk.g_02324
OG0000116	Prbc.g_02040	Prbk.g_02316
OG0000117	Prbc.g_02110	Prbk.g_00059
OG0000118	Prbc.g_00173	Prbk.g_02271
OG0000119	Prbc.g_00899	Prbk.g_02197
OG0000120	Prbc.g_01439	Prbk.g_00144
OG0000121	Prbc.g_01417	Prbk.g_00138
OG0000122	Prbc.g_01397	Prbk.g_00185
OG0000123	Prbc.g_01387	Prbk.g_00121
OG0000124	Prbc.g_02103	Prbk.g_00066
OG0000125	Prbc.g_00577	Prbk.g_01169
OG0000126	Prbc.g_00657	Prbk.g_02052
OG0000127	Prbc.g_00695	Prbk.g_00243
OG0000128	Prbc.g_00710	Prbk.g_00260
OG0000129	Prbc.g_00744	Prbk.g_01212
OG0000130	Prbc.g_00830	Prbk.g_00913
OG0000131	Prbc.g_00867	Prbk.g_01417
OG0000132	Prbc.g_00869	Prbk.g_01414
OG0000133	Prbc.g_00326, Prbc.g_01572	Prbk.g_00987
OG0000134	Prbc.g_00290	Prbk.g_00950
OG0000135	Prbc.g_01560, Prbc.g_00288	Prbk.g_00948
OG0000136	Prbc.g_00226	Prbk.g_00528
OG0000137	Prbc.g_00190	Prbk.g_01540
OG0000138	Prbc.g_00997	Prbk.g_02168
OG0000139	Prbc.g_01047	Prbk.g_02252
OG0000140	Prbc.g_01071	Prbk.g_02279
OG0000141	Prbc.g_01072	Prbk.g_02280
OG0000142	Prbc.g_01074	Prbk.g_02282
OG0000143	Prbc.g_01075	Prbk.g_02283
OG0000144	Prbc.g_01077	Prbk.g_02285
OG0000145	Prbc.g_01078	Prbk.g_02287
OG0000146	Prbc.g_01079	Prbk.g_02288
OG0000147	Prbc.g_01080	Prbk.g_02289
OG0000148	Prbc.g_01082	Prbk.g_02291
OG0000149	Prbc.g_01084	Prbk.g_01639
OG0000150	Prbc.g_01085	Prbk.g_01638
OG0000151	Prbc.g_01086	Prbk.g_01633
OG0000152	Prbc.g_01087	Prbk.g_01632
OG0000153	Prbc.g_01088	Prbk.g_01631
OG0000154	Prbc.g_01089	Prbk.g_01630
OG0000155	Prbc.g_01090	Prbk.g_01629
OG0000156	Prbc.g_01091	Prbk.g_01628
OG0000157	Prbc.g_01092	Prbk.g_01627
OG0000158	Prbc.g_01094	Prbk.g_01625
OG0000159	Prbc.g_01095	Prbk.g_01624
OG0000160	Prbc.g_01096	Prbk.g_01623
OG0000161	Prbc.g_01097	Prbk.g_01622
OG0000162	Prbc.g_01098	Prbk.g_01621
OG0000163	Prbc.g_01099	Prbk.g_01619
OG0000164	Prbc.g_01102	Prbk.g_01614
OG0000165	Prbc.g_01104	Prbk.g_01609
OG0000166	Prbc.g_01105	Prbk.g_01608
OG0000167	Prbc.g_01106	Prbk.g_01607
OG0000168	Prbc.g_01118	Prbk.g_01606
OG0000169	Prbc.g_01120	Prbk.g_01604
OG0000170	Prbc.g_01121	Prbk.g_02158
OG0000171	Prbc.g_01122	Prbk.g_02156
OG0000172	Prbc.g_01123	Prbk.g_02155
OG0000173	Prbc.g_01124	Prbk.g_02148
OG0000174	Prbc.g_01125	Prbk.g_02141
OG0000175	Prbc.g_01126	Prbk.g_02133
OG0000176	Prbc.g_01128	Prbk.g_02125
OG0000177	Prbc.g_01129	Prbk.g_02124
OG0000178	Prbc.g_01130	Prbk.g_02123
OG0000179	Prbc.g_00509	Prbk.g_01326
OG0000180	Prbc.g_00508	Prbk.g_01324
OG0000181	Prbc.g_00507	Prbk.g_01323
OG0000182	Prbc.g_00504	Prbk.g_01320
OG0000183	Prbc.g_00503	Prbk.g_01319
OG0000184	Prbc.g_00500	Prbk.g_01315
OG0000185	Prbc.g_00496	Prbk.g_01309
OG0000186	Prbc.g_00495	Prbk.g_01308
OG0000187	Prbc.g_00494	Prbk.g_01665
OG0000188	Prbc.g_00493	Prbk.g_01307
OG0000189	Prbc.g_00492	Prbk.g_01304
OG0000190	Prbc.g_00491	Prbk.g_01303
OG0000191	Prbc.g_00490	Prbk.g_01302
OG0000192	Prbc.g_00489	Prbk.g_01301
OG0000193	Prbc.g_00488	Prbk.g_01300
OG0000194	Prbc.g_00487	Prbk.g_01299
OG0000195	Prbc.g_00485	Prbk.g_01295
OG0000196	Prbc.g_00484	Prbk.g_01294
OG0000197	Prbc.g_00483	Prbk.g_00035
OG0000198	Prbc.g_00482	Prbk.g_00031
OG0000199	Prbc.g_00479	Prbk.g_00026
OG0000200	Prbc.g_00478	Prbk.g_00025
OG0000201	Prbc.g_00477	Prbk.g_00024
OG0000202	Prbc.g_00476	Prbk.g_00022
OG0000203	Prbc.g_00475	Prbk.g_00021
OG0000204	Prbc.g_00474	Prbk.g_00020
OG0000205	Prbc.g_00472	Prbk.g_00018
OG0000206	Prbc.g_00471	Prbk.g_00017
OG0000207	Prbc.g_00470	Prbk.g_00016
OG0000208	Prbc.g_00469	Prbk.g_00015
OG0000209	Prbc.g_00468	Prbk.g_00014
OG0000210	Prbc.g_00467	Prbk.g_00012
OG0000211	Prbc.g_00466	Prbk.g_00011
OG0000212	Prbc.g_00465	Prbk.g_00010
OG0000213	Prbc.g_00464	Prbk.g_00007
OG0000214	Prbc.g_00460	Prbk.g_00001
OG0000215	Prbc.g_00459	Prbk.g_00190
OG0000216	Prbc.g_00457	Prbk.g_00192
OG0000217	Prbc.g_00455	Prbk.g_00194
OG0000218	Prbc.g_00454	Prbk.g_00196
OG0000219	Prbc.g_00453	Prbk.g_00197
OG0000220	Prbc.g_00451	Prbk.g_00202
OG0000221	Prbc.g_00448	Prbk.g_00207
OG0000222	Prbc.g_00447	Prbk.g_00208
OG0000223	Prbc.g_00446	Prbk.g_00209
OG0000224	Prbc.g_00443	Prbk.g_00542
OG0000225	Prbc.g_00441	Prbk.g_00544
OG0000226	Prbc.g_00439	Prbk.g_00547
OG0000227	Prbc.g_00438	Prbk.g_00549
OG0000228	Prbc.g_00437	Prbk.g_00550
OG0000229	Prbc.g_00436	Prbk.g_00551
OG0000230	Prbc.g_00435	Prbk.g_00552
OG0000231	Prbc.g_02145	Prbk.g_00554
OG0000232	Prbc.g_00434	Prbk.g_00555
OG0000233	Prbc.g_00431	Prbk.g_00560
OG0000234	Prbc.g_00428	Prbk.g_00749
OG0000235	Prbc.g_00426	Prbk.g_00751
OG0000236	Prbc.g_00425	Prbk.g_00752
OG0000237	Prbc.g_00424	Prbk.g_00753
OG0000238	Prbc.g_00423	Prbk.g_00754
OG0000239	Prbc.g_00422	Prbk.g_00755
OG0000240	Prbc.g_00420	Prbk.g_00757
OG0000241	Prbc.g_00419	Prbk.g_00758
OG0000242	Prbc.g_00418	Prbk.g_00759
OG0000243	Prbc.g_00417	Prbk.g_00760
OG0000244	Prbc.g_00416	Prbk.g_00761
OG0000245	Prbc.g_00415	Prbk.g_00763
OG0000246	Prbc.g_00413	Prbk.g_00765
OG0000247	Prbc.g_00412	Prbk.g_00766
OG0000248	Prbc.g_00411	Prbk.g_00767
OG0000249	Prbc.g_00410	Prbk.g_00768
OG0000250	Prbc.g_00409	Prbk.g_00769
OG0000251	Prbc.g_00408	Prbk.g_00770
OG0000252	Prbc.g_00407	Prbk.g_00771
OG0000253	Prbc.g_00406	Prbk.g_00772
OG0000254	Prbc.g_00404	Prbk.g_00774
OG0000255	Prbc.g_00403	Prbk.g_00775
OG0000256	Prbc.g_00400	Prbk.g_00778
OG0000257	Prbc.g_00399	Prbk.g_00779
OG0000258	Prbc.g_00398	Prbk.g_00780
OG0000259	Prbc.g_00397	Prbk.g_00781
OG0000260	Prbc.g_00396	Prbk.g_00782
OG0000261	Prbc.g_00395	Prbk.g_00783
OG0000262	Prbc.g_00394	Prbk.g_00784
OG0000263	Prbc.g_00393	Prbk.g_00785
OG0000264	Prbc.g_00391	Prbk.g_02425
OG0000265	Prbc.g_00390	Prbk.g_01283
OG0000266	Prbc.g_00389	Prbk.g_01281
OG0000267	Prbc.g_00387	Prbk.g_01277
OG0000268	Prbc.g_00385	Prbk.g_01275
OG0000269	Prbc.g_00384	Prbk.g_01272
OG0000270	Prbc.g_00383	Prbk.g_01270
OG0000271	Prbc.g_00382	Prbk.g_01267
OG0000272	Prbc.g_00381	Prbk.g_01266
OG0000273	Prbc.g_00380	Prbk.g_01263
OG0000274	Prbc.g_00379	Prbk.g_01261
OG0000275	Prbc.g_00378	Prbk.g_01260
OG0000276	Prbc.g_00377	Prbk.g_01259
OG0000277	Prbc.g_00376	Prbk.g_01258
OG0000278	Prbc.g_00375	Prbk.g_01257
OG0000279	Prbc.g_00374	Prbk.g_01256
OG0000280	Prbc.g_00373	Prbk.g_01255
OG0000281	Prbc.g_00371	Prbk.g_01253
OG0000282	Prbc.g_00370	Prbk.g_01252
OG0000283	Prbc.g_00368	Prbk.g_01245
OG0000284	Prbc.g_00367	Prbk.g_01244
OG0000285	Prbc.g_00366	Prbk.g_00631
OG0000286	Prbc.g_00364	Prbk.g_00633
OG0000287	Prbc.g_00363	Prbk.g_00686
OG0000288	Prbc.g_00362	Prbk.g_00685
OG0000289	Prbc.g_00361	Prbk.g_00683
OG0000290	Prbc.g_00360	Prbk.g_00682
OG0000291	Prbc.g_00358	Prbk.g_00680
OG0000292	Prbc.g_00357	Prbk.g_00670
OG0000293	Prbc.g_00356	Prbk.g_00669
OG0000294	Prbc.g_00355	Prbk.g_00668
OG0000295	Prbc.g_00354	Prbk.g_00662
OG0000296	Prbc.g_00353	Prbk.g_00661
OG0000297	Prbc.g_00352	Prbk.g_00658
OG0000298	Prbc.g_00351	Prbk.g_00657
OG0000299	Prbc.g_00350	Prbk.g_00656
OG0000300	Prbc.g_00349	Prbk.g_00655
OG0000301	Prbc.g_00348	Prbk.g_00654
OG0000302	Prbc.g_00347	Prbk.g_00653
OG0000303	Prbc.g_00346	Prbk.g_00652
OG0000304	Prbc.g_00345	Prbk.g_00650
OG0000305	Prbc.g_00344	Prbk.g_00649
OG0000306	Prbc.g_00343	Prbk.g_00648
OG0000307	Prbc.g_00342	Prbk.g_01364
OG0000308	Prbc.g_00341	Prbk.g_01136
OG0000309	Prbc.g_00340	Prbk.g_01135
OG0000310	Prbc.g_00339	Prbk.g_01134
OG0000311	Prbc.g_00337	Prbk.g_01368
OG0000312	Prbc.g_00335	Prbk.g_01369
OG0000313	Prbc.g_00334	Prbk.g_01521
OG0000314	Prbc.g_00330	Prbk.g_01515
OG0000315	Prbc.g_00329	Prbk.g_01514
OG0000316	Prbc.g_01140	Prbk.g_01900
OG0000317	Prbc.g_01142	Prbk.g_01012
OG0000318	Prbc.g_01143	Prbk.g_01011
OG0000319	Prbc.g_01144	Prbk.g_01010
OG0000320	Prbc.g_01145	Prbk.g_01008
OG0000321	Prbc.g_01146	Prbk.g_01003
OG0000322	Prbc.g_01149	Prbk.g_00371
OG0000323	Prbc.g_01150	Prbk.g_00372
OG0000324	Prbc.g_01153	Prbk.g_00374
OG0000325	Prbc.g_01154	Prbk.g_00376
OG0000326	Prbc.g_01155	Prbk.g_00378
OG0000327	Prbc.g_01156	Prbk.g_00384
OG0000328	Prbc.g_01157	Prbk.g_01365
OG0000329	Prbc.g_01158	Prbk.g_00397
OG0000330	Prbc.g_01159	Prbk.g_00398
OG0000331	Prbc.g_01160	Prbk.g_00400
OG0000332	Prbc.g_01161	Prbk.g_00401
OG0000333	Prbc.g_01162	Prbk.g_00402
OG0000334	Prbc.g_01163	Prbk.g_00403
OG0000335	Prbc.g_01164	Prbk.g_00404
OG0000336	Prbc.g_01166	Prbk.g_00406
OG0000337	Prbc.g_01168	Prbk.g_00411
OG0000338	Prbc.g_01169	Prbk.g_00412
OG0000339	Prbc.g_01170	Prbk.g_00413
OG0000340	Prbc.g_01171	Prbk.g_00415
OG0000341	Prbc.g_01175	Prbk.g_00420
OG0000342	Prbc.g_01176	Prbk.g_00421
OG0000343	Prbc.g_01178	Prbk.g_00423
OG0000344	Prbc.g_01179	Prbk.g_00425
OG0000345	Prbc.g_01180	Prbk.g_00426
OG0000346	Prbc.g_01181	Prbk.g_00427
OG0000347	Prbc.g_01182	Prbk.g_00428
OG0000348	Prbc.g_01183	Prbk.g_00429
OG0000349	Prbc.g_01184	Prbk.g_00430
OG0000350	Prbc.g_01185	Prbk.g_00431
OG0000351	Prbc.g_01187	Prbk.g_00435
OG0000352	Prbc.g_01190	Prbk.g_00439
OG0000353	Prbc.g_01191	Prbk.g_00442
OG0000354	Prbc.g_01192	Prbk.g_00443
OG0000355	Prbc.g_01193	Prbk.g_00444
OG0000356	Prbc.g_01194	Prbk.g_00449
OG0000357	Prbc.g_01195	Prbk.g_00450
