Orthogroup	Syap	Prax
OG0000004	Syap.g_01987	Prax.g_00986
OG0000005	Syap.g_01773	Prax.g_01546
OG0000005	Syap.g_01218	Prax.g_01652
OG0000007	Syap.g_00275	Prax.g_00704
OG0000007	Syap.g_00621	Prax.g_01559
OG0000010	Syap.g_02757	Prax.g_01212, Prax.g_00728
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prax.g_00846
OG0000014	Syap.g_01675	Prax.g_00869
OG0000014	Syap.g_00813	Prax.g_01763
OG0000017	Syap.g_00449	Prax.g_00057
OG0000018	Syap.g_02010	Prax.g_00181, Prax.g_00346
OG0000019	Syap.g_01586	Prax.g_00926, Prax.g_00393
OG0000025	Syap.g_01846	Prax.g_00338, Prax.g_00842
OG0000027	Syap.g_01440	Prax.g_01916
OG0000028	Syap.g_01658	Prax.g_00855
OG0000030	Syap.g_00787, Syap.g_00788	Prax.g_01404
OG0000031	Syap.g_00722	Prax.g_01831
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prax.g_01838
OG0000033	Syap.g_01198	Prax.g_01049
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prax.g_01889
OG0000035	Syap.g_02465	Prax.g_01728, Prax.g_01733
OG0000037	Syap.g_02492	Prax.g_01110
OG0000038	Syap.g_00139	Prax.g_01445
OG0000039	Syap.g_01749, Syap.g_01748	Prax.g_00956
OG0000042	Syap.g_01891, Syap.g_01120	Prax.g_01401
OG0000043	Syap.g_01998	Prax.g_00301, Prax.g_00501, Prax.g_00530, Prax.g_01955
OG0000045	Syap.g_02525	Prax.g_00802
OG0000048	Syap.g_02340	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000051	Syap.g_01574	Prax.g_01927
OG0000053	Syap.g_02006	Prax.g_01708
OG0000054	Syap.g_00678	Prax.g_00065
OG0000059	Syap.g_01082, Syap.g_02478	Prax.g_01286
OG0000060	Syap.g_00795	Prax.g_00517
OG0000061	Syap.g_00228	Prax.g_00200
OG0000062	Syap.g_01365	Prax.g_01650
