Orthogroup	Syas	Prbk
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Prbk.g_00561, Prbk.g_02701
OG0000003	Syas.g_00054	Prbk.g_01375, Prbk.g_00214
OG0000004	Syas.g_00176	Prbk.g_01760
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Prbk.g_01134
OG0000005	Syas.g_02704	Prbk.g_00933
OG0000006	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720	Prbk.g_02695
OG0000007	Syas.g_02681	Prbk.g_00907
OG0000008	Syas.g_00886	Prbk.g_01819
OG0000008	Syas.g_00887	Prbk.g_01820
OG0000009	Syas.g_01450	Prbk.g_01932, Prbk.g_00013
OG0000010	Syas.g_01334	Prbk.g_02112
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Prbk.g_00853
OG0000014	Syas.g_01816	Prbk.g_00454
OG0000017	Syas.g_00856	Prbk.g_01150
OG0000017	Syas.g_00849	Prbk.g_01142
OG0000018	Syas.g_01290	Prbk.g_01227
OG0000019	Syas.g_01696	Prbk.g_01644, Prbk.g_01004
OG0000022	Syas.g_02758	Prbk.g_00212, Prbk.g_01667
OG0000025	Syas.g_00231	Prbk.g_02531
OG0000026	Syas.g_02070	Prbk.g_01617
OG0000028	Syas.g_01793	Prbk.g_00469
OG0000030	Syas.g_01644	Prbk.g_01532
OG0000030	Syas.g_01645	Prbk.g_01533
OG0000033	Syas.g_02328	Prbk.g_00776
OG0000034	Syas.g_02371, Syas.g_02838	Prbk.g_01171
OG0000035	Syas.g_02814, Syas.g_02818	Prbk.g_00259
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Prbk.g_00007
OG0000038	Syas.g_01885	Prbk.g_02164
OG0000038	Syas.g_01887	Prbk.g_02166
OG0000039	Syas.g_02795	Prbk.g_01385
OG0000042	Syas.g_01121, Syas.g_02147	Prbk.g_01495, Prbk.g_00140
OG0000044	Syas.g_00894, Syas.g_02453	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Prbk.g_00854
OG0000048	Syas.g_01734	Prbk.g_00405
OG0000051	Syas.g_01445	Prbk.g_01709
OG0000053	Syas.g_01287	Prbk.g_01230
OG0000054	Syas.g_00961	Prbk.g_01153
OG0000059	Syas.g_01639	Prbk.g_00992
OG0000060	Syas.g_01680	Prbk.g_01286
OG0000061	Syas.g_01184	Prbk.g_01019
OG0000062	Syas.g_02702, Syas.g_00070	Prbk.g_00931
OG0000063	Syas.g_02074	Prbk.g_01613
OG0000065	Syas.g_02420	Prbk.g_00011
OG0000066	Syas.g_00094	Prbk.g_01094
OG0000067	Syas.g_00596	Prbk.g_02468
OG0000068	Syas.g_00969, Syas.g_01261	Prbk.g_02052
OG0000070	Syas.g_00173	Prbk.g_00310
OG0000072	Syas.g_02326, Syas.g_01524	Prbk.g_00778
OG0000073	Syas.g_01230	Prbk.g_01862
OG0000075	Syas.g_01921, Syas.g_02194	Prbk.g_00514
OG0000076	Syas.g_02156	Prbk.g_00237
OG0000077	Syas.g_02510	Prbk.g_00307
OG0000078	Syas.g_02308	Prbk.g_01515
OG0000079	Syas.g_01699	Prbk.g_01000
OG0000081	Syas.g_00391	Prbk.g_00733, Prbk.g_01772
OG0000082	Syas.g_00837	Prbk.g_01122
OG0000085	Syas.g_02695	Prbk.g_00919
OG0000086	Syas.g_02470	Prbk.g_01295
OG0000087	Syas.g_02374	Prbk.g_00559
OG0000089	Syas.g_01512	Prbk.g_00364
OG0000090	Syas.g_00062	Prbk.g_01080
OG0000091	Syas.g_00907, Syas.g_00146	Prbk.g_02639
OG0000094	Syas.g_01716	Prbk.g_02190
OG0000095	Syas.g_01021	Prbk.g_00056
OG0000098	Syas.g_00091	Prbk.g_01199
OG0000099	Syas.g_01826	Prbk.g_00476
OG0000100	Syas.g_00567	Prbk.g_01360, Prbk.g_02498
OG0000101	Syas.g_01589	Prbk.g_00796
OG0000102	Syas.g_02152, Syas.g_01395	Prbk.g_01484
OG0000103	Syas.g_02009	Prbk.g_02260
OG0000104	Syas.g_02027, Syas.g_02026	Prbk.g_02274
OG0000105	Syas.g_01739	Prbk.g_00409
OG0000106	Syas.g_01451	Prbk.g_00925
OG0000107	Syas.g_01669	Prbk.g_01902
OG0000108	Syas.g_01253	Prbk.g_02061
OG0000109	Syas.g_01236	Prbk.g_02077
OG0000110	Syas.g_00818	Prbk.g_01110
OG0000111	Syas.g_01037	Prbk.g_01766
OG0000112	Syas.g_00452	Prbk.g_02332
OG0000113	Syas.g_00571	Prbk.g_02493
OG0000114	Syas.g_00674	Prbk.g_02396
OG0000115	Syas.g_02548, Syas.g_01285	Prbk.g_01234
OG0000116	Syas.g_01198, Syas.g_00317	Prbk.g_01034
OG0000117	Syas.g_01122	Prbk.g_01496
OG0000118	Syas.g_02835	Prbk.g_01169
OG0000120	Syas.g_01828	Prbk.g_00477
OG0000121	Syas.g_02821	Prbk.g_00267, Prbk.g_00261
OG0000122	Syas.g_00393	Prbk.g_02664
OG0000123	Syas.g_01582	Prbk.g_00805
OG0000124	Syas.g_02137	Prbk.g_01539
OG0000125	Syas.g_01889	Prbk.g_02168
OG0000126	Syas.g_01992	Prbk.g_02272
OG0000128	Syas.g_02046	Prbk.g_02290
OG0000129	Syas.g_01880	Prbk.g_02156
OG0000130	Syas.g_02522	Prbk.g_01320
OG0000131	Syas.g_02367	Prbk.g_00751
OG0000132	Syas.g_02334	Prbk.g_00771
OG0000133	Syas.g_00457	Prbk.g_00472
OG0000134	Syas.g_01509	Prbk.g_00361
OG0000135	Syas.g_01938	Prbk.g_02209
OG0000136	Syas.g_02740	Prbk.g_00323
OG0000137	Syas.g_01333	Prbk.g_02113
OG0000138	Syas.g_01235	Prbk.g_02078
OG0000140	Syas.g_00090	Prbk.g_01092
OG0000141	Syas.g_00875	Prbk.g_01154
OG0000142	Syas.g_00746	Prbk.g_02631
OG0000143	Syas.g_00742	Prbk.g_02635
OG0000144	Syas.g_00718	Prbk.g_00739
OG0000145	Syas.g_00948	Prbk.g_01863
OG0000146	Syas.g_00451	Prbk.g_02333
OG0000147	Syas.g_00450	Prbk.g_02334
OG0000148	Syas.g_00577	Prbk.g_02487
OG0000149	Syas.g_00282	Prbk.g_02544
OG0000150	Syas.g_00874	Prbk.g_02567
OG0000151	Syas.g_00148, Syas.g_00659	Prbk.g_02417
OG0000152	Syas.g_00461	Prbk.g_02324
OG0000153	Syas.g_00543	Prbk.g_02297
OG0000154	Syas.g_00219	Prbk.g_00584
OG0000155	Syas.g_01131	Prbk.g_00099
OG0000156	Syas.g_01206	Prbk.g_00164
OG0000157	Syas.g_01207	Prbk.g_00163
OG0000158	Syas.g_02185	Prbk.g_00526
OG0000160	Syas.g_02820	Prbk.g_00260
OG0000161	Syas.g_02826	Prbk.g_00274
OG0000162	Syas.g_02751	Prbk.g_00280
OG0000163	Syas.g_01488	Prbk.g_02002
OG0000164	Syas.g_02648	Prbk.g_01432
OG0000165	Syas.g_02609	Prbk.g_01423
OG0000166	Syas.g_01629	Prbk.g_00982
OG0000167	Syas.g_01449	Prbk.g_00512
OG0000168	Syas.g_02184	Prbk.g_00527
OG0000169	Syas.g_02170	Prbk.g_00220
OG0000170	Syas.g_02161	Prbk.g_00232
OG0000171	Syas.g_02139	Prbk.g_01538
OG0000172	Syas.g_02110	Prbk.g_01573
OG0000173	Syas.g_02092	Prbk.g_01594
OG0000174	Syas.g_01940	Prbk.g_02211
OG0000175	Syas.g_01994	Prbk.g_02249
OG0000176	Syas.g_02038	Prbk.g_02282
OG0000177	Syas.g_02039	Prbk.g_02283
OG0000178	Syas.g_02040	Prbk.g_02284
OG0000179	Syas.g_02054	Prbk.g_01633
OG0000180	Syas.g_02055	Prbk.g_01632
OG0000181	Syas.g_02056	Prbk.g_01631
OG0000182	Syas.g_02057	Prbk.g_01630
OG0000183	Syas.g_02061	Prbk.g_01626
OG0000184	Syas.g_01872	Prbk.g_02148
OG0000185	Syas.g_01861	Prbk.g_02126
OG0000186	Syas.g_02525	Prbk.g_01326
OG0000187	Syas.g_02524	Prbk.g_01324
OG0000188	Syas.g_02502	Prbk.g_01303
OG0000189	Syas.g_02432	Prbk.g_00024
OG0000190	Syas.g_00133	Prbk.g_00022
OG0000191	Syas.g_02400	Prbk.g_00197
OG0000192	Syas.g_02395	Prbk.g_00206
OG0000193	Syas.g_02366	Prbk.g_00752
OG0000194	Syas.g_02363	Prbk.g_00755
OG0000196	Syas.g_02337	Prbk.g_00768
OG0000197	Syas.g_02336	Prbk.g_00769
OG0000198	Syas.g_02335	Prbk.g_00770
OG0000199	Syas.g_02327	Prbk.g_00777
OG0000200	Syas.g_02298	Prbk.g_01280
OG0000201	Syas.g_02279	Prbk.g_01261
OG0000202	Syas.g_02278	Prbk.g_01260
OG0000203	Syas.g_02277	Prbk.g_01259
OG0000204	Syas.g_02276	Prbk.g_01258
OG0000205	Syas.g_02267	Prbk.g_01251
OG0000206	Syas.g_02240	Prbk.g_00632
OG0000207	Syas.g_02237	Prbk.g_00686
OG0000208	Syas.g_02236	Prbk.g_00685
OG0000209	Syas.g_01837	Prbk.g_00658
OG0000210	Syas.g_01838	Prbk.g_00657
OG0000211	Syas.g_02552	Prbk.g_01368
OG0000212	Syas.g_02562	Prbk.g_01514
OG0000213	Syas.g_01707	Prbk.g_00374
OG0000214	Syas.g_01730	Prbk.g_00401
OG0000215	Syas.g_01766	Prbk.g_00431
OG0000216	Syas.g_01770	Prbk.g_00434
OG0000217	Syas.g_01778	Prbk.g_00438
OG0000218	Syas.g_01780	Prbk.g_00442
OG0000219	Syas.g_01783	Prbk.g_00443
OG0000220	Syas.g_01784	Prbk.g_00444
OG0000221	Syas.g_01785	Prbk.g_00449
OG0000222	Syas.g_01804	Prbk.g_00458
OG0000223	Syas.g_02221	Prbk.g_00481
OG0000224	Syas.g_02215	Prbk.g_00492
OG0000225	Syas.g_01522	Prbk.g_00889
OG0000226	Syas.g_01518	Prbk.g_00893
OG0000227	Syas.g_01516	Prbk.g_00895
OG0000228	Syas.g_01513	Prbk.g_00365
OG0000229	Syas.g_01497	Prbk.g_00328
OG0000230	Syas.g_01495	Prbk.g_00326
OG0000231	Syas.g_02749	Prbk.g_00311
OG0000232	Syas.g_01276	Prbk.g_00295
OG0000233	Syas.g_01352	Prbk.g_02092
OG0000234	Syas.g_01331	Prbk.g_02114
OG0000235	Syas.g_01254	Prbk.g_02060
OG0000236	Syas.g_01237	Prbk.g_02076
OG0000237	Syas.g_01220	Prbk.g_01047
OG0000238	Syas.g_01215	Prbk.g_01051
OG0000239	Syas.g_00012	Prbk.g_01067
OG0000240	Syas.g_00013	Prbk.g_01068
OG0000241	Syas.g_00754	Prbk.g_01965
OG0000242	Syas.g_00059	Prbk.g_01078
OG0000243	Syas.g_00777	Prbk.g_02684
OG0000244	Syas.g_00784	Prbk.g_01897
OG0000245	Syas.g_00786	Prbk.g_01894
OG0000246	Syas.g_00790	Prbk.g_01890
OG0000247	Syas.g_00802	Prbk.g_01879
OG0000248	Syas.g_00805	Prbk.g_01876
OG0000249	Syas.g_00807	Prbk.g_01874
OG0000250	Syas.g_00814	Prbk.g_01106
OG0000251	Syas.g_00845	Prbk.g_01130
OG0000252	Syas.g_00950	Prbk.g_01133
OG0000253	Syas.g_00846	Prbk.g_01139
OG0000254	Syas.g_00869	Prbk.g_01158
OG0000255	Syas.g_00132, Syas.g_01062	Prbk.g_02604
OG0000256	Syas.g_00104	Prbk.g_02618
OG0000257	Syas.g_00757	Prbk.g_02624
OG0000258	Syas.g_00733	Prbk.g_02647
OG0000259	Syas.g_00708, Syas.g_01006	Prbk.g_00720
OG0000260	Syas.g_00705	Prbk.g_00717
OG0000261	Syas.g_00701	Prbk.g_00714
OG0000262	Syas.g_00695	Prbk.g_00709
OG0000263	Syas.g_01103	Prbk.g_00672
OG0000264	Syas.g_02588	Prbk.g_01815
OG0000266	Syas.g_00186	Prbk.g_00608
OG0000267	Syas.g_00377	Prbk.g_02371
OG0000268	Syas.g_00390	Prbk.g_02370
OG0000269	Syas.g_00601	Prbk.g_02463
OG0000270	Syas.g_00598	Prbk.g_02466
OG0000271	Syas.g_00590	Prbk.g_02474
OG0000272	Syas.g_00589	Prbk.g_02475
OG0000273	Syas.g_00563	Prbk.g_02526
OG0000274	Syas.g_00562	Prbk.g_02527
OG0000275	Syas.g_00230	Prbk.g_02530
OG0000276	Syas.g_00237	Prbk.g_02536
OG0000277	Syas.g_00238	Prbk.g_02537
OG0000278	Syas.g_00241	Prbk.g_02540
OG0000279	Syas.g_00288	Prbk.g_02548
OG0000280	Syas.g_00889, Syas.g_00481	Prbk.g_02554
OG0000281	Syas.g_00970	Prbk.g_02568
OG0000282	Syas.g_00672	Prbk.g_02398
OG0000283	Syas.g_00409	Prbk.g_02359
OG0000284	Syas.g_00416	Prbk.g_02353
OG0000285	Syas.g_00436	Prbk.g_01698
OG0000286	Syas.g_00460	Prbk.g_02325
OG0000287	Syas.g_00534	Prbk.g_01728
OG0000288	Syas.g_00220	Prbk.g_00583
OG0000289	Syas.g_00205	Prbk.g_00596
OG0000290	Syas.g_01016	Prbk.g_00059
OG0000292	Syas.g_02020	Prbk.g_02271
OG0000293	Syas.g_01197	Prbk.g_01032
OG0000294	Syas.g_01196	Prbk.g_01031
OG0000295	Syas.g_01139	Prbk.g_00106
OG0000296	Syas.g_01137	Prbk.g_00104
OG0000298	Syas.g_01123	Prbk.g_01497
OG0000299	Syas.g_01087	Prbk.g_01508
OG0000300	Syas.g_01082	Prbk.g_00186
OG0000301	Syas.g_01081	Prbk.g_00185
OG0000302	Syas.g_01080	Prbk.g_00182
OG0000303	Syas.g_01071	Prbk.g_00097
OG0000304	Syas.g_01066	Prbk.g_00121
OG0000305	Syas.g_01023	Prbk.g_00055
OG0000306	Syas.g_01929	Prbk.g_02578
OG0000307	Syas.g_01270	Prbk.g_02044
OG0000308	Syas.g_01272	Prbk.g_02042
OG0000309	Syas.g_01364	Prbk.g_02038
OG0000310	Syas.g_02796	Prbk.g_01937
OG0000311	Syas.g_02799	Prbk.g_00243
OG0000312	Syas.g_02804	Prbk.g_00247
OG0000313	Syas.g_02823	Prbk.g_00271
OG0000315	Syas.g_01306	Prbk.g_01212
OG0000316	Syas.g_02728	Prbk.g_01991
OG0000317	Syas.g_02687	Prbk.g_00913
OG0000318	Syas.g_02680	Prbk.g_00906
OG0000319	Syas.g_02663	Prbk.g_01443
OG0000320	Syas.g_02661	Prbk.g_01441
OG0000321	Syas.g_02660	Prbk.g_01440
OG0000322	Syas.g_02659	Prbk.g_01439
OG0000323	Syas.g_02646, Syas.g_00159	Prbk.g_01428
OG0000324	Syas.g_02578	Prbk.g_01399
OG0000325	Syas.g_01668	Prbk.g_01904
OG0000326	Syas.g_01661	Prbk.g_01912
OG0000327	Syas.g_01634	Prbk.g_00987
OG0000328	Syas.g_01633	Prbk.g_00986
OG0000329	Syas.g_01615	Prbk.g_00969
OG0000330	Syas.g_01614	Prbk.g_00968
OG0000331	Syas.g_01613	Prbk.g_00967
OG0000332	Syas.g_01598	Prbk.g_00952
OG0000333	Syas.g_01595	Prbk.g_00950
OG0000334	Syas.g_01586	Prbk.g_00801
OG0000335	Syas.g_01581	Prbk.g_00806
OG0000336	Syas.g_01577	Prbk.g_00810
OG0000337	Syas.g_02211	Prbk.g_00506
OG0000338	Syas.g_02199	Prbk.g_00510
OG0000339	Syas.g_02192	Prbk.g_00516
OG0000340	Syas.g_02183	Prbk.g_00528
OG0000341	Syas.g_02181	Prbk.g_00530
OG0000342	Syas.g_02180	Prbk.g_00531
OG0000343	Syas.g_02176	Prbk.g_00215
OG0000344	Syas.g_02172	Prbk.g_00218
OG0000345	Syas.g_02160	Prbk.g_00233
OG0000346	Syas.g_02155	Prbk.g_00238
OG0000347	Syas.g_02136	Prbk.g_01540
OG0000348	Syas.g_02107	Prbk.g_01578
OG0000349	Syas.g_02085	Prbk.g_01602
OG0000350	Syas.g_01654	Prbk.g_02204
OG0000351	Syas.g_01998	Prbk.g_02252
OG0000352	Syas.g_01999	Prbk.g_02253
OG0000353	Syas.g_02033	Prbk.g_02277
OG0000354	Syas.g_01209	Prbk.g_01057
OG0000354	Syas.g_02052	Prbk.g_01635
OG0000355	Syas.g_02035	Prbk.g_02279
OG0000356	Syas.g_02036	Prbk.g_02280
OG0000357	Syas.g_02037	Prbk.g_02281
OG0000358	Syas.g_02041	Prbk.g_02285
OG0000359	Syas.g_02043	Prbk.g_02287
OG0000360	Syas.g_02044	Prbk.g_02288
OG0000361	Syas.g_02045	Prbk.g_02289
OG0000362	Syas.g_02047	Prbk.g_02291
OG0000363	Syas.g_02049	Prbk.g_01639
OG0000364	Syas.g_02685	Prbk.g_01638
OG0000365	Syas.g_02058	Prbk.g_01629
OG0000366	Syas.g_02059	Prbk.g_01628
OG0000368	Syas.g_02062	Prbk.g_01625
OG0000369	Syas.g_02063	Prbk.g_01624
OG0000370	Syas.g_02064	Prbk.g_01623
OG0000371	Syas.g_02073	Prbk.g_01614
OG0000372	Syas.g_02078	Prbk.g_01609
OG0000373	Syas.g_02079	Prbk.g_01608
OG0000374	Syas.g_02080	Prbk.g_01607
OG0000375	Syas.g_02081	Prbk.g_01606
OG0000376	Syas.g_02083	Prbk.g_01604
OG0000377	Syas.g_01879	Prbk.g_02155
OG0000378	Syas.g_01867	Prbk.g_02141
OG0000379	Syas.g_01859	Prbk.g_02125
OG0000380	Syas.g_02523	Prbk.g_01323
OG0000381	Syas.g_02521	Prbk.g_01319
OG0000382	Syas.g_02503	Prbk.g_01304
OG0000383	Syas.g_02480	Prbk.g_01302
OG0000384	Syas.g_02479	Prbk.g_01301
OG0000385	Syas.g_02478	Prbk.g_01300
OG0000386	Syas.g_02477	Prbk.g_01299
OG0000387	Syas.g_00134	Prbk.g_00020
OG0000388	Syas.g_02426	Prbk.g_00016
OG0000389	Syas.g_02422	Prbk.g_00012
OG0000390	Syas.g_02406	Prbk.g_00191
OG0000391	Syas.g_02401	Prbk.g_00196
OG0000392	Syas.g_02396	Prbk.g_00202
OG0000393	Syas.g_02394	Prbk.g_00207
OG0000394	Syas.g_02393	Prbk.g_00208
OG0000395	Syas.g_02392	Prbk.g_00209
OG0000396	Syas.g_02389	Prbk.g_00542
OG0000397	Syas.g_02387	Prbk.g_00544
OG0000398	Syas.g_02382	Prbk.g_00549
OG0000399	Syas.g_02381	Prbk.g_00550
OG0000400	Syas.g_02380	Prbk.g_00551
OG0000401	Syas.g_02379	Prbk.g_00552
OG0000402	Syas.g_02377	Prbk.g_00554
OG0000403	Syas.g_02376	Prbk.g_00555
OG0000404	Syas.g_02375	Prbk.g_00557
OG0000405	Syas.g_02369	Prbk.g_00749
OG0000406	Syas.g_02365	Prbk.g_00753
OG0000407	Syas.g_02364	Prbk.g_00754
OG0000408	Syas.g_02361	Prbk.g_00756
OG0000409	Syas.g_02359	Prbk.g_00758
OG0000410	Syas.g_02358	Prbk.g_00759
OG0000411	Syas.g_02357	Prbk.g_00760
OG0000412	Syas.g_02356	Prbk.g_00761
OG0000413	Syas.g_02354	Prbk.g_00763
OG0000414	Syas.g_02353	Prbk.g_00764
OG0000415	Syas.g_02352	Prbk.g_00765
OG0000416	Syas.g_02351	Prbk.g_00766
OG0000417	Syas.g_02338	Prbk.g_00767
OG0000418	Syas.g_02333	Prbk.g_00772
OG0000419	Syas.g_02331	Prbk.g_00774
OG0000420	Syas.g_02329	Prbk.g_00775
OG0000421	Syas.g_02324	Prbk.g_00779
OG0000422	Syas.g_02323	Prbk.g_00780
OG0000423	Syas.g_02322	Prbk.g_00781
OG0000424	Syas.g_02321	Prbk.g_00782
OG0000425	Syas.g_02320	Prbk.g_00783
OG0000426	Syas.g_02319	Prbk.g_00784
OG0000427	Syas.g_02318	Prbk.g_00785
OG0000428	Syas.g_02315	Prbk.g_02425
OG0000429	Syas.g_02312	Prbk.g_01283
OG0000430	Syas.g_02311	Prbk.g_01281
OG0000431	Syas.g_02296	Prbk.g_01277
OG0000432	Syas.g_02288	Prbk.g_01270
OG0000433	Syas.g_02286	Prbk.g_01267
OG0000434	Syas.g_02285	Prbk.g_01266
OG0000435	Syas.g_02282	Prbk.g_01263
OG0000436	Syas.g_02273	Prbk.g_01257
OG0000437	Syas.g_02272	Prbk.g_01256
OG0000438	Syas.g_02271	Prbk.g_01255
