Orthogroup	Pral	Syag
OG0000001	Pral.g_01236, Pral.g_01671, Pral.g_01296	Syag.g_00575
OG0000004	Pral.g_01743	Syag.g_00988
OG0000004	Pral.g_00809	Syag.g_00370, Syag.g_01790
OG0000005	Pral.g_01075	Syag.g_01667
OG0000006	Pral.g_00797	Syag.g_01772, Syag.g_02678, Syag.g_02687
OG0000007	Pral.g_00593	Syag.g_01507
OG0000007	Pral.g_00107	Syag.g_01687
OG0000008	Pral.g_00020	Syag.g_00496
OG0000008	Pral.g_00021	Syag.g_01017
OG0000009	Pral.g_01065, Pral.g_01163	Syag.g_00220, Syag.g_00231
OG0000010	Pral.g_01832, Pral.g_01848, Pral.g_00618	Syag.g_01355
OG0000011	Pral.g_00064	Syag.g_01299
OG0000013	Pral.g_00712	Syag.g_02820, Syag.g_02806, Syag.g_02811
OG0000014	Pral.g_00732	Syag.g_02559
OG0000014	Pral.g_01261	Syag.g_02487
OG0000015	Pral.g_01813	Syag.g_00596
OG0000017	Pral.g_00484	Syag.g_00344
OG0000017	Pral.g_00491	Syag.g_00336
OG0000018	Pral.g_01346, Pral.g_01516	Syag.g_01387
OG0000019	Pral.g_00790, Pral.g_01344	Syag.g_02663
OG0000020	Pral.g_01038, Pral.g_00443, Pral.g_01883, Pral.g_01891	Syag.g_00085
OG0000021	Pral.g_01738	Syag.g_00229
OG0000022	Pral.g_00044	Syag.g_00458
OG0000023	Pral.g_01687	Syag.g_00261, Syag.g_00234
OG0000024	Pral.g_01895	Syag.g_00455
OG0000025	Pral.g_01523	Syag.g_00718
OG0000026	Pral.g_01012	Syag.g_02309
OG0000027	Pral.g_00039, Pral.g_01036	Syag.g_00950, Syag.g_00165
OG0000028	Pral.g_00719, Pral.g_00053	Syag.g_02540
OG0000029	Pral.g_01890	Syag.g_00195
OG0000030	Pral.g_00316	Syag.g_02375, Syag.g_02374
OG0000031	Pral.g_01193	Syag.g_02486
OG0000032	Pral.g_01121	Syag.g_01366
OG0000033	Pral.g_00874	Syag.g_01978
OG0000034	Pral.g_01271	Syag.g_01225, Syag.g_01947
OG0000035	Pral.g_01165, Pral.g_01161	Syag.g_01420
OG0000037	Pral.g_00938	Syag.g_00173
OG0000038	Pral.g_00356	Syag.g_02130, Syag.g_02132
OG0000039	Pral.g_01755	Syag.g_01325, Syag.g_02155
OG0000041	Pral.g_00155	Syag.g_01750
OG0000042	Pral.g_00313	Syag.g_01094, Syag.g_02378
OG0000043	Pral.g_01347	Syag.g_00564
OG0000045	Pral.g_01322	Syag.g_00223
OG0000046	Pral.g_00711	Syag.g_02805, Syag.g_02812, Syag.g_02819
OG0000047	Pral.g_00672	Syag.g_00768
OG0000048	Pral.g_00768	Syag.g_02611
OG0000053	Pral.g_00066, Pral.g_01139	Syag.g_01391
OG0000054	Pral.g_00482	Syag.g_00350
OG0000055	Pral.g_01670	Syag.g_00946
OG0000055	Pral.g_00082	Syag.g_01799
OG0000057	Pral.g_01740	Syag.g_00985
OG0000058	Pral.g_01202	Syag.g_02477
OG0000059	Pral.g_00195	Syag.g_02721
OG0000061	Pral.g_01367, Pral.g_00639	Syag.g_01141
OG0000062	Pral.g_01073	Syag.g_01669
OG0000063	Pral.g_00435	Syag.g_02313
OG0000064	Pral.g_00980	Syag.g_00487, Syag.g_01589, Syag.g_00076
OG0000065	Pral.g_00940	Syag.g_00182, Syag.g_01885
OG0000066	Pral.g_00551	Syag.g_01443
OG0000067	Pral.g_01488	Syag.g_00667
OG0000068	Pral.g_01222	Syag.g_01537
OG0000070	Pral.g_00643	Syag.g_00049
OG0000071	Pral.g_01281	Syag.g_01192
OG0000072	Pral.g_00872	Syag.g_01980, Syag.g_02859
OG0000073	Pral.g_00591	Syag.g_01505
OG0000075	Pral.g_00279	Syag.g_02434
OG0000076	Pral.g_00305	Syag.g_02393
OG0000077	Pral.g_00969	Syag.g_01831
OG0000078	Pral.g_00800	Syag.g_01778
OG0000079	Pral.g_00787	Syag.g_02659, Syag.g_02652
OG0000082	Pral.g_00057	Syag.g_00318
OG0000084	Pral.g_01169	Syag.g_01425
OG0000085	Pral.g_00099	Syag.g_01676
OG0000086	Pral.g_00959	Syag.g_01853
OG0000087	Pral.g_00906	Syag.g_01939
OG0000088	Pral.g_00878	Syag.g_01974
OG0000089	Pral.g_00676	Syag.g_00005
OG0000090	Pral.g_00557	Syag.g_01454
OG0000091	Pral.g_01443	Syag.g_00418
OG0000092	Pral.g_01794, Pral.g_01244	Syag.g_00242
OG0000093	Pral.g_01472	Syag.g_00649
OG0000097	Pral.g_01416	Syag.g_01065
OG0000098	Pral.g_01239	Syag.g_00578
OG0000099	Pral.g_01201	Syag.g_02536
OG0000100	Pral.g_01078	Syag.g_00704
OG0000101	Pral.g_00243	Syag.g_02773
OG0000102	Pral.g_00310	Syag.g_02387
OG0000103	Pral.g_00397	Syag.g_02253
OG0000104	Pral.g_00406	Syag.g_02268
OG0000105	Pral.g_00765	Syag.g_02606
OG0000106	Pral.g_01859	Syag.g_00462
OG0000108	Pral.g_00611	Syag.g_01528
OG0000109	Pral.g_00596	Syag.g_01512
OG0000110	Pral.g_00513	Syag.g_00303
OG0000111	Pral.g_01739	Syag.g_00984
OG0000112	Pral.g_01635	Syag.g_00801
OG0000113	Pral.g_01511	Syag.g_00699
OG0000114	Pral.g_01799	Syag.g_00609
OG0000115	Pral.g_01141	Syag.g_01397
OG0000116	Pral.g_01356	Syag.g_01156
OG0000117	Pral.g_01398, Pral.g_01397, Pral.g_01396, Pral.g_01881	Syag.g_01097
OG0000118	Pral.g_01269	Syag.g_01232
OG0000120	Pral.g_00702	Syag.g_02535
OG0000121	Pral.g_01159	Syag.g_01414
OG0000122	Pral.g_01116	Syag.g_00446
OG0000123	Pral.g_00250	Syag.g_02781
OG0000124	Pral.g_00322	Syag.g_02367
OG0000125	Pral.g_00358	Syag.g_02136, Syag.g_02134
OG0000126	Pral.g_00405	Syag.g_02266
OG0000128	Pral.g_00421	Syag.g_02284
OG0000129	Pral.g_01000	Syag.g_02121
OG0000130	Pral.g_00978	Syag.g_01819
OG0000131	Pral.g_00900	Syag.g_01951
OG0000132	Pral.g_00880	Syag.g_01972
OG0000133	Pral.g_00717	Syag.g_00806
OG0000134	Pral.g_00674	Syag.g_00008
OG0000135	Pral.g_01034	Syag.g_02171
OG0000136	Pral.g_00653	Syag.g_00038
OG0000137	Pral.g_00617	Syag.g_01356
OG0000138	Pral.g_00595	Syag.g_01511
OG0000139	Pral.g_00553	Syag.g_01448
OG0000140	Pral.g_00552	Syag.g_01446
OG0000141	Pral.g_00481	Syag.g_00351
OG0000142	Pral.g_01436	Syag.g_00410
OG0000143	Pral.g_01440	Syag.g_00414
OG0000144	Pral.g_01453	Syag.g_00493
OG0000145	Pral.g_01037	Syag.g_01504
OG0000146	Pral.g_01636	Syag.g_00800
OG0000147	Pral.g_01637	Syag.g_00799
OG0000148	Pral.g_01505	Syag.g_00693
OG0000149	Pral.g_01535	Syag.g_00731
OG0000150	Pral.g_01545	Syag.g_00352
OG0000151	Pral.g_01789	Syag.g_00623
OG0000152	Pral.g_01627	Syag.g_00810
OG0000153	Pral.g_01578	Syag.g_00845
OG0000154	Pral.g_01595	Syag.g_00870
OG0000155	Pral.g_01390	Syag.g_01107
OG0000156	Pral.g_01292	Syag.g_01166
OG0000157	Pral.g_01291	Syag.g_01167
OG0000158	Pral.g_00287	Syag.g_02422
OG0000160	Pral.g_01160	Syag.g_01415
OG0000161	Pral.g_01154	Syag.g_01409
