Orthogroup	Syan	Pran
OG0000004	Syan.g_00183	Pran.g_01483
OG0000004	Syan.g_00989	Pran.g_00200
OG0000005	Syan.g_01423	Pran.g_00983
OG0000005	Syan.g_01378	Pran.g_00657
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Pran.g_01951
OG0000007	Syan.g_02743	Pran.g_01681
OG0000007	Syan.g_01400	Pran.g_00970
OG0000009	Syan.g_02972	Pran.g_00615, Pran.g_00328
OG0000010	Syan.g_02847	Pran.g_00175, Pran.g_01704
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Pran.g_01555
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Pran.g_01867
OG0000014	Syan.g_01987	Pran.g_01888
OG0000017	Syan.g_01006	Pran.g_01580
OG0000018	Syan.g_02816	Pran.g_00078, Pran.g_01316
OG0000019	Syan.g_02088	Pran.g_01943, Pran.g_01363
OG0000021	Syan.g_01001	Pran.g_01829
OG0000022	Syan.g_00089	Pran.g_01401, Pran.g_00097
OG0000023	Syan.g_00404	Pran.g_01834
OG0000025	Syan.g_00374	Pran.g_01309, Pran.g_01863
OG0000026	Syan.g_01743	Pran.g_00930, Pran.g_00393, Pran.g_00168
OG0000027	Syan.g_02678	Pran.g_00583
OG0000028	Syan.g_01971	Pran.g_01874
OG0000030	Syan.g_01884, Syan.g_01883	Pran.g_01170
OG0000033	Syan.g_03036	Pran.g_00800, Pran.g_00263
OG0000034	Syan.g_01227, Syan.g_03003	Pran.g_00866
OG0000035	Syan.g_01276	Pran.g_00733
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Pran.g_00324
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Pran.g_01210
OG0000039	Syan.g_02771, Syan.g_00535	Pran.g_01492
OG0000041	Syan.g_01465	Pran.g_01016
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Pran.g_01167
OG0000044	Syan.g_01065	Pran.g_00949
OG0000045	Syan.g_00086, Syan.g_00151	Pran.g_01823
OG0000048	Syan.g_02036	Pran.g_01772, Pran.g_01820
OG0000053	Syan.g_02812	Pran.g_00713
OG0000054	Syan.g_02503	Pran.g_01572
OG0000055	Syan.g_00312	Pran.g_01362
OG0000060	Syan.g_00277	Pran.g_01399
OG0000061	Syan.g_02696	Pran.g_00060
OG0000062	Syan.g_00098	Pran.g_00655
OG0000063	Syan.g_01739	Pran.g_00391
OG0000065	Syan.g_02974	Pran.g_00326
OG0000066	Syan.g_01156	Pran.g_01639
OG0000067	Syan.g_00690	Pran.g_01343
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Pran.g_00841
OG0000069	Syan.g_00278	Pran.g_00614
OG0000070	Syan.g_00289	Pran.g_01727
OG0000071	Syan.g_01213	Pran.g_00938, Pran.g_00876
OG0000072	Syan.g_03038, Syan.g_02999	Pran.g_00261
OG0000073	Syan.g_02741	Pran.g_01679
OG0000075	Syan.g_00981, Syan.g_01937	Pran.g_01137
OG0000076	Syan.g_01896	Pran.g_01160
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Pran.g_01940
OG0000082	Syan.g_00952	Pran.g_01593
OG0000085	Syan.g_01387	Pran.g_00963
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Pran.g_00344
OG0000087	Syan.g_02268	Pran.g_00295
OG0000088	Syan.g_03031	Pran.g_00266
OG0000089	Syan.g_02316	Pran.g_01839
OG0000090	Syan.g_01166	Pran.g_01645
OG0000091	Syan.g_00235, Syan.g_00808	Pran.g_01536
OG0000092	Syan.g_02502	Pran.g_00434
OG0000093	Syan.g_02934	Pran.g_00455
OG0000094	Syan.g_00353, Syan.g_00065	Pran.g_00549
OG0000097	Syan.g_00160, Syan.g_00733	Pran.g_00019
