Orthogroup	Syah	Syas
OG0000001	Syah.g_00040, Syah.g_00041	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Syah.g_02017	Syas.g_00176
OG0000004	Syah.g_01967	Syas.g_00174, Syas.g_00311
OG0000004	Syah.g_00901	Syas.g_00072
OG0000005	Syah.g_02403	Syas.g_02665
OG0000005	Syah.g_02363	Syas.g_02704
OG0000006	Syah.g_00683, Syah.g_00915, Syah.g_00681, Syah.g_00918	Syas.g_01684, Syas.g_02565
OG0000007	Syah.g_01016	Syas.g_01232
OG0000007	Syah.g_02384	Syas.g_02681
OG0000008	Syah.g_01994	Syas.g_00886
OG0000008	Syah.g_01993	Syas.g_00887
OG0000009	Syah.g_01910, Syah.g_02535	Syas.g_01450
OG0000010	Syah.g_01220	Syas.g_01334
OG0000014	Syah.g_00127	Syas.g_01816
OG0000016	Syah.g_00359	Syas.g_02048
OG0000016	Syah.g_01402	Syas.g_01086
OG0000017	Syah.g_01159	Syas.g_00856
OG0000017	Syah.g_01152	Syas.g_00849
OG0000018	Syah.g_01264	Syas.g_01290
OG0000019	Syah.g_00669	Syas.g_01696
OG0000022	Syah.g_01881	Syas.g_02758
OG0000025	Syah.g_02082	Syas.g_00231
OG0000026	Syah.g_00340	Syas.g_02070
OG0000027	Syah.g_01541	Syas.g_01480
OG0000028	Syah.g_00141	Syas.g_01793
OG0000030	Syah.g_00264	Syas.g_01644
OG0000030	Syah.g_00265	Syas.g_01645
OG0000031	Syah.g_00146	Syas.g_01827
OG0000033	Syah.g_00211, Syah.g_00078	Syas.g_02328
OG0000034	Syah.g_00048, Syah.g_02213	Syas.g_02371, Syas.g_02838
OG0000035	Syah.g_01293	Syas.g_02814, Syas.g_02818
OG0000037	Syah.g_00956, Syah.g_01365	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Syah.g_00508	Syas.g_01885
OG0000038	Syah.g_00506	Syas.g_01887
OG0000040	Syah.g_00431	Syas.g_01972
OG0000040	Syah.g_01908	Syas.g_02028
OG0000042	Syah.g_00261	Syas.g_01121, Syas.g_02147
OG0000044	Syah.g_01194, Syah.g_02454, Syah.g_02072	Syas.g_00894, Syas.g_02453
OG0000048	Syah.g_00637	Syas.g_01734
OG0000051	Syah.g_02473	Syas.g_01445
OG0000053	Syah.g_01267	Syas.g_01287
OG0000054	Syah.g_01982	Syas.g_00961
OG0000054	Syah.g_01862	Syas.g_00957
OG0000055	Syah.g_01878	Syas.g_00203
OG0000058	Syah.g_00152	Syas.g_01151
OG0000060	Syah.g_01515	Syas.g_00975
OG0000061	Syah.g_02158	Syas.g_01184
OG0000062	Syah.g_02365	Syas.g_02702
OG0000063	Syah.g_00337	Syas.g_02074
OG0000064	Syah.g_01353	Syas.g_00946
OG0000065	Syah.g_02443, Syah.g_02537	Syas.g_02420
OG0000066	Syah.g_01073	Syas.g_00094
OG0000067	Syah.g_01779	Syas.g_00596
OG0000068	Syah.g_00986	Syas.g_00969, Syas.g_01261
OG0000070	Syah.g_02217	Syas.g_00173
OG0000071	Syah.g_01863	Syas.g_02854
OG0000072	Syah.g_00080	Syas.g_02326
OG0000073	Syah.g_01018	Syas.g_01230
OG0000075	Syah.g_00186	Syas.g_01921, Syas.g_02194
OG0000076	Syah.g_00250	Syas.g_02156
OG0000077	Syah.g_02494	Syas.g_02510
OG0000079	Syah.g_00665	Syas.g_01699
OG0000081	Syah.g_02471, Syah.g_00922	Syas.g_00391
OG0000082	Syah.g_01136	Syas.g_00837
OG0000085	Syah.g_02372	Syas.g_02695
OG0000086	Syah.g_02511	Syas.g_02470
OG0000087	Syah.g_00038	Syas.g_02374
OG0000089	Syah.g_00888	Syas.g_01512
OG0000090	Syah.g_01064	Syas.g_00062
OG0000091	Syah.g_01927	Syas.g_00907, Syas.g_00146
OG0000094	Syah.g_01692	Syas.g_00208
OG0000095	Syah.g_02030	Syas.g_01021
OG0000098	Syah.g_00723	Syas.g_00091
OG0000099	Syah.g_00144	Syas.g_01826
OG0000100	Syah.g_01747	Syas.g_00567
OG0000102	Syah.g_00255	Syas.g_02152, Syas.g_01395
OG0000104	Syah.g_00377	Syas.g_02027, Syas.g_02026
OG0000105	Syah.g_00632	Syas.g_01739
OG0000106	Syah.g_01544	Syas.g_01451
OG0000107	Syah.g_00688	Syas.g_01669
OG0000108	Syah.g_00997	Syas.g_01253
OG0000110	Syah.g_01124	Syas.g_00818
OG0000112	Syah.g_01613	Syas.g_00452
OG0000113	Syah.g_01752	Syas.g_00571
OG0000114	Syah.g_01529	Syas.g_00674, Syas.g_00252
OG0000115	Syah.g_01269	Syas.g_02548, Syas.g_01285
OG0000116	Syah.g_02175	Syas.g_01198, Syas.g_00317
OG0000117	Syah.g_01425	Syas.g_01122
OG0000118	Syah.g_01173	Syas.g_02835
OG0000120	Syah.g_00145	Syas.g_01828
OG0000121	Syah.g_01287	Syas.g_02821
OG0000122	Syah.g_01900	Syas.g_00393
OG0000123	Syah.g_00793	Syas.g_01582
