Orthogroup	Prae	Prbg
OG0000000	Prae.g_01580	Prbg.g_01567
OG0000001	Prae.g_01353	Prbg.g_00502
OG0000002	Prae.g_01361	Prbg.g_01222, Prbg.g_01227
OG0000002	Prae.g_00652	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119
OG0000004	Prae.g_00669	Prbg.g_01140
OG0000004	Prae.g_00235	Prbg.g_01014
OG0000005	Prae.g_01535	Prbg.g_00674
OG0000006	Prae.g_00244	Prbg.g_01024
OG0000007	Prae.g_00471	Prbg.g_00216
OG0000007	Prae.g_01623	Prbg.g_01650
OG0000009	Prae.g_01270	Prbg.g_00686
OG0000010	Prae.g_00448	Prbg.g_00193
OG0000010	Prae.g_01048	Prbg.g_01053, Prbg.g_01348
OG0000011	Prae.g_00398	Prbg.g_00415
OG0000012	Prae.g_00597	Prbg.g_00342, Prbg.g_00706
OG0000013	Prae.g_00328	Prbg.g_00104
OG0000014	Prae.g_00307	Prbg.g_00086
OG0000015	Prae.g_00769, Prae.g_01235	Prbg.g_01589, Prbg.g_01635
OG0000017	Prae.g_00572	Prbg.g_00317, Prbg.g_00324
OG0000018	Prae.g_00833	Prbg.g_01187
OG0000018	Prae.g_01144	Prbg.g_01508
OG0000019	Prae.g_00252	Prbg.g_01032
OG0000019	Prae.g_00786	Prbg.g_01510
OG0000021	Prae.g_01600, Prae.g_00364	Prbg.g_00699, Prbg.g_01145
OG0000022	Prae.g_00764	Prbg.g_00682
OG0000023	Prae.g_00359	Prbg.g_00013
OG0000024	Prae.g_00748	Prbg.g_01352
OG0000024	Prae.g_00649	Prbg.g_01116
OG0000025	Prae.g_00332, Prae.g_00840	Prbg.g_01195
OG0000026	Prae.g_00031, Prae.g_01056	Prbg.g_00842
OG0000027	Prae.g_00444, Prae.g_01311	Prbg.g_00721, Prbg.g_01569
OG0000029	Prae.g_00755	Prbg.g_00734, Prbg.g_01581
OG0000029	Prae.g_00375	Prbg.g_01740
OG0000030	Prae.g_01825	Prbg.g_01858
OG0000031	Prae.g_01402, Prae.g_01391	Prbg.g_00550
OG0000033	Prae.g_01396	Prbg.g_00557
OG0000034	Prae.g_01339	Prbg.g_00488
OG0000035	Prae.g_01459	Prbg.g_00591
OG0000037	Prae.g_00108	Prbg.g_00881
OG0000038	Prae.g_01865	Prbg.g_01898
OG0000039	Prae.g_00660	Prbg.g_01128
OG0000041	Prae.g_01669	Prbg.g_01697
OG0000042	Prae.g_01822	Prbg.g_01855
OG0000043	Prae.g_00876	Prbg.g_01507
OG0000048	Prae.g_00374	Prbg.g_00464, Prbg.g_00050
OG0000052	Prae.g_01416	Prbg.g_00569
OG0000053	Prae.g_01479	Prbg.g_00612, Prbg.g_01595
OG0000054	Prae.g_00580	Prbg.g_00326
OG0000055	Prae.g_00787	Prbg.g_01535, Prbg.g_01624
OG0000057	Prae.g_00672	Prbg.g_01143
OG0000058	Prae.g_01417, Prae.g_01406	Prbg.g_00551
OG0000059	Prae.g_01710	Prbg.g_01737
OG0000061	Prae.g_01163	Prbg.g_01486
OG0000062	Prae.g_01537	Prbg.g_00676
OG0000065	Prae.g_00106	Prbg.g_00879
OG0000066	Prae.g_00514	Prbg.g_00256
OG0000067	Prae.g_00806	Prbg.g_01159
OG0000068	Prae.g_01368	Prbg.g_00529
OG0000069	Prae.g_01573	Prbg.g_00174
OG0000070	Prae.g_00424	Prbg.g_00170
OG0000071	Prae.g_01329	Prbg.g_00477
OG0000072	Prae.g_00174	Prbg.g_00949
OG0000073	Prae.g_00473	Prbg.g_00219
OG0000074	Prae.g_00656	Prbg.g_01123, Prbg.g_01064, Prbg.g_00021
OG0000075	Prae.g_01791	Prbg.g_01821
OG0000076	Prae.g_01815	Prbg.g_01847
OG0000077	Prae.g_00078	Prbg.g_00791
OG0000078	Prae.g_00242	Prbg.g_01022
OG0000079	Prae.g_00255	Prbg.g_01035
OG0000081	Prae.g_00505	Prbg.g_00248
OG0000082	Prae.g_00559	Prbg.g_00304, Prbg.g_01639
OG0000084	Prae.g_01455	Prbg.g_00588
OG0000085	Prae.g_01616	Prbg.g_00716, Prbg.g_01642
OG0000086	Prae.g_00088	Prbg.g_00782
OG0000087	Prae.g_00139	Prbg.g_00913
OG0000088	Prae.g_00169	Prbg.g_00944
OG0000089	Prae.g_00355	Prbg.g_00137
OG0000090	Prae.g_00508	Prbg.g_00250
OG0000091	Prae.g_00616	Prbg.g_01414
OG0000092	Prae.g_00913	Prbg.g_01089
OG0000093	Prae.g_00933	Prbg.g_01385
