Orthogroup	Syas	Syaf
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Syaf.g_00845
OG0000004	Syas.g_00176	Syaf.g_01455
OG0000004	Syas.g_00174, Syas.g_00311	Syaf.g_02351
OG0000004	Syas.g_00072	Syaf.g_02794
OG0000005	Syas.g_02665	Syaf.g_01017
OG0000005	Syas.g_02704	Syaf.g_01057
OG0000006	Syas.g_01684, Syas.g_02565	Syaf.g_00179, Syaf.g_02778
OG0000007	Syas.g_01232	Syaf.g_02702
OG0000007	Syas.g_02681	Syaf.g_01033
OG0000008	Syas.g_00886	Syaf.g_01479
OG0000008	Syas.g_00887	Syaf.g_01480
OG0000009	Syas.g_01450	Syaf.g_00905
OG0000010	Syas.g_01334	Syaf.g_02499
OG0000012	Syas.g_00111, Syas.g_00827	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000014	Syas.g_01816	Syaf.g_00280
OG0000016	Syas.g_02048	Syaf.g_00484
OG0000016	Syas.g_01086	Syaf.g_01576
OG0000017	Syas.g_00856	Syaf.g_02554
OG0000018	Syas.g_01290	Syaf.g_02451
OG0000019	Syas.g_01696	Syaf.g_00193
OG0000022	Syas.g_02758	Syaf.g_02256
OG0000025	Syas.g_00231	Syaf.g_01385
OG0000026	Syas.g_02070	Syaf.g_00461
OG0000027	Syas.g_01480	Syaf.g_02284, Syaf.g_01688
OG0000028	Syas.g_01793	Syaf.g_00297
OG0000030	Syas.g_01644	Syaf.g_00406
OG0000030	Syas.g_01645	Syaf.g_00407
OG0000031	Syas.g_01827	Syaf.g_00314
OG0000033	Syas.g_02328	Syaf.g_00807
OG0000034	Syas.g_02371, Syas.g_02838	Syaf.g_01241, Syaf.g_00837
OG0000035	Syas.g_02814, Syas.g_02818	Syaf.g_02412
OG0000038	Syas.g_01885	Syaf.g_00642
OG0000040	Syas.g_01972	Syaf.g_00558
OG0000042	Syas.g_01121, Syas.g_02147	Syaf.g_00403
OG0000046	Syas.g_01553, Syas.g_01556, Syas.g_01558	Syaf.g_00062
OG0000048	Syas.g_01734	Syaf.g_00230
OG0000051	Syas.g_01445	Syaf.g_00972
OG0000053	Syas.g_01287	Syaf.g_02447
OG0000057	Syas.g_01055	Syaf.g_01665
OG0000059	Syas.g_01639	Syaf.g_00143
OG0000060	Syas.g_01343, Syas.g_01002	Syaf.g_01425
OG0000060	Syas.g_00975	Syaf.g_01603
